ID;Geslacht;Leeftijd;Perioden;Sterftekans_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;PeriodeLevensverwachting_4
0;Totaal mannen en vrouwen;0 jaar;2016;0.00309;100000;309;81.59
1;Totaal mannen en vrouwen;0 jaar;2017;0.00296;100000;296;81.81
2;Totaal mannen en vrouwen;0 jaar;2018;0.00282;100000;282;82.03
3;Totaal mannen en vrouwen;0 jaar;2019;0.0027;100000;270;82.23
4;Totaal mannen en vrouwen;0 jaar;2020;0.00257;100000;257;82.44
5;Totaal mannen en vrouwen;0 jaar;2021;0.00246;100000;246;82.63
6;Totaal mannen en vrouwen;0 jaar;2022;0.00235;100000;235;82.83
7;Totaal mannen en vrouwen;0 jaar;2023;0.00225;100000;225;82.99
8;Totaal mannen en vrouwen;0 jaar;2024;0.00216;100000;216;83.16
9;Totaal mannen en vrouwen;0 jaar;2025;0.00207;100000;207;83.32
10;Totaal mannen en vrouwen;0 jaar;2026;0.00198;100000;198;83.49
11;Totaal mannen en vrouwen;0 jaar;2027;0.0019;100000;190;83.65
12;Totaal mannen en vrouwen;0 jaar;2028;0.00182;100000;182;83.82
13;Totaal mannen en vrouwen;0 jaar;2029;0.00174;100000;174;83.98
14;Totaal mannen en vrouwen;0 jaar;2030;0.00167;100000;167;84.15
15;Totaal mannen en vrouwen;0 jaar;2031;0.0016;100000;160;84.31
16;Totaal mannen en vrouwen;0 jaar;2032;0.00153;100000;153;84.48
17;Totaal mannen en vrouwen;0 jaar;2033;0.00147;100000;147;84.64
18;Totaal mannen en vrouwen;0 jaar;2034;0.0014;100000;140;84.81
19;Totaal mannen en vrouwen;0 jaar;2035;0.00134;100000;134;84.97
20;Totaal mannen en vrouwen;0 jaar;2036;0.00129;100000;129;85.13
21;Totaal mannen en vrouwen;0 jaar;2037;0.00123;100000;123;85.29
22;Totaal mannen en vrouwen;0 jaar;2038;0.00118;100000;118;85.45
23;Totaal mannen en vrouwen;0 jaar;2039;0.00113;100000;113;85.61
24;Totaal mannen en vrouwen;0 jaar;2040;0.00108;100000;108;85.77
25;Totaal mannen en vrouwen;0 jaar;2041;0.00104;100000;104;85.92
26;Totaal mannen en vrouwen;0 jaar;2042;0.00099;100000;99;86.08
27;Totaal mannen en vrouwen;0 jaar;2043;0.00095;100000;95;86.23
28;Totaal mannen en vrouwen;0 jaar;2044;0.00091;100000;91;86.38
29;Totaal mannen en vrouwen;0 jaar;2045;0.00087;100000;87;86.53
30;Totaal mannen en vrouwen;0 jaar;2046;0.00083;100000;83;86.67
31;Totaal mannen en vrouwen;0 jaar;2047;0.0008;100000;80;86.82
32;Totaal mannen en vrouwen;0 jaar;2048;0.00076;100000;76;86.96
33;Totaal mannen en vrouwen;0 jaar;2049;0.00073;100000;73;87.11
34;Totaal mannen en vrouwen;0 jaar;2050;0.0007;100000;70;87.25
35;Totaal mannen en vrouwen;0 jaar;2051;0.00067;100000;67;87.39
36;Totaal mannen en vrouwen;0 jaar;2052;0.00064;100000;64;87.53
37;Totaal mannen en vrouwen;0 jaar;2053;0.00061;100000;61;87.66
38;Totaal mannen en vrouwen;0 jaar;2054;0.00059;100000;59;87.8
39;Totaal mannen en vrouwen;0 jaar;2055;0.00056;100000;56;87.93
40;Totaal mannen en vrouwen;0 jaar;2056;0.00054;100000;54;88.07
41;Totaal mannen en vrouwen;0 jaar;2057;0.00052;100000;52;88.2
42;Totaal mannen en vrouwen;0 jaar;2058;0.00049;100000;49;88.33
43;Totaal mannen en vrouwen;0 jaar;2059;0.00047;100000;47;88.46
44;Totaal mannen en vrouwen;0 jaar;2060;0.00045;100000;45;88.59
45;Totaal mannen en vrouwen;1 jaar;2016;0.00035;99691;35;81.35
46;Totaal mannen en vrouwen;1 jaar;2017;0.00034;99704;34;81.56
47;Totaal mannen en vrouwen;1 jaar;2018;0.00032;99718;32;81.76
48;Totaal mannen en vrouwen;1 jaar;2019;0.00031;99730;31;81.96
49;Totaal mannen en vrouwen;1 jaar;2020;0.00029;99743;29;82.15
50;Totaal mannen en vrouwen;1 jaar;2021;0.00028;99754;28;82.34
51;Totaal mannen en vrouwen;1 jaar;2022;0.00027;99765;27;82.52
52;Totaal mannen en vrouwen;1 jaar;2023;0.00026;99775;26;82.68
53;Totaal mannen en vrouwen;1 jaar;2024;0.00025;99784;25;82.84
54;Totaal mannen en vrouwen;1 jaar;2025;0.00024;99793;24;82.99
55;Totaal mannen en vrouwen;1 jaar;2026;0.00023;99802;23;83.15
56;Totaal mannen en vrouwen;1 jaar;2027;0.00022;99810;22;83.31
57;Totaal mannen en vrouwen;1 jaar;2028;0.00021;99818;21;83.47
58;Totaal mannen en vrouwen;1 jaar;2029;0.0002;99826;20;83.63
59;Totaal mannen en vrouwen;1 jaar;2030;0.00019;99833;19;83.79
60;Totaal mannen en vrouwen;1 jaar;2031;0.00018;99840;18;83.95
61;Totaal mannen en vrouwen;1 jaar;2032;0.00018;99847;18;84.11
62;Totaal mannen en vrouwen;1 jaar;2033;0.00017;99853;17;84.27
63;Totaal mannen en vrouwen;1 jaar;2034;0.00016;99860;16;84.43
64;Totaal mannen en vrouwen;1 jaar;2035;0.00016;99866;16;84.58
65;Totaal mannen en vrouwen;1 jaar;2036;0.00015;99871;15;84.74
66;Totaal mannen en vrouwen;1 jaar;2037;0.00014;99877;14;84.9
67;Totaal mannen en vrouwen;1 jaar;2038;0.00014;99882;14;85.06
68;Totaal mannen en vrouwen;1 jaar;2039;0.00013;99887;13;85.21
69;Totaal mannen en vrouwen;1 jaar;2040;0.00013;99892;13;85.36
70;Totaal mannen en vrouwen;1 jaar;2041;0.00012;99896;12;85.51
71;Totaal mannen en vrouwen;1 jaar;2042;0.00012;99901;12;85.66
72;Totaal mannen en vrouwen;1 jaar;2043;0.00011;99905;11;85.81
73;Totaal mannen en vrouwen;1 jaar;2044;0.00011;99909;11;85.96
74;Totaal mannen en vrouwen;1 jaar;2045;0.0001;99913;10;86.1
75;Totaal mannen en vrouwen;1 jaar;2046;0.0001;99917;10;86.25
76;Totaal mannen en vrouwen;1 jaar;2047;9e-05;99920;9;86.39
77;Totaal mannen en vrouwen;1 jaar;2048;9e-05;99924;9;86.53
78;Totaal mannen en vrouwen;1 jaar;2049;9e-05;99927;9;86.67
79;Totaal mannen en vrouwen;1 jaar;2050;8e-05;99930;8;86.81
80;Totaal mannen en vrouwen;1 jaar;2051;8e-05;99933;8;86.95
81;Totaal mannen en vrouwen;1 jaar;2052;8e-05;99936;8;87.08
82;Totaal mannen en vrouwen;1 jaar;2053;7e-05;99939;7;87.22
83;Totaal mannen en vrouwen;1 jaar;2054;7e-05;99941;7;87.35
84;Totaal mannen en vrouwen;1 jaar;2055;7e-05;99944;7;87.48
