ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;DN_7;D66_8;GL_9;LN_10;LPF_11;NMP_12;PvdA_13;PvdT_14;RVP_15;SGP_16;SP_17;VSP_18;VIPOU_19;VVD_20;CDA_21;CU_22;DN_23;D66_24;GL_25;LN_26;LPF_27;NMP_28;PvdA_29;PvdT_30;RVP_31;SGP_32;SP_33;VSP_34;VIPOU_35;VVD_36;LandsdeelCode_37;ProvincieCode_38;KamerkieskringCode_39;CoropCode_40;GemeenteCode_41
0;Nederland;12035935;79.1;9515226;9501152;2653723;240953;9058;484317;660692;153055;1614801;2305.0;1436023;6393.0;63.0;163562;560447;10033.0;39005;1466722;27.9;2.5;0.1;5.1;7.0;1.6;17.0;0.0;15.1;0.1;0.0;1.7;5.9;0.1;0.4;15.4; ;  ;  ;  ;    
1;Aa en Hunze;19445;83.4;16219;16206;2606;157;5;938;1138;246;1893;2.0;4411;6.0;;26;757;13.0;62;3946;16.1;1.0;0.0;5.8;7.0;1.5;11.7;0.0;27.2;0.0;;0.2;4.7;0.1;0.4;24.3;1;22;03;07;1680
2;Aalburg;8658;86.4;7484;7481;2541;655;0;116;138;81;1067;2.0;416;9.0;;1574;215;4.0;7;656;34.0;8.8;0.0;1.6;1.8;1.1;14.3;0.0;5.6;0.1;;21.0;2.9;0.1;0.1;8.8;4;30;17;34;0738
3;Aalsmeer;17280;85.2;14719;14704;4590;361;8;765;593;303;2774;4.0;1486;17.0;;62;537;;98;3106;31.2;2.5;0.1;5.2;4.0;2.1;18.9;0.0;10.1;0.1;;0.4;3.7;;0.7;21.1;3;27;10;23;0358
4;Aalten;13922;83.7;11656;11644;5922;398;3;400;607;136;1119;1.0;1417;9.0;;30;469;6.0;39;1088;50.9;3.4;0.0;3.4;5.2;1.2;9.6;0.0;12.2;0.1;;0.3;4.0;0.1;0.3;9.3;2;25;07;14;0197
5;Ter Aar;6621;85.1;5634;5630;2309;65;1;233;246;88;1111;0.0;419;3.0;;51;167;2.0;11;924;41.0;1.2;0.0;4.1;4.4;1.6;19.7;0.0;7.4;0.1;;0.9;3.0;0.0;0.2;16.4;3;28;15;28;0480
6;Abcoude;6180;90.4;5585;5580;1564;80;1;410;334;79;845;;625;3.0;;42;264;1.0;14;1318;28.0;1.4;0.0;7.3;6.0;1.4;15.1;;11.2;0.1;;0.8;4.7;0.0;0.3;23.6;3;26;08;17;0305
7;Achtkarspelen;21343;80.3;17130;17115;7188;1363;7;360;625;225;2160;2.0;3025;23.0;;213;704;;30;1190;42.0;8.0;0.0;2.1;3.7;1.3;12.6;0.0;17.7;0.1;;1.2;4.1;;0.2;7.0;1;21;02;04;0059
8;Alblasserdam;13430;83.1;11155;11144;2837;711;4;309;327;145;1929;0.0;1853;1.0;;1324;498;15.0;36;1155;25.5;6.4;0.0;2.8;2.9;1.3;17.3;0.0;16.6;0.0;;11.9;4.5;0.1;0.3;10.4;3;28;14;30;0482
9;Albrandswaard;13760;84.1;11568;11552;2988;202;5;498;359;248;3188;3.0;1228;4.0;;143;444;7.0;43;2192;25.9;1.7;0.0;4.3;3.1;2.1;27.6;0.0;10.6;0.0;;1.2;3.8;0.1;0.4;19.0;3;28;14;29;0613
