ID;Geslacht;Leeftijd;Sterftequotient_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;LevensverwachtingInJaren_4
0;Mannen;0;0.00511;100000;511;75.18
1;Mannen;1;0.002;99489;199;75.07
2;Mannen;6;0.00077;99291;77;70.21
3;Mannen;11;0.00089;99214;89;65.27
4;Mannen;16;0.00266;99125;264;60.32
5;Mannen;21;0.00341;98861;337;55.48
6;Mannen;26;0.00345;98524;339;50.66
7;Mannen;31;0.00403;98185;396;45.82
8;Mannen;41;0.00941;97235;915;36.22
9;Mannen;36;0.00567;97789;554;41.0
10;Mannen;46;0.01532;96320;1476;31.54
11;Mannen;51;0.02539;94844;2408;26.98
12;Mannen;56;0.04171;92436;3856;22.62
13;Mannen;61;0.07257;88581;6428;18.48
14;Mannen;66;0.12233;82153;10050;14.72
15;Mannen;71;0.19827;72103;14296;11.4
16;Mannen;76;0.30996;57807;17918;8.57
17;Mannen;81;0.45999;39889;18349;6.27
18;Mannen;86;0.62482;21541;13459;4.52
19;Mannen;91;0.78075;8082;6310;3.21
20;Mannen;96;0.89293;1772;1582;2.32
21;Mannen;100,5 jaar;0.96659;190;183;1.53
22;Mannen;105,5 jaar;1.0;6;6;1.69
23;Vrouwen;0;0.00423;100000;423;80.52
24;Vrouwen;1;0.00155;99577;154;80.37
25;Vrouwen;6;0.00051;99422;51;75.49
26;Vrouwen;11;0.00068;99371;68;70.53
27;Vrouwen;16;0.00122;99303;121;65.57
28;Vrouwen;21;0.00143;99183;141;60.65
29;Vrouwen;26;0.0018;99041;178;55.73
30;Vrouwen;31;0.00248;98863;245;50.83
31;Vrouwen;41;0.00727;98198;714;41.13
32;Vrouwen;36;0.00426;98618;420;45.95
33;Vrouwen;46;0.01126;97484;1098;36.41
34;Vrouwen;51;0.01694;96386;1633;31.8
35;Vrouwen;56;0.02513;94754;2381;27.3
36;Vrouwen;61;0.03925;92372;3626;22.93
37;Vrouwen;66;0.06363;88746;5647;18.76
38;Vrouwen;71;0.10426;83099;8664;14.86
39;Vrouwen;76;0.17792;74435;13244;11.27
40;Vrouwen;81;0.31126;61192;19047;8.14
41;Vrouwen;86;0.50111;42145;21119;5.64
42;Vrouwen;91;0.7044;21025;14810;3.82
43;Vrouwen;96;0.85921;6215;5340;2.62
44;Vrouwen;100,5 jaar;0.94331;875;825;1.89
45;Vrouwen;105,5 jaar;1.0;50;50;1.54
