ID;Bedrijfsgrootte;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 januari;;
1;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 februari;;
2;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 maart;;
3;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 1e kwartaal;;
4;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 april;;
5;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 mei;;
6;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 juni;;
7;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 2e kwartaal;;
8;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 juli;;
9;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 augustus;;
10;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 september;;
11;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 3e kwartaal;;
12;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 oktober;;
13;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 november;;
14;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 december;;
15;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005 4e kwartaal;;
16;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2005;;
17;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 januari;;
18;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 februari;;
19;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 maart;;
20;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 1e kwartaal;;
21;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 april;;
22;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 mei;;
23;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 juni;;
24;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 2e kwartaal;;
25;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 juli;;
26;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 augustus;;
27;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 september;;
28;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 3e kwartaal;;
29;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 oktober;;
30;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 november;;
31;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 december;;
32;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006 4e kwartaal;;
33;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2006;;
34;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 januari;;
35;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 februari;;
36;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 maart;;
37;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 1e kwartaal;;
38;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 april;;
39;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 mei;;
