ID;LandVanNationaliteit;Asielverzoeken;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3;AlleLeeftijden_4;JongerDan15Jaar_5;k_15Tot18Jaar_6;k_18JaarOfOuder_7
0;85;Totaal asielverzoeken;2007 1e kwartaal;2530;1590;940;2530;550;150;1840
1;85;Totaal asielverzoeken;2007 2e kwartaal;2140;1400;750;2140;420;140;1580
2;85;Totaal asielverzoeken;2007 3e kwartaal;2470;1620;850;2470;420;150;1910
3;85;Totaal asielverzoeken;2007 4e kwartaal;2590;1760;830;2590;420;190;1980
4;85;Totaal asielverzoeken;2007;9730;6360;3370;9730;1800;620;7310
5;85;Totaal asielverzoeken;2008 1e kwartaal;3130;2080;1050;3130;620;240;2270
6;85;Totaal asielverzoeken;2008 2e kwartaal;3560;2400;1150;3560;560;210;2790
7;85;Totaal asielverzoeken;2008 3e kwartaal;4510;2920;1590;4510;950;320;3240
8;85;Totaal asielverzoeken;2008 4e kwartaal;4080;2670;1410;4080;780;290;3000
9;85;Totaal asielverzoeken;2008;15280;10070;5200;15280;2910;1060;11300
10;85;Totaal asielverzoeken;2009 1e kwartaal;3970;2660;1310;3970;770;360;2840
11;85;Totaal asielverzoeken;2009 2e kwartaal;3780;2600;1170;3780;760;340;2680
12;85;Totaal asielverzoeken;2009 3e kwartaal;3850;2550;1300;3850;860;330;2650
13;85;Totaal asielverzoeken;2009 4e kwartaal;4570;2900;1680;4570;980;440;3160
14;85;Totaal asielverzoeken;2009;16160;10690;5460;16160;3360;1470;11330
15;85;Totaal asielverzoeken;2010 1e kwartaal;4190;2540;1640;4190;1060;330;2790
16;85;Totaal asielverzoeken;2010 2e kwartaal;3110;1890;1220;3110;840;250;2010
17;85;Totaal asielverzoeken;2010 3e kwartaal;3510;2050;1460;3510;1050;230;2230
18;85;Totaal asielverzoeken;2010 4e kwartaal;4350;2580;1770;4350;1280;400;2670
19;85;Totaal asielverzoeken;2010;15150;9060;6090;15150;4230;1220;9700
20;85;Totaal asielverzoeken;2011 1e kwartaal;3510;2240;1280;3510;740;260;2510
21;85;Totaal asielverzoeken;2011 2e kwartaal;3610;2310;1300;3610;870;240;2510
22;85;Totaal asielverzoeken;2011 3e kwartaal;3890;2460;1440;3890;790;260;2850
23;85;Totaal asielverzoeken;2011 4e kwartaal;3620;2290;1320;3620;700;240;2680
24;85;Totaal asielverzoeken;2011;14630;9300;5330;14630;3100;990;10540
25;85;Eerste asielverzoeken;2007 1e kwartaal;1850;1160;690;1850;390;130;1330
26;85;Eerste asielverzoeken;2007 2e kwartaal;1480;930;540;1480;300;120;1060
27;85;Eerste asielverzoeken;2007 3e kwartaal;1880;1210;670;1880;330;140;1410
28;85;Eerste asielverzoeken;2007 4e kwartaal;2220;1500;720;2220;350;170;1700
29;85;Eerste asielverzoeken;2007;7430;4810;2620;7430;1370;560;5500
30;85;Eerste asielverzoeken;2008 1e kwartaal;2660;1770;900;2660;530;220;1910
31;85;Eerste asielverzoeken;2008 2e kwartaal;3110;2120;990;3110;480;200;2440
32;85;Eerste asielverzoeken;2008 3e kwartaal;4000;2580;1420;4000;860;300;2850
33;85;Eerste asielverzoeken;2008 4e kwartaal;3630;2360;1270;3630;700;280;2650
34;85;Eerste asielverzoeken;2008;13400;8830;4580;13400;2560;1000;9840
35;85;Eerste asielverzoeken;2009 1e kwartaal;3620;2410;1220;3620;720;350;2550
36;85;Eerste asielverzoeken;2009 2e kwartaal;3470;2390;1090;3470;710;340;2420
37;85;Eerste asielverzoeken;2009 3e kwartaal;3530;2320;1210;3530;800;320;2410
38;85;Eerste asielverzoeken;2009 4e kwartaal;4280;2690;1590;4280;930;430;2920
39;85;Eerste asielverzoeken;2009;14910;9790;5100;14910;3160;1440;10300
40;85;Eerste asielverzoeken;2010 1e kwartaal;3800;2290;1520;3800;990;330;2480
41;85;Eerste asielverzoeken;2010 2e kwartaal;2600;1530;1070;2600;760;240;1600
42;85;Eerste asielverzoeken;2010 3e kwartaal;3140;1770;1370;3140;1010;220;1910
43;85;Eerste asielverzoeken;2010 4e kwartaal;3800;2200;1600;3800;1190;380;2220
44;85;Eerste asielverzoeken;2010;13340;7780;5560;13340;3950;1170;8220
45;85;Eerste asielverzoeken;2011 1e kwartaal;2860;1750;1120;2860;670;250;1940
46;85;Eerste asielverzoeken;2011 2e kwartaal;2850;1760;1090;2850;750;210;1890
47;85;Eerste asielverzoeken;2011 3e kwartaal;3080;1880;1210;3080;680;230;2180
48;85;Eerste asielverzoeken;2011 4e kwartaal;2800;1710;1090;2800;570;210;2020
49;85;Eerste asielverzoeken;2011;11590;7090;4490;11590;2680;890;8020
50;85;Volgende asielverzoeken;2007 1e kwartaal;680;430;250;680;150;20;510
51;85;Volgende asielverzoeken;2007 2e kwartaal;660;460;200;660;120;20;530
52;85;Volgende asielverzoeken;2007 3e kwartaal;600;410;180;600;90;10;490
53;85;Volgende asielverzoeken;2007 4e kwartaal;360;250;110;360;70;10;280
54;85;Volgende asielverzoeken;2007;2300;1550;740;2300;430;60;1810
55;85;Volgende asielverzoeken;2008 1e kwartaal;470;320;160;470;90;20;360
56;85;Volgende asielverzoeken;2008 2e kwartaal;450;290;160;450;80;10;350
57;85;Volgende asielverzoeken;2008 3e kwartaal;500;340;170;500;90;20;400
58;85;Volgende asielverzoeken;2008 4e kwartaal;450;310;140;450;90;10;350
59;85;Volgende asielverzoeken;2008;1870;1250;620;1870;350;60;1460
