ID;GrootteklasseVanBedrijven;Perioden;AantalOndernemingen_1;TotaalWerkzamePersonen_2;TotaalDienstverband15UurEnMeer_3;Loonlijstpersoneel_4;IngeleendPersoneel_5;EigenaarMeewerkendeGezinsleden_6;UitzendkrachtenFreeLancers_7;TotaalDienstverbandMinderDan15Uur_8;Loonlijstpersoneel_9;OverigPersoneel_10;TotaalDienstverband15UurEnMeer_11;Beveiligingsbeambten_12;Centralisten_13;DetectivesRechercheurs_14;AdministratiefPersoneel_15;OverigeWerkzamePersonen_16;TotaalDienstverbandMinderDan15Uur_17;Beveiligingsbeambten_18;Centralisten_19;DetectivesRechercheurs_20;AdministratiefEnOverigPersoneel_21;TotaleOpbrengsten_22;Omzet_23;OverigeOpbrengsten_24;TotaalPersoneelskosten_25;LonenEnSalarissen_26;SocialeLasten_27;Pensioenlasten_28;BetalingenAanFreelancers_29;BetalingenAanDerden_30;OverigePersoneelskosten_31;TotaalAlgemeneKosten_32;HuisvestingsEnInventariskosten_33;Autokosten_34;Reclamekosten_35;ReisEnVerblijfskosten_36;TelefoonEnTelexkosten_37;OverigeAlgemeneKosten_38;Afschrijvingen_39;Bedrijfsresultaat_40;OverigeLasten_41;OverigeBaten_42;ResultaatVoorBelastingen_43;TotaalInvesteringenVasteActiva_44;GrondEnTerreinen_45;Bedrijfsruimte_46;Vervoermiddelen_47;ComputersEnComputerprogrammatuur_48;TelefoonVerbindingsmiddelen_49;Alarmeringsmiddelen_50;KantoormachinesInventaris_51;Bedrijfskleding_52;OverigeInvesteringen_53;TotaalBeveiligingssectoren_54;Beveiliging_55;Recherche_56;Alarmcentrale_57;OverigeActiviteiten_58;TotaalBeveiligingsactiviteit_59;Persoonsbeveiliging_60;Bedrijfsbeveiliging_61;Ordediensten_62;Brandwachtdiensten_63;Sleutelbewaring_64;BeveiligingParkeerplaatsenEnGarage_65;OverigeBeveiligingsactiviteiten_66;TotaalGeconstateerdeFeiten_67;Inbraak_68;Diefstal_69;Brand_70;VernielingBaldadigheid_71;FraudeOplichting_72;Bommelding_73;NietAfgeslotenObjecten_74;OverigeGeconstateerdeFeiten_75;VerrichteAanhoudingen_76;TotaalFeiten_77;Inbraak_78;Diefstal_79;Brand_80;VernielingBaldadigheid_81;FraudeOplichting_82;Bommelding_83;NietAfgeslotenObjecten_84;OverigeFeiten_85;VerrichteAanhoudingen_86;AantalAlarmeringen_87;TotaalNodelozeAlarmeringen_88;DoorMenselijkeFouten_89;DoorTechnischeFouten_90;DoorAndereFouten_91;DoorEigenPersoneelEnz_92;DoorSleuteladressen_93;DoorPolitie_94;DoorBrandweer_95;AantalAbonnees_96
0;1;1997;107;18371;16358;14330;758;94;1176;2013;1501;512;16358;14528;399;152;1035;244;2013;1922;11;38;42;563090;562782;308;445049;314981;52505;9908;3684;50296;13675;84085;13878;19257;4799;5261;9128;31764;10129;23827;3181;973;21620;12001;51;671;2584;2385;1578;1042;2127;1079;483;562782.0;495191.0;6363.0;37411.0;23817.0;495191.0;3632.0;419827.0;4672.0;4870.0;6031.0;3804.0;52355.0;55166;15280;11109;2161;11208;510;502;12004;2392;11513;23005;7688;9511;980;3350;293;93;664;426;10080;1977970;1405364;911514;248529;245321;320287;718570;116855;3443;199033
1;1;1998;84;20599;18375;16816;505;75;979;2224;1414;810;18375;16517;514;135;941;268;2224;2192;8;6;18;655329;654625;704;522482;371421;54313;10783;583;67907;17474;96851;12349;17010;4561;6265;8558;48107;11255;24741;3199;1397;22939;14045;811;1525;2803;2418;1070;1664;2381;1014;359;654626.0;565517.0;8919.0;44465.0;35724.0;565517.0;8928.0;477890.0;4536.0;3258.0;2708.0;3995.0;64202.0;53621;17873;16187;1355;10867;461;95;6483;300;11811;22267;6956;10607;805;3377;249;85;76;112;10483;2603952;2303263;1380639;319587;603037;469136;961242;176748;3707;256000
2;1;1999;102;22478;19331;17530;230;97;1474;3147;2520;627;19331;17790;422;132;856;131;3147;3096;6;4;41;718694;718232;462;564286;397569;68455;10598;683;57999;28983;103687;14092;21964;4885;6762;7366;48618;14381;36340;4109;3024;35255;14439;150;959;2823;2869;510;478;3059;2887;704;718235.0;639748.0;5909.0;37386.0;35192.0;639748.0;223.0;552887.0;7456.0;5680.0;5150.0;5244.0;63109.0;66239;19717;15208;3919;13341;568;241;12866;379;10959;26899;7224;12632;1025;3804;366;39;1807;2;10426;2064175;1820012;1069599;248666;501747;388215;945875;113095;2258;220395
3;1;2000;113;22631;19035;17881;188;107;859;3596;2921;675;19035;16872;430;186;1073;475;3596;3368;27;93;108;779874;778627;1247;613352;438781;75281;11602;940;71193;15555;114214;15508;27459;3858;9669;8478;49241;14393;37915;7537;3425;33803;21657;407;4711;4447;3097;332;779;5346;1115;1423;778627.0;699334.0;9801.0;38901.0;30592.0;699334.0;1552.0;571750.0;23326.0;5048.0;6451.0;4347.0;86851.0;70683;18986;15078;4821;12796;522;264;17855;361;11528;28295;9802;12954;969;4123;214;61;141;31;10967;2332066;1940350;1071135;219069;650146;341300;927210;113643;3386;246071
4;1;2001;151;26397;22502;20754;598;152;996;3895;2992;904;22502;19791;653;257;1312;490;3895;3676;32;21;167;959568;959250;318;742592;528799;81514;13657;369;90884;27370;131445;16823;31235;4782;6487;10424;61694;19453;66078;12643;2502;55937;22840;305;4519;3054;2781;256;1238;8115;886;1686;875284.0;794286.0;9062.0;41803.0;30134.0;794286.0;4652.0;634313.0;27499.0;5435.0;7702.0;5983.0;108703.0;91376;29801;27054;4083;10842;423;242;18278;651;14287;42617;8749;22743;1563;4653;308;83;4226;292;13937;2222545;1907387;1027335;282043;598009;401775;875544;126148;3584;295764
5;2;1997;48;680;503;427;3;51;22;177;80;97;503;299;89;48;49;18;177;127;5;35;10;18245;18176;69;10603;7877;1316;218;53;631;509;3866;586;757;255;136;417;1715;851;2926;344;180;2761;1059;11;32;437;234;159;50;116;8;12;18176.0;10171.0;1347.0;4659.0;1998.0;10171.0;38.0;8472.0;308.0;55.0;590.0;569.0;140.0;6668;724;406;79;568;14;248;4576;53;245;1295;590;333;48;257;14;22;8;23;189;329851;232777;208545;4198;20034;37054;84339;10525;210;32879
6;2;1998;31;432;369;305;21;29;14;63;60;3;369;211;106;18;28;6;63;57;0;3;3;17142;17116;26;10049;6945;1031;216;0;1414;443;3940;954;533;117;137;376;1822;807;2346;245;52;2152;728;0;12;310;131;10;170;84;8;2;17116.0;8365.0;8.0;6689.0;2055.0;8365.0;32.0;4992.0;328.0;24.0;246.0;625.0;2118.0;1910;276;200;22;263;10;8;1047;84;169;555;225;162;17;126;10;8;5;2;160;348995;344323;180595;43412;120316;18577;153654;29144;396;52646
7;2;1999;38;546;432;374;11;34;13;114;109;5;432;273;74;26;34;25;114;91;3;2;18;19935;19824;111;12295;8062;1311;245;70;2069;539;4445;662;876;372;139;664;1732;1576;1619;546;53;1126;802;5;23;423;120;31;81;108;6;6;19825.0;11279.0;844.0;5333.0;2370.0;11279.0;29.0;5918.0;242.0;32.0;923.0;715.0;3420.0;5567;382;1128;43;406;50;4;3454;100;827;3089;320;1059;20;217;50;4;1417;2;745;373706;367454;224823;45198;97433;19765;153881;33047;344;52033
8;2;2000;41;592;443;362;26;41;14;149;136;13;443;336;38;13;25;32;149;127;9;0;14;19398;19316;82;12201;8796;1491;234;0;1267;412;3824;496;1070;152;150;678;1279;830;2543;213;80;2410;607;2;74;472;17;10;14;13;2;3;19316.0;12949.0;466.0;4317.0;1584.0;12949.0;327.0;6702.0;39.0;418.0;1051.0;1085.0;3328.0;8034;804;496;139;362;0;25;6195;13;325;1616;776;456;109;208;0;25;28;13;312;218632;213414;89230;35427;88757;7538;108135;29795;312;47455
9;2;2001;71;1117;740;609;39;74;18;377;343;35;740;541;81;27;62;29;377;332;7;3;35;36874;36831;43;22427;16099;2777;358;5;2139;1050;6688;981;1556;283;183;1301;2385;1486;6272;423;123;5972;806;1;34;562;82;46;26;45;10;1;;;;;;;;;;;;;;14048;1277;1480;104;573;7;34;10560;13;954;7050;1192;1363;94;306;7;34;4041;13;937;437264;426828;178460;70854;177514;15076;216270;59590;624;94910
10;3;1997;41;2424;1736;1575;81;38;42;688;506;182;1736;1356;119;57;157;47;688;656;3;0;29;69577;69443;134;45707;32397;5964;1109;757;3765;1716;12631;1518;2744;1532;388;1364;5084;1966;9273;1129;208;8351;2140;40;209;786;213;265;251;267;82;27;69443.0;50671.0;4629.0;13073.0;1069.0;50671.0;3594.0;40941.0;1540.0;1077.0;1474.0;580.0;1465.0;12086;2678;886;228;2660;7;9;4927;691;1203;3006;1315;585;150;889;1;5;37;24;848;944293;569135;399064;116965;53106;88970;383343;72446;1816;88788
11;3;1998;28;1484;1202;1106;43;33;20;282;102;180;1202;804;142;79;140;37;282;279;0;0;3;51275;51140;135;31191;22882;2988;670;436;2914;1301;10383;1097;2018;1155;188;1244;4681;1533;8168;293;299;8174;1817;31;251;343;387;74;394;152;93;92;51141.0;27388.0;8858.0;14182.0;712.0;27388.0;1473.0;15768.0;164.0;1005.0;1046.0;138.0;7795.0;4781;1609;510;68;1447;6;6;1105;30;399;2147;885;460;51;737;2;2;7;3;357;1189290;985246;602866;115323;267057;165319;354221;54294;2131;87131
12;3;1999;42;2581;2014;1860;63;55;36;567;385;182;2014;1625;97;73;155;64;567;555;0;0;12;73978;73937;41;49961;34774;5950;782;433;4845;3177;11451;1156;2504;1195;275;1068;5254;1754;10812;430;262;10643;2022;0;256;662;318;34;43;389;95;226;73938.0;56397.0;4448.0;9095.0;3997.0;56397.0;0.0;35725.0;447.0;1313.0;1857.0;710.0;16345.0;9588;3275;1284;203;2492;45;11;2274;4;587;4392;1565;1075;170;1526;33;3;20;0;401;732076;621450;328103;61254;232093;88797;291475;24900;574;42912
13;3;2000;49;2462;1930;1713;86;59;72;532;424;108;1930;1451;102;136;204;37;532;407;4;91;30;77467;76818;649;50142;33915;6025;849;642;6334;2378;13084;1343;2774;1436;463;1140;5928;1848;12393;485;362;12270;2237;2;328;998;174;45;12;505;78;94;76818.0;49156.0;9186.0;10573.0;7903.0;49156.0;989.0;29609.0;383.0;1211.0;2126.0;1049.0;13780.0;11564;2122;1786;1009;1991;49;13;4522;73;707;4196;1241;1478;207;1180;35;4;38;13;700;987742;732612;406443;19594;306575;86939;309054;22566;695;50006
14;3;2001;55;2754;2337;2053;103;69;112;417;347;70;2337;1757;158;147;177;99;417;379;2;16;21;106178;106054;124;71236;47670;7517;1750;66;11237;2997;18656;1966;4257;1496;673;1626;8639;3071;13215;1096;385;12504;4489;3;1215;877;355;114;628;825;120;352;;;;;;;;;;;;;;20335;6018;2478;974;2584;70;4;7568;639;808;5498;2124;1663;142;1066;37;3;185;280;743;568535;414733;184924;15518;214291;107917;221509;15313;488;50264
15;4;1997;18;15267;14119;12328;674;5;1112;1148;915;233;14119;12873;191;47;829;179;1148;1139;3;3;3;475268;475163;105;388739;274708;45225;8581;2874;45901;11450;67589;11773;15755;3012;4737;7347;24965;7312;11629;1707;585;10508;8802;0;430;1362;1938;1154;741;1744;990;444;475163.0;434348.0;386.0;19679.0;20750.0;434348.0;0.0;370413.0;2825.0;3738.0;3967.0;2656.0;50750.0;36412;11878;9817;1854;7980;489;245;2501;1648;10065;18704;5783;8593;782;2204;278;66;619;379;9043;703826;603452;303905;127366;172181;194263;250888;33884;1417;77366
16;4;1998;25;18683;16804;15405;441;13;945;1879;1252;627;16804;15502;266;38;773;225;1879;1856;8;3;12;586911;586368;543;481241;341594;50295;9896;147;63578;15729;82529;10298;14459;3289;5940;6938;41604;8915;14227;2660;1046;12613;11500;780;1262;2150;1900;986;1100;2144;913;265;586369.0;529764.0;53.0;23595.0;32957.0;529764.0;7423.0;457130.0;4045.0;2229.0;1415.0;3232.0;54289.0;46930;15988;15477;1265;9157;445;81;4331;186;11243;19565;5846;9985;737;2514;237;75;64;107;9966;1065667;973694;597178;160852;215664;285240;453367;93310;1180;116223
17;4;1999;22;19351;16885;15296;156;8;1425;2466;2026;440;16885;15892;251;33;667;42;2466;2450;3;2;11;624781;624471;310;502030;354733;61194;9572;180;51085;25267;87791;12274;18584;3318;6348;5634;41633;11051;23910;3133;2709;23485;11615;145;680;1738;2432;444;355;2562;2786;471;624471.0;572073.0;617.0;22958.0;28825.0;572073.0;194.0;511244.0;6767.0;4335.0;2370.0;3819.0;43344.0;51084;16060;12796;3673;10443;473;226;7138;275;9545;19418;5339;10498;835;2061;283;32;370;0;9280;958393;831108;516673;142214;172221;279653;500519;55148;1340;125450
18;4;2000;23;19577;16662;15805;76;7;774;2915;2361;554;16662;15086;290;36;844;406;2915;2834;14;2;65;683008;682493;515;551009;396070;67766;10519;299;63592;12765;97305;13670;23615;2270;9056;6661;42034;11715;22979;6839;2983;19123;18812;403;4309;2977;2906;277;752;4827;1036;1326;682493.0;637230.0;149.0;24011.0;21103.0;637230.0;236.0;535440.0;22904.0;3420.0;3274.0;2212.0;69744.0;51084;16060;12796;3673;10443;473;226;7138;275;10496;22483;7784;11020;653;2734;179;32;75;6;9955;1125692;994324;575462;164048;254814;246823;510021;61282;2379;148610
19;4;2001;25;22526;19425;18093;455;10;867;3101;2302;799;19425;17493;415;83;1072;362;3101;2965;23;2;111;816516;816365;151;648929;465030;71220;11548;299;77509;23323;106100;13875;25423;3003;5632;7497;50670;14897;46591;11124;1994;37461;17545;302;3270;1615;2344;96;584;7245;756;1333;;;;;;;;;;;;;;56994;22507;23096;3005;7686;346;204;150;0;12525;30068;5433;19717;1327;3281;264;46;0;0;12256;1216746;1065826;663951;195671;206204;278782;437765;51245;2472;150590
