ID;Donorregistratie;RegioS;Perioden;DonorregisterVastgelegdeKeuze_1
0;Totaal wel of niet geregistreerd;Nederland;2022;14283
1;Totaal wel of niet geregistreerd;Nederland;2023;14492
2;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2022;1428
3;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2023;1444
4;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2022;2991
5;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2023;3034
6;Totaal wel of niet geregistreerd;West-Nederland (LD);2022;6798
7;Totaal wel of niet geregistreerd;West-Nederland (LD);2023;6907
8;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2022;3066
9;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2023;3106
10;Totaal wel of niet geregistreerd;Groningen (PV);2022;491
11;Totaal wel of niet geregistreerd;Groningen (PV);2023;497
12;Totaal wel of niet geregistreerd;Fryslân (PV);2022;530
13;Totaal wel of niet geregistreerd;Fryslân (PV);2023;536
14;Totaal wel of niet geregistreerd;Drenthe (PV);2022;407
15;Totaal wel of niet geregistreerd;Drenthe (PV);2023;411
16;Totaal wel of niet geregistreerd;Overijssel (PV);2022;942
17;Totaal wel of niet geregistreerd;Overijssel (PV);2023;954
18;Totaal wel of niet geregistreerd;Flevoland (PV);2022;338
19;Totaal wel of niet geregistreerd;Flevoland (PV);2023;347
20;Totaal wel of niet geregistreerd;Gelderland (PV);2022;1711
21;Totaal wel of niet geregistreerd;Gelderland (PV);2023;1734
22;Totaal wel of niet geregistreerd;Utrecht (PV);2022;1091
23;Totaal wel of niet geregistreerd;Utrecht (PV);2023;1108
24;Totaal wel of niet geregistreerd;Noord-Holland (PV);2022;2368
25;Totaal wel of niet geregistreerd;Noord-Holland (PV);2023;2410
26;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2022;3023
27;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2023;3069
28;Totaal wel of niet geregistreerd;Zeeland (PV);2022;316
29;Totaal wel of niet geregistreerd;Zeeland (PV);2023;320
30;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2022;2123
31;Totaal wel of niet geregistreerd;Noord-Brabant (PV);2023;2154
32;Totaal wel of niet geregistreerd;Limburg (PV);2022;943
33;Totaal wel of niet geregistreerd;Limburg (PV);2023;953
34;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2022;113
35;Totaal wel of niet geregistreerd;Oost-Groningen (CR);2023;114
36;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2022;38
37;Totaal wel of niet geregistreerd;Delfzijl en omgeving (CR);2023;38
38;Totaal wel of niet geregistreerd;Overig Groningen (CR);2022;341
39;Totaal wel of niet geregistreerd;Overig Groningen (CR);2023;345
40;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2022;262
41;Totaal wel of niet geregistreerd;Noord-Friesland (CR);2023;266
42;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2022;115
43;Totaal wel of niet geregistreerd;Zuidwest-Friesland (CR);2023;116
44;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2022;153
45;Totaal wel of niet geregistreerd;Zuidoost-Friesland (CR);2023;154
46;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2022;158
47;Totaal wel of niet geregistreerd;Noord-Drenthe (CR);2023;159
48;Totaal wel of niet geregistreerd;Zuidoost-Drenthe (CR);2022;139
