ID;BedrijfstakkenBranchesSBI2008;Perioden;BeloningsverschilTussenManEnVrouw_1
0;A-U Alle economische activiteiten;2008;79.9
1;A-U Alle economische activiteiten;2009;80.2
2;A-U Alle economische activiteiten;2010;81.4
3;A-U Alle economische activiteiten;2011;81.5
4;A-U Alle economische activiteiten;2012;82.3
5;A-U Alle economische activiteiten;2013;83.4
6;A-U Alle economische activiteiten;2014;83.9
7;A-U Alle economische activiteiten;2015;84.0
8;A-U Alle economische activiteiten;2016;84.5
9;A-U Alle economische activiteiten;2017;85.0
10;A-U Alle economische activiteiten;2018;85.3
11;A-U Alle economische activiteiten;2019;85.7
12;A-U Alle economische activiteiten;2020;86.3
13;A-U Alle economische activiteiten;2021;86.8
14;A-U Alle economische activiteiten;2022;87.3
15;A-U Alle economische activiteiten;2023;88.0
16;A-F Landbouw en nijverheid;2008;77.7
17;A-F Landbouw en nijverheid;2009;78.3
18;A-F Landbouw en nijverheid;2010;78.8
19;A-F Landbouw en nijverheid;2011;79.0
20;A-F Landbouw en nijverheid;2012;80.0
21;A-F Landbouw en nijverheid;2013;80.8
22;A-F Landbouw en nijverheid;2014;80.9
23;A-F Landbouw en nijverheid;2015;81.3
24;A-F Landbouw en nijverheid;2016;82.0
25;A-F Landbouw en nijverheid;2017;82.3
26;A-F Landbouw en nijverheid;2018;82.9
27;A-F Landbouw en nijverheid;2019;83.5
28;A-F Landbouw en nijverheid;2020;83.7
29;A-F Landbouw en nijverheid;2021;84.5
30;A-F Landbouw en nijverheid;2022;85.5
31;A-F Landbouw en nijverheid;2023;86.5
32;A Landbouw, bosbouw en visserij;2008;78.1
33;A Landbouw, bosbouw en visserij;2009;78.7
34;A Landbouw, bosbouw en visserij;2010;79.1
35;A Landbouw, bosbouw en visserij;2011;79.2
36;A Landbouw, bosbouw en visserij;2012;79.6
37;A Landbouw, bosbouw en visserij;2013;80.6
38;A Landbouw, bosbouw en visserij;2014;80.1
39;A Landbouw, bosbouw en visserij;2015;81.3
40;A Landbouw, bosbouw en visserij;2016;81.6
41;A Landbouw, bosbouw en visserij;2017;81.6
42;A Landbouw, bosbouw en visserij;2018;81.7
43;A Landbouw, bosbouw en visserij;2019;81.8
44;A Landbouw, bosbouw en visserij;2020;82.6
45;A Landbouw, bosbouw en visserij;2021;82.4
46;A Landbouw, bosbouw en visserij;2022;82.6
