ID;MethodeVanSlibontwatering;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;CorresponderendAantalInstallaties_8;TotaalCapaciteitAlleProcessen_9;BiologischAerobeInstallaties_10;BiologischAnaerobeInstallaties_11;CombinatieAnaeroobAeroobInst_12;NietBiologischeInstallaties_13
0;Natte afvoer;1993;32;0;4;28;21;6;1;29;1457;476;488;400;94
1;Natte afvoer;2015;32;0;4;28;21;6;1;29;1455;473;488;400;94
2;Natte afvoer;1995;27;0;4;23;19;3;1;25;1386;447;445;400;94
3;Natte afvoer;1996;26;0;4;22;17;3;2;24;1373;334;445;500;94
4;Natte afvoer;1997;32;0;8;24;17;4;3;24;1371;322;445;510;94
5;Natte afvoer;1998;33;1;9;23;16;4;3;25;1385;322;445;510;108
6;Natte afvoer;1999;41;1;11;29;22;5;2;30;1497;471;508;410;108
7;Natte afvoer;2000;42;1;12;29;22;5;2;30;1497;471;508;410;108
8;Natte afvoer;2001;38;1;10;27;21;4;2;29;1482;456;508;410;108
9;Natte afvoer;2002;35;1;9;25;19;4;2;27;1461;435;508;410;108
10;Natte afvoer;2003;39;1;11;27;21;4;2;29;1466;440;508;410;108
11;Natte afvoer;2004;37;1;11;25;19;4;2;28;1453;424;508;410;111
12;Natte afvoer;2005;35;1;11;23;17;4;2;26;1378;349;508;410;111
13;Natte afvoer;2006;32;0;11;21;16;4;1;23;990;364;508;10;108
14;Natte afvoer;2007;31;0;11;20;15;4;1;22;853;357;378;10;108
15;Natte afvoer;2008;35;0;12;23;18;4;1;23;775;339;318;10;108
16;Natte afvoer;2009;41;2;13;26;21;4;1;26;805;369;318;10;108
17;Natte afvoer;2010;42;2;13;27;21;4;2;27;850;369;318;55;108
18;Natte afvoer;2011;41;2;12;27;21;4;2;26;830;369;318;55;88
19;Natte afvoer;2012;47;1;13;33;26;5;2;33;1031;505;319;55;153
20;Natte afvoer;2013;46;1;12;33;26;5;2;32;1017;505;319;55;139
21;Natte afvoer;2014;44;2;11;31;25;4;2;30;961;502;266;55;139
22;Natte afvoer;2015;44;2;11;31;25;4;2;30;991;532;266;55;139
23;Natte afvoer;2016;44;2;11;31;24;5;2;30;991;482;316;55;139
24;Droogbedden;1993;22;2;4;15;15;1;0;16;509;495;7;0;6
25;Droogbedden;2015;22;2;4;16;15;1;0;16;509;495;7;0;6
26;Droogbedden;1995;20;2;3;15;14;1;0;16;508;495;7;0;6
27;Droogbedden;1996;18;2;3;13;12;1;0;14;448;435;7;0;6
28;Droogbedden;1997;18;2;3;13;12;1;0;14;452;439;7;0;6
29;Droogbedden;1998;16;1;3;12;11;1;0;13;397;384;7;0;6
30;Droogbedden;1999;17;2;3;12;11;1;0;13;270;257;7;0;6
31;Droogbedden;2000;17;2;3;12;11;1;0;13;270;257;7;0;6
32;Droogbedden;2001;13;2;3;8;7;1;0;9;256;243;7;0;6
33;Droogbedden;2002;14;2;3;9;8;1;0;10;292;278;7;0;6
34;Droogbedden;2003;11;1;2;8;7;1;0;9;416;402;7;0;6
35;Droogbedden;2004;10;1;2;7;6;1;0;8;388;374;7;0;6
36;Droogbedden;2005;8;1;1;6;5;1;0;7;385;371;7;0;6
37;Droogbedden;2006;8;1;1;6;5;1;0;7;385;371;7;0;6
38;Droogbedden;2007;8;1;1;6;5;1;0;7;385;371;7;0;6
39;Droogbedden;2008;8;1;1;6;5;1;0;7;385;371;7;0;6
40;Droogbedden;2009;8;1;1;6;5;1;0;7;385;371;7;0;6
41;Droogbedden;2010;8;1;1;6;5;1;0;7;385;371;7;0;6
42;Droogbedden;2011;8;1;1;6;5;1;0;7;385;371;7;0;6
43;Droogbedden;2012;5;1;1;3;2;1;0;4;18;4;7;0;6
44;Droogbedden;2013;5;1;1;3;2;1;0;4;18;4;7;0;6
45;Droogbedden;2014;5;1;1;3;2;1;0;4;18;4;7;0;6
46;Droogbedden;2015;5;1;1;3;2;1;0;4;18;4;7;0;6
47;Droogbedden;2016;5;1;1;3;2;1;0;4;18;4;7;0;6
48;Lagunes;1993;12;1;0;11;9;0;2;12;364;231;0;132;2
49;Lagunes;2015;12;1;0;11;9;0;2;12;364;231;0;132;2
50;Lagunes;1995;13;1;0;12;9;0;3;13;666;233;0;432;2
51;Lagunes;1996;14;1;0;10;10;0;3;14;686;253;0;432;2
52;Lagunes;1997;14;1;0;13;10;0;3;14;687;254;0;432;2
53;Lagunes;1998;12;1;0;11;8;0;3;12;692;258;0;432;2
54;Lagunes;1999;11;1;0;10;6;0;4;11;718;224;0;492;2
55;Lagunes;2000;11;1;0;10;6;0;4;11;718;224;0;492;2
56;Lagunes;2001;10;0;0;10;6;0;4;10;716;224;0;492;0
57;Lagunes;2002;10;0;0;10;6;0;4;10;716;224;0;492;0
58;Lagunes;2003;11;0;0;11;7;0;4;11;936;444;0;492;0
59;Lagunes;2004;11;0;0;11;7;0;4;11;936;444;0;492;0
60;Lagunes;2005;11;0;0;11;7;0;4;11;936;444;0;492;0
61;Lagunes;2006;10;0;0;10;6;0;4;10;947;455;0;492;0
62;Lagunes;2007;10;0;0;10;6;0;4;10;947;455;0;492;0
63;Lagunes;2008;9;0;0;9;5;0;4;9;929;437;0;492;0
64;Lagunes;2009;9;0;0;9;5;0;4;9;929;437;0;492;0
65;Lagunes;2010;8;0;0;8;5;0;3;8;869;437;0;432;0
66;Lagunes;2011;8;0;0;8;5;0;3;8;869;437;0;432;0
67;Lagunes;2012;9;0;0;9;6;0;3;9;1201;769;0;432;0
68;Lagunes;2013;10;0;0;10;7;0;3;10;1213;781;0;432;0
69;Lagunes;2014;10;0;0;10;7;0;3;10;1213;781;0;432;0
70;Lagunes;2015;10;0;0;10;7;0;3;10;1213;781;0;432;0
71;Lagunes;2016;10;0;0;10;7;0;3;10;1213;781;0;432;0
72;Overige natuurlijke ontwatering;1993;47;4;28;15;11;3;1;15;387;308;42;20;18
73;Overige natuurlijke ontwatering;2015;49;4;30;15;11;3;1;16;523;255;42;160;67
74;Overige natuurlijke ontwatering;1995;47;4;30;13;10;2;1;15;368;106;28;160;74
75;Overige natuurlijke ontwatering;1996;51;4;31;16;12;2;2;17;451;117;28;232;74
76;Overige natuurlijke ontwatering;1997;55;3;34;18;14;2;2;18;723;417;0;232;74
77;Overige natuurlijke ontwatering;1998;52;6;31;15;12;2;1;15;744;588;0;82;74
78;Overige natuurlijke ontwatering;1999;69;10;37;22;17;3;2;21;783;513;0;182;88
79;Overige natuurlijke ontwatering;2000;68;10;36;22;17;3;2;20;781;513;0;182;86
80;Overige natuurlijke ontwatering;2001;66;9;36;21;16;3;2;18;746;478;0;182;86
81;Overige natuurlijke ontwatering;2002;58;10;29;19;14;3;2;18;733;478;0;182;73
82;Overige natuurlijke ontwatering;2003;55;9;27;19;14;3;2;17;525;268;10;182;66
83;Overige natuurlijke ontwatering;2004;56;7;29;20;15;3;2;19;532;275;10;182;66
84;Overige natuurlijke ontwatering;2005;50;8;24;18;15;1;2;18;483;275;10;182;17
85;Overige natuurlijke ontwatering;2006;52;7;25;20;17;1;2;20;506;297;10;182;17
86;Overige natuurlijke ontwatering;2007;51;8;24;19;16;1;2;19;500;291;10;182;17
87;Overige natuurlijke ontwatering;2008;55;7;28;20;17;1;2;22;526;301;10;182;33
88;Overige natuurlijke ontwatering;2009;58;8;28;10;18;2;2;23;575;299;11;232;33
89;Overige natuurlijke ontwatering;2010;58;8;26;24;20;2;2;24;603;328;11;232;32
90;Overige natuurlijke ontwatering;2011;57;8;25;24;20;2;2;24;603;328;11;232;32
91;Overige natuurlijke ontwatering;2012;57;8;23;26;22;1;3;27;702;406;10;239;47
92;Overige natuurlijke ontwatering;2013;56;8;22;26;22;1;3;26;688;406;10;239;33
93;Overige natuurlijke ontwatering;2014;52;7;19;26;22;1;3;26;688;406;10;239;33
94;Overige natuurlijke ontwatering;2015;58;7;21;30;25;2;3;32;732;430;15;239;48
95;Overige natuurlijke ontwatering;2016;59;6;21;32;27;2;3;33;740;438;15;239;48
96;Zeefbandpers;1993;39;0;8;31;25;2;4;35;2791;1474;355;719;244
97;Zeefbandpers;2015;42;0;11;31;25;2;4;37;2853;1517;355;719;263
98;Zeefbandpers;1995;42;0;10;32;24;3;5;38;2884;1272;415;959;239
99;Zeefbandpers;1996;45;0;10;35;26;4;5;41;3092;1475;419;959;239
100;Zeefbandpers;1997;43;0;10;33;25;3;5;39;3043;1630;215;959;239
101;Zeefbandpers;1998;44;0;9;35;28;2;5;40;2924;1665;65;959;236
102;Zeefbandpers;1999;46;0;9;37;30;1;6;41;3374;2132;5;1009;229
103;Zeefbandpers;2000;46;0;9;37;30;1;6;41;3374;2132;5;1009;229
104;Zeefbandpers;2001;45;0;9;36;29;1;6;40;3200;2108;5;859;229
105;Zeefbandpers;2002;43;0;8;35;28;1;6;39;3282;2190;5;859;229
106;Zeefbandpers;2003;46;0;8;38;31;1;6;42;3519;2427;5;859;229
107;Zeefbandpers;2004;48;0;9;39;31;1;7;43;3719;2437;5;1049;229
108;Zeefbandpers;2005;45;0;6;39;31;1;7;41;3691;2437;5;1049;201
109;Zeefbandpers;2006;37;0;4;33;26;1;6;34;3474;2378;5;890;201
110;Zeefbandpers;2007;38;0;5;33;26;1;6;34;3474;2378;5;890;201
111;Zeefbandpers;2008;38;0;5;33;26;1;6;33;3436;2341;5;890;200
112;Zeefbandpers;2009;40;1;6;33;26;1;6;34;3296;2199;5;890;202
113;Zeefbandpers;2010;38;1;6;31;24;1;6;32;3258;2161;5;890;202
114;Zeefbandpers;2011;38;1;6;31;24;1;6;32;3258;2161;5;890;202
115;Zeefbandpers;2012;39;0;6;33;25;1;7;35;2964;1823;5;934;202
116;Zeefbandpers;2013;41;0;7;34;26;1;7;37;2972;1831;5;934;203
117;Zeefbandpers;2014;40;0;6;34;26;1;7;37;2972;1831;5;934;203
118;Zeefbandpers;2015;39;0;6;33;24;1;8;36;2902;1646;5;1049;203
119;Zeefbandpers;2016;37;0;6;31;22;1;8;34;2769;1513;5;1049;203
120;Filterpers;1993;239;4;225;10;10;0;0;20;1176;1122;0;0;54
121;Filterpers;2015;253;4;236;13;13;0;0;22;2643;2589;0;0;54
122;Filterpers;1995;250;5;230;15;15;0;0;26;2788;2732;0;0;57
123;Filterpers;1996;260;6;237;17;17;0;0;28;2839;2783;0;0;57
124;Filterpers;1997;255;6;228;21;19;1;1;32;3121;2838;205;22;57
125;Filterpers;1998;252;6;226;20;18;1;1;29;3027;2774;205;22;27
126;Filterpers;1999;256;7;228;21;17;1;3;30;3025;2372;205;422;27
127;Filterpers;2000;253;7;227;19;15;1;3;28;2885;2232;205;422;27
128;Filterpers;2001;247;7;222;18;14;1;3;26;2835;2182;205;422;27
129;Filterpers;2002;243;7;217;19;15;1;3;27;2874;2212;205;422;36
130;Filterpers;2003;232;7;207;18;14;1;3;24;2610;1956;205;422;28
131;Filterpers;2004;221;6;196;19;14;2;3;23;2620;1966;205;422;28
132;Filterpers;2005;198;5;177;16;12;1;3;20;2601;1949;205;422;27
133;Filterpers;2006;192;5;172;15;11;1;3;21;2603;1949;205;422;29
134;Filterpers;2007;179;5;160;14;10;1;3;20;2573;1919;205;422;29
135;Filterpers;2008;179;5;158;16;11;1;4;23;2663;1923;205;504;32
136;Filterpers;2009;176;7;146;23;18;1;4;28;2934;2142;205;554;34
137;Filterpers;2010;169;7;140;22;17;1;4;28;3192;2397;205;554;38
138;Filterpers;2011;162;6;135;21;16;1;4;27;3172;2377;205;554;38
139;Filterpers;2012;157;5;131;21;17;1;3;24;2967;2199;130;592;45
140;Filterpers;2013;152;5;126;21;17;1;3;25;2967;2199;130;592;46
141;Filterpers;2014;145;5;118;22;18;1;3;26;2967;2199;130;592;46
142;Filterpers;2015;146;6;117;23;18;2;3;25;2866;2099;130;592;45
143;Filterpers;2016;138;6;108;24;19;2;3;24;2855;2088;130;592;45
144;Centrifuge;1993;51;2;12;37;20;8;9;40;3275;1256;647;1074;298
145;Centrifuge;2015;51;2;12;37;19;8;10;40;3383;1204;647;1234;298
146;Centrifuge;1995;51;2;8;41;22;7;12;42;3500;1319;547;1394;240
147;Centrifuge;1996;57;2;9;46;24;8;14;46;3711;1347;547;1577;240
148;Centrifuge;1997;53;1;9;43;22;7;14;44;3843;1374;541;1649;278
149;Centrifuge;1998;54;1;11;42;20;7;15;42;3821;1278;541;1814;188
150;Centrifuge;1999;62;2;15;45;23;6;16;43;3843;1208;481;2004;150
151;Centrifuge;2000;62;2;15;45;23;6;16;43;3843;1208;481;2004;150
152;Centrifuge;2001;66;1;17;48;26;6;16;46;3908;1273;481;2004;150
153;Centrifuge;2002;69;1;18;50;28;6;16;48;3941;1306;481;2004;150
154;Centrifuge;2003;72;2;20;50;28;6;16;48;3941;1306;481;2004;150
155;Centrifuge;2004;71;2;19;50;29;6;15;46;3751;1456;481;1814;0
156;Centrifuge;2005;69;3;19;47;28;4;15;45;3716;1421;481;1814;0
157;Centrifuge;2006;67;3;17;47;29;4;14;45;3519;1383;481;1655;0
158;Centrifuge;2007;64;2;16;46;30;3;13;42;3081;1405;121;1555;0
159;Centrifuge;2008;65;1;15;49;34;3;12;44;3123;1447;161;1515;0
160;Centrifuge;2009;70;1;15;54;36;3;15;46;3708;1391;161;2156;0
161;Centrifuge;2010;71;1;15;55;37;3;15;46;3708;1391;161;2156;0
162;Centrifuge;2011;70;1;15;54;36;3;15;45;3678;1361;161;2156;0
163;Centrifuge;2012;69;1;16;52;35;1;16;45;3779;1635;55;2089;1
164;Centrifuge;2013;70;1;16;53;36;1;16;46;3814;1670;55;2089;1
165;Centrifuge;2014;68;1;16;51;34;1;16;45;3760;1596;55;2089;21
166;Centrifuge;2015;67;1;16;50;33;1;16;44;3740;1576;55;2089;21
167;Centrifuge;2016;65;2;12;51;34;1;16;45;3715;1549;55;2089;23
168;Overige kunstmatige ontwatering;1993;21;2;9;10;9;0;1;13;846;676;0;93;77
169;Overige kunstmatige ontwatering;2015;22;3;9;10;8;0;2;13;933;603;0;253;77
170;Overige kunstmatige ontwatering;1995;25;3;13;9;7;0;2;13;1079;739;0;253;87
