ID;Geslacht;Leeftijd;Herkomstgroepering;Cijfersoort;Perioden;TotaalOpnamen_1;TotaalOpnamenPer1000Inwoners_2;Dagopnamen_3;DagopnamenPer1000Inwoners_4;KlinischeOpnamen_5;KlinOpnamenPer1000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer1000Inwoners_8;GemiddeldeVerpleegduurPerKlinOpname_9
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;1995;2222832.0;143.8;647447.0;41.9;1575385.0;101.9;14598821.0;944.5;9.3
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;1996;2275014.0;146.5;698204.0;45.0;1576810.0;101.5;14666361.0;944.4;9.3
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;1997;2311303.0;148.0;745564.0;47.8;1565739.0;100.3;14253216.0;913.0;9.1
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;1998;2332380.0;148.5;794803.0;50.6;1537577.0;97.9;13777043.0;876.9;9.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;1999;2346064.0;148.4;836648.0;52.9;1509416.0;95.5;13032621.0;824.2;8.6
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2000;2354103.0;147.8;884579.0;55.5;1469524.0;92.3;12304636.0;772.5;8.4
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2001;2440178.0;152.1;982076.0;61.2;1458102.0;90.9;11889627.0;741.1;8.2
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2002;2615990.0;162.0;1106803.0;68.5;1509187.0;93.5;11700003.0;724.6;7.8
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2003;2783018.0;171.5;1214931.0;74.9;1568087.0;96.7;11630869.0;716.9;7.4
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2004;2993687.0;183.9;1345148.0;82.6;1648539.0;101.3;11583194.0;711.6;7.0
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2005;3130192.0;191.8;1437574.0;88.1;1692618.0;103.7;11501518.0;704.9;6.8
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2006;3307964.0;202.4;1568121.0;95.9;1739843.0;106.4;11426069.0;699.1;6.6
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2007;3472447.0;212.0;1688993.0;103.1;1783454.0;108.9;11252116.0;686.9;6.3
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2008;3647542.0;221.8;1804495.0;109.7;1843047.0;112.1;11182721.0;679.9;6.1
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2009;3848546.0;232.9;1941660.0;117.5;1906886.0;115.4;11051523.0;668.7;5.8
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Bevolking totaal;Aantallen;2010;4050247.0;243.8;2075001.0;124.9;1975246.0;118.9;10982216.0;661.0;5.6
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;1995;1900934.0;146.4;553633.0;42.6;1347300.0;103.8;12671917.0;976.0;9.4
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;1996;1939412.0;149.1;594436.0;45.7;1344976.0;103.4;12693974.0;976.2;9.4
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;1997;1964675.0;150.8;632937.0;48.6;1331738.0;102.3;12313228.0;945.4;9.2
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;1998;1976730.0;151.5;673789.0;51.6;1302941.0;99.8;11865265.0;909.2;9.1
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;1999;1979855.0;151.4;706929.0;54.1;1272926.0;97.4;11195613.0;856.2;8.8
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2000;1981594.0;151.2;748326.0;57.1;1233268.0;94.1;10526982.0;803.3;8.5
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2001;2045512.0;155.8;826408.0;63.0;1219103.0;92.9;10139406.0;772.4;8.3
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2002;2185921.0;166.3;928744.0;70.6;1257177.0;95.6;9942681.0;756.3;7.9
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2003;2319357.0;176.2;1015939.0;77.2;1303418.0;99.0;9857002.0;748.9;7.6
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2004;2490768.0;189.1;1122078.0;85.2;1368690.0;103.9;9788414.0;743.0;7.2
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2005;2600298.0;197.3;1199473.0;91.0;1400825.0;106.3;9684441.0;734.7;6.9
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2006;2748515.0;208.4;1311769.0;99.5;1436746.0;109.0;9618189.0;729.4;6.7
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2007;2882490.0;218.6;1412268.0;107.1;1470222.0;111.5;9430509.0;715.1;6.4
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2008;3018513.0;228.8;1504403.0;114.0;1514110.0;114.7;9348887.0;708.5;6.2
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2009;3178548.0;240.7;1616560.0;122.4;1561988.0;118.3;9197716.0;696.6;5.9
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Autochtoon;Aantallen;2010;3339372.0;252.6;1723686.0;130.4;1615686.0;122.2;9124456.0;690.1;5.6
32;Totaal mannen en vrouwen;Totaal alle leeftijden;Allochtoon totaal;Aantallen;1995;321898.0;130.2;93813.0;37.9;228085.0;92.3;1926905.0;779.5;8.4
33;Totaal mannen en vrouwen;Totaal alle leeftijden;Allochtoon totaal;Aantallen;1996;335602.0;132.9;103768.0;41.1;231835.0;91.8;1972388.0;780.8;8.5
