ID;Geslacht;KenmerkenVanPersonen;TypeMaatwerkarrangement;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2015;;
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2015;;
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2015;;
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2016;965695.0;57.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2016;958275.0;56.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2016;1053505.0;62.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2017;967855.0;57.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2017;979220.0;57.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2017;1051520.0;62.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2018;1008860.0;59.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2018;1022445.0;60.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2018;1097855.0;64.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2019;1058270.0;61.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2019;1090980.0;63.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2019;1166485.0;68.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;1e halfjaar 2020;1129465.0;65.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2e halfjaar 2020;1137275.0;65.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2020;1221820.0;70.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2015;755.0;30.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2015;420.0;15.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2015;800.0;30.0
