ID;Geslacht;Leeftijd;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;TotaalJeugdhulpInNatura_2;TotaalJeugdhulpZonderVerblijf_3;UitgevoerdDoorHetWijkOfBuurtteam_4;TotaalNietUitgevoerd_5;AmbulanteJeugdhulpOpLocatieAanbieder_6;DaghulpOpLocatieVanDeAanbieder_7;JeugdhulpInHetNetwerkVanDeJongere_8;TotaalJeugdhulpMetVerblijf_9;Pleegzorg_10;Gezinsgericht_11;GeslotenPlaatsing_12;AnderVerblijfBijJeugdhulpaanbieder_13;TotaalJeugdbescherming_14;TotaalOndertoezichtstelling_15;Ondertoezichtstelling_16;VoorlopigeOndertoezichtstelling_17;TotaalVoogdij_18;ReguliereVoogdij_19;VoorlopigeVoogdij_20;TijdelijkeVoogdij_21;TotaalJeugdreclassering_22;ToezichtEnBegeleidingGedwongenKader_23;ToezichtEnBegeleidingVrijwillig_24;IndividueleTrajectbegeleidingHardeKern_25;IndividueleTrajectbegeleidingCRIEM_26;ScholingsEnTrainingsprogramma_27;GedragsbeinvloedendeMaatregel_28;VoorberGedragsbeinvMaatregel_29
0;Totaal mannen en vrouwen;Totaal;30 juni 2021;293745.0;281250.0;261585.0;40120.0;233605.0;182530.0;20390.0;54785.0;31205.0;16340.0;4295.0;765.0;10800.0;32790.0;22890.0;22530.0;360.0;9905.0;9635.0;110.0;160.0;5245.0;4635.0;540.0;140.0;30.0;;;
1;Totaal mannen en vrouwen;Totaal;31 december 2021;295445.0;283365.0;263935.0;37655.0;237875.0;184940.0;21000.0;56550.0;30980.0;15895.0;4305.0;715.0;11060.0;32050.0;22300.0;21965.0;335.0;9755.0;9495.0;110.0;155.0;5005.0;4475.0;465.0;115.0;25.0;;;
2;Totaal mannen en vrouwen;Totaal;30 juni 2022;299460.0;288760.0;269465.0;39170.0;243655.0;192330.0;21320.0;55570.0;31350.0;16690.0;4295.0;665.0;10740.0;30455.0;20895.0;20635.0;260.0;9565.0;9305.0;110.0;155.0;5035.0;4500.0;500.0;105.0;25.0;;;
3;Totaal mannen en vrouwen;Totaal;31 december 2022;306595.0;296670.0;277640.0;39780.0;251725.0;199595.0;21730.0;56785.0;31190.0;16400.0;4385.0;695.0;10745.0;29205.0;19875.0;19515.0;360.0;9335.0;9085.0;105.0;140.0;4940.0;4345.0;505.0;135.0;25.0;;;
4;Totaal mannen en vrouwen;Totaal;30 juni 2023;307175.0;297680.0;278780.0;40890.0;252290.0;200025.0;23455.0;57440.0;31180.0;16055.0;4505.0;665.0;11145.0;28010.0;18975.0;18715.0;260.0;9040.0;8800.0;110.0;130.0;5015.0;4375.0;535.0;130.0;25.0;;;
5;Totaal mannen en vrouwen;Totaal;31 december 2023;308990.0;299790.0;280935.0;39350.0;255975.0;203390.0;23350.0;59045.0;31210.0;15625.0;4635.0;635.0;11535.0;27295.0;18535.0;18240.0;295.0;8770.0;8520.0;115.0;130.0;5200.0;4570.0;530.0;130.0;35.0;;;
6;Totaal mannen en vrouwen;Totaal;30 juni 2024;326485.0;317460.0;298840.0;36990.0;275345.0;219635.0;24535.0;62455.0;30955.0;15490.0;4715.0;610.0;11400.0;26470.0;18050.0;17775.0;275.0;8425.0;8190.0;110.0;130.0;5470.0;4850.0;555.0;130.0;15.0;;;
7;Totaal mannen en vrouwen;0 jaar;30 juni 2021;1770.0;1520.0;1260.0;400.0;895.0;490.0;20.0;425.0;305.0;180.0;30.0;;100.0;530.0;425.0;375.0;50.0;105.0;70.0;35.0;;;;;;;;;
8;Totaal mannen en vrouwen;0 jaar;31 december 2021;1690.0;1510.0;1265.0;355.0;940.0;515.0;15.0;445.0;300.0;180.0;40.0;;85.0;440.0;350.0;305.0;45.0;90.0;60.0;30.0;;;;;;;;;
9;Totaal mannen en vrouwen;0 jaar;30 juni 2022;1660.0;1470.0;1230.0;310.0;955.0;525.0;40.0;420.0;300.0;175.0;60.0;;70.0;450.0;365.0;315.0;50.0;85.0;40.0;40.0;;;;;;;;;
10;Totaal mannen en vrouwen;0 jaar;31 december 2022;1485.0;1340.0;1080.0;255.0;860.0;500.0;20.0;360.0;315.0;180.0;70.0;;70.0;390.0;300.0;265.0;35.0;90.0;45.0;40.0;;;;;;;;;
11;Totaal mannen en vrouwen;0 jaar;30 juni 2023;970.0;885.0;755.0;175.0;605.0;340.0;15.0;270.0;180.0;110.0;30.0;;40.0;245.0;200.0;190.0;10.0;45.0;35.0;15.0;;;;;;;;;
12;Totaal mannen en vrouwen;0 jaar;31 december 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Totaal mannen en vrouwen;0 jaar;30 juni 2024;1540.0;1385.0;1170.0;260.0;950.0;575.0;25.0;390.0;275.0;165.0;60.0;;60.0;395.0;310.0;280.0;30.0;80.0;45.0;35.0;;;;;;;;;
14;Totaal mannen en vrouwen;1 jaar;30 juni 2021;2585.0;2310.0;1970.0;595.0;1450.0;785.0;110.0;625.0;435.0;330.0;50.0;;60.0;720.0;610.0;595.0;15.0;110.0;100.0;;;;;;;;;;
15;Totaal mannen en vrouwen;1 jaar;31 december 2021;2455.0;2205.0;1885.0;560.0;1395.0;800.0;80.0;580.0;410.0;280.0;45.0;;95.0;665.0;540.0;525.0;15.0;125.0;115.0;;;;;;;;;;
16;Totaal mannen en vrouwen;1 jaar;30 juni 2022;2395.0;2190.0;1905.0;545.0;1435.0;785.0;85.0;625.0;380.0;280.0;50.0;;60.0;600.0;485.0;470.0;15.0;115.0;110.0;;;;;;;;;;
17;Totaal mannen en vrouwen;1 jaar;31 december 2022;2300.0;2105.0;1840.0;505.0;1425.0;785.0;115.0;590.0;360.0;265.0;40.0;;55.0;560.0;470.0;445.0;25.0;90.0;90.0;;;;;;;;;;
18;Totaal mannen en vrouwen;1 jaar;30 juni 2023;2255.0;2105.0;1845.0;530.0;1395.0;805.0;115.0;545.0;360.0;255.0;60.0;;55.0;520.0;445.0;435.0;10.0;75.0;65.0;10.0;;;;;;;;;
19;Totaal mannen en vrouwen;1 jaar;31 december 2023;2170.0;1990.0;1735.0;420.0;1390.0;840.0;85.0;530.0;365.0;245.0;65.0;;70.0;530.0;445.0;440.0;10.0;85.0;70.0;;;;;;;;;;
20;Totaal mannen en vrouwen;1 jaar;30 juni 2024;2250.0;2075.0;1810.0;380.0;1500.0;930.0;75.0;555.0;365.0;225.0;70.0;;80.0;515.0;435.0;425.0;10.0;80.0;75.0;;;;;;;;;;
21;Totaal mannen en vrouwen;2 jaar;30 juni 2021;3685.0;3350.0;2995.0;905.0;2240.0;1195.0;415.0;880.0;465.0;345.0;65.0;;60.0;860.0;705.0;685.0;15.0;160.0;150.0;;;;;;;;;;
22;Totaal mannen en vrouwen;2 jaar;31 december 2021;3880.0;3575.0;3200.0;875.0;2500.0;1335.0;475.0;940.0;515.0;390.0;60.0;;70.0;855.0;690.0;675.0;15.0;165.0;160.0;;;;;;;;;;
23;Totaal mannen en vrouwen;2 jaar;30 juni 2022;3970.0;3725.0;3340.0;885.0;2660.0;1390.0;515.0;1050.0;520.0;400.0;70.0;;55.0;790.0;625.0;610.0;15.0;160.0;155.0;;;;;;;;;;
24;Totaal mannen en vrouwen;2 jaar;31 december 2022;3750.0;3520.0;3170.0;820.0;2530.0;1330.0;475.0;995.0;470.0;340.0;60.0;;75.0;725.0;585.0;565.0;20.0;140.0;130.0;;10.0;;;;;;;;
25;Totaal mannen en vrouwen;2 jaar;30 juni 2023;3715.0;3520.0;3220.0;910.0;2500.0;1330.0;455.0;985.0;445.0;340.0;45.0;;75.0;665.0;540.0;535.0;10.0;125.0;120.0;;;;;;;;;;
26;Totaal mannen en vrouwen;2 jaar;31 december 2023;3590.0;3395.0;3105.0;800.0;2465.0;1380.0;410.0;920.0;420.0;310.0;50.0;;65.0;645.0;555.0;540.0;15.0;90.0;85.0;;;;;;;;;;
27;Totaal mannen en vrouwen;2 jaar;30 juni 2024;3390.0;3200.0;2925.0;635.0;2445.0;1370.0;395.0;895.0;400.0;290.0;65.0;;50.0;635.0;550.0;545.0;;85.0;75.0;;;;;;;;;;
28;Totaal mannen en vrouwen;3 jaar;30 juni 2021;6355.0;6015.0;5580.0;1390.0;4565.0;2180.0;1615.0;1670.0;630.0;490.0;80.0;;65.0;1120.0;915.0;900.0;15.0;205.0;200.0;;;;;;;;;;
29;Totaal mannen en vrouwen;3 jaar;31 december 2021;6230.0;5885.0;5485.0;1270.0;4575.0;2255.0;1555.0;1640.0;580.0;440.0;70.0;;75.0;1065.0;855.0;845.0;10.0;210.0;205.0;;;;;;;;;;
30;Totaal mannen en vrouwen;3 jaar;30 juni 2022;6355.0;6055.0;5650.0;1420.0;4735.0;2345.0;1495.0;1830.0;575.0;435.0;80.0;;70.0;970.0;770.0;760.0;10.0;200.0;190.0;;;;;;;;;;
31;Totaal mannen en vrouwen;3 jaar;31 december 2022;6605.0;6315.0;5895.0;1440.0;4935.0;2455.0;1610.0;1860.0;620.0;455.0;90.0;;85.0;950.0;760.0;745.0;15.0;190.0;190.0;;;;;;;;;;
32;Totaal mannen en vrouwen;3 jaar;30 juni 2023;6555.0;6310.0;5925.0;1455.0;4960.0;2500.0;1645.0;1935.0;600.0;460.0;75.0;;80.0;890.0;705.0;700.0;10.0;185.0;175.0;;;;;;;;;;
33;Totaal mannen en vrouwen;3 jaar;31 december 2023;6245.0;6005.0;5665.0;1365.0;4740.0;2455.0;1580.0;1715.0;555.0;405.0;70.0;;90.0;830.0;670.0;655.0;15.0;160.0;155.0;;;;;;;;;;
34;Totaal mannen en vrouwen;3 jaar;30 juni 2024;6150.0;5920.0;5610.0;1280.0;4730.0;2505.0;1435.0;1725.0;525.0;380.0;65.0;;95.0;780.0;645.0;630.0;15.0;135.0;130.0;;;;;;;;;;
35;Totaal mannen en vrouwen;4 jaar;30 juni 2021;7990.0;7535.0;7055.0;1665.0;5900.0;2990.0;2095.0;2145.0;735.0;575.0;90.0;;80.0;1335.0;1055.0;1040.0;15.0;280.0;275.0;;;;;;;;;;
