ID;Goederenindeling;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3
0;Consumentengoederen;2004;;;
1;Consumentengoederen;2005;;;
2;Consumentengoederen;2006;15.0;0.0;-15.0
3;Consumentengoederen;2007;24.0;0.0;-24.0
4;Consumentengoederen;2008;25.0;1.0;-24.0
5;Consumentengoederen;2009;27.0;0.0;-26.0
6;Kapitaalgoederen;2004;;;
7;Kapitaalgoederen;2005;;;
8;Kapitaalgoederen;2006;19.0;3.0;-16.0
9;Kapitaalgoederen;2007;30.0;1.0;-29.0
10;Kapitaalgoederen;2008;34.0;2.0;-32.0
11;Kapitaalgoederen;2009;32.0;2.0;-31.0
12;Totaal SITC-goederen;2004;78.0;28.0;-50.0
13;Totaal SITC-goederen;2005;126.0;23.0;-103.0
14;Totaal SITC-goederen;2006;107.0;19.0;-88.0
15;Totaal SITC-goederen;2007;153.0;19.0;-134.0
16;Totaal SITC-goederen;2008;174.0;17.0;-157.0
17;Totaal SITC-goederen;2009;209.0;16.0;-193.0
18;0  Voeding en levende dieren;2004;14.0;3.0;-11.0
19;0  Voeding en levende dieren;2005;13.0;0.0;-13.0
20;0  Voeding en levende dieren;2006;13.0;1.0;-12.0
21;0  Voeding en levende dieren;2007;17.0;0.0;-17.0
22;0  Voeding en levende dieren;2008;19.0;0.0;-19.0
23;0  Voeding en levende dieren;2009;19.0;0.0;-19.0
24;1  Dranken en tabak;2004;3.0;0.0;-3.0
25;1  Dranken en tabak;2005;4.0;0.0;-4.0
26;1  Dranken en tabak;2006;5.0;0.0;-5.0
27;1  Dranken en tabak;2007;5.0;0.0;-5.0
28;1  Dranken en tabak;2008;6.0;0.0;-6.0
29;1  Dranken en tabak;2009;5.0;0.0;-5.0
30;2  Grondstoffen, niet eetbaar, behalv...;2004;2.0;22.0;20.0
31;2  Grondstoffen, niet eetbaar, behalv...;2005;1.0;18.0;17.0
32;2  Grondstoffen, niet eetbaar, behalv...;2006;2.0;9.0;7.0
33;2  Grondstoffen, niet eetbaar, behalv...;2007;4.0;13.0;9.0
34;2  Grondstoffen, niet eetbaar, behalv...;2008;4.0;11.0;7.0
35;2  Grondstoffen, niet eetbaar, behalv...;2009;5.0;11.0;6.0
36;3  Minerale brandstoffen, smeermiddel...;2004;0.0;0.0;0.0
37;3  Minerale brandstoffen, smeermiddel...;2005;0.0;0.0;0.0
38;3  Minerale brandstoffen, smeermiddel...;2006;0.0;0.0;0.0
39;3  Minerale brandstoffen, smeermiddel...;2007;0.0;0.0;0.0
40;3  Minerale brandstoffen, smeermiddel...;2008;0.0;0.0;0.0
41;3  Minerale brandstoffen, smeermiddel...;2009;0.0;0.0;0.0
42;4  Dierlijke en plantaardige oliën en...;2004;0.0;0.0;0.0
43;4  Dierlijke en plantaardige oliën en...;2005;0.0;0.0;0.0
44;4  Dierlijke en plantaardige oliën en...;2006;0.0;0.0;0.0
45;4  Dierlijke en plantaardige oliën en...;2007;0.0;0.0;0.0
46;4  Dierlijke en plantaardige oliën en...;2008;0.0;0.0;0.0
47;4  Dierlijke en plantaardige oliën en...;2009;0.0;0.0;0.0
48;5  Chemische producten;2004;4.0;0.0;-4.0
49;5  Chemische producten;2005;5.0;0.0;-5.0
50;5  Chemische producten;2006;6.0;0.0;-6.0
51;5  Chemische producten;2007;7.0;0.0;-7.0
52;5  Chemische producten;2008;8.0;0.0;-8.0
53;5  Chemische producten;2009;10.0;0.0;-10.0
54;6  Fabrikaten, hoofdzakelijk gerang...;2004;12.0;0.0;-12.0
55;6  Fabrikaten, hoofdzakelijk gerang...;2005;15.0;0.0;-15.0
56;6  Fabrikaten, hoofdzakelijk gerang...;2006;17.0;0.0;-17.0
57;6  Fabrikaten, hoofdzakelijk gerang...;2007;25.0;1.0;-24.0
58;6  Fabrikaten, hoofdzakelijk gerang...;2008;32.0;0.0;-32.0
59;6  Fabrikaten, hoofdzakelijk gerang...;2009;60.0;0.0;-60.0
60;7  Machines en vervoermaterieel;2004;27.0;2.0;-25.0
61;7  Machines en vervoermaterieel;2005;72.0;3.0;-69.0
62;7  Machines en vervoermaterieel;2006;46.0;8.0;-38.0
63;7  Machines en vervoermaterieel;2007;69.0;4.0;-65.0
64;7  Machines en vervoermaterieel;2008;75.0;4.0;-71.0
65;7  Machines en vervoermaterieel;2009;78.0;4.0;-74.0
66;8  Diverse gefabriceerde goederen;2004;;;
67;8  Diverse gefabriceerde goederen;2005;16.0;0.0;-16.0
68;8  Diverse gefabriceerde goederen;2006;15.0;0.0;-15.0
69;8  Diverse gefabriceerde goederen;2007;22.0;0.0;-22.0
70;8  Diverse gefabriceerde goederen;2008;24.0;1.0;-23.0
71;8  Diverse gefabriceerde goederen;2009;28.0;0.0;-28.0
72;9  Niet afzonderlijk genoemde goederen;2004;;;
73;9  Niet afzonderlijk genoemde goederen;2005;1.0;1.0;0.0
74;9  Niet afzonderlijk genoemde goederen;2006;3.0;1.0;-2.0
75;9  Niet afzonderlijk genoemde goederen;2007;3.0;1.0;-2.0
76;9  Niet afzonderlijk genoemde goederen;2008;5.0;1.0;-4.0
77;9  Niet afzonderlijk genoemde goederen;2009;3.0;1.0;-3.0
