ID;BrugklasNiveau;Onderwijssoort10JaarNaDeBrugklas;Onderwijssoort10JaarNaDeBrugklas_1;VoltijdOnderwijs10JaarNaDeBrugklas_2;Deeltijdonderwijs10JaarNaDeBrugklas_3
0;Brugklasniveau: Totaal;10 jaar na brugklas: uit onderwijs;54.0;0.0;0.0
1;Brugklasniveau: Totaal;10 jaar na brugklas: VBO;1.0;;79.0
2;Brugklasniveau: Totaal;10 jaar na brugklas: MBO;19.0;45.0;54.0
3;Brugklasniveau: Totaal;10 jaar na brugklas: HBO;16.0;93.0;
4;Brugklasniveau: Totaal;10 jaar na brugklas: WO;6.0;99.0;0.0
5;Brugklasniveau: VBO;10 jaar na brugklas: uit onderwijs;62.0;0.0;0.0
6;Brugklasniveau: VBO;10 jaar na brugklas: VBO;;;
7;Brugklasniveau: VBO;10 jaar na brugklas: MBO;31.0;28.0;71.0
8;Brugklasniveau: VBO;10 jaar na brugklas: HBO;;;
9;Brugklasniveau: VBO;10 jaar na brugklas: WO;;;
10;Brugklasniveau: MAVO;10 jaar na brugklas: uit onderwijs;57.0;0.0;0.0
11;Brugklasniveau: MAVO;10 jaar na brugklas: VBO;;;
12;Brugklasniveau: MAVO;10 jaar na brugklas: MBO;20.0;56.0;44.0
13;Brugklasniveau: MAVO;10 jaar na brugklas: HBO;16.0;99.0;
14;Brugklasniveau: MAVO;10 jaar na brugklas: WO;;;
15;Brugklasniveau: MAVO/HAVO/VWO;10 jaar na brugklas: uit onderwijs;56.0;0.0;0.0
16;Brugklasniveau: MAVO/HAVO/VWO;10 jaar na brugklas: VBO;;;
17;Brugklasniveau: MAVO/HAVO/VWO;10 jaar na brugklas: MBO;19.0;55.0;45.0
18;Brugklasniveau: MAVO/HAVO/VWO;10 jaar na brugklas: HBO;17.0;96.0;
19;Brugklasniveau: MAVO/HAVO/VWO;10 jaar na brugklas: WO;3.0;98.0;
20;Brugklasniveau: HAVO/VWO;10 jaar na brugklas: uit onderwijs;39.0;0.0;0.0
21;Brugklasniveau: HAVO/VWO;10 jaar na brugklas: VBO;;;
22;Brugklasniveau: HAVO/VWO;10 jaar na brugklas: MBO;6.0;;
23;Brugklasniveau: HAVO/VWO;10 jaar na brugklas: HBO;32.0;90.0;
24;Brugklasniveau: HAVO/VWO;10 jaar na brugklas: WO;19.0;99.0;
25;Brugklasniveau: VWO;10 jaar na brugklas: uit onderwijs;29.0;0.0;0.0
26;Brugklasniveau: VWO;10 jaar na brugklas: VBO;0.0;0.0;0.0
27;Brugklasniveau: VWO;10 jaar na brugklas: MBO;;;
28;Brugklasniveau: VWO;10 jaar na brugklas: HBO;;99.0;
29;Brugklasniveau: VWO;10 jaar na brugklas: WO;39.0;99.0;
