ID;Perioden;k_500M3_1;k_2000M3_2;k_50000M3_3;k_150000M3_4;k_250000M3_5;k_500000M3_6;k_1000000M3_7;k_5000000M3_8;k_10000000M3_9;k_25000000M3_10;k_1000000M3_11;k_10000000M3_12;k_25000000M3_13;k_1000000M3_14;k_10000000M3_15;k_25000000M3_16;k_2000KWhEnkeltarief_17;k_2000KWhDubbeltarief_18;k_3000KWhEnkeltarief_19;k_3000KWhDubbeltarief_20;k_50000KWh_21;k_150000KWh_22;k_1500000KWh_23;k_3000000KWh_24;k_500000KWh_25;k_5000000KWh_26;k_10000000KWh_27
0;1996;276;218;208;207;177.0;149.0;134.0;116.0;109.0;98.0;;;;;;;105;100;103;94;96.0;87.0;83.0;82.0;54.0;53.0;52.0
1;1997 1e kwartaal;295;244;239;239;202.0;166.0;147.0;126.0;118.0;108.0;;;;;;;107;101;104;95;97.0;92.0;84.0;83.0;57.0;54.0;53.0
2;1997 2e kwartaal;295;244;239;239;203.0;167.0;150.0;128.0;122.0;111.0;;;;;;;107;101;104;95;97.0;92.0;84.0;83.0;57.0;54.0;53.0
3;1997 3e kwartaal;304;254;248;248;207.0;166.0;145.0;122.0;114.0;103.0;;;;;;;107;102;105;96;97.0;93.0;84.0;83.0;57.0;54.0;54.0
4;1997 4e kwartaal;304;254;248;248;207.0;166.0;145.0;122.0;115.0;103.0;;;;;;;107;102;105;96;97.0;93.0;84.0;83.0;57.0;54.0;54.0
5;1997;299;248;243;243;203.0;164.0;146.0;124.0;117.0;106.0;;;;;;;107;102;104;96;97.0;92.0;84.0;83.0;57.0;54.0;53.0
6;1998 1e kwartaal;301;258;257;257;215.0;173.0;152.0;128.0;121.0;110.0;;;;;;;108;103;105;97;98.0;93.0;84.0;83.0;57.0;54.0;54.0
7;1998 2e kwartaal;301;258;257;257;213.0;170.0;147.0;123.0;116.0;104.0;;;;;;;108;103;105;97;98.0;93.0;84.0;84.0;57.0;54.0;54.0
8;1998 3e kwartaal;289;245;245;245;202.0;160.0;138.0;115.0;108.0;96.0;;;;;;;108;103;105;97;98.0;93.0;84.0;83.0;57.0;54.0;54.0
9;1998 4e kwartaal;289;245;245;245;201.0;157.0;135.0;111.0;103.0;92.0;;;;;;;108;103;105;97;98.0;93.0;84.0;83.0;57.0;54.0;54.0
10;1998;296;253;252;252;205.0;166.0;147.0;124.0;118.0;106.0;;;;;;;108;103;105;97;98.0;93.0;84.0;83.0;57.0;54.0;54.0
11;1999 1e kwartaal;273;253;239;238;194.0;152.0;132.0;106.0;98.0;87.0;;;;;;;114;109;113;103;100.0;94.0;85.0;85.0;58.0;54.0;54.0
12;1999 2e kwartaal;273;253;239;238;193.0;151.0;130.0;103.0;96.0;84.0;;;;;;;114;109;113;103;100.0;94.0;85.0;85.0;58.0;54.0;54.0
13;1999 3e kwartaal;263;243;229;228;188.0;152.0;133.0;109.0;102.0;90.0;;;;;;;114;109;113;104;100.0;94.0;85.0;85.0;58.0;54.0;54.0
14;1999 4e kwartaal;263;243;229;228;194.0;163.0;147.0;126.0;118.0;108.0;;;;;;;114;109;113;104;100.0;94.0;85.0;85.0;58.0;54.0;54.0
15;1999;269;249;236;234;192.0;154.0;135.0;111.0;103.0;92.0;;;;;;;114;109;113;104;100.0;94.0;85.0;85.0;58.0;54.0;54.0
16;2000 1e kwartaal;284;275;250;247;214.0;184.0;169.0;145.0;137.0;126.0;;136.0;133.0;;116.0;113.0;127;121;126;118;102.0;100.0;87.0;;64.0;60.0;
17;2000 2e kwartaal;284;275;250;247;219.0;194.0;182.0;159.0;152.0;141.0;;151.0;148.0;;131.0;128.0;127;121;126;118;102.0;100.0;87.0;;64.0;60.0;
18;2000 3e kwartaal;298;283;257;255;231.0;205.0;192.0;169.0;162.0;151.0;;161.0;158.0;;140.0;137.0;133;127;131;123;106.0;104.0;92.0;;69.0;64.0;
19;2000 4e kwartaal;298;283;257;255;235.0;212.0;201.0;179.0;172.0;161.0;;171.0;168.0;;150.0;147.0;133;127;131;123;106.0;104.0;92.0;;69.0;64.0;
20;2000;290;278;253;250;225.0;199.0;186.0;163.0;156.0;145.0;;155.0;152.0;;134.0;131.0;130;124;128;120;104.0;102.0;89.0;;66.0;62.0;
21;2001 1e kwartaal;436;358;275;270;254.0;232.0;221.0;197.0;190.0;178.0;;188.0;185.0;;167.0;164.0;170;166;162;155;112.0;109.0;92.0;;74.0;67.0;
22;2001 2e kwartaal;426;357;278;273;251.0;226.0;214.0;189.0;182.0;170.0;;164.0;160.0;;143.0;140.0;160;156;152;145;112.0;109.0;92.0;;74.0;67.0;
23;2001 3e kwartaal;440;371;292;287;255.0;221.0;203.0;174.0;166.0;154.0;;165.0;162.0;;144.0;141.0;166;162;159;151;108.0;105.0;88.0;;71.0;64.0;
24;2001 4e kwartaal;429;361;281;276;254.0;218.0;200.0;170.0;162.0;150.0;;155.0;152.0;;135.0;131.0;164;160;156;149;108.0;105.0;88.0;;71.0;64.0;
25;2001;432;361;280;276;254.0;224.0;209.0;182.0;175.0;163.0;;168.0;165.0;;147.0;144.0;165;161;157;150;110.0;107.0;90.0;;73.0;65.0;
26;2002 1e kwartaal;453;387;306;301;261.0;215.0;192.0;;;;156.0;138.0;135.0;135.0;118.0;115.0;166;163;157;151;103.0;;;;;;
27;2002 2e kwartaal;453;387;306;301;259.0;211.0;186.0;;;;159.0;141.0;138.0;139.0;121.0;118.0;166;163;157;151;103.0;;;;;;
28;2002 3e kwartaal;450;386;307;302;263.0;218.0;195.0;;;;174.0;157.0;153.0;154.0;136.0;133.0;170;171;160;159;107.0;;;;;;
29;2002 4e kwartaal;450;386;307;302;267.0;225.0;204.0;;;;180.0;163.0;160.0;160.0;143.0;140.0;170;171;160;159;107.0;;;;;;
30;2002;451;387;306;301;262.0;217.0;194.0;;;;167.0;150.0;147.0;147.0;130.0;127.0;168;167;159;155;105.0;;;;;;
31;2003 1e kwartaal;512;418;326;320;282.0;238.0;216.0;;;;196.0;178.0;175.0;176.0;158.0;155.0;173;172;163;159;;;;;;;
32;2003 2e kwartaal;512;418;326;320;284.0;244.0;224.0;;;;199.0;181.0;178.0;179.0;161.0;158.0;173;172;163;159;;;;;;;
33;2003 3e kwartaal;525;431;339;334;290.0;240.0;215.0;;;;171.0;153.0;150.0;151.0;133.0;130.0;176;173;165;160;;;;;;;
34;2003 4e kwartaal;525;431;339;334;286.0;233.0;207.0;;;;180.0;162.0;159.0;160.0;142.0;138.0;176;172;165;159;;;;;;;
35;2003;517;423;331;326;286.0;239.0;216.0;;;;187.0;169.0;165.0;166.0;149.0;165.0;174;172;164;159;;;;;;;
36;2004 1e kwartaal;551;434;333;327;277.0;227.0;202.0;;;;177.0;158.0;153.0;156.0;138.0;134.0;182;181;170;167;;;;;;;
37;2004 2e kwartaal;551;434;333;327;274.0;220.0;193.0;;;;173.0;155.0;150.0;153.0;135.0;131.0;182;181;170;167;;;;;;;
38;2004 3e kwartaal;565;438;334;328;;;;;;;180.0;162.0;157.0;160.0;142.0;138.0;182;182;171;167;;;;;;;
39;2004 4e kwartaal;565;438;334;328;;;;;;;;;;;;;182;182;171;167;;;;;;;
40;2004;558;436;334;328;;;;;;;;;;;;;182;181;170;167;;;;;;;
41;2005 1e kwartaal;696;499;393;388;;;;;;;;;;;;;196;192;184;178;;;;;;;
42;2005 2e kwartaal;696;499;393;388;;;;;;;;;;;;;196;193;184;179;;;;;;;
43;2005 3e kwartaal;701;503;398;393;;;;;;;;;;;;;197;194;184;179;;;;;;;
44;2005 4e kwartaal;709;511;406;401;;;;;;;;;;;;;198;195;185;180;;;;;;;
45;2005;701;503;398;393;;;;;;;;;;;;;197;194;184;179;;;;;;;
46;2006 1e kwartaal;757;552;462;458;;;;;;;;;;;;;207;205;194;190;;;;;;;
47;2006 2e kwartaal;757;552;462;458;;;;;;;;;;;;;207;205;194;190;;;;;;;
48;2006 3e kwartaal;763;557;467;463;;;;;;;;;;;;;210;208;197;193;;;;;;;
49;2006 4e kwartaal;764;558;468;464;;;;;;;;;;;;;211;209;198;194;;;;;;;
50;2006;760;555;465;461;;;;;;;;;;;;;209;207;196;192;;;;;;;
51;2007 1e kwartaal;803;597;514;510;;;;;;;;;;;;;226;223;213;209;;;;;;;
52;2007 2e kwartaal;804;597;513;510;;;;;;;;;;;;;227;224;214;210;;;;;;;
53;2007 3e kwartaal;775;565;481;478;;;;;;;;;;;;;225;223;212;208;;;;;;;
54;2007 4e kwartaal;774;565;481;478;;;;;;;;;;;;;225;223;212;208;;;;;;;
55;2007;789;581;497;494;;;;;;;;;;;;;226;223;213;209;;;;;;;
56;2008 1e kwartaal;788;576;491;488;;;;;;;;;;;;;227;217;213;203;;;;;;;
57;2008 2e kwartaal;788;577;492;489;;;;;;;;;;;;;227;217;213;203;;;;;;;
58;2008 3e kwartaal;817;622;542;539;;;;;;;;;;;;;232;222;218;208;;;;;;;
59;2008 4e kwartaal;817;622;542;539;;;;;;;;;;;;;233;223;219;209;;;;;;;
60;2008;801;598;516;512;;;;;;;;;;;;;229;219;215;205;;;;;;;
61;2009 1e kwartaal;894;668;578;575;;;;;;;;;;;;;304;300;269;265;;;;;;;
62;2009 2e kwartaal;893;667;577;574;;;;;;;;;;;;;303;299;269;265;;;;;;;
63;2009 3e kwartaal;741;515;425;422;;;;;;;;;;;;;298;294;264;260;;;;;;;
64;2009 4e kwartaal;741;515;425;421;;;;;;;;;;;;;298;294;264;260;;;;;;;
65;2009;817;591;501;498;;;;;;;;;;;;;301;297;267;263;;;;;;;
66;2010 1e kwartaal;748;518;425;422;;;;;;;;;;;;;283;280;250;247;;;;;;;
67;2010 2e kwartaal;748;518;425;422;;;;;;;;;;;;;283;279;250;247;;;;;;;
68;2010 3e kwartaal;780;549;455;452;;;;;;;;;;;;;283;279;250;246;;;;;;;
69;2010 4e kwartaal;781;550;457;453;;;;;;;;;;;;;283;279;250;246;;;;;;;
70;2010;764;534;441;437;;;;;;;;;;;;;283;279;250;247;;;;;;;
71;2011 1e kwartaal;786;546;450;446;;;;;;;;;;;;;287;284;252;249;;;;;;;
72;2011 2e kwartaal;786;546;450;446;;;;;;;;;;;;;287;284;252;249;;;;;;;
73;2011 3e kwartaal;839;598;501;497;;;;;;;;;;;;;289;286;253;251;;;;;;;
74;2011 4e kwartaal;838;597;500;497;;;;;;;;;;;;;288;286;253;250;;;;;;;
75;2011;812;572;475;472;;;;;;;;;;;;;288;285;253;250;;;;;;;
76;2012 1e kwartaal;856;610;511;508;;;;;;;;;;;;;301;299;264;261;;;;;;;
