ID;Slachtdieren;Perioden;AantalSlachtingen_1;GeslachtGewicht_2
0;Rundvee (totaal);1990 januari;193.7;44627.0
1;Rundvee (totaal);1990 februari;160.2;37613.0
2;Rundvee (totaal);1990 maart;189.9;43700.0
3;Rundvee (totaal);1990 april;174.3;39272.0
4;Rundvee (totaal);1990 mei;201.4;44006.0
5;Rundvee (totaal);1990 juni;172.3;38345.0
6;Rundvee (totaal);1990 juli;164.5;36184.0
7;Rundvee (totaal);1990 augustus;180.4;42351.0
8;Rundvee (totaal);1990 september;185.9;44194.0
9;Rundvee (totaal);1990 oktober;219.6;52160.0
10;Rundvee (totaal);1990 november;211.9;51435.0
11;Rundvee (totaal);1990 december;196.0;46848.0
12;Rundvee (totaal);1990;2250.1;520735.0
13;Rundvee (totaal);1991 januari;214.0;52672.0
14;Rundvee (totaal);1991 februari;190.5;46455.0
15;Rundvee (totaal);1991 maart;206.0;50291.0
16;Rundvee (totaal);1991 april;215.1;51034.0
17;Rundvee (totaal);1991 mei;229.2;55019.0
18;Rundvee (totaal);1991 juni;197.5;47136.0
19;Rundvee (totaal);1991 juli;199.9;47374.0
20;Rundvee (totaal);1991 augustus;204.7;50074.0
21;Rundvee (totaal);1991 september;225.6;54802.0
22;Rundvee (totaal);1991 oktober;244.6;59498.0
23;Rundvee (totaal);1991 november;223.0;55675.0
24;Rundvee (totaal);1991 december;218.2;52864.0
25;Rundvee (totaal);1991;2568.3;622894.0
26;Rundvee (totaal);1992 januari;233.8;58114.0
27;Rundvee (totaal);1992 februari;207.5;51624.0
28;Rundvee (totaal);1992 maart;229.8;56255.0
29;Rundvee (totaal);1992 april;215.5;51866.0
30;Rundvee (totaal);1992 mei;215.4;52032.0
31;Rundvee (totaal);1992 juni;220.3;53150.0
32;Rundvee (totaal);1992 juli;200.4;48198.0
33;Rundvee (totaal);1992 augustus;194.7;47633.0
34;Rundvee (totaal);1992 september;223.9;53993.0
35;Rundvee (totaal);1992 oktober;209.9;51662.0
36;Rundvee (totaal);1992 november;217.3;54507.0
37;Rundvee (totaal);1992 december;227.8;56431.0
38;Rundvee (totaal);1992;2596.3;635465.0
39;Rundvee (totaal);1993 januari;198.8;50376.0
40;Rundvee (totaal);1993 februari;192.5;48490.0
41;Rundvee (totaal);1993 maart;234.7;57099.0
42;Rundvee (totaal);1993 april;205.8;50299.0
43;Rundvee (totaal);1993 mei;196.7;47710.0
44;Rundvee (totaal);1993 juni;219.4;53169.0
45;Rundvee (totaal);1993 juli;179.8;43989.0
46;Rundvee (totaal);1993 augustus;193.5;47599.0
47;Rundvee (totaal);1993 september;214.2;51853.0
48;Rundvee (totaal);1993 oktober;202.5;49570.0
49;Rundvee (totaal);1993 november;226.3;56128.0
50;Rundvee (totaal);1993 december;222.5;54975.0
51;Rundvee (totaal);1993;2486.7;611257.0
52;Rundvee (totaal);1994 januari;200.9;51430.0
53;Rundvee (totaal);1994 februari;186.8;46923.0
54;Rundvee (totaal);1994 maart;225.5;55716.0
55;Rundvee (totaal);1994 april;202.2;49010.0
56;Rundvee (totaal);1994 mei;208.4;49900.0
57;Rundvee (totaal);1994 juni;204.9;49633.0
58;Rundvee (totaal);1994 juli;166.8;39479.0
59;Rundvee (totaal);1994 augustus;201.2;49218.0
60;Rundvee (totaal);1994 september;213.3;52292.0
61;Rundvee (totaal);1994 oktober;211.3;52063.0
62;Rundvee (totaal);1994 november;223.6;55477.0
63;Rundvee (totaal);1994 december;212.4;52884.0
64;Rundvee (totaal);1994;2457.3;604025.0
65;Rundvee (totaal);1995 januari;202.9;51355.0
66;Rundvee (totaal);1995 februari;181.7;45460.0
67;Rundvee (totaal);1995 maart;207.0;51530.0
68;Rundvee (totaal);1995 april;174.5;43574.0
69;Rundvee (totaal);1995 mei;215.3;52010.0
70;Rundvee (totaal);1995 juni;189.4;45793.0
71;Rundvee (totaal);1995 juli;159.1;37739.0
72;Rundvee (totaal);1995 augustus;195.4;46541.0
73;Rundvee (totaal);1995 september;206.9;49640.0
74;Rundvee (totaal);1995 oktober;223.2;53901.0
75;Rundvee (totaal);1995 november;221.4;53859.0
76;Rundvee (totaal);1995 december;201.8;48625.0
77;Rundvee (totaal);1995;2378.6;580027.0
78;Rundvee (totaal);1996 januari;206.8;51158.0
79;Rundvee (totaal);1996 februari;183.3;45088.0
80;Rundvee (totaal);1996 maart;189.1;45658.0
81;Rundvee (totaal);1996 april;146.8;36408.0
82;Rundvee (totaal);1996 mei;204.6;50030.0
83;Rundvee (totaal);1996 juni;186.5;45104.0
84;Rundvee (totaal);1996 juli;210.5;49974.0
85;Rundvee (totaal);1996 augustus;194.9;47927.0
86;Rundvee (totaal);1996 september;213.7;51369.0
87;Rundvee (totaal);1996 oktober;225.5;53591.0
88;Rundvee (totaal);1996 november;214.6;51623.0
89;Rundvee (totaal);1996 december;224.1;52177.0
90;Rundvee (totaal);1996;2400.4;580107.0
91;Rundvee (totaal);1997 januari;220.1;52208.0
92;Rundvee (totaal);1997 februari;195.1;44982.0
93;Rundvee (totaal);1997 maart;206.1;46725.0
94;Rundvee (totaal);1997 april;222.8;50277.0
95;Rundvee (totaal);1997 mei;217.1;48287.0
96;Rundvee (totaal);1997 juni;208.1;46378.0
97;Rundvee (totaal);1997 juli;192.0;42541.0
98;Rundvee (totaal);1997 augustus;180.8;40351.0
99;Rundvee (totaal);1997 september;218.1;47834.0
100;Rundvee (totaal);1997 oktober;219.7;50103.0
101;Rundvee (totaal);1997 november;202.1;46211.0
102;Rundvee (totaal);1997 december;221.1;48784.0
103;Rundvee (totaal);1997;2503.1;564681.0
104;Rundvee (totaal);1998 januari;201.8;46745.0
105;Rundvee (totaal);1998 februari;190.3;42552.0
106;Rundvee (totaal);1998 maart;217.8;48493.0
107;Rundvee (totaal);1998 april;200.2;44279.0
108;Rundvee (totaal);1998 mei;201.0;43846.0
109;Rundvee (totaal);1998 juni;202.7;44359.0
110;Rundvee (totaal);1998 juli;185.0;40282.0
111;Rundvee (totaal);1998 augustus;177.1;38958.0
112;Rundvee (totaal);1998 september;208.1;45274.0
113;Rundvee (totaal);1998 oktober;205.2;46002.0
114;Rundvee (totaal);1998 november;206.8;46266.0
115;Rundvee (totaal);1998 december;216.4;47594.0
116;Rundvee (totaal);1998;2412.4;534650.0
117;Rundvee (totaal);1999 januari;181.6;40886.0
118;Rundvee (totaal);1999 februari;171.2;37906.0
119;Rundvee (totaal);1999 maart;221.0;48568.0
120;Rundvee (totaal);1999 april;191.2;41816.0
121;Rundvee (totaal);1999 mei;189.0;40935.0
122;Rundvee (totaal);1999 juni;199.2;43103.0
123;Rundvee (totaal);1999 juli;169.1;36488.0
124;Rundvee (totaal);1999 augustus;182.1;38678.0
125;Rundvee (totaal);1999 september;206.6;44085.0
126;Rundvee (totaal);1999 oktober;194.5;42782.0
127;Rundvee (totaal);1999 november;213.3;46582.0
128;Rundvee (totaal);1999 december;213.2;45812.0
129;Rundvee (totaal);1999;2332.0;507641.0
130;Rundvee (totaal);2000 januari;187.5;41259.0
131;Rundvee (totaal);2000 februari;192.8;41721.0
132;Rundvee (totaal);2000 maart;208.3;44108.0
133;Rundvee (totaal);2000 april;183.7;38488.0
134;Rundvee (totaal);2000 mei;211.1;43706.0
135;Rundvee (totaal);2000 juni;178.5;36544.0
136;Rundvee (totaal);2000 juli;171.9;35173.0
137;Rundvee (totaal);2000 augustus;188.3;38440.0
138;Rundvee (totaal);2000 september;184.2;38510.0
139;Rundvee (totaal);2000 oktober;199.8;41840.0
140;Rundvee (totaal);2000 november;174.6;36487.0
141;Rundvee (totaal);2000 december;166.4;34357.0
142;Rundvee (totaal);2000;2247.1;470633.0
143;Rundvee (totaal);2001 januari;180.9;38630.0
144;Rundvee (totaal);2001 februari;159.7;33489.0
145;Rundvee (totaal);2001 maart;86.5;18774.0
146;Rundvee (totaal);2001 april;20.7;4295.0
147;Rundvee (totaal);2001 mei;117.9;25783.0
148;Rundvee (totaal);2001 juni;145.7;33856.0
149;Rundvee (totaal);2001 juli;141.4;32610.0
150;Rundvee (totaal);2001 augustus;155.3;35871.0
151;Rundvee (totaal);2001 september;163.5;37443.0
152;Rundvee (totaal);2001 oktober;171.8;40372.0
153;Rundvee (totaal);2001 november;166.1;38958.0
154;Rundvee (totaal);2001 december;147.0;31846.0
155;Rundvee (totaal);2001;1656.5;371927.0
156;Rundvee (totaal);2002 januari;165.9;36210.0
157;Rundvee (totaal);2002 februari;143.0;30409.0
158;Rundvee (totaal);2002 maart;158.0;32669.0
159;Rundvee (totaal);2002 april;154.6;31523.0
160;Rundvee (totaal);2002 mei;172.1;35101.0
161;Rundvee (totaal);2002 juni;140.7;28912.0
162;Rundvee (totaal);2002 juli;144.7;28779.0
163;Rundvee (totaal);2002 augustus;141.5;28728.0
164;Rundvee (totaal);2002 september;157.5;31653.0
165;Rundvee (totaal);2002 oktober;173.1;35389.0
166;Rundvee (totaal);2002 november;161.6;32896.0
167;Rundvee (totaal);2002 december;163.3;31682.0
168;Rundvee (totaal);2002;1876.0;383951.0
169;Rundvee (totaal);2003 januari;157.4;32110.0
170;Rundvee (totaal);2003 februari;136.9;27205.0
171;Rundvee (totaal);2003 maart;147.3;28706.0
172;Rundvee (totaal);2003 april;153.1;29927.0
173;Rundvee (totaal);2003 mei;160.2;31414.0
174;Rundvee (totaal);2003 juni;138.7;26839.0
175;Rundvee (totaal);2003 juli;140.1;27080.0
176;Rundvee (totaal);2003 augustus;134.6;27516.0
