ID;RedenBeeindiging;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
0;Totaal;Aa en Hunze;1e halfjaar 2024;250.0;10.0
1;Totaal;Aalsmeer;1e halfjaar 2024;230.0;7.0
2;Totaal;Aalten;1e halfjaar 2024;300.0;11.0
3;Totaal;Achtkarspelen;1e halfjaar 2024;230.0;8.0
4;Totaal;Alblasserdam;1e halfjaar 2024;175.0;9.0
5;Totaal;Albrandswaard;1e halfjaar 2024;155.0;6.0
6;Totaal;Alkmaar;1e halfjaar 2024;1065.0;9.0
7;Totaal;Almelo;1e halfjaar 2024;1040.0;14.0
8;Totaal;Almere;1e halfjaar 2024;1220.0;5.0
9;Totaal;Alphen aan den Rijn;1e halfjaar 2024;620.0;5.0
10;Totaal;Alphen-Chaam;1e halfjaar 2024;70.0;7.0
11;Totaal;Altena;1e halfjaar 2024;515.0;9.0
12;Totaal;Ameland;1e halfjaar 2024;25.0;6.0
13;Totaal;Amersfoort;1e halfjaar 2024;2105.0;13.0
14;Totaal;Amstelveen;1e halfjaar 2024;165.0;2.0
15;Totaal;Amsterdam;1e halfjaar 2024;7030.0;8.0
16;Totaal;Apeldoorn;1e halfjaar 2024;1680.0;10.0
17;Totaal;Arnhem;1e halfjaar 2024;2555.0;15.0
18;Totaal;Assen;1e halfjaar 2024;985.0;14.0
19;Totaal;Asten;1e halfjaar 2024;130.0;8.0
20;Totaal;Baarle-Nassau;1e halfjaar 2024;55.0;7.0
21;Totaal;Baarn;1e halfjaar 2024;230.0;9.0
22;Totaal;Barendrecht;1e halfjaar 2024;300.0;6.0
23;Totaal;Barneveld;1e halfjaar 2024;310.0;5.0
24;Totaal;Beek (L.);1e halfjaar 2024;330.0;20.0
25;Totaal;Beekdaelen;1e halfjaar 2024;355.0;10.0
26;Totaal;Beesel;1e halfjaar 2024;135.0;10.0
27;Totaal;Berg en Dal;1e halfjaar 2024;400.0;11.0
28;Totaal;Bergeijk;1e halfjaar 2024;125.0;6.0
29;Totaal;Bergen (L.);1e halfjaar 2024;200.0;15.0
30;Totaal;Bergen (NH.);1e halfjaar 2024;290.0;10.0
31;Totaal;Bergen op Zoom;1e halfjaar 2024;885.0;13.0
32;Totaal;Berkelland;1e halfjaar 2024;470.0;11.0
33;Totaal;Bernheze;1e halfjaar 2024;255.0;8.0
34;Totaal;Best;1e halfjaar 2024;255.0;8.0
35;Totaal;Beuningen;1e halfjaar 2024;240.0;9.0
36;Totaal;Beverwijk;1e halfjaar 2024;380.0;9.0
37;Totaal;De Bilt;1e halfjaar 2024;355.0;8.0
38;Totaal;Bladel;1e halfjaar 2024;155.0;7.0
39;Totaal;Blaricum;1e halfjaar 2024;90.0;7.0
