ID;Marges;BedrijfstakkenBranchesSBI2008;Perioden;OmzetAfgelopen3Mnd_1;OmzetKomende3Mnd_2;OmzetVolgendJaar_3;BuitenlandseOmzetAfgelopen3Mnd_4;BuitenlandseOmzetKomende3Mnd_5;BuitenlandseOmzetVolgendJaar_6;VerkoopprijzenTarievenKomende3Mnd_7;OrderontvangstAfgelopen3Mnd_8;OrderontvangstKomende3Mnd_9;BuitenlOrderontvKomende3Mnd_10;InkoopordersKomende3Mnd_11;OordeelOrderpositie_12;OordeelVoorradenEindproduct_13;PersoneelssterkteVolgendJaar_14;PersoneelssterkteKomende3Mnd_15;PersoneelssterkteAfgelopen3Mnd_16;InvesteringenVerslagjaar_17;InvesteringenVolgendJaar_18;ConcurrentiepositieNLAfg3Mnd_19;ConcurrentiepositieInEUAfg3Mnd_20;ConcurrentiepositieBuitenEUAfg3Mnd_21;EconomischKlimaatAfgelopen3Mnd_22;EconomischKlimaatKomende3Mnd_23;WinstgevendheidAfgelopen3Mnd_24
0;Waarde;Totaal (ex. financieel of nutsbedrijven);2016 1e kwartaal;25.7;3.1;;9.0;2.6;;15.4;13.9;7.4;5.9;3.7;-3.3;5.8;;1.0;3.3;7.7;;9.6;3.5;2.3;10.2;8.4;11.2
1;Waarde;Totaal (ex. financieel of nutsbedrijven);2016 2e kwartaal;7.0;24.3;;3.4;9.1;;6.8;11.9;16.7;6.2;12.2;-3.5;5.3;;8.4;3.9;7.5;;7.1;2.7;2.1;5.9;9.3;2.3
2;Waarde;Totaal (ex. financieel of nutsbedrijven);2016 3e kwartaal;19.2;8.0;;5.8;2.1;;5.9;15.6;6.6;1.3;6.0;-1.2;5.4;;5.9;10.2;10.0;;5.8;2.2;1.8;7.6;5.4;6.9
3;Waarde;Totaal (ex. financieel of nutsbedrijven);2016 4e kwartaal;8.5;24.5;29.1;3.8;10.0;15.8;9.3;11.9;16.4;7.8;13.4;-0.6;7.9;10.5;5.7;11.3;11.2;7.9;6.2;1.4;1.9;9.5;10.4;5.8
4;Waarde;Totaal (ex. financieel of nutsbedrijven);2017 1e kwartaal;29.7;8.7;;10.6;7.3;;20.5;17.8;12.8;6.8;8.4;1.7;5.2;;8.7;11.1;10.6;;10.0;3.3;3.4;16.9;12.9;15.0
5;Waarde;Totaal (ex. financieel of nutsbedrijven);2017 2e kwartaal;16.8;28.8;;8.6;9.6;;9.9;19.0;22.0;8.6;17.8;2.9;5.1;;16.2;11.6;10.3;;6.9;2.7;2.4;15.0;16.6;7.8
6;Waarde;Totaal (ex. financieel of nutsbedrijven);2017 3e kwartaal;27.2;12.4;;7.9;4.0;;11.3;21.3;11.0;2.7;9.8;5.7;6.7;;14.9;17.0;11.3;;7.8;2.8;2.1;16.7;10.9;11.3
7;Waarde;Totaal (ex. financieel of nutsbedrijven);2017 4e kwartaal;11.4;27.8;30.4;6.6;12.6;14.6;16.4;13.4;22.1;9.2;17.7;5.2;6.6;17.7;14.6;15.1;10.1;10.0;6.8;2.8;1.9;15.4;14.3;9.4
8;Waarde;Totaal (ex. financieel of nutsbedrijven);2018 1e kwartaal;31.1;13.3;;13.4;9.7;;28.5;22.5;16.3;9.8;13.1;9.3;4.9;;16.4;16.9;10.7;;10.6;5.0;3.0;20.1;14.2;17.3
9;Waarde;Totaal (ex. financieel of nutsbedrijven);2018 2e kwartaal;11.1;31.6;;6.7;10.9;;14.0;19.3;22.6;8.5;19.0;9.1;6.8;;20.8;14.7;12.6;;8.3;4.2;3.5;14.8;15.7;6.2
10;Waarde;Totaal (ex. financieel of nutsbedrijven);2018 3e kwartaal;26.3;12.4;;9.8;4.0;;15.5;21.6;13.2;5.6;8.9;11.0;7.4;;18.4;20.1;11.3;;8.4;4.2;2.5;14.3;9.7;12.4
11;Waarde;Totaal (ex. financieel of nutsbedrijven);2018 4e kwartaal;10.5;25.7;30.4;3.6;10.9;14.5;17.4;11.6;15.4;7.3;14.0;7.8;7.0;17.2;15.3;15.7;11.9;8.5;7.3;2.8;2.5;7.3;9.7;2.9
12;Waarde;Totaal (ex. financieel of nutsbedrijven);2019 1e kwartaal;23.6;9.3;;7.3;5.7;;33.3;15.2;9.6;6.5;7.9;6.8;8.6;;12.5;13.0;7.9;;7.8;3.3;2.2;5.7;2.3;10.0
13;Waarde;Totaal (ex. financieel of nutsbedrijven);2019 2e kwartaal;9.4;27.6;;4.2;10.3;;12.7;13.2;16.7;6.7;14.0;5.9;5.9;;18.3;12.2;9.0;;5.8;3.2;1.2;1.6;5.9;3.7
14;Waarde;Totaal (ex. financieel of nutsbedrijven);2019 3e kwartaal;23.7;6.8;;7.3;4.4;;8.9;13.2;7.4;3.3;4.1;4.4;5.9;;11.8;13.0;7.5;;5.3;3.0;2.5;2.3;0.9;7.8
15;Waarde;Totaal (ex. financieel of nutsbedrijven);2019 4e kwartaal;5.5;15.7;18.9;2.5;7.7;10.1;11.2;3.3;6.5;3.0;5.9;0.7;8.3;13.0;8.0;7.6;4.5;5.0;3.2;1.3;1.5;-5.6;-4.7;-0.4
16;Waarde;Totaal (ex. financieel of nutsbedrijven);2020 1e kwartaal;18.2;2.0;;5.5;2.8;;26.6;9.2;7.2;5.4;4.4;2.0;7.3;;9.4;7.3;4.1;;7.0;2.3;1.6;-1.6;-1.6;6.1
17;Waarde;Totaal (ex. financieel of nutsbedrijven);2020 2e kwartaal;-17.3;-54.3;;-12.1;-35.0;;-6.8;-22.1;-58.0;-35.9;-48.8;-29.7;12.8;;-23.4;-5.5;-37.0;;-1.4;-2.2;-2.4;-35.7;-65.5;-27.0
