ID;Regio;GestichtenEnInstellingen_1
0;Nederland;2981
1;Groningen (provincie);106
2;Friesland;112
3;Drenthe;64
4;Overijssel;129
5;Gelderland;413
6;Utrecht (provincie);196
7;Noord-Holland;553
8;Zuid-Holland;432
9;Zeeland;83
10;Noord-Brabant;550
11;Limburg;343
12;Gemeenten met meer dan 100000 inwoners;536
13;Gemeenten met 50001 - 100000 inwoners;341
14;Gemeenten met 20001 - 50000 inwoners;442
15;Gemeenten met 10001 - 20000 inwoners;457
16;Gemeenten met 5001 - 10000 inwoners;527
17;Gemeenten met 2001 - 5000 inwoners;508
18;Gemeenten met 1001 - 2000 inwoners;140
19;Gemeenten met 501 - 1000 inwoners;26
20;Gemeenten met 500 of minder inwoners;4
21;Amsterdam;187
22;Rotterdam;75
23;'s-Gravenhage;99
24;Utrecht;55
25;Haarlem;70
26;Groningen;50
27;Eindhoven;18
28;Nijmegen;59
29;Tilburg;36
30;Arnhem;45
31;Leiden;26
32;Maastricht;40
33;Apeldoorn;30
34;Hilversum;32
35;Dordrecht;17
36;Schiedam;12
37;Enschede;4
38;Delft;22
39;Leeuwarden;26
40;Heerlen;20
41;Breda;39
42;'s-Hertogenbosch;36
43;Velsen;12
44;Emmen;9
45;Zwolle;17
46;Amersfoort;39
47;Kerkrade;11
48;Deventer;14
49;Hengelo (O.);7
50;Zaandam;11
51;Almelo;12
52;Lonneker;4
53;Ede;12
54;Helder (Den);20
55;Gouda;11
56;Alkmaar;20
57;Vlaardingen;4
58;Haarlemmermeer;2
59;Helmond;8
60;Bussum;11
61;Zeist;23
62;Rheden;15
63;Venlo;19
64;Roosendaal en Nispen;11
65;Vlissingen;8
66;Bergen op Zoom;21
