ID;Perioden;JaarmutatieCPI_1;JaarmutatieCPIAfgeleid_2
145;1974 maart;9.2;
146;1974 april;8.9;
147;1974 mei;8.7;
148;1974 juni;8.9;
149;1974 juli;9.5;
150;1974 augustus;9.8;
151;1974 september;10.3;
152;1974 oktober;10.7;
153;1974 november;11.0;
154;1974 december;10.9;
155;1974;9.6;
156;1975 januari;11.1;
157;1975 februari;10.3;
158;1975 maart;10.3;
159;1975 april;10.3;
160;1975 mei;10.4;
161;1975 juni;10.3;
162;1975 juli;10.5;
163;1975 augustus;10.7;
164;1975 september;10.4;
165;1975 oktober;9.9;
166;1975 november;9.4;
167;1975 december;9.1;
168;1975;10.2;
169;1976 januari;8.7;
170;1976 februari;9.4;
171;1976 maart;8.9;
172;1976 april;9.8;
173;1976 mei;9.6;
174;1976 juni;9.4;
175;1976 juli;8.2;
176;1976 augustus;8.3;
177;1976 september;8.1;
178;1976 oktober;8.7;
179;1976 november;8.5;
180;1976 december;8.3;
181;1976;8.8;
182;1977 januari;7.6;
183;1977 februari;7.4;
184;1977 maart;7.3;
185;1977 april;6.8;
186;1977 mei;7.0;
187;1977 juni;7.2;
188;1977 juli;7.5;
189;1977 augustus;6.8;
190;1977 september;6.4;
191;1977 oktober;5.4;
192;1977 november;5.5;
193;1977 december;5.4;
194;1977;6.7;
195;1978 januari;4.6;
196;1978 februari;4.3;
197;1978 maart;4.8;
198;1978 april;3.6;
199;1978 mei;3.5;
200;1978 juni;3.4;
201;1978 juli;4.1;
202;1978 augustus;4.2;
203;1978 september;4.4;
204;1978 oktober;4.2;
205;1978 november;4.0;
206;1978 december;3.9;
207;1978;4.1;
208;1979 januari;4.1;
209;1979 februari;4.2;
210;1979 maart;4.4;
211;1979 april;4.3;
212;1979 mei;4.1;
213;1979 juni;4.2;
214;1979 juli;3.8;
215;1979 augustus;3.8;
216;1979 september;3.9;
217;1979 oktober;4.4;
218;1979 november;4.6;
219;1979 december;4.8;
220;1979;4.2;
221;1980 januari;5.6;
222;1980 februari;5.9;
223;1980 maart;5.9;
224;1980 april;6.4;
225;1980 mei;6.6;
226;1980 juni;6.6;
227;1980 juli;7.1;
228;1980 augustus;7.1;
229;1980 september;7.0;
230;1980 oktober;6.7;
231;1980 november;6.7;
232;1980 december;6.7;
233;1980;6.5;
234;1981 januari;6.9;
235;1981 februari;6.6;
236;1981 maart;6.6;
237;1981 april;6.3;
238;1981 mei;6.5;
239;1981 juni;6.7;
240;1981 juli;6.6;
241;1981 augustus;6.4;
242;1981 september;6.8;
243;1981 oktober;7.1;
244;1981 november;7.3;
245;1981 december;7.2;
246;1981;6.7;
247;1982 januari;7.0;
248;1982 februari;6.8;
249;1982 maart;6.9;
250;1982 april;6.6;
251;1982 mei;6.3;
252;1982 juni;6.5;
253;1982 juli;6.1;
254;1982 augustus;5.9;
255;1982 september;5.4;
256;1982 oktober;4.9;
257;1982 november;4.6;
258;1982 december;4.3;
259;1982;6.0;
260;1983 januari;3.6;
261;1983 februari;3.3;
262;1983 maart;2.7;
263;1983 april;2.7;
264;1983 mei;2.6;
265;1983 juni;2.5;
266;1983 juli;2.4;
267;1983 augustus;2.6;
268;1983 september;2.5;
269;1983 oktober;2.5;
270;1983 november;2.8;
271;1983 december;3.0;
272;1983;2.8;
273;1984 januari;3.3;
274;1984 februari;3.7;
275;1984 maart;3.9;
276;1984 april;3.9;
277;1984 mei;3.7;
278;1984 juni;3.6;
279;1984 juli;3.1;
280;1984 augustus;2.8;
281;1984 september;2.8;
282;1984 oktober;3.1;
283;1984 november;3.0;
284;1984 december;2.8;
285;1984;3.3;
286;1985 januari;2.4;
287;1985 februari;2.2;
288;1985 maart;2.4;
289;1985 april;2.5;
290;1985 mei;2.6;
291;1985 juni;2.5;
292;1985 juli;2.3;
293;1985 augustus;2.3;
294;1985 september;2.3;
295;1985 oktober;1.9;
296;1985 november;1.7;
297;1985 december;1.7;
298;1985;2.3;
299;1986 januari;1.4;
300;1986 februari;1.2;
301;1986 maart;0.7;
302;1986 april;0.6;
303;1986 mei;0.5;
304;1986 juni;0.2;
305;1986 juli;-0.7;
306;1986 augustus;-0.5;
307;1986 september;-0.6;
308;1986 oktober;-0.2;
309;1986 november;-0.2;
310;1986 december;-0.1;
311;1986;0.2;
312;1987 januari;-1.3;
313;1987 februari;-1.2;
314;1987 maart;-1.1;
315;1987 april;-1.1;
316;1987 mei;-1.1;
317;1987 juni;-0.8;
318;1987 juli;0.1;
319;1987 augustus;0.2;
320;1987 september;0.2;
321;1987 oktober;0.1;
322;1987 november;-0.1;
323;1987 december;-0.2;
324;1987;-0.5;
325;1988 januari;0.6;
326;1988 februari;0.5;
327;1988 maart;0.7;
328;1988 april;0.7;
329;1988 mei;0.7;
330;1988 juni;0.8;
331;1988 juli;1.0;
332;1988 augustus;0.9;
333;1988 september;0.9;
334;1988 oktober;0.7;
335;1988 november;1.0;
336;1988 december;1.2;
337;1988;0.7;
338;1989 januari;0.8;
339;1989 februari;0.9;
340;1989 maart;0.8;
341;1989 april;1.1;
342;1989 mei;1.0;
343;1989 juni;1.0;
344;1989 juli;1.1;
345;1989 augustus;1.1;
346;1989 september;1.3;
347;1989 oktober;1.4;
348;1989 november;1.2;
349;1989 december;1.3;
350;1989;1.1;
351;1990 januari;2.2;
352;1990 februari;2.3;
353;1990 maart;2.3;
354;1990 april;2.2;
355;1990 mei;2.3;
356;1990 juni;2.3;
357;1990 juli;2.4;
358;1990 augustus;2.4;
359;1990 september;2.7;
360;1990 oktober;2.9;
361;1990 november;2.8;
362;1990 december;2.6;
363;1990;2.5;
364;1991 januari;3.2;
365;1991 februari;2.9;
366;1991 maart;3.2;
367;1991 april;3.1;
368;1991 mei;3.2;
369;1991 juni;3.4;
370;1991 juli;4.5;
371;1991 augustus;4.6;
372;1991 september;4.4;
373;1991 oktober;4.5;
374;1991 november;4.8;
375;1991 december;4.9;
376;1991;3.9;
377;1992 januari;4.1;
378;1992 februari;4.4;
379;1992 maart;4.2;
380;1992 april;4.4;
381;1992 mei;4.2;
382;1992 juni;4.0;
383;1992 juli;3.1;
384;1992 augustus;3.5;
385;1992 september;3.4;
386;1992 oktober;3.0;
387;1992 november;2.9;
388;1992 december;2.6;
389;1992;3.7;
390;1993 januari;2.5;
391;1993 februari;2.4;
392;1993 maart;2.3;
393;1993 april;2.3;
394;1993 mei;2.3;
395;1993 juni;2.1;
396;1993 juli;2.2;
397;1993 augustus;2.0;
398;1993 september;1.8;
399;1993 oktober;1.9;
400;1993 november;1.7;
401;1993 december;1.7;
402;1993;2.1;
403;1994 januari;2.4;
404;1994 februari;3.0;2.5
405;1994 maart;2.9;2.5
406;1994 april;2.8;2.3
407;1994 mei;2.9;2.5
408;1994 juni;3.0;2.6
409;1994 juli;2.7;2.3
410;1994 augustus;2.6;2.1
411;1994 september;2.7;2.4
412;1994 oktober;2.8;2.4
413;1994 november;2.5;2.2
414;1994 december;2.6;2.2
415;1994;2.7;2.4
416;1995 januari;2.4;2.3
417;1995 februari;2.4;2.2
418;1995 maart;2.3;2.2
419;1995 april;2.3;2.2
420;1995 mei;2.1;2.0
421;1995 juni;2.1;2.0
422;1995 juli;1.8;1.7
423;1995 augustus;1.5;1.4
424;1995 september;1.5;1.4
425;1995 oktober;1.3;1.3
426;1995 november;1.6;1.5
427;1995 december;1.7;1.5
428;1995;2.0;1.8
429;1996 januari;1.9;1.4
430;1996 februari;1.8;1.3
431;1996 maart;2.0;1.5
432;1996 april;2.0;1.5
433;1996 mei;2.0;1.5
434;1996 juni;1.8;1.3
435;1996 juli;2.2;1.6
436;1996 augustus;1.9;1.3
437;1996 september;2.0;1.5
438;1996 oktober;2.4;2.0
439;1996 november;2.3;1.9
440;1996 december;2.5;2.1
441;1996;2.1;1.5
442;1997 januari;2.3;2.3
443;1997 februari;2.2;2.1
444;1997 maart;2.0;1.8
445;1997 april;1.8;1.7
446;1997 mei;2.2;2.0
447;1997 juni;2.2;2.1
448;1997 juli;2.3;2.1
449;1997 augustus;2.6;2.5
450;1997 september;2.6;2.4
451;1997 oktober;2.3;2.2
452;1997 november;2.5;2.3
453;1997 december;2.3;2.1
454;1997;2.2;2.0
455;1998 januari;1.8;1.6
456;1998 februari;2.2;2.0
457;1998 maart;2.3;2.1
458;1998 april;2.4;2.2
459;1998 mei;2.0;1.9
460;1998 juni;2.2;2.0
461;1998 juli;2.0;1.8
462;1998 augustus;1.7;1.5
463;1998 september;1.7;1.4
464;1998 oktober;1.9;1.6
465;1998 november;1.7;1.5
466;1998 december;1.7;1.5
467;1998;2.0;1.7
468;1999 januari;2.2;1.7
469;1999 februari;2.1;1.6
470;1999 maart;2.2;1.6
471;1999 april;2.2;1.7
472;1999 mei;2.3;1.8
473;1999 juni;2.3;1.8
474;1999 juli;2.1;1.5
475;1999 augustus;2.6;2.1
476;1999 september;2.2;1.7
477;1999 oktober;2.1;1.5
478;1999 november;2.2;1.7
479;1999 december;2.2;1.7
480;1999;2.2;1.7
481;2000 januari;2.0;1.5
482;2000 februari;2.0;1.6
483;2000 maart;1.9;1.7
484;2000 april;2.1;1.7
485;2000 mei;2.4;2.0
486;2000 juni;2.7;2.3
487;2000 juli;2.8;2.4
488;2000 augustus;2.5;2.1
489;2000 september;2.9;2.6
490;2000 oktober;3.1;2.9
491;2000 november;3.0;2.8
492;2000 december;2.9;2.5
493;2000;2.6;2.2
494;2001 januari;4.2;3.3
495;2001 februari;4.5;3.3
496;2001 maart;4.6;3.5
497;2001 april;4.9;3.9
498;2001 mei;4.9;3.9
499;2001 juni;4.5;3.5
500;2001 juli;4.6;3.7
501;2001 augustus;4.7;3.7
502;2001 september;4.7;3.7
503;2001 oktober;4.3;3.3
504;2001 november;4.2;3.1
505;2001 december;4.4;3.4
506;2001;4.5;3.6
507;2002 januari;4.0;4.1
508;2002 februari;3.8;3.9
509;2002 maart;3.6;3.7
510;2002 april;3.6;3.6
511;2002 mei;3.3;3.3
512;2002 juni;3.4;3.4
513;2002 juli;3.4;3.4
514;2002 augustus;3.3;3.3
515;2002 september;3.3;3.3
516;2002 oktober;3.2;3.1
517;2002 november;3.1;3.2
518;2002 december;3.1;3.1
519;2002;3.4;3.4
520;2003 januari;2.4;2.1
521;2003 februari;2.4;2.1
522;2003 maart;2.4;2.3
523;2003 april;2.1;1.9
524;2003 mei;2.0;1.8
525;2003 juni;2.0;1.6
526;2003 juli;2.1;2.0
527;2003 augustus;2.1;2.0
528;2003 september;2.0;1.9
529;2003 oktober;2.0;1.8
530;2003 november;2.0;1.8
531;2003 december;1.7;1.5
532;2003;2.1;1.9
533;2004 januari;1.3;1.2
534;2004 februari;1.2;1.0
535;2004 maart;1.1;0.8
536;2004 april;1.4;0.9
537;2004 mei;1.5;1.2
538;2004 juni;1.4;1.0
539;2004 juli;1.1;0.6
540;2004 augustus;1.1;0.6
541;2004 september;1.0;0.5
542;2004 oktober;1.4;0.8
543;2004 november;1.3;0.8
544;2004 december;1.2;0.6
545;2004;1.2;0.9
546;2005 januari;1.5;1.0
547;2005 februari;1.6;1.2
548;2005 maart;1.8;1.4
549;2005 april;1.5;1.3
550;2005 mei;1.3;1.0
551;2005 juni;1.6;1.4
552;2005 juli;1.6;1.4
553;2005 augustus;1.8;1.6
554;2005 september;1.8;1.5
555;2005 oktober;1.6;1.5
556;2005 november;1.8;1.5
557;2005 december;2.0;1.8
558;2005;1.7;1.4
559;2006 januari;1.3;1.6
560;2006 februari;1.1;1.5
561;2006 maart;1.0;1.4
562;2006 april;1.2;1.7
563;2006 mei;1.2;1.8
564;2006 juni;1.3;1.7
565;2006 juli;1.3;1.7
566;2006 augustus;1.4;1.8
567;2006 september;1.1;1.4
568;2006 oktober;0.9;1.3
569;2006 november;1.0;1.3
570;2006 december;1.1;1.5
571;2006;1.1;1.5
572;2007 januari;1.4;1.2
573;2007 februari;1.5;1.3
574;2007 maart;1.8;1.6
575;2007 april;1.8;1.6
576;2007 mei;1.8;1.6
577;2007 juni;1.7;1.6
578;2007 juli;1.5;1.3
579;2007 augustus;1.1;1.0
580;2007 september;1.3;1.2
581;2007 oktober;1.6;1.5
582;2007 november;1.9;1.8
583;2007 december;1.9;1.7
584;2007;1.6;1.5
585;2008 januari;2.0;1.9
586;2008 februari;2.2;2.1
587;2008 maart;2.2;2.0
588;2008 april;2.0;1.9
589;2008 mei;2.3;2.1
590;2008 juni;2.6;2.4
591;2008 juli;3.2;2.9
592;2008 augustus;3.2;3.0
593;2008 september;3.1;2.8
594;2008 oktober;2.8;2.5
595;2008 november;2.3;1.8
596;2008 december;1.9;1.5
597;2008;2.5;2.2
598;2009 januari;1.9;1.4
599;2009 februari;2.0;1.5
600;2009 maart;2.0;1.5
601;2009 april;1.8;1.4
602;2009 mei;1.6;1.2
603;2009 juni;1.4;1.1
604;2009 juli;0.2;-0.1
605;2009 augustus;0.3;0.0
606;2009 september;0.4;0.1
607;2009 oktober;0.7;0.4
608;2009 november;1.0;0.8
609;2009 december;1.1;1.0
610;2009;1.2;0.9
611;2010 januari;0.8;0.7
612;2010 februari;0.8;0.7
613;2010 maart;1.0;0.8
614;2010 april;1.1;0.9
615;2010 mei;1.0;0.7
616;2010 juni;0.8;0.6
617;2010 juli;1.6;1.4
618;2010 augustus;1.5;1.3
619;2010 september;1.6;1.4
620;2010 oktober;1.6;1.4
621;2010 november;1.6;1.4
622;2010 december;1.9;1.7
623;2010;1.3;1.1
624;2011 januari;2.0;1.9
625;2011 februari;1.9;1.9
626;2011 maart;2.0;1.9
627;2011 april;2.1;2.0
628;2011 mei;2.3;2.2
629;2011 juni;2.3;2.1
630;2011 juli;2.6;2.4
631;2011 augustus;2.6;2.4
632;2011 september;2.7;2.5
633;2011 oktober;2.6;2.3
634;2011 november;2.6;2.3
635;2011 december;2.4;2.1
636;2011;2.3;2.2
637;2012 januari;2.5;2.2
638;2012 februari;2.5;2.2
639;2012 maart;2.5;2.2
640;2012 april;2.4;2.1
641;2012 mei;2.1;1.9
642;2012 juni;2.1;2.0
643;2012 juli;2.3;2.1
644;2012 augustus;2.3;2.1
645;2012 september;2.3;2.1
646;2012 oktober;2.9;2.0
647;2012 november;2.8;1.9
648;2012 december;2.9;2.0
649;2012;2.5;2.1
650;2013 januari;3.0;1.6
651;2013 februari;3.0;1.6
652;2013 maart;2.9;1.5
653;2013 april;2.6;1.2
654;2013 mei;2.8;1.3
655;2013 juni;2.9;1.4
656;2013 juli;3.1;1.7
657;2013 augustus;2.8;1.4
658;2013 september;2.4;1.1
659;2013 oktober;1.6;0.9
660;2013 november;1.5;0.8
661;2013 december;1.7;1.0
662;2013;2.5;1.3
663;2014 januari;1.4;1.0
664;2014 februari;1.1;0.7
665;2014 maart;0.8;0.4
666;2014 april;1.2;0.8
667;2014 mei;0.8;0.5
668;2014 juni;0.9;0.6
669;2014 juli;0.9;0.6
670;2014 augustus;1.0;0.6
671;2014 september;0.9;0.6
672;2014 oktober;1.1;0.7
673;2014 november;1.0;0.6
674;2014 december;0.7;0.4
675;2014;1.0;0.6
676;2015 januari;0.0;-0.1
677;2015 februari;0.2;0.0
678;2015 maart;0.4;0.2
679;2015 april;0.6;0.4
680;2015 mei;1.1;1.0
681;2015 juni;1.0;0.8
682;2015 juli;1.0;0.8
683;2015 augustus;0.8;0.6
684;2015 september;0.6;0.4
685;2015 oktober;0.6;0.4
686;2015 november;0.7;0.4
687;2015 december;0.7;0.5
688;2015;0.6;0.5
689;2016 januari;0.6;0.5
690;2016 februari;0.6;0.6
691;2016 maart;0.6;0.5
692;2016 april;0.0;-0.1
693;2016 mei;0.0;-0.1
694;2016 juni;0.0;0.0
695;2016 juli;-0.2;-0.3
696;2016 augustus;0.2;0.1
697;2016 september;0.1;0.0
698;2016 oktober;0.4;0.4
699;2016 november;0.6;0.6
700;2016 december;1.0;0.9
701;2016;0.3;0.3
702;2017 januari;1.7;1.6
703;2017 februari;1.8;1.7
704;2017 maart;1.1;1.1
705;2017 april;1.6;1.6
706;2017 mei;1.1;1.0
707;2017 juni;1.1;1.1
708;2017 juli;1.3;1.4
709;2017 augustus;1.4;1.4
710;2017 september;1.5;1.5
711;2017 oktober;1.3;1.3
712;2017 november;1.5;1.5
713;2017 december;1.3;1.2
714;2017;1.4;1.4
715;2018 januari;1.5;1.3
716;2018 februari;1.2;1.0
717;2018 maart;1.0;0.8
718;2018 april;1.1;0.8
719;2018 mei;1.7;1.4
720;2018 juni;1.7;1.3
721;2018 juli;2.1;1.7
722;2018 augustus;2.1;1.7
723;2018 september;1.9;1.5
724;2018 oktober;2.1;1.7
725;2018 november;2.0;1.6
726;2018 december;2.0;1.5
727;2018;1.7;1.4
728;2019 januari;2.2;1.0
729;2019 februari;2.6;1.4
730;2019 maart;2.8;1.7
731;2019 april;2.9;1.8
732;2019 mei;2.4;1.4
733;2019 juni;2.7;1.6
734;2019 juli;2.5;1.5
735;2019 augustus;2.8;1.8
736;2019 september;2.6;1.6
737;2019 oktober;2.7;1.7
738;2019 november;2.6;1.6
739;2019 december;2.7;1.7
740;2019;2.6;1.6
741;2020 januari;1.8;2.0
742;2020 februari;1.6;1.7
743;2020 maart;1.4;1.5
744;2020 april;1.2;1.3
745;2020 mei;1.2;1.1
746;2020 juni;1.6;1.4
747;2020 juli;1.7;1.6
748;2020 augustus;0.7;0.6
749;2020 september;1.1;1.0
750;2020 oktober;1.2;1.1
751;2020 november;0.8;0.7
752;2020 december;1.0;0.9
753;2020;1.3;1.2
754;2021 januari;1.6;1.2
755;2021 februari;1.8;1.5
756;2021 maart;1.9;1.5
757;2021 april;1.9;1.5
758;2021 mei;2.1;1.9
759;2021 juni;2.0;1.9
760;2021 juli;1.4;1.3
761;2021 augustus;2.4;2.3
762;2021 september;2.7;2.6
763;2021 oktober;3.4;3.3
764;2021 november;5.2;5.0
765;2021 december;5.7;5.6
766;2021;2.7;2.5
767;2022 januari;6.4;7.4
768;2022 februari;6.2;7.1
769;2022 maart;9.7;10.7
770;2022 april;9.6;10.9
771;2022 mei;8.8;10.1
772;2022 juni;8.6;9.9
773;2022 juli;10.3;12.4
774;2022 augustus;12.0;14.3
775;2022 september;14.5;17.2
776;2022 oktober;14.3;16.9
777;2022 november;9.9;12.1
778;2022 december;9.6;11.8
779;2022;10.0;11.8
780;2023 januari;7.6;7.6
781;2023 februari;8.0;8.0
782;2023 maart;4.4;4.5
783;2023 april;5.2;5.0
784;2023 mei;6.1;5.8
785;2023 juni;5.7;5.4
786;2023 juli;4.6;3.3
787;2023 augustus;3.0;1.6
788;2023 september;0.2;-1.4
789;2023 oktober;-0.4;-2.0
790;2023 november;1.6;0.2
791;2023 december;1.2;-0.2
792;2023;3.8;3.0
793;2024 januari;3.2;2.4
794;2024 februari;2.8;2.1
795;2024 maart;3.1;2.3
796;2024 april;2.7;1.9
797;2024 mei;2.7;1.9
798;2024 juni;3.2;2.1
799;2024 juli;3.7;2.7
800;2024 augustus;3.6;2.6
801;2024 september;3.5;2.5
802;2024 oktober;3.5;2.6
803;2024 november;4.0;3.1
804;2024 december;4.1;3.1
805;2024;3.3;2.4
806;2025 januari;3.3;2.7
807;2025 februari;3.8;3.2
808;2025 maart;3.7;3.1
