ID;Grootteklasse;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;InkoopwaardeHandelsgoederen_14;TotaleOverigeInkoopwaarde_15;KostenUitbesteedWerk_16;NietEerderGenoemdeInkoopwaarde_17;TotaleArbeidskosten_18;BrutoLonenEnSalarissen_19;SocialeVerzekeringspremiesWerkgever_20;PremiesPensioenVUTInkoopsommen_21;OverigeSocialeLasten_22;AfschrijvingenOpVasteActiva_23;TotaleOverigeBedrijfskosten_24;Verkoopkosten_25;TotaleKostenEnergieverbruik_26;KostenAardgasverbruik_27;KostenElektriciteitsverbruik_28;KostenVerbruikOverigeEnergie_29;TotaleKostenDienstverleningDerden_30;AccountantsEnAdvieskosten_31;Automatiseringskosten_32;OverigeKostenDienstverleningDerden_33;TotaleOverigePersoneelskosten_34;BetaaldeBedragenAanUitzendbedrijven_35;KostenIngehuurdPersoneel_36;KostenStudieOfOpleiding_37;NietEerderGenoemdePersoneelskosten_38;KostenVervoermiddelen_39;TotaleHuisvestingskosten_40;KostenHuurLeaseGebouwenEnTerreinen_41;KostenOnderhoudGebouwenEnTerreinen_42;SchoonmaakkostenGebouwenEnTerreinen_43;OverigeHuisvestingskosten_44;KostenMachinesEnInstallaties_45;Communicatiekosten_46;NietEerderGenoemdeBedrijfslasten_47;Bedrijfsresultaat_48;SaldoFinancieleBatenEnLasten_49;FinancieleBaten_50;FinancieleLasten_51;SaldoVoorzieningen_52;OnttrekkingenVrijvalVanVoorzieningen_53;ToevoegingenAanVoorzieningen_54;SaldoBuitengewoneBatenEnLasten_55;BuitengewoneBaten_56;BuitengewoneLasten_57;ResultaatVoorBelastingen_58
0;Alle bedrijven;2000;1720;31.5;28.3;28.6;26.0;3617;3303;3042;262;314;3498;1004;240;604;160;;;1287;1085;102;78;22;118;1088;138;26;;;;129;;;;309;;;;;20;133;;;;;73;24;236;119;34;86;52;-10;15;25;12;59;47;156
1;Alle bedrijven;2001;1525;31.7;28.8;29.5;26.5;3506;3104;2814;290;401;3402;848;161;459;230;138.0;92.0;1296;1076;99;103;18;172;1085;213;27;9.0;17.0;1.0;151;26.0;16.0;109.0;243;110.0;64.0;19.0;52.0;16;112;57.0;18.0;10.0;27.0;70;29;224;104;-40;62;102;-66;39;106;23;71;48;21
2;Alle bedrijven;2002;1705;30.0;26.59;27.0;24.51;2995;2613;2549;64;382;2912;532;307;47;178;113.0;65.0;1373;1109;110;133;21;161;845;91;32;12.0;18.0;2.0;144;26.0;19.0;99.0;182;59.0;51.0;16.0;56.0;18;129;73.0;21.0;12.0;23.0;54;35;160;83;6;41;35;-78;37;115;-49;17;66;-38
3;Alle bedrijven;2003;1835;31.4;27.3;29.2;25.5;3095;2888;2629;259;208;3007;561;244;135;182;131.0;51.0;1442;1132;110;174;26;165;839;97;29;10.0;17.0;1.0;102;33.0;19.0;50.0;168;40.0;57.0;15.0;56.0;18;145;82.0;22.0;12.0;29.0;49;30;201;88;7;54;47;-2;43;45;1;15;14;94
4;Alle bedrijven;2004;1985;30.5;26.4;28.0;24.3;2947;2742;2566;176;205;2899;530;195;135;201;132.0;69.0;1385;1117;117;131;21;132;852;87;29;10.0;18.0;1.0;107;30.0;21.0;56.0;161;38.0;57.0;12.0;53.0;18;149;82.0;24.0;14.0;29.0;65;35;201;49;-7;94;100;-8;31;39;50;60;10;84
5;Alle bedrijven;2005;2115;29.0;26.0;28.0;25.0;3025;2794;2584;209;231;2988;558;231;111;215;149.0;66.0;1439;1152;118;143;26;129;862;106;26;10.0;15.0;1.0;121;29.0;20.0;72.0;136;35.0;32.0;12.0;57.0;19;163;94.0;25.0;15.0;29.0;57;26;208;37;22;130;109;0;32;33;52;59;7;111
6;100 en meer werknemers;2000;40;21.5;20.1;20.0;18.7;2867;2606;2361;244;262;2755;826;171;550;105;46.0;59.0;990;838;73;62;17;94;845;113;18;4.0;8.0;5.0;106;10.0;12.0;84.0;246;107.0;26.0;15.0;99.0;10;89;25.0;19.0;8.0;37.0;63;18;182;113;35;74;39;-8;14;22;11;57;46;151
7;100 en meer werknemers;2001;40;22.4;20.8;20.9;19.4;2772;2439;2163;276;332;2697;664;94;438;131;64.0;67.0;1033;857;74;88;14;144;856;180;20;7.0;12.0;0.0;123;14.0;13.0;96.0;189;96.0;40.0;16.0;37.0;9;79;35.0;15.0;8.0;21.0;58;22;176;75;-41;50;91;-68;33;101;20;64;44;-14
8;100 en meer werknemers;2002;45;21.0;19.6;20.0;18.44;2352;2056;2009;47;295;2291;409;248;37;124;79.0;45.0;1088;874;81;116;17;129;665;69;24;9.0;14.0;1.0;119;17.0;14.0;88.0;139;47.0;38.0;12.0;42.0;13;95;48.0;16.0;10.0;21.0;45;24;137;61;4;32;28;-77;35;112;-48;14;62;-60
9;100 en meer werknemers;2003;50;20.8;18.9;20.2;18.3;2216;2074;1952;122;143;2168;385;128;119;138;103.0;35.0;1108;858;79;153;19;113;561;62;21;7.0;13.0;1.0;74;21.0;14.0;39.0;111;28.0;29.0;12.0;42.0;11;103;55.0;18.0;10.0;20.0;39;16;124;48;5;23;18;-4;41;44;2;8;6;51
