ID;Bedrijfsomvang;BedrijfstakBranchesSBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;Alle bedrijven;45;2004 1e kwartaal;88;2.1
1;Alle bedrijven;45;2004 2e kwartaal;107;-3.0
2;Alle bedrijven;45;2004 3e kwartaal;95;-1.3
3;Alle bedrijven;45;2004 4e kwartaal;127;4.3
4;Alle bedrijven;45;2004;104;0.6
5;Alle bedrijven;45;2005 1e kwartaal;86;-2.3
6;Alle bedrijven;45;2005 2e kwartaal;116;8.9
7;Alle bedrijven;45;2005 3e kwartaal;103;8.7
8;Alle bedrijven;45;2005 4e kwartaal;135;6.2
9;Alle bedrijven;45;2005;110;5.6
10;Alle bedrijven;45;2006 1e kwartaal;96;11.2
11;Alle bedrijven;45;2006 2e kwartaal;124;6.8
12;Alle bedrijven;45;2006 3e kwartaal;111;6.9
13;Alle bedrijven;45;2006 4e kwartaal;148;9.9
14;Alle bedrijven;45;2006;120;8.6
15;Alle bedrijven;45;2007 1e kwartaal;110;14.1
16;Alle bedrijven;45;2007 2e kwartaal;136;9.7
17;Alle bedrijven;45;2007 3e kwartaal;121;9.2
18;Alle bedrijven;45;2007 4e kwartaal;159;7.5
19;Alle bedrijven;45;2007;131;9.8
20;Alle bedrijven;45;2008 1e kwartaal;123;12.4
21;Alle bedrijven;45;2008 2e kwartaal;152;12.0
22;Alle bedrijven;45;2008 3e kwartaal;134;11.2
23;Alle bedrijven;45;2008 4e kwartaal;168;5.8
24;Alle bedrijven;45;2008;145;10.0
25;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2004 1e kwartaal;88;1.6
26;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2004 2e kwartaal;107;-2.0
27;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2004 3e kwartaal;92;1.9
28;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2004 4e kwartaal;123;5.6
29;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2004;103;1.8
30;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2005 1e kwartaal;84;-4.6
31;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2005 2e kwartaal;116;8.1
32;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2005 3e kwartaal;98;6.1
33;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2005 4e kwartaal;130;5.7
34;Alle bedrijven;4511a Burgerlijke en Utiliteitsbouw;2005;107;4.2
