ID;Toepassingsgroepen;Perioden;AfzetWerkzameStof_1;AfzetWerkzameStofIndexcijfer_2
0;Totaal van alle werkzame stoffen;2010;9545.0;87.0
1;Totaal van alle werkzame stoffen;2011;10919.0;100.0
2;Totaal van alle werkzame stoffen;2012;11318.0;104.0
3;Totaal van alle werkzame stoffen;2013;10692.0;98.0
4;Totaal van alle werkzame stoffen;2014;10626.0;97.0
5;Totaal van alle werkzame stoffen;2015;10008.0;92.0
6;Totaal van alle werkzame stoffen;2016;10770.0;99.0
7;Totaal van alle werkzame stoffen;2017;10566.0;97.0
8;Totaal van alle werkzame stoffen;2018;9403.0;86.0
9;Totaal van alle werkzame stoffen;2019;9216.0;84.0
10;Totaal van alle werkzame stoffen;2020;9884.0;91.0
11;Totaal van alle werkzame stoffen;2021;9397.0;86.0
12;Totaal van alle werkzame stoffen;2022;8991.0;82.0
13;Totaal van alle werkzame stoffen;2023;7506.0;69.0
14;F Schimmel-en bacteriënbestrijding;2010;3641.0;86.0
15;F Schimmel-en bacteriënbestrijding;2011;4247.0;100.0
16;F Schimmel-en bacteriënbestrijding;2012;4657.0;110.0
17;F Schimmel-en bacteriënbestrijding;2013;4322.0;102.0
18;F Schimmel-en bacteriënbestrijding;2014;4897.0;115.0
19;F Schimmel-en bacteriënbestrijding;2015;4411.0;104.0
20;F Schimmel-en bacteriënbestrijding;2016;4868.0;115.0
21;F Schimmel-en bacteriënbestrijding;2017;4722.0;111.0
22;F Schimmel-en bacteriënbestrijding;2018;4291.0;101.0
23;F Schimmel-en bacteriënbestrijding;2019;3886.0;92.0
24;F Schimmel-en bacteriënbestrijding;2020;4001.0;94.0
25;F Schimmel-en bacteriënbestrijding;2021;3302.0;78.0
26;F Schimmel-en bacteriënbestrijding;2022;2968.0;70.0
27;F Schimmel-en bacteriënbestrijding;2023;2481.0;58.0
28;H Onkruidbestrijding en loofdoding;2010;2636.0;88.0
29;H Onkruidbestrijding en loofdoding;2011;3011.0;100.0
30;H Onkruidbestrijding en loofdoding;2012;3029.0;101.0
31;H Onkruidbestrijding en loofdoding;2013;2751.0;91.0
32;H Onkruidbestrijding en loofdoding;2014;3247.0;108.0
33;H Onkruidbestrijding en loofdoding;2015;2865.0;95.0
34;H Onkruidbestrijding en loofdoding;2016;2733.0;91.0
35;H Onkruidbestrijding en loofdoding;2017;2883.0;96.0
36;H Onkruidbestrijding en loofdoding;2018;2961.0;98.0
37;H Onkruidbestrijding en loofdoding;2019;2721.0;90.0
38;H Onkruidbestrijding en loofdoding;2020;2622.0;87.0
39;H Onkruidbestrijding en loofdoding;2021;2588.0;86.0
40;H Onkruidbestrijding en loofdoding;2022;2708.0;90.0
41;H Onkruidbestrijding en loofdoding;2023;2414.0;80.0
42;I Insecten- en mijtenbestrijding;2010;1705.0;90.0
43;I Insecten- en mijtenbestrijding;2011;1903.0;100.0
44;I Insecten- en mijtenbestrijding;2012;1869.0;98.0
45;I Insecten- en mijtenbestrijding;2013;1663.0;87.0
46;I Insecten- en mijtenbestrijding;2014;1722.0;90.0
47;I Insecten- en mijtenbestrijding;2015;2229.0;117.0
48;I Insecten- en mijtenbestrijding;2016;2608.0;137.0
49;I Insecten- en mijtenbestrijding;2017;2491.0;131.0
50;I Insecten- en mijtenbestrijding;2018;1627.0;85.0
51;I Insecten- en mijtenbestrijding;2019;1971.0;104.0
52;I Insecten- en mijtenbestrijding;2020;2415.0;127.0
53;I Insecten- en mijtenbestrijding;2021;2655.0;140.0
54;I Insecten- en mijtenbestrijding;2022;2263.0;119.0
55;I Insecten- en mijtenbestrijding;2023;1660.0;87.0
56;M Slakkenbestrijding;2010;16.0;81.0
57;M Slakkenbestrijding;2011;20.0;100.0
58;M Slakkenbestrijding;2012;27.0;133.0
59;M Slakkenbestrijding;2013;23.0;113.0
60;M Slakkenbestrijding;2014;27.0;136.0
61;M Slakkenbestrijding;2015;20.0;98.0
62;M Slakkenbestrijding;2016;20.0;99.0
63;M Slakkenbestrijding;2017;30.0;147.0
64;M Slakkenbestrijding;2018;11.0;54.0
65;M Slakkenbestrijding;2019;14.0;68.0
66;M Slakkenbestrijding;2020;16.0;80.0
67;M Slakkenbestrijding;2021;31.0;155.0
68;M Slakkenbestrijding;2022;19.0;92.0
69;M Slakkenbestrijding;2023;14.0;71.0
70;PGR Plantengroeiregulatie,kiemremming;2010;212.0;103.0
71;PGR Plantengroeiregulatie,kiemremming;2011;206.0;100.0
72;PGR Plantengroeiregulatie,kiemremming;2012;304.0;147.0
73;PGR Plantengroeiregulatie,kiemremming;2013;352.0;171.0
74;PGR Plantengroeiregulatie,kiemremming;2014;452.0;219.0
75;PGR Plantengroeiregulatie,kiemremming;2015;426.0;206.0
76;PGR Plantengroeiregulatie,kiemremming;2016;459.0;222.0
77;PGR Plantengroeiregulatie,kiemremming;2017;386.0;187.0
78;PGR Plantengroeiregulatie,kiemremming;2018;386.0;187.0
79;PGR Plantengroeiregulatie,kiemremming;2019;528.0;256.0
80;PGR Plantengroeiregulatie,kiemremming;2020;560.0;272.0
81;PGR Plantengroeiregulatie,kiemremming;2021;559.0;271.0
82;PGR Plantengroeiregulatie,kiemremming;2022;718.0;348.0
83;PGR Plantengroeiregulatie,kiemremming;2023;695.0;337.0
84;ZR Andere gewasbeschermingsmiddelen;2010;1335.0;87.0
85;ZR Andere gewasbeschermingsmiddelen;2011;1532.0;100.0
86;ZR Andere gewasbeschermingsmiddelen;2012;1433.0;94.0
87;ZR Andere gewasbeschermingsmiddelen;2013;1582.0;103.0
88;ZR Andere gewasbeschermingsmiddelen;2014;281.0;18.0
89;ZR Andere gewasbeschermingsmiddelen;2015;58.0;4.0
90;ZR Andere gewasbeschermingsmiddelen;2016;82.0;5.0
91;ZR Andere gewasbeschermingsmiddelen;2017;53.0;3.0
92;ZR Andere gewasbeschermingsmiddelen;2018;127.0;8.0
93;ZR Andere gewasbeschermingsmiddelen;2019;96.0;6.0
94;ZR Andere gewasbeschermingsmiddelen;2020;270.0;18.0
95;ZR Andere gewasbeschermingsmiddelen;2021;262.0;17.0
96;ZR Andere gewasbeschermingsmiddelen;2022;316.0;21.0
97;ZR Andere gewasbeschermingsmiddelen;2023;241.0;16.0
98;"F01 Fungiciden; anorganische";2010;127.0;97.0
99;"F01 Fungiciden; anorganische";2011;131.0;100.0
100;"F01 Fungiciden; anorganische";2012;132.0;101.0
101;"F01 Fungiciden; anorganische";2013;107.0;82.0
102;"F01 Fungiciden; anorganische";2014;148.0;114.0
103;"F01 Fungiciden; anorganische";2015;146.0;112.0
104;"F01 Fungiciden; anorganische";2016;151.0;115.0
105;"F01 Fungiciden; anorganische";2017;148.0;113.0
106;"F01 Fungiciden; anorganische";2018;148.0;113.0
107;"F01 Fungiciden; anorganische";2019;96.0;74.0
108;"F01 Fungiciden; anorganische";2020;143.0;110.0
109;"F01 Fungiciden; anorganische";2021;164.0;126.0
110;"F01 Fungiciden; anorganische";2022;249.0;191.0
111;"F01 Fungiciden; anorganische";2023;196.0;150.0
112;"F02 Fung.; carbamaten, dithiocarbamaten";2010;1951.0;83.0
113;"F02 Fung.; carbamaten, dithiocarbamaten";2011;2352.0;100.0
114;"F02 Fung.; carbamaten, dithiocarbamaten";2012;2378.0;101.0
115;"F02 Fung.; carbamaten, dithiocarbamaten";2013;2263.0;96.0
116;"F02 Fung.; carbamaten, dithiocarbamaten";2014;2597.0;110.0
117;"F02 Fung.; carbamaten, dithiocarbamaten";2015;2458.0;105.0
118;"F02 Fung.; carbamaten, dithiocarbamaten";2016;2894.0;123.0
119;"F02 Fung.; carbamaten, dithiocarbamaten";2017;2806.0;119.0
120;"F02 Fung.; carbamaten, dithiocarbamaten";2018;2501.0;106.0
121;"F02 Fung.; carbamaten, dithiocarbamaten";2019;2284.0;97.0
122;"F02 Fung.; carbamaten, dithiocarbamaten";2020;2293.0;98.0
123;"F02 Fung.; carbamaten, dithiocarbamaten";2021;1370.0;58.0
124;"F02 Fung.; carbamaten, dithiocarbamaten";2022;378.0;16.0
125;"F02 Fung.; carbamaten, dithiocarbamaten";2023;473.0;20.0
126;"F03 Fungiciden; benzimidazolen";2010;110.0;102.0
127;"F03 Fungiciden; benzimidazolen";2011;108.0;100.0
128;"F03 Fungiciden; benzimidazolen";2012;90.0;84.0
129;"F03 Fungiciden; benzimidazolen";2013;97.0;90.0
130;"F03 Fungiciden; benzimidazolen";2014;97.0;90.0
131;"F03 Fungiciden; benzimidazolen";2015;96.0;89.0
132;"F03 Fungiciden; benzimidazolen";2016;97.0;90.0
133;"F03 Fungiciden; benzimidazolen";2017;100.0;93.0
134;"F03 Fungiciden; benzimidazolen";2018;92.0;85.0
135;"F03 Fungiciden; benzimidazolen";2019;95.0;88.0
136;"F03 Fungiciden; benzimidazolen";2020;97.0;90.0
137;"F03 Fungiciden; benzimidazolen";2021;52.0;48.0
138;"F03 Fungiciden; benzimidazolen";2022;0.0;0.0
139;"F03 Fungiciden; benzimidazolen";2023;0.0;0.0
140;"F04 Fungiciden; imidazolen en triazolen";2010;144.0;85.0
141;"F04 Fungiciden; imidazolen en triazolen";2011;171.0;100.0
142;"F04 Fungiciden; imidazolen en triazolen";2012;244.0;143.0
143;"F04 Fungiciden; imidazolen en triazolen";2013;217.0;127.0
144;"F04 Fungiciden; imidazolen en triazolen";2014;279.0;164.0
145;"F04 Fungiciden; imidazolen en triazolen";2015;250.0;146.0
146;"F04 Fungiciden; imidazolen en triazolen";2016;304.0;178.0
147;"F04 Fungiciden; imidazolen en triazolen";2017;332.0;194.0
148;"F04 Fungiciden; imidazolen en triazolen";2018;292.0;171.0
149;"F04 Fungiciden; imidazolen en triazolen";2019;275.0;161.0
150;"F04 Fungiciden; imidazolen en triazolen";2020;325.0;191.0
151;"F04 Fungiciden; imidazolen en triazolen";2021;320.0;188.0
152;"F04 Fungiciden; imidazolen en triazolen";2022;337.0;198.0
153;"F04 Fungiciden; imidazolen en triazolen";2023;367.0;215.0
154;"F05 Fungiciden; morfolinen";2010;86.0;87.0
155;"F05 Fungiciden; morfolinen";2011;99.0;100.0
156;"F05 Fungiciden; morfolinen";2012;100.0;101.0
157;"F05 Fungiciden; morfolinen";2013;87.0;88.0
158;"F05 Fungiciden; morfolinen";2014;102.0;103.0
159;"F05 Fungiciden; morfolinen";2015;64.0;65.0
160;"F05 Fungiciden; morfolinen";2016;57.0;57.0
161;"F05 Fungiciden; morfolinen";2017;60.0;60.0
162;"F05 Fungiciden; morfolinen";2018;68.0;69.0
163;"F05 Fungiciden; morfolinen";2019;74.0;75.0
164;"F05 Fungiciden; morfolinen";2020;40.0;40.0
165;"F05 Fungiciden; morfolinen";2021;43.0;44.0
166;"F05 Fungiciden; morfolinen";2022;35.0;35.0
167;"F05 Fungiciden; morfolinen";2023;30.0;30.0
168;"F06 Fungiciden; microbiol., botanisch";2010;0.0;93.0
169;"F06 Fungiciden; microbiol., botanisch";2011;0.0;100.0
170;"F06 Fungiciden; microbiol., botanisch";2012;0.0;38.0
171;"F06 Fungiciden; microbiol., botanisch";2013;1.0;133.0
172;"F06 Fungiciden; microbiol., botanisch";2014;1.0;106.0
173;"F06 Fungiciden; microbiol., botanisch";2015;1.0;127.0
174;"F06 Fungiciden; microbiol., botanisch";2016;1.0;146.0
175;"F06 Fungiciden; microbiol., botanisch";2017;1.0;158.0
176;"F06 Fungiciden; microbiol., botanisch";2018;1.0;248.0
177;"F06 Fungiciden; microbiol., botanisch";2019;4.0;732.0
178;"F06 Fungiciden; microbiol., botanisch";2020;3.0;592.0
179;"F06 Fungiciden; microbiol., botanisch";2021;7.0;1420.0
180;"F06 Fungiciden; microbiol., botanisch";2022;182.0;37923.0
181;"F06 Fungiciden; microbiol., botanisch";2023;183.0;38261.0
182;F07 Bactericiden;2010;33.0;273.0
183;F07 Bactericiden;2011;12.0;100.0
184;F07 Bactericiden;2012;26.0;216.0
185;F07 Bactericiden;2013;18.0;150.0
186;F07 Bactericiden;2014;18.0;145.0
187;F07 Bactericiden;2015;15.0;119.0
188;F07 Bactericiden;2016;15.0;120.0
189;F07 Bactericiden;2017;14.0;118.0
190;F07 Bactericiden;2018;14.0;118.0
191;F07 Bactericiden;2019;17.0;137.0
192;F07 Bactericiden;2020;13.0;103.0
193;F07 Bactericiden;2021;11.0;89.0
194;F07 Bactericiden;2022;9.0;77.0
195;F07 Bactericiden;2023;10.0;82.0
196;"F99 Fungiciden en bactericiden; andere";2010;1188.0;86.0
197;"F99 Fungiciden en bactericiden; andere";2011;1375.0;100.0
198;"F99 Fungiciden en bactericiden; andere";2012;1686.0;123.0
199;"F99 Fungiciden en bactericiden; andere";2013;1532.0;111.0
200;"F99 Fungiciden en bactericiden; andere";2014;1656.0;120.0
201;"F99 Fungiciden en bactericiden; andere";2015;1382.0;101.0
202;"F99 Fungiciden en bactericiden; andere";2016;1351.0;98.0
203;"F99 Fungiciden en bactericiden; andere";2017;1262.0;92.0
204;"F99 Fungiciden en bactericiden; andere";2018;1174.0;85.0
205;"F99 Fungiciden en bactericiden; andere";2019;1041.0;76.0
206;"F99 Fungiciden en bactericiden; andere";2020;1086.0;79.0
207;"F99 Fungiciden en bactericiden; andere";2021;1335.0;97.0
208;"F99 Fungiciden en bactericiden; andere";2022;1777.0;129.0
209;"F99 Fungiciden en bactericiden; andere";2023;1222.0;89.0
210;"H01 Herbiciden;  fenoxy-fytohormonen";2010;455.0;109.0
211;"H01 Herbiciden;  fenoxy-fytohormonen";2011;416.0;100.0
212;"H01 Herbiciden;  fenoxy-fytohormonen";2012;406.0;98.0
213;"H01 Herbiciden;  fenoxy-fytohormonen";2013;376.0;91.0
214;"H01 Herbiciden;  fenoxy-fytohormonen";2014;420.0;101.0
215;"H01 Herbiciden;  fenoxy-fytohormonen";2015;346.0;83.0
216;"H01 Herbiciden;  fenoxy-fytohormonen";2016;277.0;67.0
217;"H01 Herbiciden;  fenoxy-fytohormonen";2017;263.0;63.0
218;"H01 Herbiciden;  fenoxy-fytohormonen";2018;292.0;70.0
219;"H01 Herbiciden;  fenoxy-fytohormonen";2019;338.0;81.0
220;"H01 Herbiciden;  fenoxy-fytohormonen";2020;269.0;65.0
221;"H01 Herbiciden;  fenoxy-fytohormonen";2021;255.0;61.0
222;"H01 Herbiciden;  fenoxy-fytohormonen";2022;298.0;72.0
223;"H01 Herbiciden;  fenoxy-fytohormonen";2023;165.0;40.0
224;"H02 Herbiciden; triazinen en triazinonen";2010;254.0;80.0
225;"H02 Herbiciden; triazinen en triazinonen";2011;317.0;100.0
226;"H02 Herbiciden; triazinen en triazinonen";2012;340.0;107.0
227;"H02 Herbiciden; triazinen en triazinonen";2013;273.0;86.0
228;"H02 Herbiciden; triazinen en triazinonen";2014;309.0;97.0
229;"H02 Herbiciden; triazinen en triazinonen";2015;244.0;77.0
230;"H02 Herbiciden; triazinen en triazinonen";2016;249.0;79.0
231;"H02 Herbiciden; triazinen en triazinonen";2017;339.0;107.0
232;"H02 Herbiciden; triazinen en triazinonen";2018;353.0;111.0
233;"H02 Herbiciden; triazinen en triazinonen";2019;323.0;102.0
234;"H02 Herbiciden; triazinen en triazinonen";2020;319.0;100.0
235;"H02 Herbiciden; triazinen en triazinonen";2021;306.0;97.0
236;"H02 Herbiciden; triazinen en triazinonen";2022;346.0;109.0
237;"H02 Herbiciden; triazinen en triazinonen";2023;313.0;99.0
238;"H03 Herbiciden; amiden en aniliden";2010;269.0;87.0
239;"H03 Herbiciden; amiden en aniliden";2011;311.0;100.0
240;"H03 Herbiciden; amiden en aniliden";2012;330.0;106.0
241;"H03 Herbiciden; amiden en aniliden";2013;303.0;98.0
242;"H03 Herbiciden; amiden en aniliden";2014;327.0;105.0
243;"H03 Herbiciden; amiden en aniliden";2015;310.0;100.0
244;"H03 Herbiciden; amiden en aniliden";2016;329.0;106.0
245;"H03 Herbiciden; amiden en aniliden";2017;332.0;107.0
246;"H03 Herbiciden; amiden en aniliden";2018;305.0;98.0
247;"H03 Herbiciden; amiden en aniliden";2019;287.0;92.0
248;"H03 Herbiciden; amiden en aniliden";2020;253.0;81.0
249;"H03 Herbiciden; amiden en aniliden";2021;293.0;94.0
250;"H03 Herbiciden; amiden en aniliden";2022;278.0;90.0
251;"H03 Herbiciden; amiden en aniliden";2023;373.0;120.0
252;"H04 Herb.; carbamaten, biscarbamaten";2010;211.0;84.0
253;"H04 Herb.; carbamaten, biscarbamaten";2011;253.0;100.0
254;"H04 Herb.; carbamaten, biscarbamaten";2012;159.0;63.0
255;"H04 Herb.; carbamaten, biscarbamaten";2013;164.0;65.0
256;"H04 Herb.; carbamaten, biscarbamaten";2014;226.0;89.0
257;"H04 Herb.; carbamaten, biscarbamaten";2015;166.0;66.0
258;"H04 Herb.; carbamaten, biscarbamaten";2016;174.0;69.0
259;"H04 Herb.; carbamaten, biscarbamaten";2017;199.0;79.0
260;"H04 Herb.; carbamaten, biscarbamaten";2018;204.0;81.0
261;"H04 Herb.; carbamaten, biscarbamaten";2019;191.0;76.0
262;"H04 Herb.; carbamaten, biscarbamaten";2020;133.0;52.0
263;"H04 Herb.; carbamaten, biscarbamaten";2021;122.0;48.0
264;"H04 Herb.; carbamaten, biscarbamaten";2022;78.0;31.0
265;"H04 Herb.; carbamaten, biscarbamaten";2023;72.0;29.0
266;"H05 Herbiciden; dinitroanilinederivaten";2010;63.0;79.0
267;"H05 Herbiciden; dinitroanilinederivaten";2011;80.0;100.0
268;"H05 Herbiciden; dinitroanilinederivaten";2012;77.0;96.0
269;"H05 Herbiciden; dinitroanilinederivaten";2013;79.0;98.0
270;"H05 Herbiciden; dinitroanilinederivaten";2014;86.0;108.0
271;"H05 Herbiciden; dinitroanilinederivaten";2015;98.0;122.0
272;"H05 Herbiciden; dinitroanilinederivaten";2016;121.0;152.0
273;"H05 Herbiciden; dinitroanilinederivaten";2017;113.0;142.0
274;"H05 Herbiciden; dinitroanilinederivaten";2018;116.0;145.0
275;"H05 Herbiciden; dinitroanilinederivaten";2019;122.0;153.0
276;"H05 Herbiciden; dinitroanilinederivaten";2020;139.0;174.0
277;"H05 Herbiciden; dinitroanilinederivaten";2021;158.0;198.0
278;"H05 Herbiciden; dinitroanilinederivaten";2022;168.0;210.0
279;"H05 Herbiciden; dinitroanilinederivaten";2023;165.0;207.0
280;"H06 Herb; ureum-, uracil-, sulfonylureum";2010;128.0;102.0
281;"H06 Herb; ureum-, uracil-, sulfonylureum";2011;126.0;100.0
282;"H06 Herb; ureum-, uracil-, sulfonylureum";2012;121.0;96.0
283;"H06 Herb; ureum-, uracil-, sulfonylureum";2013;100.0;80.0
284;"H06 Herb; ureum-, uracil-, sulfonylureum";2014;119.0;94.0
285;"H06 Herb; ureum-, uracil-, sulfonylureum";2015;121.0;96.0
286;"H06 Herb; ureum-, uracil-, sulfonylureum";2016;223.0;177.0
287;"H06 Herb; ureum-, uracil-, sulfonylureum";2017;51.0;41.0
288;"H06 Herb; ureum-, uracil-, sulfonylureum";2018;28.0;22.0
