ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdGewicht_1;Ladingtonkilometers_2;VoertuigkilometersBeladen_3
0;Beroeps- en eigen vervoer;Totaal;2016;59830;;
1;Beroeps- en eigen vervoer;Totaal;2018;62761;1376.0;14721.0
2;Beroeps- en eigen vervoer;Totaal;2019;60801;1441.0;15071.0
3;Beroeps- en eigen vervoer;Totaal;2020;58659;1279.0;15280.0
4;Beroeps- en eigen vervoer;Totaal;2021;63346;1526.0;16592.0
5;Beroeps- en eigen vervoer;Binnenlands vervoer;2016;58827;;
6;Beroeps- en eigen vervoer;Binnenlands vervoer;2018;62045;1295.0;13976.0
7;Beroeps- en eigen vervoer;Binnenlands vervoer;2019;59887;1313.0;14209.0
8;Beroeps- en eigen vervoer;Binnenlands vervoer;2020;57095;1181.0;14005.0
9;Beroeps- en eigen vervoer;Binnenlands vervoer;2021;61158;1403.0;15648.0
10;Beroeps- en eigen vervoer;Internationaal vervoer;2016;1003;;
11;Beroeps- en eigen vervoer;Internationaal vervoer;2018;715;81.0;745.0
12;Beroeps- en eigen vervoer;Internationaal vervoer;2019;914;128.0;862.0
13;Beroeps- en eigen vervoer;Internationaal vervoer;2020;1564;98.0;1275.0
14;Beroeps- en eigen vervoer;Internationaal vervoer;2021;2188;123.0;943.0
15;Beroepsvervoer;Totaal;2016;1944;;
16;Beroepsvervoer;Totaal;2018;2215;156.0;875.0
17;Beroepsvervoer;Totaal;2019;2838;204.0;996.0
18;Beroepsvervoer;Totaal;2020;2814;138.0;780.0
19;Beroepsvervoer;Totaal;2021;2212;178.0;908.0
20;Beroepsvervoer;Binnenlands vervoer;2016;1882;;
21;Beroepsvervoer;Binnenlands vervoer;2018;2156;140.0;793.0
22;Beroepsvervoer;Binnenlands vervoer;2019;2669;148.0;854.0
23;Beroepsvervoer;Binnenlands vervoer;2020;2563;122.0;697.0
24;Beroepsvervoer;Binnenlands vervoer;2021;2109;163.0;797.0
25;Beroepsvervoer;Internationaal vervoer;2016;62;;
26;Beroepsvervoer;Internationaal vervoer;2018;59;16.0;81.0
27;Beroepsvervoer;Internationaal vervoer;2019;169;56.0;142.0
28;Beroepsvervoer;Internationaal vervoer;2020;251;15.0;83.0
29;Beroepsvervoer;Internationaal vervoer;2021;103;15.0;111.0
30;Eigen vervoer;Totaal;2016;57886;;
31;Eigen vervoer;Totaal;2018;60546;1220.0;13847.0
32;Eigen vervoer;Totaal;2019;57963;1237.0;14075.0
33;Eigen vervoer;Totaal;2020;55845;1141.0;14500.0
34;Eigen vervoer;Totaal;2021;61134;1348.0;15684.0
35;Eigen vervoer;Binnenlands vervoer;2016;56945;;
36;Eigen vervoer;Binnenlands vervoer;2018;59890;1155.0;13183.0
37;Eigen vervoer;Binnenlands vervoer;2019;57218;1165.0;13355.0
38;Eigen vervoer;Binnenlands vervoer;2020;54532;1058.0;13308.0
39;Eigen vervoer;Binnenlands vervoer;2021;59049;1240.0;14852.0
40;Eigen vervoer;Internationaal vervoer;2016;941;;
41;Eigen vervoer;Internationaal vervoer;2018;656;65.0;664.0
42;Eigen vervoer;Internationaal vervoer;2019;745;71.0;720.0
43;Eigen vervoer;Internationaal vervoer;2020;1313;83.0;1192.0
44;Eigen vervoer;Internationaal vervoer;2021;2085;108.0;832.0
