ID;Geslacht;BurgerlijkeStaat;Regio;Bewoners_1
0;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Nederland;7935565
1;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Groningen (provincie);392436
2;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Friesland;399659
3;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Drenthe;222432
4;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Overijssel;520788
5;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gelderland;829293
6;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Utrecht (provincie);406960
7;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Noord-Holland;1509587
8;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Zuid-Holland;1957578
9;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Zeeland;247606
10;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Noord-Brabant;898386
11;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Limburg;550840
12;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met meer dan 100000 inwoners;2161741
13;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 50001 - 100000 inwoners;794275
14;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 20001 - 50000 inwoners;909519
15;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 10001 - 20000 inwoners;1178525
16;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 5001 - 10000 inwoners;1206889
17;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 2001 - 5000 inwoners;1218855
18;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 1001 - 2000 inwoners;348525
19;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 501 - 1000 inwoners;106191
20;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Gemeenten met 500 of minder inwoners;11045
21;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aagtekerke;760
22;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aalsmeer;8567
23;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aalten;11195
24;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aardenburg;2116
25;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aarle-Rixtel;2642
26;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Abbekerk;768
27;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Abbenbroek;683
28;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Abcoude-Baambrugge;1446
29;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Abcoude-Proosdij;1649
30;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Achtkarspelen;14983
31;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Achttienhoven (U.);692
32;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Adorp;1411
33;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aduard;2019
34;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Aengwirden;4723
35;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Akersloot;2004
36;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alblas (Oud-);1248
37;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alblasserdam;6189
38;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alem, Maren en Kessel;1223
39;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alkemade;6040
40;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alkmaar;28305
41;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Almelo;32422
42;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Almkerk;3705
43;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alphen aan den Rijn;17668
44;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Alphen en Riel;2589
45;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Ambij;2135
46;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Ameide;1742
47;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Ameland;1929
48;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Amerongen;2820
49;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Amersfoort;38549
50;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Ammerstol;1011
51;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Ammerzoden;2628
52;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Amstenrade;1403
53;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Amsterdam;757386
54;Totaal mannen en vrouwen;Totaal alle burgerlijke staten;Andel;1085
