ID;Geslacht;Leeftijd;Perioden;FormeelOnverzekerdenOpPeildatum_1;NogOnverzekerd6MaandenNaPeildatum_2;FormeelOnverzekerdenOpPeildatum_3;NogOnverzekerd6MaandenNaPeildatum_4
0;3;99;1 mei 2006;231160;172800;1.4;1.1
1;3;99;1 mei 2007;201580;150710;1.2;0.9
2;3;99;1 mei 2008;195860;152810;1.2;0.9
3;3;99;1 mei 2009;193700;152240;1.2;0.9
4;3;99;1 mei 2010;174610;136450;1.1;0.8
5;3;1;1 mei 2006;5420;3950;1.4;1.0
6;3;1;1 mei 2007;10430;7310;1.1;0.8
7;3;1;1 mei 2008;8970;6480;1.2;0.9
8;3;1;1 mei 2009;8210;6040;1.1;0.8
9;3;1;1 mei 2010;6220;4390;0.8;0.6
10;3;2;1 mei 2006;9170;6550;0.9;0.6
11;3;2;1 mei 2007;6370;4530;0.6;0.5
12;3;2;1 mei 2008;5890;4330;0.6;0.4
13;3;2;1 mei 2009;5580;4200;0.6;0.4
14;3;2;1 mei 2010;4150;3100;0.4;0.3
15;3;3;1 mei 2006;7400;5600;0.8;0.6
16;3;3;1 mei 2007;5800;4350;0.6;0.4
17;3;3;1 mei 2008;4870;3760;0.5;0.4
18;3;3;1 mei 2009;4720;3750;0.5;0.4
19;3;3;1 mei 2010;3760;2950;0.4;0.3
20;3;4;1 mei 2006;8000;6420;0.8;0.6
21;3;4;1 mei 2007;9860;7250;1.0;0.7
22;3;4;1 mei 2008;7070;5280;0.7;0.5
23;3;4;1 mei 2009;6520;4930;0.6;0.5
24;3;4;1 mei 2010;5350;3960;0.5;0.4
25;3;5;1 mei 2006;23210;15930;2.4;1.6
26;3;5;1 mei 2007;31110;22260;3.2;2.3
27;3;5;1 mei 2008;25840;19480;2.6;2.0
28;3;5;1 mei 2009;27140;20670;2.7;2.1
29;3;5;1 mei 2010;26090;19680;2.6;1.9
30;3;6;1 mei 2006;39360;27980;4.0;2.9
31;3;6;1 mei 2007;33020;23930;3.3;2.4
32;3;6;1 mei 2008;34380;25800;3.5;2.6
33;3;6;1 mei 2009;35300;26690;3.6;2.7
34;3;6;1 mei 2010;33210;25080;3.3;2.5
35;3;7;1 mei 2006;33890;24670;3.4;2.5
36;3;7;1 mei 2007;26870;19600;2.6;1.9
37;3;7;1 mei 2008;27320;20940;2.7;2.1
38;3;7;1 mei 2009;26950;20840;2.7;2.1
39;3;7;1 mei 2010;24920;19250;2.5;1.9
40;3;8;1 mei 2006;28940;21550;2.4;1.8
41;3;8;1 mei 2007;22480;16740;1.7;1.3
42;3;8;1 mei 2008;22020;17190;1.8;1.4
43;3;8;1 mei 2009;21340;16730;1.8;1.4
44;3;8;1 mei 2010;18750;14830;1.7;1.3
