ID;SIC93;Periods;Turnover_1;Price_2;Volume_3;Turnover_4;Price_5;Volume_6
0;9302 Hairdressers and beauty care;1993 January;67;;;;;
1;9302 Hairdressers and beauty care;1993 February;69;;;;;
2;9302 Hairdressers and beauty care;1993 March;78;;;;;
3;9302 Hairdressers and beauty care;1993 1st quarter;71;;;;;
4;9302 Hairdressers and beauty care;1993 April;78;;;;;
5;9302 Hairdressers and beauty care;1993 May;79;;;;;
6;9302 Hairdressers and beauty care;1993 June;79;;;;;
7;9302 Hairdressers and beauty care;1993 2nd quarter;78;;;;;
8;9302 Hairdressers and beauty care;1993 July;80;;;;;
9;9302 Hairdressers and beauty care;1993 August;70;;;;;
10;9302 Hairdressers and beauty care;1993 September;77;;;;;
11;9302 Hairdressers and beauty care;1993 3rd quarter;76;;;;;
12;9302 Hairdressers and beauty care;1993 October;76;;;;;
13;9302 Hairdressers and beauty care;1993 November;72;;;;;
14;9302 Hairdressers and beauty care;1993 December;91;;;;;
15;9302 Hairdressers and beauty care;1993 4th quarter;80;;;;;
16;9302 Hairdressers and beauty care;1993;76;;;;;
17;9302 Hairdressers and beauty care;1994 January;70;;;4.3;;
18;9302 Hairdressers and beauty care;1994 February;71;;;2.9;;
19;9302 Hairdressers and beauty care;1994 March;88;;;13.0;;
20;9302 Hairdressers and beauty care;1994 1st quarter;76;;;7.0;;
21;9302 Hairdressers and beauty care;1994 April;80;;;2.3;;
22;9302 Hairdressers and beauty care;1994 May;79;;;0.6;;
23;9302 Hairdressers and beauty care;1994 June;84;;;6.2;;
24;9302 Hairdressers and beauty care;1994 2nd quarter;81;;;3.0;;
25;9302 Hairdressers and beauty care;1994 July;77;;;-4.4;;
26;9302 Hairdressers and beauty care;1994 August;73;;;5.3;;
27;9302 Hairdressers and beauty care;1994 September;77;;;0.1;;
28;9302 Hairdressers and beauty care;1994 3rd quarter;76;;;0.1;;
29;9302 Hairdressers and beauty care;1994 October;76;;;-0.4;;
30;9302 Hairdressers and beauty care;1994 November;76;;;5.4;;
31;9302 Hairdressers and beauty care;1994 December;91;;;0.3;;
32;9302 Hairdressers and beauty care;1994 4th quarter;81;;;1.6;;
33;9302 Hairdressers and beauty care;1994;79;;;2.9;;
34;9302 Hairdressers and beauty care;1995 January;69;;;-1.2;;
35;9302 Hairdressers and beauty care;1995 February;73;;;2.6;;
36;9302 Hairdressers and beauty care;1995 March;85;;;-3.1;;
37;9302 Hairdressers and beauty care;1995 1st quarter;76;;;-0.8;;
38;9302 Hairdressers and beauty care;1995 April;78;;;-1.6;;
39;9302 Hairdressers and beauty care;1995 May;82;;;3.8;;
40;9302 Hairdressers and beauty care;1995 June;85;;;1.8;;
41;9302 Hairdressers and beauty care;1995 2nd quarter;82;;;1.3;;
42;9302 Hairdressers and beauty care;1995 July;75;;;-2.1;;
43;9302 Hairdressers and beauty care;1995 August;78;;;6.7;;
44;9302 Hairdressers and beauty care;1995 September;81;;;4.7;;
45;9302 Hairdressers and beauty care;1995 3rd quarter;78;;;3.0;;
46;9302 Hairdressers and beauty care;1995 October;78;;;3.0;;
47;9302 Hairdressers and beauty care;1995 November;79;;;4.3;;
48;9302 Hairdressers and beauty care;1995 December;90;;;-1.0;;
49;9302 Hairdressers and beauty care;1995 4th quarter;83;;;1.9;;
50;9302 Hairdressers and beauty care;1995;80;;;1.4;;
51;9302 Hairdressers and beauty care;1996 January;74;;;6.7;;
52;9302 Hairdressers and beauty care;1996 February;77;;;6.4;;
53;9302 Hairdressers and beauty care;1996 March;85;;;-0.4;;
54;9302 Hairdressers and beauty care;1996 1st quarter;79;;;3.9;;
55;9302 Hairdressers and beauty care;1996 April;81;;;3.2;;
56;9302 Hairdressers and beauty care;1996 May;90;;;9.2;;
57;9302 Hairdressers and beauty care;1996 June;83;;;-2.2;;
58;9302 Hairdressers and beauty care;1996 2nd quarter;85;;;3.3;;
59;9302 Hairdressers and beauty care;1996 July;82;;;9.7;;
60;9302 Hairdressers and beauty care;1996 August;83;;;5.7;;
61;9302 Hairdressers and beauty care;1996 September;79;;;-2.8;;
62;9302 Hairdressers and beauty care;1996 3rd quarter;81;;;4.1;;
63;9302 Hairdressers and beauty care;1996 October;86;;;9.9;;
64;9302 Hairdressers and beauty care;1996 November;82;;;2.9;;
65;9302 Hairdressers and beauty care;1996 December;91;;;0.8;;
66;9302 Hairdressers and beauty care;1996 4th quarter;86;;;4.4;;
67;9302 Hairdressers and beauty care;1996;83;;;3.9;;
68;9302 Hairdressers and beauty care;1997 January;81;;;9.2;;
69;9302 Hairdressers and beauty care;1997 February;78;;;1.2;;
70;9302 Hairdressers and beauty care;1997 March;87;;;2.1;;
71;9302 Hairdressers and beauty care;1997 1st quarter;82;;;4.0;;
72;9302 Hairdressers and beauty care;1997 April;85;;;4.8;;
73;9302 Hairdressers and beauty care;1997 May;94;;;4.8;;
74;9302 Hairdressers and beauty care;1997 June;85;;;2.4;;
75;9302 Hairdressers and beauty care;1997 2nd quarter;88;;;4.0;;
76;9302 Hairdressers and beauty care;1997 July;89;;;8.3;;
77;9302 Hairdressers and beauty care;1997 August;82;;;-1.3;;
78;9302 Hairdressers and beauty care;1997 September;85;;;7.9;;
79;9302 Hairdressers and beauty care;1997 3rd quarter;85;;;4.9;;
80;9302 Hairdressers and beauty care;1997 October;92;;;7.5;;
81;9302 Hairdressers and beauty care;1997 November;85;;;3.3;;
