ID;LeeftijdReferentiepersoon;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;MeerpersoonshuishoudensZonderKinderen_4;MeerpersoonshuishoudensMetKinderen_5;TotaalNietGehuwdeParen_6;k_0Kinderen_7;k_1Kind_8;k_2Kinderen_9;k_3OfMeerKinderen_10;TotaalGehuwdeParen_11;k_0Kinderen_12;k_1Kind_13;k_2Kinderen_14;k_3OfMeerKinderen_15;TotaalEenouderhuishoudens_16;k_1Kind_17;k_2Kinderen_18;k_3OfMeerKinderen_19;OverigHuishouden_20;TotaalParticuliereHuishoudens_21;Eenpersoonshuishouden_22;TotaalMeerpersoonshuishoudens_23;k_2Personen_24;k_3Personen_25;k_4Personen_26;k_5OfMeerPersonen_27
0;Totaal;1995;6468682;2109149;4359533;1886794;2472739;518116;418506;56057;33137;10416;3436991;1424616;728238;892368;391769;360754;218280;106362;36112;43672;6468682;2109149;4359533;2058363;903381;957174;440615
1;Totaal;1996;6517804;2123782;4394022;1919610;2474412;552889;441052;62981;37142;11714;3429247;1435447;715441;883327;395032;368775;222766;108547;37462;43111;6517804;2123782;4394022;2097196;898954;952641;445231
2;Totaal;1997;6580943;2157561;4423382;1958645;2464737;583194;459903;69317;41187;12787;3425385;1455587;701275;874144;394379;371648;223547;109807;38294;43155;6580943;2157561;4423382;2136268;893037;948593;445484
3;Totaal;1998;6655891;2201317;4454574;1995267;2459307;609834;475782;75638;45115;13299;3427189;1477038;690979;865371;393801;375104;225059;111001;39044;42447;6655891;2201317;4454574;2175326;889811;943693;445744
4;Totaal;1999;6745411;2254631;4490780;2033473;2457307;633625;486080;82640;50418;14487;3434157;1504022;684586;854589;390960;379627;227530;112411;39686;43371;6745411;2254631;4490780;2215304;892410;938934;444132
5;Totaal;2000;6801008;2272219;4528789;2062123;2466666;657579;494809;91151;55846;15773;3440642;1521063;677297;852005;390277;384317;229199;114434;40684;46251;6801008;2272219;4528789;2242256;897408;943509;445616
6;Totaal;2001;6866954;2307075;4559879;2073831;2486048;674085;495693;98842;62177;17373;3442027;1530722;668308;851878;391119;396351;235764;118808;41779;47416;6866954;2307075;4559879;2258102;901442;950980;449355
7;Totaal;2002;6934263;2344903;4589360;2082747;2506613;696290;499191;107561;70301;19237;3432715;1534892;655673;851806;390344;411691;244768;123617;43306;48664;6934263;2344903;4589360;2275136;903225;959431;451568
8;Totaal;2003;6995724;2383580;4612144;2095156;2516988;714200;500064;115018;78087;21031;3425384;1546656;644675;847733;386320;424124;251141;128189;44794;48436;6995724;2383580;4612144;2292761;903778;964621;450984
9;Totaal;2004;7049280;2423950;4625330;2099479;2525851;726722;495214;121790;86971;22747;3416714;1556343;636458;842377;381536;433972;256674;131804;45494;47922;7049280;2423950;4625330;2302372;904913;969062;448983
10;Totaal;2005;7090965;2449378;4641587;2110295;2531292;747056;498513;128480;95578;24485;3402433;1563808;626291;836838;375496;444124;262189;135863;46072;47974;7090965;2449378;4641587;2317627;905839;973043;445078
11;Totaal;2006;7146088;2502084;4644004;2114857;2529147;759189;495029;133591;104090;26479;3384769;1572152;615951;828173;368493;452370;267647;138547;46176;47676;7146088;2502084;4644004;2328134;902872;973351;439647
12;Totaal;2007;7190543;2536891;4653652;2128727;2524925;777059;496187;139157;113095;28620;3369128;1583956;605544;818991;360637;458881;272499;140596;45786;48584;7190543;2536891;4653652;2347504;900559;972325;433264
13;Totaal;2008;7242202;2571014;4671188;2148277;2522911;800022;501445;145909;121837;30831;3354949;1596319;596053;809235;353342;465704;278051;142199;45454;50513;7242202;2571014;4671188;2371615;900475;971097;428001
14;Totaal;2009;7312579;2619394;4693185;2166972;2526213;819717;505151;151229;130348;32989;3346156;1609418;589048;800178;347512;474909;285206;144034;45669;52403;7312579;2619394;4693185;2396462;901234;971092;424397
15;Totaal;2010;7386144;2669516;4716628;2181514;2535114;836339;505816;156616;138418;35489;3339959;1621618;585797;790892;341652;486250;293180;147033;46037;54080;7386144;2669516;4716628;2417798;907781;970519;420530
16;Totaal;2011;7443801;2708251;4735550;2187823;2547727;864011;514402;163909;147730;37970;3331368;1629522;583775;782489;335582;496272;302979;147199;46094;43899;7443801;2708251;4735550;2439795;904504;972431;418820
17;Totaal;2012;7512824;2761764;4751060;2192158;2558902;872962;511794;167019;154672;39477;3323517;1636677;582203;774010;330627;510894;313322;150683;46889;43687;7512824;2761764;4751060;2455421;909274;971486;414879
18;Totaal;2013;7569371;2802182;4767189;2202863;2564326;892743;517578;171738;162076;41351;3309894;1642311;579843;763157;324583;521578;321518;153200;46860;42974;7569371;2802182;4767189;2474729;914480;967899;410081
19;Totaal;2014;7590228;2803852;4786376;2216508;2569868;916991;528531;176139;169483;42838;3291177;1645639;578378;750341;316819;535870;331653;156324;47893;42338;7590228;2803852;4786376;2498744;920496;964012;403124
20;Totaal;2015;7665198;2867797;4797401;2224618;2572783;934671;531156;181134;177326;45055;3275358;1651379;575005;738342;310632;545289;338281;158384;48624;42083;7665198;2867797;4797401;2512123;923286;961010;400982
21;Totaal;2016;7720787;2906334;4814453;2235783;2578670;954074;540631;182643;184026;46774;3261124;1653323;571665;728666;307470;557426;345502;162146;49778;41829;7720787;2906334;4814453;2530437;924877;958746;400393
22;Totaal;2017;7794075;2961228;4832847;2247191;2585656;975602;548326;186827;191327;49122;3253633;1657377;568482;721461;306313;562124;346706;164223;51195;41488;7794075;2961228;4832847;2540703;926964;961007;404173
23;Totaal;2018;7857914;2997617;4860297;2265409;2594888;997648;562433;187848;196362;51005;3249848;1662594;567153;714686;305415;572419;352216;167646;52557;40382;7857914;2997617;4860297;2565256;929901;959802;405338
24;Totaal;2019;7924691;3037622;4887069;2282297;2604772;1015999;575040;187879;200116;52964;3248353;1666646;567014;710251;304442;582106;357524;170478;54104;40611;7924691;3037622;4887069;2586739;932959;960878;406493
25;Totaal;2020;7997800;3079778;4918022;2302921;2615101;1037200;589916;189262;203427;54595;3250231;1672389;568123;706212;303507;589975;361769;172880;55326;40616;7997800;3079778;4918022;2610601;938515;961314;407592
26;Totaal;2021;8043443;3097117;4946326;2331454;2614872;1077723;620079;192530;208658;56456;3233662;1670305;566657;696999;299701;593871;364662;173275;55934;41070;8043443;3097117;4946326;2640717;940588;958249;406772
27;Totaal;2022;8138591;3172564;4966027;2349821;2616206;1099461;633378;194717;212937;58429;3228333;1674618;565298;690522;297895;596408;366681;173091;56636;41825;8138591;3172564;4966027;2661105;942346;956266;406310
28;Totaal;2023;8270244;3266042;5004202;2358933;2645269;1108952;638763;197393;213159;59637;3242090;1677643;573500;691936;299011;610633;375750;176748;58135;42527;8270244;3266042;5004202;2677788;956719;959324;410371
29;Totaal;2024;8374404;3340560;5033844;2385910;2647934;1120806;651188;198578;211683;59357;3247930;1687670;580368;686176;293716;618056;381715;177232;59109;47052;8374404;3340560;5033844;2706372;968419;953582;405471
30;15 jaar;1995;2239;1997;242;231;11;95;95;0;0;0;0;0;0;0;0;11;11;0;0;136;2239;1997;242;137;68;29;8
31;15 jaar;1996;1224;1013;211;204;7;80;80;0;0;0;0;0;0;0;0;7;7;0;0;124;1224;1013;211;123;56;24;8
32;15 jaar;1997;1274;1057;217;202;15;76;74;1;1;0;0;0;0;0;0;13;13;0;0;128;1274;1057;217;124;56;29;8
33;15 jaar;1998;1469;1197;272;262;10;107;107;0;0;0;0;0;0;0;0;10;10;0;0;155;1469;1197;272;145;81;35;11
34;15 jaar;1999;1618;1332;286;278;8;105;105;0;0;0;0;0;0;0;0;8;8;0;0;173;1618;1332;286;156;82;33;15
35;15 jaar;2000;1914;1545;369;353;16;144;143;1;0;0;0;0;0;0;0;15;15;0;0;210;1914;1545;369;209;103;48;9
36;15 jaar;2001;1985;1560;425;398;27;172;171;1;0;0;1;0;0;0;1;25;23;2;0;227;1985;1560;425;222;121;63;19
37;15 jaar;2002;2047;1648;399;374;25;164;163;1;0;0;3;0;0;1;2;21;20;1;0;211;2047;1648;399;234;118;27;20
38;15 jaar;2003;2060;1716;344;327;17;146;145;1;0;0;2;0;0;0;2;14;13;1;0;182;2060;1716;344;193;97;38;16
39;15 jaar;2004;1768;1472;296;275;21;110;110;0;0;0;0;0;0;0;0;21;20;1;0;165;1768;1472;296;179;82;27;8
40;15 jaar;2005;1587;1343;244;233;11;92;91;0;1;0;0;0;0;0;0;10;10;0;0;142;1587;1343;244;128;92;16;8
41;15 jaar;2006;1599;1366;233;219;14;81;81;0;0;0;3;0;0;2;1;11;10;1;0;138;1599;1366;233;128;72;27;6
42;15 jaar;2007;1436;1214;222;206;16;94;94;0;0;0;5;0;0;3;2;11;11;0;0;112;1436;1214;222;140;57;18;7
43;15 jaar;2008;1540;1302;238;222;16;81;81;0;0;0;4;0;0;3;1;12;12;0;0;141;1540;1302;238;113;91;26;8
44;15 jaar;2009;1372;1156;216;209;7;77;77;0;0;0;2;0;0;0;2;5;5;0;0;132;1372;1156;216;104;75;22;15
45;15 jaar;2010;1461;1237;224;201;23;70;70;0;0;0;5;0;0;2;3;18;18;0;0;131;1461;1237;224;115;70;24;15
46;15 jaar;2011;393;216;177;170;7;0;0;0;0;0;0;0;0;0;0;7;7;0;0;170;393;216;177;139;29;6;3
47;15 jaar;2012;366;172;194;182;12;0;0;0;0;0;0;0;0;0;0;12;12;0;0;182;366;172;194;156;29;7;2
48;15 jaar;2013;406;197;209;205;4;0;0;0;0;0;0;0;0;0;0;4;4;0;0;205;406;197;209;160;36;6;7
49;15 jaar;2014;398;170;228;219;9;1;0;1;0;0;0;0;0;0;0;8;8;0;0;219;398;170;228;163;45;12;8
50;15 jaar;2015;506;291;215;208;7;0;0;0;0;0;0;0;0;0;0;7;7;0;0;208;506;291;215;175;33;5;2
51;15 jaar;2016;495;273;222;217;5;1;0;0;1;0;0;0;0;0;0;4;4;0;0;217;495;273;222;184;22;14;2
52;15 jaar;2017;442;239;203;199;4;0;0;0;0;0;0;0;0;0;0;4;4;0;0;199;442;239;203;166;30;7;0
53;15 jaar;2018;503;279;224;217;7;0;0;0;0;0;0;0;0;0;0;7;7;0;0;217;503;279;224;182;32;6;4
54;15 jaar;2019;431;211;220;218;2;0;0;0;0;0;0;0;0;0;0;2;1;1;0;218;431;211;220;184;27;6;3
55;15 jaar;2020;385;156;229;227;2;1;0;1;0;0;0;0;0;0;0;1;1;0;0;227;385;156;229;182;33;10;4
56;15 jaar;2021;296;99;197;195;2;1;0;0;0;1;0;0;0;0;0;1;1;0;0;195;296;99;197;155;30;5;7
57;15 jaar;2022;293;68;225;223;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;223;293;68;225;190;28;4;3
58;15 jaar;2023;366;150;216;211;5;0;0;0;0;0;0;0;0;0;0;5;5;0;0;211;366;150;216;173;31;10;2
59;15 jaar;2024;354;133;221;220;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;220;354;133;221;172;33;5;11
60;16 jaar;1995;3608;3192;416;368;48;186;176;3;6;1;0;0;0;0;0;38;38;0;0;192;3608;3192;416;240;128;37;11
61;16 jaar;1996;2239;1878;361;318;43;157;152;4;1;0;0;0;0;0;0;38;37;1;0;166;2239;1878;361;203;97;50;11
62;16 jaar;1997;2490;2095;395;346;49;152;140;7;2;3;3;1;1;1;0;35;35;0;0;205;2490;2095;395;207;117;50;21
63;16 jaar;1998;2728;2296;432;374;58;189;183;3;3;0;0;0;0;0;0;52;52;0;0;191;2728;2296;432;263;108;51;10
64;16 jaar;1999;3202;2675;527;455;72;228;214;5;4;5;0;0;0;0;0;58;57;1;0;241;3202;2675;527;309;141;50;27
65;16 jaar;2000;3279;2684;595;523;72;287;274;9;1;3;1;0;0;1;0;58;58;0;0;249;3279;2684;595;362;144;57;32
