ID;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
0;All countries;Nederland;2012 January;1299.0;2099.0
1;All countries;Nederland;2012 February;1332.0;2174.0
2;All countries;Nederland;2012 March;1624.0;2691.0
3;All countries;Nederland;2012 1st quarter;4255.0;6964.0
4;All countries;Nederland;2012 April;1943.0;3474.0
5;All countries;Nederland;2012 May;2013.0;3556.0
6;All countries;Nederland;2012 June;1934.0;3389.0
7;All countries;Nederland;2012 2nd quarter;5890.0;10419.0
8;All countries;Nederland;2012 July;1958.0;3690.0
9;All countries;Nederland;2012 August;2090.0;4001.0
10;All countries;Nederland;2012 September;1955.0;3379.0
11;All countries;Nederland;2012 3rd quarter;6003.0;11070.0
12;All countries;Nederland;2012 October;1866.0;3150.0
13;All countries;Nederland;2012 November;1602.0;2591.0
14;All countries;Nederland;2012 December;1397.0;2342.0
15;All countries;Nederland;2012 4th quarter;4866.0;8082.0
16;All countries;Nederland;2012;21014.0;36536.0
17;All countries;Nederland;2013 January;1274.0;2091.0
18;All countries;Nederland;2013 February;1311.0;2151.0
19;All countries;Nederland;2013 March;1666.0;2814.0
20;All countries;Nederland;2013 1st quarter;4251.0;7055.0
21;All countries;Nederland;2013 April;1878.0;3273.0
22;All countries;Nederland;2013 May;2091.0;3685.0
23;All countries;Nederland;2013 June;2010.0;3472.0
24;All countries;Nederland;2013 2nd quarter;5980.0;10431.0
25;All countries;Nederland;2013 July;2056.0;3845.0
26;All countries;Nederland;2013 August;2179.0;4166.0
27;All countries;Nederland;2013 September;1970.0;3387.0
28;All countries;Nederland;2013 3rd quarter;6205.0;11398.0
29;All countries;Nederland;2013 October;1936.0;3309.0
30;All countries;Nederland;2013 November;1672.0;2720.0
31;All countries;Nederland;2013 December;1478.0;2477.0
32;All countries;Nederland;2013 4th quarter;5086.0;8506.0
33;All countries;Nederland;2013;21521.0;37390.0
34;All countries;Nederland;2014 January;1376.0;2214.0
35;All countries;Nederland;2014 February;1433.0;2313.0
36;All countries;Nederland;2014 March;1810.0;3005.0
37;All countries;Nederland;2014 1st quarter;4618.0;7532.0
38;All countries;Nederland;2014 April;2029.0;3556.0
39;All countries;Nederland;2014 May;2202.0;3831.0
40;All countries;Nederland;2014 June;2136.0;3742.0
