ID;TypeWoning;Perioden;PrijsindexVerkoopprijzen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;VerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
0;Totaal woningen;1995 1e kwartaal;41.4;;;30734;;;89792;2760
1;Totaal woningen;1995 2e kwartaal;41.9;1.2;;37054;20.6;;92094;3412
2;Totaal woningen;1995 3e kwartaal;43.1;2.8;;40498;9.3;;95819;3880
3;Totaal woningen;1995 4e kwartaal;43.6;1.3;;46282;14.3;;95892;4438
4;Totaal woningen;1995;42.5;;;154568;;;93750;14491
5;Totaal woningen;1996 1e kwartaal;44.8;2.8;8.3;35669;-22.9;16.1;97224;3468
6;Totaal woningen;1996 2e kwartaal;46.4;3.4;10.7;43810;22.8;18.2;100280;4393
7;Totaal woningen;1996 3e kwartaal;48.0;3.5;11.5;46582;6.3;15.0;104754;4880
8;Totaal woningen;1996 4e kwartaal;49.0;2.2;12.4;49690;6.7;7.4;106508;5292
9;Totaal woningen;1996;47.1;10.8;10.8;175751;13.7;13.7;102607;18033
10;Totaal woningen;1997 1e kwartaal;50.6;3.2;12.8;35763;-28.0;0.3;107138;3832
11;Totaal woningen;1997 2e kwartaal;52.0;2.7;12.1;47160;31.9;7.6;110934;5232
12;Totaal woningen;1997 3e kwartaal;53.5;2.9;11.4;49619;5.2;6.5;115563;5734
13;Totaal woningen;1997 4e kwartaal;54.6;2.2;11.4;53092;7.0;6.8;116960;6210
14;Totaal woningen;1997;52.7;11.9;11.9;185634;5.6;5.6;113163;21007
15;Totaal woningen;1998 1e kwartaal;55.9;2.4;10.6;38128;-28.2;6.6;118873;4532
16;Totaal woningen;1998 2e kwartaal;57.4;2.6;10.4;47410;24.3;0.5;121358;5754
17;Totaal woningen;1998 3e kwartaal;59.3;3.4;10.9;51153;7.9;3.1;127361;6515
18;Totaal woningen;1998 4e kwartaal;61.0;2.8;11.6;55931;9.3;5.3;128521;7188
19;Totaal woningen;1998;58.4;10.9;10.9;192622;3.8;3.8;124540;23989
