ID;InkomstenUitBaan;Baankenmerken;Onderwijssoorten;Leeftijd;Perioden;SchoolverlatersOnderzoekspopulatie_1;VoortijdigSchoolverlaters_2;SchoolverlatersMetStartkwalificatie_3;PercentageVoortijdigSchoolverlaters_4
0;Totaal schoolverlaters;0;Totaal populatie;Totaal leeftijd;2005, vrijdag 30 september;146300.0;76150.0;70150.0;52.0
1;Totaal schoolverlaters;0;Totaal populatie;Totaal leeftijd;2006, vrijdag 29 september;159210.0;74510.0;84700.0;46.8
2;Totaal schoolverlaters;0;Totaal populatie;Totaal leeftijd;2007, vrijdag 28 september;163030.0;72610.0;90430.0;44.5
3;Totaal schoolverlaters;0;Totaal populatie;Totaal leeftijd;2008, vrijdag 26 september;172800.0;71480.0;101320.0;41.4
4;Totaal schoolverlaters;0;Totaal populatie;<= 17 jaar;2005, vrijdag 30 september;22210.0;19490.0;2720.0;87.7
5;Totaal schoolverlaters;0;Totaal populatie;<= 17 jaar;2006, vrijdag 29 september;21730.0;18780.0;2950.0;86.4
6;Totaal schoolverlaters;0;Totaal populatie;<= 17 jaar;2007, vrijdag 28 september;20430.0;17150.0;3280.0;84.0
7;Totaal schoolverlaters;0;Totaal populatie;<= 17 jaar;2008, vrijdag 26 september;16830.0;13310.0;3520.0;79.1
8;Totaal schoolverlaters;0;Totaal populatie;18 tot 23 jaar;2005, vrijdag 30 september;79160.0;35570.0;43590.0;44.9
9;Totaal schoolverlaters;0;Totaal populatie;18 tot 23 jaar;2006, vrijdag 29 september;87800.0;34810.0;52990.0;39.7
10;Totaal schoolverlaters;0;Totaal populatie;18 tot 23 jaar;2007, vrijdag 28 september;91800.0;34830.0;56970.0;37.9
11;Totaal schoolverlaters;0;Totaal populatie;18 tot 23 jaar;2008, vrijdag 26 september;96910.0;35140.0;61770.0;36.3
12;Totaal schoolverlaters;0;Totaal populatie;<= 22 jaar;2005, vrijdag 30 september;101370.0;55060.0;46320.0;54.3
13;Totaal schoolverlaters;0;Totaal populatie;<= 22 jaar;2006, vrijdag 29 september;109530.0;53590.0;55940.0;48.9
14;Totaal schoolverlaters;0;Totaal populatie;<= 22 jaar;2007, vrijdag 28 september;112220.0;51980.0;60250.0;46.3
15;Totaal schoolverlaters;0;Totaal populatie;<= 22 jaar;2008, vrijdag 26 september;113740.0;48450.0;65290.0;42.6
16;Totaal schoolverlaters;0;Totaal populatie;>= 23 jaar;2005, vrijdag 30 september;44930.0;21090.0;23840.0;46.9
17;Totaal schoolverlaters;0;Totaal populatie;>= 23 jaar;2006, vrijdag 29 september;49680.0;20920.0;28760.0;42.1
18;Totaal schoolverlaters;0;Totaal populatie;>= 23 jaar;2007, vrijdag 28 september;50810.0;20630.0;30180.0;40.6
19;Totaal schoolverlaters;0;Totaal populatie;>= 23 jaar;2008, vrijdag 26 september;59060.0;23030.0;36030.0;39.0
20;Totaal schoolverlaters;0;Voortgezet onderwijs;Totaal leeftijd;2005, vrijdag 30 september;25680.0;17370.0;8300.0;67.7
21;Totaal schoolverlaters;0;Voortgezet onderwijs;Totaal leeftijd;2006, vrijdag 29 september;24760.0;15950.0;8800.0;64.4
22;Totaal schoolverlaters;0;Voortgezet onderwijs;Totaal leeftijd;2007, vrijdag 28 september;24190.0;14660.0;9530.0;60.6
23;Totaal schoolverlaters;0;Voortgezet onderwijs;Totaal leeftijd;2008, vrijdag 26 september;23230.0;12390.0;10840.0;53.3
24;Totaal schoolverlaters;0;Voortgezet onderwijs;<= 17 jaar;2005, vrijdag 30 september;16360.0;14190.0;2180.0;86.7
25;Totaal schoolverlaters;0;Voortgezet onderwijs;<= 17 jaar;2006, vrijdag 29 september;15660.0;13410.0;2250.0;85.6
26;Totaal schoolverlaters;0;Voortgezet onderwijs;<= 17 jaar;2007, vrijdag 28 september;14780.0;12200.0;2580.0;82.6
27;Totaal schoolverlaters;0;Voortgezet onderwijs;<= 17 jaar;2008, vrijdag 26 september;12650.0;9870.0;2780.0;78.0
28;Totaal schoolverlaters;0;Voortgezet onderwijs;18 tot 23 jaar;2005, vrijdag 30 september;9280.0;3150.0;6130.0;33.9
