ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Belgie_3;Frankrijk_4;Duitsland_5;OverigeLanden_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11;TotaleUitgavenVoorVakanties_12;TotaalGemUitgavenPerVakantieganger_13;MetEigenVervoer_14;MetOverigVervoer_15
0;Totaal vakantiekenmerken;2000;2391.0;3.2;707.0;528.0;642.0;514.0;428.0;327.0;260.0;211.0;1165.0;504.0;211.0;142.0;326.0
1;Totaal vakantiekenmerken;2001;2428.0;3.3;800.0;618.0;550.0;460.0;464.0;274.0;162.0;208.0;1319.0;465.0;191.0;149.0;283.0
2;Totaal vakantiekenmerken;2002;3585.0;3.3;1209.0;674.0;983.0;720.0;830.0;189.0;360.0;451.0;1755.0;867.0;242.0;166.0;417.0
3;Totaal vakantiekenmerken;2003;3456.0;3.3;1239.0;564.0;931.0;722.0;;;;;;730.0;211.0;161.0;325.0
4;België;2000;707.0;3.1;707.0;;;;138.0;49.0;0.0;43.0;477.0;89.0;126.0;;
5;België;2001;800.0;3.1;800.0;;;;146.0;10.0;0.0;35.0;608.0;94.0;118.0;;
6;België;2002;1209.0;3.2;1209.0;;;;344.0;24.0;0.0;86.0;755.0;168.0;139.0;;
7;België;2003;1239.0;3.2;1239.0;;;;411.0;;;102.0;702.0;163.0;132.0;126.0;
8;Luxemburg;2000;46.0;;;;;46.0;;;;;;;;;
9;Luxemburg;2001;78.0;;;;;78.0;;;;;;;;;
10;Luxemburg;2002;88.0;;;;;88.0;;;;;;;;;
11;Luxemburg;2003;73.0;;;;;;18.0;;;5.0;51.0;14.0;;;
12;Frankrijk;2000;528.0;3.2;;528.0;;;179.0;172.0;22.0;41.0;114.0;133.0;252.0;;
13;Frankrijk;2001;618.0;3.4;;618.0;;;218.0;146.0;10.0;58.0;185.0;148.0;239.0;;
14;Frankrijk;2002;674.0;3.4;;674.0;;;250.0;86.0;39.0;115.0;183.0;218.0;324.0;;
15;Frankrijk;2003;564.0;3.3;;564.0;;;191.0;;31.0;83.0;162.0;165.0;293.0;230.0;
16;Spanje;2000;38.0;;;;;38.0;;;;;;26.0;;;
17;Spanje;2001;3.0;;;;;3.0;;;;;;3.0;;;
18;Spanje;2002;77.0;;;;;77.0;;;;;;47.0;;;
19;Spanje;2003;48.0;;;;;;;;36.0;2.0;9.0;23.0;;;
20;Portugal;2000;0.0;;;;;0.0;;;;;;;;;
21;Portugal;2001;7.0;;;;;7.0;;;;;;;;;
22;Portugal;2002;3.0;;;;;3.0;;;;;;;;;
23;Portugal;2003;8.0;;;;;;;;8.0;;;5.0;;;
24;Oostenrijk;2000;65.0;;;;;65.0;;;;;;22.0;;;
