ID;PolitiekeGroeperingen;TotaalGeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6
0;1;5296749;100.0;25;100;18;7
1;2;134877;2.5;0;0;0;0
2;3;1590218;30.0;8;32;5;3
3;4;296488;5.6;2;8;2;0
4;5;120826;2.3;0;0;0;0
5;6;67413;1.3;0;0;0;0
6;7;23291;0.4;0;0;0;0
7;8;1785165;33.7;9;36;6;3
8;9;275786;5.2;1;4;1;0
9;10;1002685;18.9;5;20;4;1
