ID;Perioden;StandOp1JanuariVanHetJaar_1;Uitstroom_2;Doorstroom_3;Instroom_4;StandOp31DecemberVanHetJaar_5
0;1992;1758;555;1203;553;1756
1;1993;1756;543;1213;611;1823
2;1994;1823;567;1257;673;1930
3;1995;1930;632;1297;563;1860
4;1996;1860;598;1261;613;1874
5;1997;1874;638;1236;581;1817
6;1998;1817;694;1123;540;1663
7;1999;1663;628;1035;568;1603
8;2000;1603;568;1035;524;1559
