ID;Persoonskenmerken;Perioden;PersonenInDeLeeftijd50Tot75Jaar_1;PersDieParticiperenOpArbeidsmarkt_2;PersonenDieGestoptZijnMetWerken_3;PersonenDieNooitGewerktHebben_4
0;1100;2006;4384.0;1944.0;1335.0;1106.0
1;1100;2007;4464.0;2037.0;1338.0;1089.0
2;1100;2008;4549.0;2146.0;1342.0;1061.0
3;1100;2009;4637.0;2224.0;1348.0;1065.0
4;1100;2010;4725.0;2277.0;1367.0;1081.0
5;1100;2011;4767.0;2287.0;1466.0;1014.0
6;15400;2006;2172.0;1210.0;799.0;163.0
7;15400;2007;2213.0;1253.0;787.0;173.0
8;15400;2008;2256.0;1314.0;783.0;159.0
9;15400;2009;2301.0;1342.0;791.0;169.0
10;15400;2010;2345.0;1365.0;811.0;169.0
11;15400;2011;2372.0;1348.0;866.0;158.0
12;15450;2006;2213.0;734.0;535.0;943.0
13;15450;2007;2251.0;784.0;551.0;916.0
14;15450;2008;2292.0;832.0;559.0;901.0
15;15450;2009;2336.0;882.0;558.0;896.0
16;15450;2010;2380.0;911.0;556.0;912.0
17;15450;2011;2395.0;939.0;600.0;856.0
18;16250;2006;1118.0;894.0;53.0;172.0
19;16250;2007;1129.0;920.0;48.0;161.0
20;16250;2008;1141.0;941.0;50.0;151.0
21;16250;2009;1159.0;963.0;44.0;152.0
22;16250;2010;1177.0;986.0;22.0;168.0
23;16250;2011;1191.0;995.0;37.0;159.0
24;16300;2006;1122.0;715.0;179.0;228.0
25;16300;2007;1093.0;731.0;147.0;215.0
26;16300;2008;1078.0;744.0;129.0;204.0
27;16300;2009;1073.0;768.0;114.0;191.0
28;16300;2010;1077.0;776.0;99.0;201.0
29;16300;2011;1081.0;802.0;103.0;176.0
30;16350;2006;876.0;238.0;389.0;249.0
31;16350;2007;954.0;295.0;410.0;249.0
32;16350;2008;1011.0;345.0;413.0;253.0
33;16350;2009;1048.0;378.0;404.0;266.0
34;16350;2010;1078.0;405.0;397.0;276.0
35;16350;2011;1067.0;414.0;416.0;237.0
36;16400;2006;696.0;67.0;390.0;239.0
37;16400;2007;710.0;64.0;410.0;236.0
38;16400;2008;731.0;91.0;412.0;228.0
39;16400;2009;756.0;83.0;444.0;228.0
40;16400;2010;776.0;77.0;473.0;226.0
41;16400;2011;809.0;62.0;514.0;233.0
42;16450;2006;573.0;30.0;324.0;218.0
