ID;Kenmerken;Perioden;DeelnameTotaal_1;Participatiegraad_2;WerkgerelateerdeOpleidingen_3;NietWerkgerelateerdeOpleidingen_4;InitieelOnderwijs_5;PostInitieelOnderwijs_6;RegulierPostInitieelOnderwijs_7;NietRegulierPostInitieelOnderwijs_8;VoltijdOpleidingen_9;SchriftelijkOnderwijs_10;Bedrijfsopleidingen_11
0;3;2003;  1171;11.1;   964;   208;    50;  1121;   142;   979;    68;   138;   384
1;3;2004;  1141;10.8;   921;   221;    52;  1090;   163;   927;    85;   141;   364
2;3;2005;  1105;10.5;   889;   216;    52;  1053;   139;   914;    84;   141;   360
3;3;2006;  1154;10.9;   878;   276;    72;  1082;   155;   927;   106;   133;   365
4;3;2007;  1286;12.2;  1001;   285;    69;  1217;   187;  1030;    96;   155;   407
5;3;2008;  1322;12.5;  1040;   282;    73;  1249;   185;  1065;    93;   149;   428
6;3;2009;  1288;12.2;  1018;   270;    72;  1216;   173;  1043;    94;   146;   416
7;1;2003;   585;11.0;   494;    91;    26;   559;    66;   493;    35;    69;   220
8;1;2004;   572;10.7;   478;    94;    26;   546;    77;   468;    40;    70;   215
9;1;2005;   556;10.5;   465;    91;    26;   530;    66;   464;    39;    72;   211
10;1;2006;   577;10.9;   457;   120;    37;   540;    73;   467;    52;    68;   213
11;1;2007;   639;12.0;   513;   126;    37;   602;    91;   511;    50;    71;   234
12;1;2008;   663;12.5;   537;   126;    38;   625;    90;   535;    47;    72;   250
13;1;2009;   637;12.0;   516;   121;    40;   597;    83;   514;    51;    70;   234
14;2;2003;   586;11.3;   470;   117;    25;   562;    76;   486;    33;    69;   164
15;2;2004;   570;10.9;   443;   127;    26;   544;    86;   458;    45;    71;   149
16;2;2005;   548;10.5;   423;   125;    26;   523;    73;   450;    45;    69;   149
17;2;2006;   577;11.0;   422;   156;    35;   542;    82;   460;    54;    65;   152
18;2;2007;   647;12.3;   488;   159;    32;   614;    96;   518;    46;    84;   174
19;2;2008;   659;12.5;   503;   156;    35;   624;    94;   530;    46;    77;   178
20;2;2009;   652;12.4;   503;   149;    32;   620;    90;   529;    43;    77;   182
21;4;2003;   135;8.8;    87;    48;    40;    95;    17;    78;    41;    14;    31
22;4;2004;   109;7.1;    68;    41;    36;    73;    13;    60;    36;    12;    24
23;4;2005;   103;6.7;    64;    39;    36;    67;    11;    56;    36;    14;    25
24;4;2006;   128;8.3;    65;    63;    57;    71;    12;    59;    58;    12;    25
25;4;2007;   140;9.0;    79;    61;    53;    87;    19;    68;    53;    13;    28
26;4;2008;   153;9.7;    89;    64;    57;    96;    20;    76;    58;    14;    31
27;4;2009;   146;9.2;    82;    64;    58;    89;    18;    71;    58;    15;    27
28;5;2003;   347;15.2;   293;    53;    11;   336;    51;   285;    17;    55;   108
29;5;2004;   335;15.2;   277;    58;    16;   319;    60;   259;    28;    53;   101
30;5;2005;   313;14.6;   258;    55;    16;   297;    50;   247;    27;    51;    99
31;5;2006;   314;15.1;   252;    62;    15;   299;    51;   248;    26;    47;   100
32;5;2007;   351;17.4;   282;    69;    16;   335;    62;   273;    26;    53;   109
33;5;2008;   343;17.3;   280;    63;    16;   328;    61;   266;    23;    50;   108
34;5;2009;   328;16.7;   269;    58;    14;   313;    55;   258;    21;    47;   103
35;6;2003;   344;13.3;   299;    44;      ;   344;    42;   302;     6;    42;   126
36;6;2004;   342;13.2;   289;    53;      ;   342;    52;   290;    14;    43;   117
37;6;2005;   331;12.7;   281;    50;      ;   331;    46;   285;    13;    44;   115
38;6;2006;   338;13.0;   276;    62;      ;   338;    52;   286;    14;    43;   115
39;6;2007;   371;14.4;   308;    63;      ;   371;    56;   315;     9;    52;   124
40;6;2008;   374;14.8;   313;    61;      ;   374;    53;   321;     7;    48;   132
41;6;2009;   363;14.7;   308;    55;      ;   363;    51;   312;     7;    45;   127
42;7;2003;   238;10.5;   206;    33;      ;   238;    24;   214;     2;    21;    94
43;7;2004;   243;10.6;   206;    37;      ;   243;    30;   214;     6;    25;    94
44;7;2005;   238;10.3;   201;    37;      ;   238;    26;   212;     6;    25;    94
45;7;2006;   247;10.6;   201;    46;      ;   247;    29;   218;     6;    23;    97
46;7;2007;   281;11.9;   232;    49;      ;   281;    37;   244;     6;    28;   108
47;7;2008;   294;12.3;   246;    48;      ;   294;    37;   258;     4;    27;   115
48;7;2009;   296;12.2;   247;    49;      ;   296;    36;   260;     4;    31;   113
49;8;2003;   107;5.8;    78;    29;      ;   107;     7;   100;     X;     7;    26
50;8;2004;   113;5.9;    80;    32;      ;   113;     8;   105;     X;     7;    27
51;8;2005;   120;6.1;    84;    36;      ;   120;     7;   113;     2;     7;    28
52;8;2006;   127;6.4;    85;    42;      ;   127;    11;   116;     2;     8;    29
53;8;2007;   143;7.0;   100;    43;      ;   143;    13;   129;     2;     9;    38
54;8;2008;   158;7.6;   112;    46;      ;   158;    13;   145;x     ;    10;    42
55;8;2009;   155;7.3;   112;    43;      ;   155;    13;   142;     3;     9;    46
56;9;2003;   114;10.5;    95;    19;     5;   109;    13;    96;     7;    13;    39
57;9;2004;   105;9.7;    87;    19;     3;   102;    14;    88;     7;    12;    35
58;9;2005;   105;9.6;    85;    20;     4;   101;    14;    87;     8;    13;    33
59;9;2006;   107;9.9;    83;    25;     6;   101;    14;    87;    10;    14;    35
60;9;2007;   129;11.9;   106;    23;     5;   125;    19;   106;     7;    17;    43
61;9;2008;   128;11.7;   104;    24;     5;   123;    17;   105;     7;    16;    44
62;9;2009;   122;11.2;    99;    23;     6;   117;    16;   100;     7;    16;    41
63;Oost-Nederland (LD);2003;   235;10.7;   199;    36;     8;   226;    28;   198;    11;    28;    81
64;Oost-Nederland (LD);2004;   223;10.2;   184;    39;     9;   214;    31;   183;    15;    27;    75
65;Oost-Nederland (LD);2005;   212;9.6;   175;    37;     9;   203;    25;   177;    15;    28;    71
66;Oost-Nederland (LD);2006;   226;10.2;   175;    51;    12;   214;    28;   186;    17;    27;    76
67;Oost-Nederland (LD);2007;   249;11.2;   195;    54;    12;   237;    34;   203;    17;    32;    78
68;Oost-Nederland (LD);2008;   263;11.9;   212;    51;    12;   251;    36;   215;    16;    29;    89
69;Oost-Nederland (LD);2009;   265;12.0;   213;    52;    13;   253;    35;   218;    18;    29;    90
70;West-Nederland (LD);2003;   568;11.5;   459;   109;    26;   542;    70;   472;    34;    72;   179
71;West-Nederland (LD);2004;   571;11.6;   455;   116;    29;   542;    87;   455;    47;    75;   173
72;West-Nederland (LD);2005;   556;11.2;   443;   114;    27;   530;    74;   456;    44;    72;   176
73;West-Nederland (LD);2006;   585;11.8;   438;   147;    40;   545;    83;   462;    59;    69;   175
74;West-Nederland (LD);2007;   637;12.8;   489;   147;    36;   601;    97;   504;    51;    77;   195
75;West-Nederland (LD);2008;   655;13.2;   507;   149;    38;   617;    96;   521;    49;    76;   202
76;West-Nederland (LD);2009;   635;12.7;   496;   139;    38;   597;    90;   507;    50;    74;   190
77;Zuid-Nederland (LD);2003;   255;11.0;   211;    44;    12;   243;    31;   212;    15;    25;    85
78;Zuid-Nederland (LD);2004;   242;10.5;   195;    47;    10;   232;    31;   201;    16;    26;    81
79;Zuid-Nederland (LD);2005;   231;10.1;   186;    45;    11;   220;    26;   194;    18;    26;    80
80;Zuid-Nederland (LD);2006;   236;10.3;   183;    53;    14;   222;    30;   193;    20;    24;    79
81;Zuid-Nederland (LD);2007;   271;11.8;   210;    61;    16;   255;    37;   218;    21;    29;    90
82;Zuid-Nederland (LD);2008;   276;12.0;   217;    59;    17;   259;    35;   224;    20;    27;    93
83;Zuid-Nederland (LD);2009;   266;11.6;   211;    55;    15;   250;    33;   218;    19;    27;    94
84;Autochtonen;2003;   967;11.2;   800;   167;    38;   929;   111;   818;    48;   113;   329
85;Autochtonen;2004;   922;10.8;   749;   173;    36;   886;   123;   763;    59;   114;   306
86;Autochtonen;2005;   894;10.4;   722;   172;    38;   857;   106;   750;    61;   114;   303
87;Autochtonen;2006;   935;10.9;   717;   219;    52;   883;   117;   766;    77;   105;   310
88;Autochtonen;2007;  1039;12.2;   815;   224;    51;   988;   141;   847;    71;   125;   342
89;Autochtonen;2008;  1061;12.4;   840;   222;    54;  1007;   134;   873;    68;   117;   358
90;Autochtonen;2009;  1041;12.2;   830;   212;    52;   990;   129;   861;    68;   117;   352
91;Westerse allochtonen;2003;    99;11.6;    78;    21;     4;    95;    13;    82;     7;    12;    28
92;Westerse allochtonen;2004;   105;12.2;    84;    22;     4;   101;    17;    84;     8;    14;    32
93;Westerse allochtonen;2005;   100;11.8;    81;    20;     4;    96;    15;    81;     8;    14;    30
94;Westerse allochtonen;2006;   101;11.7;    76;    25;     6;    96;    16;    80;     8;    14;    28
95;Westerse allochtonen;2007;   115;13.3;    87;    28;     5;   110;    19;    91;     8;    15;    33
96;Westerse allochtonen;2008;   120;13.6;    92;    28;     5;   114;    20;    94;     8;    16;    35
97;Westerse allochtonen;2009;   112;12.6;    88;    24;     7;   105;    16;    89;     8;    15;    33
98;Niet-westerse allochtonen;2003;    98;9.7;    80;    18;     8;    90;    17;    73;    12;    12;    25
99;Niet-westerse allochtonen;2004;   107;10.3;    82;    25;    10;    97;    23;    74;    17;    12;    24
100;Niet-westerse allochtonen;2005;   105;9.8;    82;    23;     9;    97;    18;    79;    15;    12;    26
101;Niet-westerse allochtonen;2006;   112;10.4;    82;    30;    13;    99;    21;    77;    20;    13;    25
102;Niet-westerse allochtonen;2007;   125;11.3;    95;    31;    12;   113;    27;    87;    17;    15;    30
103;Niet-westerse allochtonen;2008;   136;12.3;   104;    33;    13;   123;    30;    94;    17;    15;    33
104;Niet-westerse allochtonen;2009;   129;11.5;    97;    32;    13;   116;    27;    89;    17;    14;    29
105;Vooropleiding lager totaal;2003;   211;6.1;   169;    43;    15;   197;    19;   178;    19;    24;    70
106;Vooropleiding lager totaal;2004;   186;5.6;   147;    38;    12;   173;    21;   153;    20;    20;    62
107;Vooropleiding lager totaal;2005;   172;5.3;   134;    38;    13;   159;    18;   141;    21;    17;    57
108;Vooropleiding lager totaal;2006;   199;6.2;   134;    66;    29;   170;    26;   144;    39;    21;    56
109;Vooropleiding lager totaal;2007;   212;6.8;   150;    61;    26;   185;    32;   154;    33;    22;    62
110;Vooropleiding lager totaal;2008;   211;6.8;   153;    59;    26;   186;    32;   153;    30;    23;    63
111;Vooropleiding lager totaal;2009;   211;6.8;   154;    58;    25;   186;    31;   155;    30;    23;    62
112;Vooropleiding middelbaar totaal;2003;   532;11.8;   438;    94;    27;   505;    59;   446;    33;    69;   187
113;Vooropleiding middelbaar totaal;2004;   497;11.2;   398;    99;    27;   469;    67;   402;    44;    68;   167
114;Vooropleiding middelbaar totaal;2005;   488;10.9;   391;    97;    27;   461;    59;   403;    43;    74;   166
115;Vooropleiding middelbaar totaal;2006;   504;11.2;   384;   120;    33;   471;    65;   405;    50;    68;   171
116;Vooropleiding middelbaar totaal;2007;   561;12.3;   438;   123;    31;   531;    79;   452;    42;    80;   188
117;Vooropleiding middelbaar totaal;2008;   570;12.7;   454;   116;    33;   537;    73;   464;    40;    74;   198
118;Vooropleiding middelbaar totaal;2009;   544;12.3;   439;   106;    33;   512;    66;   445;    42;    73;   189
119;Vooropleiding hoger totaal;2003;   419;17.0;   349;    70;     9;   410;    63;   347;    15;    44;   123
120;Vooropleiding hoger totaal;2004;   450;17.1;   368;    82;    11;   439;    75;   364;    20;    52;   130
121;Vooropleiding hoger totaal;2005;   438;16.2;   358;    80;    11;   427;    62;   364;    20;    49;   135
122;Vooropleiding hoger totaal;2006;   444;16.3;   355;    89;     9;   435;    63;   372;    17;    44;   136
123;Vooropleiding hoger totaal;2007;   506;18.1;   407;    98;    12;   494;    75;   418;    21;    53;   154
124;Vooropleiding hoger totaal;2008;   535;18.5;   428;   107;    14;   522;    79;   442;    23;    52;   163
125;Vooropleiding hoger totaal;2009;   525;17.8;   420;   105;    13;   512;    75;   436;    22;    50;   161
126;Vooropleiding basisonderwijs;2003;    33;3.6;    26;     7;     2;    30;     X;    29;     3;     2;    13
127;Vooropleiding basisonderwijs;2004;    31;3.5;    25;     6;     2;    29;     2;    27;     2;     2;    13
128;Vooropleiding basisonderwijs;2005;    34;4.2;    28;     6;     2;    32;     3;    29;     3;     2;    11
129;Vooropleiding basisonderwijs;2006;    39;5.0;    27;    12;     6;    33;     4;    28;     7;     2;     9
130;Vooropleiding basisonderwijs;2007;    39;5.2;    27;    13;     6;    33;     7;    26;     8;     2;    11
131;Vooropleiding basisonderwijs;2008;    40;5.2;    25;    14;     7;    33;     6;    26;     8;     2;    10
132;Vooropleiding basisonderwijs;2009;    42;5.4;    26;    16;     8;    33;     6;    27;     9;     2;    10
133;Vooropleiding vmbo;2003;   179;7.0;   143;    36;    12;   166;    18;   148;    17;    22;    57
134;Vooropleiding vmbo;2004;   155;6.3;   122;    33;    11;   145;    19;   126;    18;    18;    50
135;Vooropleiding vmbo;2005;   137;5.6;   106;    32;    11;   127;    15;   112;    17;    15;    46
136;Vooropleiding vmbo;2006;   160;6.7;   107;    53;    23;   137;    21;   116;    32;    19;    47
137;Vooropleiding vmbo;2007;   172;7.3;   124;    49;    20;   153;    25;   127;    25;    20;    52
138;Vooropleiding vmbo;2008;   172;7.3;   127;    45;    19;   153;    26;   127;    22;    21;    54
139;Vooropleiding vmbo;2009;   170;7.2;   128;    42;    17;   153;    24;   128;    21;    21;    53
140;Vooropleiding havo-vwo;2003;   126;11.1;    91;    35;    17;   109;    21;    88;    20;    20;    29
141;Vooropleiding havo-vwo;2004;   127;10.9;    90;    37;    16;   111;    25;    86;    21;    21;    28
142;Vooropleiding havo-vwo;2005;   120;10.4;    86;    34;    14;   105;    19;    86;    19;    19;    28
143;Vooropleiding havo-vwo;2006;   119;10.7;    76;    43;    19;   100;    21;    79;    24;    19;    24
144;Vooropleiding havo-vwo;2007;   130;11.7;    87;    42;    18;   112;    24;    88;    21;    22;    28
145;Vooropleiding havo-vwo;2008;   128;12.0;    88;    40;    17;   111;    20;    91;    19;    22;    31
146;Vooropleiding havo-vwo;2009;   121;11.8;    83;    38;    20;   102;    20;    82;    22;    20;    28
147;Vooropleiding mbo;2003;   406;12.0;   347;    59;    10;   396;    38;   358;    13;    49;   158
148;Vooropleiding mbo;2004;   370;11.3;   307;    62;    11;   358;    42;   316;    22;    47;   139
149;Vooropleiding mbo;2005;   369;11.0;   305;    63;    13;   356;    40;   316;    25;    55;   138
150;Vooropleiding mbo;2006;   385;11.3;   308;    77;    14;   371;    44;   326;    26;    49;   147
151;Vooropleiding mbo;2007;   432;12.6;   351;    81;    13;   419;    55;   364;    21;    58;   160
152;Vooropleiding mbo;2008;   442;12.9;   366;    76;    16;   426;    53;   373;    21;    52;   168
153;Vooropleiding mbo;2009;   423;12.4;   355;    68;    13;   410;    46;   363;    20;    52;   161
154;Vooropleiding hbo;2003;   280;17.2;   239;    42;     4;   276;    40;   236;     7;    32;    87
155;Vooropleiding hbo;2004;   289;17.0;   240;    49;     5;   284;    42;   242;    10;    33;    89
156;Vooropleiding hbo;2005;   276;16.2;   227;    49;     5;   270;    34;   237;    10;    32;    91
157;Vooropleiding hbo;2006;   280;16.3;   228;    52;     4;   276;    36;   240;     8;    28;    92
158;Vooropleiding hbo;2007;   315;17.9;   259;    55;     5;   310;    41;   268;     8;    33;   104
159;Vooropleiding hbo;2008;   336;18.1;   277;    59;     5;   331;    46;   285;     8;    35;   109
160;Vooropleiding hbo;2009;   341;17.7;   278;    62;     7;   334;    46;   288;    10;    33;   111
161;Vooropleiding wo;2003;   139;16.7;   110;    28;     5;   134;    23;   111;     8;    12;    36
162;Vooropleiding wo;2004;   161;17.2;   128;    33;     6;   155;    33;   122;    10;    19;    41
163;Vooropleiding wo;2005;   162;16.3;   131;    31;     6;   156;    29;   127;    10;    16;    43
164;Vooropleiding wo;2006;   164;16.3;   128;    36;     5;   159;    27;   132;     9;    15;    43
165;Vooropleiding wo;2007;   191;18.6;   148;    43;     7;   184;    34;   150;    13;    20;    50
166;Vooropleiding wo;2008;   199;19.1;   151;    48;     8;   190;    33;   157;    15;    17;    54
167;Vooropleiding wo;2009;   184;18.0;   142;    43;     6;   178;    30;   149;    11;    17;    50
168;Werkzame beroepsbevolking;2003;   955;13.7;   827;   127;    27;   927;   109;   818;    35;   112;   384
169;Werkzame beroepsbevolking;2004;   908;13.2;   775;   133;    26;   883;   124;   759;    46;   113;   363
170;Werkzame beroepsbevolking;2005;   889;12.9;   753;   136;    29;   860;   107;   754;    51;   117;   360
171;Werkzame beroepsbevolking;2006;   931;13.2;   757;   174;    36;   895;   117;   778;    58;   111;   365
172;Werkzame beroepsbevolking;2007;  1063;14.7;   877;   186;    35;  1028;   144;   884;    54;   131;   407
173;Werkzame beroepsbevolking;2008;  1106;15.0;   921;   184;    35;  1071;   146;   925;    49;   126;   427
174;Werkzame beroepsbevolking;2009;  1067;14.5;   894;   173;    33;  1034;   135;   899;    48;   120;   415
175;Werkloze beroepsbevolking;2003;    38;9.9;    29;     9;     2;    36;     6;    30;     4;     8;      
176;Werkloze beroepsbevolking;2004;    52;11.2;    42;    11;     4;    49;     9;    40;     7;     9;      
177;Werkloze beroepsbevolking;2005;    49;10.4;    40;     9;     3;    46;     8;    38;     6;     8;      
178;Werkloze beroepsbevolking;2006;    43;10.7;    32;    11;     3;    40;     8;    31;     6;     7;      
179;Werkloze beroepsbevolking;2007;    38;11.5;    28;    10;     3;    35;     9;    27;     5;     6;      
180;Werkloze beroepsbevolking;2008;    34;11.7;    26;     9;     3;    32;     8;    24;     4;     6;      
181;Werkloze beroepsbevolking;2009;    44;12.0;    34;    10;     3;    41;     8;    33;     5;     9;      
182;Niet-actieven;2003;   178;5.6;   107;    72;    21;   157;    27;   131;    29;    18;      
183;Niet-actieven;2004;   181;5.7;   104;    76;    22;   158;    31;   128;    32;    18;      
184;Niet-actieven;2005;   166;5.2;    96;    70;    19;   147;    25;   122;    27;    16;      
185;Niet-actieven;2006;   180;5.8;    89;    91;    33;   147;    29;   118;    41;    15;      
186;Niet-actieven;2007;   185;6.2;    96;    89;    31;   154;    35;   119;    37;    17;      
187;Niet-actieven;2008;   182;6.3;    92;    90;    35;   147;    31;   116;    40;    17;      
188;Niet-actieven;2009;   177;6.2;    91;    86;    36;   141;    30;   111;    41;    18;      
189;Opleidingsduur 1 week of korter;2003;   243;;   228;    14;      ;   243;      ;   243;.     ;      ;   187
190;Opleidingsduur 1 week of korter;2004;   232;;   218;    14;      ;   232;      ;   232;.     ;      ;   176
191;Opleidingsduur 1 week of korter;2005;   224;;   212;    12;      ;   224;      ;   224;.     ;      ;   172
192;Opleidingsduur 1 week of korter;2006;   224;;   210;    15;      ;   224;      ;   224;.     ;      ;   172
193;Opleidingsduur 1 week of korter;2007;   252;;   236;    16;      ;   252;      ;   252;.     ;      ;   192
194;Opleidingsduur 1 week of korter;2008;   274;;   257;    17;      ;   274;      ;   274;    . ;      ;   205
195;Opleidingsduur 1 week of korter;2009;   273;;   256;    17;      ;   273;      ;   273;    . ;      ;   203
196;Opleidingsduur 1 tot 4 weken;2003;    69;;    64;     5;      ;    69;      ;    69;.     ;     4;    48
197;Opleidingsduur 1 tot 4 weken;2004;    67;;    62;     5;      ;    67;      ;    67;.     ;     4;    46
198;Opleidingsduur 1 tot 4 weken;2005;    66;;    62;     5;      ;    66;      ;    66;.     ;     3;    46
199;Opleidingsduur 1 tot 4 weken;2006;    64;;    59;     5;      ;    64;      ;    64;.     ;     4;    47
200;Opleidingsduur 1 tot 4 weken;2007;    77;;    71;     6;      ;    77;      ;    77;.     ;     6;    55
201;Opleidingsduur 1 tot 4 weken;2008;    80;;    74;     6;      ;    80;      ;    80;    . ;     6;    57
202;Opleidingsduur 1 tot 4 weken;2009;    77;;    71;     6;      ;    77;      ;    77;    . ;     6;    53
203;Opleidingsduur 1 tot 3 maanden;2003;   141;;   123;    18;      ;   141;      ;   141;.     ;    11;    74
204;Opleidingsduur 1 tot 3 maanden;2004;   140;;   122;    18;      ;   140;      ;   140;.     ;    12;    72
205;Opleidingsduur 1 tot 3 maanden;2005;   137;;   119;    19;      ;   137;      ;   137;.     ;    14;    73
206;Opleidingsduur 1 tot 3 maanden;2006;   135;;   116;    19;      ;   135;      ;   135;.     ;    14;    72
207;Opleidingsduur 1 tot 3 maanden;2007;   145;;   125;    20;      ;   145;      ;   145;.     ;    16;    77
208;Opleidingsduur 1 tot 3 maanden;2008;   147;;   125;    22;      ;   147;      ;   147;    . ;    14;    81
