ID;Landen;Perioden;BreedbandaansluitingenTotaal_1;DSL_2;Kabel_3;GlasvezelLAN_4;OverigeBreedbandaansluitingen_5
0;Australië;2001 juni;0.6;;;;
1;Australië;2001 december;0.8;;;;
2;Australië;2002 juni;1.3;;;;
3;Australië;2002 december;1.8;;;;
4;Australië;2003 juni;2.6;;;;
5;Australië;2003 december;3.5;;;;
6;Australië;2004 juni;5.2;;;;
7;Australië;2004 december;7.7;5.7;2.0;;0.1
8;Australië;2005 juni;10.9;8.5;2.4;;0.1
9;Australië;2005 december;13.8;10.8;2.6;;0.4
10;Australië;2006 juni;17.4;13.9;2.9;;0.6
11;Australië;2006 december;19.2;15.0;3.3;0.0;1.0
12;Australië;2007 juni;22.7;18.3;3.4;0.0;0.9
13;Australië;2007 december;23.3;18.4;4.2;0.0;0.7
14;Australië;2008 juni;23.5;18.6;4.2;0.0;0.8
15;Australië;2008 december;25.4;19.9;4.3;0.0;1.2
16;Australië;2009 juni;24.9;19.4;4.3;0.0;1.2
17;Australië;2009 december;24.3;19.0;4.2;0.0;1.0
18;Australië;2010 juni;23.9;19.1;4.1;0.1;0.6
19;Australië;2010 december;24.7;20.0;4.0;0.1;0.6
20;België;2001 juni;2.3;;;;
21;België;2001 december;4.4;;;;
22;België;2002 juni;6.2;;;;
23;België;2002 december;8.7;;;;
24;België;2003 juni;10.2;;;;
25;België;2003 december;11.7;;;;
26;België;2004 juni;14.2;;;;
27;België;2004 december;15.6;9.6;6.0;;0.0
28;België;2005 juni;18.2;11.0;7.3;;0.0
29;België;2005 december;18.3;11.3;7.0;;0.0
30;België;2006 juni;19.3;11.9;7.4;;0.0
31;België;2006 december;22.5;14.0;8.4;0.0;0.1
32;België;2007 juni;23.8;14.5;9.2;0.0;0.1
33;België;2007 december;25.7;15.4;10.2;0.0;0.2
34;België;2008 juni;26.4;15.8;10.4;0.0;0.2
35;België;2008 december;28.1;16.4;11.4;0.0;0.3
36;België;2009 juni;28.4;16.3;11.8;0.0;0.2
37;België;2009 december;29.2;16.5;12.3;0.2;0.2
38;België;2010 juni;30.2;16.7;13.2;0.0;0.2
39;België;2010 december;31.0;16.9;13.9;0.0;0.2
40;Canada;2001 juni;6.1;;;;
41;Canada;2001 december;8.8;;;;
42;Canada;2002 juni;10.2;;;;
43;Canada;2002 december;12.1;;;;
44;Canada;2003 juni;13.1;;;;
45;Canada;2003 december;15.1;;;;
46;Canada;2004 juni;16.4;;;;
47;Canada;2004 december;17.6;;;;
48;Canada;2005 juni;19.2;9.4;9.7;;0.1
49;Canada;2005 december;21.0;10.1;10.8;;0.1
50;Canada;2006 juni;22.4;10.8;11.5;;0.1
51;Canada;2006 december;23.8;11.4;12.3;0.0;0.1
52;Canada;2007 juni;25.0;11.9;12.9;0.0;0.1
53;Canada;2007 december;26.6;12.4;13.8;0.0;0.4
54;Canada;2008 juni;27.9;12.6;14.9;0.0;0.4
55;Canada;2008 december;29.0;13.0;15.6;0.0;0.4
56;Canada;2009 juni;29.7;13.2;15.2;0.0;1.3
57;Canada;2009 december;30.5;13.2;16.4;0.0;0.9
58;Canada;2010 juni;31.1;13.1;16.9;0.0;1.0
59;Canada;2010 december;31.7;13.3;17.2;0.1;1.0
60;Denemarken;2001 juni;2.3;;;;
61;Denemarken;2001 december;4.4;;;;
62;Denemarken;2002 juni;6.6;;;;
63;Denemarken;2002 december;8.2;;;;
64;Denemarken;2003 juni;11.0;;;;
65;Denemarken;2003 december;13.1;;;;
66;Denemarken;2004 juni;16.9;;;;
67;Denemarken;2004 december;19.0;11.8;5.5;;1.6
68;Denemarken;2005 juni;21.8;13.2;6.1;;2.4
69;Denemarken;2005 december;25.0;15.3;7.2;;2.5
70;Denemarken;2006 juni;29.3;17.4;9.0;;2.8
