ID;Perioden;GeenKerkelijkeGezindte_1;RoomsKatholiek_2;ProtestantseKerkInNederland_3;NederlandsHervormd_4;Gereformeerd_5;OverigeKerkelijkeGezindten_6;RoomsKatholiek_7;ProtestantseKerkInNederland_8;NederlandsHervormd_9;Gereformeerd_10;OverigeKerkelijkeGezindten_11
0;1849;0;38;;55;1;6;;;;;
1;1859;0;37;;55;2;6;;;;;
2;1869;0;37;;55;3;6;;;;;
3;1879;0;36;;55;4;6;;;;;
4;1889;2;35;;49;8;6;;;;;
5;1899;2;35;;48;8;6;;;;;
6;1909;5;35;;44;9;6;;;;;
7;1920;8;36;;41;9;6;;;;;
8;1930;14;36;;35;9;5;;;;;
9;1947;17;38;;31;9;5;;;;;
10;1960;18;40;;28;9;4;;;;;
11;1971;23;40;;24;9;2;20.0;;8.0;7.0;2.0
12;1975;26;38;;23;10;3;20.0;;8.0;8.0;3.0
13;1977;26;38;;22;9;3;19.0;;8.0;8.0;2.0
14;1980;26;38;;21;9;5;20.0;;8.0;7.0;3.0
15;1983;30;36;;20;9;6;18.0;;6.0;6.0;3.0
16;1985;31;37;;19;9;5;16.0;;7.0;7.0;3.0
17;1986;33;36;;19;8;5;16.0;;7.0;6.0;3.0
18;1987;32;36;;19;8;5;;;;;
19;1988;32;36;;19;8;6;15.0;;6.0;6.0;4.0
20;1989;37;31;;18;8;6;14.0;;7.0;6.0;3.0
21;1990;38;33;;17;8;5;13.0;;6.0;6.0;3.0
22;1991;37;34;;17;8;5;10.0;;5.0;5.0;3.0
23;1992;39;33;;15;8;6;10.0;;5.0;6.0;3.0
24;1993;40;32;;15;7;6;12.0;;5.0;5.0;3.0
25;1994;39;31;;14;8;8;11.0;;5.0;6.0;4.0
26;1995;40;33;;14;7;8;11.0;;5.0;4.0;4.0
27;1996;40;32;;15;8;7;10.0;;6.0;6.0;4.0
28;1997;39;32;;15;7;8;10.0;;5.0;5.0;4.0
29;1998;40;31;;14;7;9;9.0;;5.0;5.0;4.0
30;1999;41;31;;14;7;8;9.0;;5.0;5.0;4.0
31;2000;40;32;;14;7;8;9.0;;5.0;5.0;4.0
32;2001;40;31;;14;7;9;9.0;;5.0;4.0;4.0
33;2002;40;31;;14;7;8;8.0;;5.0;4.0;4.0
34;2003;42;30;;14;6;8;8.0;;5.0;4.0;4.0
35;2004;41;30;3.0;12;6;8;7.0;2.0;3.0;3.0;4.0
36;2005;41;30;5.0;11;5;9;7.0;3.0;3.0;3.0;4.0
37;2006;42;30;5.0;9;4;9;6.0;3.0;2.0;3.0;4.0
38;2007;43;28;6.0;9;4;10;7.0;4.0;2.0;3.0;4.0
39;2008;42;29;6.0;9;4;10;7.0;4.0;2.0;2.0;4.0
40;2009;44;28;6.0;9;3;10;5.0;4.0;2.0;2.0;4.0
41;2010;45;27;6.0;8;4;10;6.0;4.0;2.0;2.0;4.0
42;2011;47;27;6.0;7;4;10;5.0;4.0;2.0;2.0;4.0
43;2012;47;26;6.0;7;3;10;5.0;4.0;2.0;2.0;4.0
44;2013;47;26;5.0;7;3;11;5.0;3.0;2.0;2.0;5.0
45;2014;49;24;6.0;7;3;11;4.0;3.0;2.0;2.0;5.0
46;2015;50;24;6.0;6;3;11;4.0;3.0;2.0;2.0;5.0
47;2016;49;25;6.0;7;3;10;4.0;3.0;2.0;2.0;5.0
48;2017;50;24;6.0;7;3;10;4.0;3.0;2.0;2.0;5.0
49;2018;52;23;6.0;6;3;10;3.0;3.0;2.0;2.0;4.0
