ID;SBI93;Perioden;Bedrijven_1;TotaalAantalWerkzamePersonen_2;TotaalAantalFTE_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEVanDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;NettoOmzetTotaal_7;NettoOmzetHoofdactiviteitTotaal_8;VerkopenVanZelfvervaardigdeProducten_9;IndustrieleDiensten_10;NettoOmzetNevenactiviteitenTotaal_11;VerkopenVanHandelsgoederen_12;NietIndustrieleDiensten_13;NettoOmzetBuitenland_14;OmzetHoofdactiviteitTotaalBuitenland_15;VerkopenUitProductieInEULanden_16;VerkopenUitProductieInOverigeLanden_17;IndustrieleDienstenEULanden_18;IndustrieleDienstenOverigeLanden_19;OmzetUitNevenactiviteitenBuitenland_20;VerkopenHandelsgoederenEULanden_21;VerkopenHandelsgoederenOverigeLanden_22;NietIndustrieleDienstenEULanden_23;NietIndustrieleDienstenOverigeLanden_24;TotaalOverigeBedrijfsopbrengsten_25;Voorraadmutaties_26;Beginvoorraad_27;Eindvoorraad_28;VergoedingenUitgeleendPersoneel_29;GeactiveerdeKostenZelfvervaardigde_30;OntvangenRestitutieSubsidiebedragen_31;BedrijfsschadeUitkeringen_32;OverigeOpbrengstenNietEldersGes_33;TotaleBedrijfslasten_34;InkoopwaardeOmzetTotaal_35;InkoopwaardeGrondEnHulpstoffen_36;BeginvoorraadGrondEnHulpstoffen_37;InkopenGrondEnHulpstoffen_38;EindvoorraadGrondEnHulpstoffen_39;InkoopwaardeHandelsgoederen_40;BeginvoorraadHandelsgoederen_41;InkoopkostenVanHandelsgoederen_42;EindvoorraadHandelsgoederen_43;TotaalOverigeInkoopwaarde_44;KostenUitbesteedWerk_45;InkoopwaardeNietEldersGenoemd_46;Arbeidskosten_47;BrutoLonenEnSalarissen_48;WerkgeversdeelSocVerzekeringspremies_49;PremiesPensioenVUTInkoopsommenEnz_50;OverigeSocialeLasten_51;OverigeBedrijfslasten_52;OverigeKostenMBTPersoneel_53;BetaaldeBedragenAanUitzendbedrijven_54;KostenIngehuurdPersoneel_55;KostenStudieOfOpleiding_56;OverigePersoneelskosten_57;KostenVervoermiddelen_58;KostenHuurEnLeaseVanVervoermiddelen_59;KostenReparatieOnderhoudVervoermid_60;BrandstofkostenVervoermiddelen_61;Motorrijtuigenbelasting_62;KostenVerzekeringVervoermiddelen_63;OverigeAutokosten_64;KostenEnergieverbruik_65;KostenAardgasverbruik_66;KostenElektriciteitsverbruik_67;KostenVerbruikOverigeEnergiedragers_68;KostenVanHuisvesting_69;KostenHuurLeaseGebouwenTerreinen_70;KostenOnderhoudRepGebouwenTerreinen_71;SchoonmaakkostenVanGebouwenEnTerrein_72;MilieuheffingenEnZuiveringslasten_73;Onroerendezaakbelasting_74;KostenVerzekeringGebouwenEnTerreinen_75;OverigeHuisvestingskosten_76;KostenMachinesInstallatiesED_77;KostenHuurLeaseMachInstallatED_78;KostenReparatieMachinesED_79;OverigeMachineEnInventariskosten_80;Verkoopkosten_81;ReclameBeursEnRepresentatiekosten_82;Agentenprovisie_83;KostenReisVerblijfEnRepresentatie_84;OnderzoekOntwikkelingDoorDerden_85;OverigeVerkoopkosten_86;Communicatiekosten_87;KostenVanDienstverleningDoorDerden_88;Bankzaken_89;OverigeVerzekeringspremies_90;AccountantsEnAdvieskosten_91;Automatiseringskosten_92;KostenVuilafvoerEnVuilverwerking_93;OvKostenDienstverleningDoorDerden_94;OverigeBedrijfslasten_95;OctrooirechtenLicenties_96;BetalingenIntraconcerndienstenBeheer_97;KantoorbehoeftenContributiesAbonnement_98;KostenOverigeHuurOperationeleLease_99;OverigeKostprijsverhogendeBelastingen_100;KostenOnderhoudRepOverigeActiva_101;OngespecificeerdeAlgemeneKosten_102;AfschrijvingenOpVasteActiva_103;Bedrijfsresultaat_104;FinancieleLasten_105;FinancieelResultaat_106;FinancieleBaten_107;SaldoVoorzieningen_108;OnttrekkingenVrijvalVanVoorzieningen_109;ToevoegingenAanVoorzieningen_110;SaldoBuitengewoneBatenMinusLasten_111;BuitengewoneBaten_112;BuitengewoneLasten_113;ResultaatVoorBelastingen_114
0;D Industrie (excl. 36631 sociale..;2000;1405.0;5065.0;4811.0;4515.0;4302.0;171111.0;164062.0;139574.0;;;24488.0;;;0.0;;;;;;;;;;;7049.0;1262.0;11556.0;12818.0;60.0;432.0;759.0;35.0;4502.0;159116.0;103027.0;77499.0;6058.0;77758.0;6316.0;20326.0;1329.0;20429.0;1431.0;5201.0;4408.0;793.0;19586.0;15761.0;1969.0;1135.0;720.0;30878.0;3761.0;2201.0;600.0;223.0;738.0;581.0;345.0;54.0;89.0;8.0;14.0;71.0;3605.0;1075.0;1179.0;1352.0;1585.0;577.0;394.0;225.0;127.0;71.0;110.0;82.0;2345.0;285.0;1855.0;205.0;6488.0;1645.0;709.0;616.0;2653.0;866.0;355.0;2788.0;57.0;167.0;575.0;1060.0;225.0;704.0;9370.0;1008.0;2238.0;354.0;24.0;2541.0;76.0;3129.0;5623.0;11995.0;2028.0;-527.0;1502.0;-306.0;601.0;907.0;1101.0;2754.0;1654.0;12263.0
1;D Industrie (excl. 36631 sociale..;2001;1420.0;5080.0;4821.0;4541.0;4320.0;167845.0;162542.0;137600.0;131802.0;5788.0;24942.0;23753.0;1188.0;89135.0;72268.0;50993.0;19552.0;991.0;732.0;16867.0;11698.0;4977.0;158.0;34.0;5302.0;202.0;12535.0;12737.0;58.0;447.0;629.0;33.0;3933.0;159046.0;102020.0;75890.0;6203.0;75835.0;6148.0;20243.0;1380.0;20287.0;1424.0;5887.0;5014.0;873.0;20286.0;16510.0;2059.0;1233.0;485.0;31255.0;3867.0;2266.0;581.0;228.0;793.0;584.0;363.0;54.0;87.0;7.0;12.0;61.0;3771.0;1168.0;1147.0;1456.0;1732.0;651.0;431.0;247.0;119.0;78.0;122.0;84.0;2422.0;283.0;1938.0;200.0;6202.0;1721.0;591.0;641.0;2775.0;474.0;364.0;2782.0;55.0;168.0;608.0;915.0;246.0;792.0;9531.0;879.0;2580.0;336.0;27.0;3014.0;43.0;2653.0;5484.0;8794.0;2151.0;-684.0;1467.0;-293.0;853.0;1146.0;-1356.0;1353.0;2709.0;6460.0
2;D Industrie (excl. 36631 sociale..;2002;1480.0;4926.0;4675.0;4414.0;4205.0;165862.0;159443.0;133339.0;127004.0;6335.0;26104.0;25060.0;1044.0;92504.0;74398.0;52736.0;19464.0;1226.0;972.0;18106.0;13264.0;4627.0;97.0;118.0;6419.0;239.0;13298.0;13537.0;70.0;266.0;617.0;43.0;5184.0;156878.0;98940.0;71911.0;6153.0;72143.0;6385.0;21158.0;1361.0;21368.0;1570.0;5871.0;5021.0;765.0;21032.0;16746.0;2115.0;1713.0;458.0;31317.0;3740.0;2114.0;576.0;215.0;834.0;606.0;385.0;55.0;89.0;7.0;12.0;57.0;3712.0;1051.0;1121.0;1540.0;1847.0;684.0;428.0;280.0;126.0;65.0;180.0;84.0;2723.0;304.0;2197.0;222.0;5892.0;1541.0;597.0;628.0;2486.0;641.0;381.0;2977.0;57.0;193.0;673.0;996.0;249.0;809.0;9439.0;905.0;2750.0;347.0;35.0;3206.0;58.0;2138.0;5589.0;8984.0;3020.0;-1499.0;1520.0;-289.0;856.0;1145.0;-510.0;876.0;1386.0;6685.0
3;D Industrie (excl. 36631 sociale..;2003;1455.0;4733.0;4480.0;4272.0;4055.0;160289.0;155516.0;131751.0;125421.0;6345.0;23765.0;22653.0;1112.0;86379.0;71431.0;50702.0;18531.0;1280.0;918.0;14948.0;10952.0;3706.0;90.0;200.0;4773.0;-443.0;13303.0;12859.0;83.0;232.0;684.0;90.0;4127.0;151302.0;94820.0;71402.0;6699.0;71206.0;6504.0;17916.0;1671.0;17824.0;1579.0;5502.0;4989.0;511.0;21089.0;16782.0;2004.0;1880.0;423.0;29543.0;3593.0;2030.0;500.0;216.0;847.0;632.0;412.0;57.0;85.0;7.0;12.0;60.0;3818.0;1085.0;1152.0;1581.0;1957.0;753.0;418.0;305.0;129.0;75.0;202.0;75.0;2638.0;311.0;2098.0;229.0;5323.0;1479.0;522.0;544.0;2098.0;680.0;385.0;2710.0;59.0;218.0;367.0;1103.0;272.0;692.0;8487.0;915.0;2429.0;320.0;34.0;3143.0;54.0;1591.0;5849.0;8987.0;2842.0;-892.0;1950.0;-332.0;675.0;1008.0;-384.0;772.0;1156.0;7378.0
4;D Industrie (excl. 36631 sociale..;2004;1335.0;4549.0;4303.0;4072.0;3855.0;172233.0;168258.0;140953.0;135154.0;6055.0;27305.0;25901.0;1404.0;96508.0;79531.0;57370.0;20086.0;1221.0;854.0;16977.0;12510.0;3769.0;633.0;65.0;3975.0;56.0;12292.0;12348.0;83.0;183.0;557.0;101.0;2994.0;160531.0;104836.0;80792.0;6122.0;81212.0;6542.0;18416.0;1597.0;18384.0;1566.0;5628.0;4995.0;633.0;20698.0;16570.0;1961.0;1731.0;435.0;29508.0;3491.0;1907.0;554.0;199.0;831.0;665.0;398.0;58.0;90.0;6.0;12.0;101.0;4163.0;1143.0;1230.0;1790.0;1976.0;765.0;414.0;294.0;133.0;80.0;199.0;90.0;3119.0;360.0;2485.0;274.0;4547.0;1441.0;539.0;541.0;1190.0;836.0;344.0;2838.0;58.0;232.0;361.0;1122.0;256.0;809.0;8365.0;947.0;2186.0;308.0;35.0;3153.0;57.0;1680.0;5491.0;11702.0;3273.0;-1094.0;2179.0;-268.0;702.0;971.0;-441.0;805.0;1246.0;9899.0
5;D Industrie (excl. 36631 sociale..;2005;1255.0;4316.0;4081.0;3866.0;3651.0;190654.0;186068.0;154546.0;148883.0;5663.0;31526.0;30625.0;902.0;97998.0;77763.0;54637.0;20926.0;1325.0;875.0;20235.0;15385.0;4618.0;142.0;90.0;4587.0;-132.0;12040.0;12012.0;74.0;197.0;506.0;39.0;3903.0;178274.0;120523.0;89684.0;6333.0;89855.0;6504.0;24613.0;1534.0;24926.0;1847.0;6226.0;5699.0;527.0;20268.0;16340.0;1891.0;1725.0;312.0;32143.0;3556.0;2068.0;423.0;207.0;859.0;711.0;440.0;58.0;99.0;6.0;12.0;97.0;4630.0;1447.0;1461.0;1722.0;1946.0;786.0;405.0;278.0;121.0;88.0;190.0;79.0;3028.0;374.0;2324.0;330.0;4976.0;1514.0;586.0;556.0;1276.0;1044.0;337.0;3225.0;59.0;226.0;393.0;1099.0;247.0;1202.0;9734.0;833.0;2512.0;324.0;43.0;3380.0;55.0;2589.0;5341.0;12380.0;3850.0;-991.0;2858.0;-217.0;817.0;1034.0;293.0;1367.0;1073.0;11465.0
6;DA Vervaardiging van voedings- en..;2000;235.0;953.0;889.0;815.0;762.0;39792.0;38975.0;33995.0;;;4980.0;;;0.0;;;;;;;;;;;817.0;75.0;1972.0;2046.0;7.0;16.0;516.0;16.0;186.0;36771.0;24914.0;19944.0;1801.0;19793.0;1649.0;4408.0;254.0;4376.0;222.0;561.0;230.0;331.0;3445.0;2691.0;361.0;248.0;145.0;7440.0;759.0;480.0;92.0;39.0;148.0;156.0;65.0;21.0;30.0;3.0;3.0;34.0;473.0;229.0;200.0;44.0;340.0;96.0;63.0;74.0;57.0;11.0;20.0;19.0;551.0;62.0;415.0;75.0;1108.0;727.0;96.0;77.0;68.0;140.0;54.0;457.0;12.0;34.0;107.0;111.0;39.0;154.0;3542.0;301.0;336.0;49.0;15.0;2332.0;8.0;501.0;973.0;3021.0;382.0;-13.0;369.0;5.0;68.0;63.0;-237.0;157.0;393.0;2777.0
7;DA Vervaardiging van voedings- en..;2001;240.0;990.0;931.0;846.0;797.0;43549.0;42715.0;36456.0;36183.0;273.0;6259.0;5920.0;339.0;20277.0;18262.0;14073.0;4105.0;33.0;51.0;2015.0;1332.0;659.0;11.0;13.0;834.0;137.0;2297.0;2435.0;7.0;30.0;395.0;6.0;259.0;40103.0;27656.0;22137.0;1601.0;22282.0;1747.0;4949.0;238.0;4959.0;248.0;570.0;290.0;280.0;3703.0;2958.0;393.0;256.0;95.0;7697.0;813.0;529.0;83.0;45.0;155.0;138.0;65.0;20.0;28.0;3.0;4.0;19.0;537.0;268.0;202.0;67.0;382.0;110.0;78.0;77.0;61.0;13.0;21.0;23.0;533.0;58.0;418.0;57.0;1234.0;809.0;118.0;88.0;113.0;107.0;52.0;432.0;12.0;34.0;93.0;124.0;46.0;123.0;3576.0;336.0;476.0;54.0;20.0;2305.0;7.0;379.0;1047.0;3446.0;496.0;97.0;593.0;9.0;84.0;75.0;-35.0;127.0;162.0;3517.0
8;DA Vervaardiging van voedings- en..;2002;255.0;945.0;885.0;805.0;757.0;42887.0;42411.0;36403.0;36234.0;169.0;6008.0;5606.0;402.0;19838.0;17400.0;13331.0;3986.0;30.0;53.0;2438.0;1791.0;622.0;5.0;20.0;475.0;-187.0;2510.0;2322.0;8.0;25.0;388.0;8.0;234.0;39777.0;27034.0;21664.0;1721.0;21724.0;1781.0;4756.0;187.0;4710.0;141.0;614.0;327.0;212.0;3761.0;2913.0;394.0;382.0;73.0;7911.0;815.0;531.0;72.0;44.0;168.0;137.0;69.0;18.0;28.0;3.0;4.0;15.0;512.0;250.0;196.0;66.0;409.0;98.0;94.0;92.0;61.0;12.0;31.0;21.0;562.0;60.0;447.0;55.0;1199.0;737.0;147.0;82.0;119.0;115.0;55.0;469.0;13.0;35.0;106.0;125.0;48.0;142.0;3753.0;362.0;476.0;54.0;25.0;2413.0;27.0;397.0;1071.0;3110.0;509.0;111.0;620.0;-40.0;68.0;108.0;-19.0;220.0;240.0;3162.0
9;DA Vervaardiging van voedings- en..;2003;245.0;949.0;880.0;814.0;756.0;42959.0;42324.0;36048.0;35824.0;224.0;6276.0;6007.0;269.0;19478.0;16881.0;12968.0;3799.0;59.0;55.0;2597.0;2046.0;503.0;25.0;23.0;635.0;-138.0;2359.0;2221.0;10.0;24.0;454.0;31.0;254.0;39806.0;27128.0;21445.0;1804.0;21289.0;1648.0;5137.0;262.0;5104.0;229.0;546.0;448.0;98.0;3846.0;2999.0;385.0;401.0;61.0;7628.0;815.0;537.0;63.0;47.0;169.0;146.0;76.0;21.0;28.0;3.0;3.0;14.0;517.0;245.0;199.0;73.0;401.0;103.0;80.0;93.0;61.0;13.0;36.0;15.0;560.0;71.0;437.0;52.0;1209.0;780.0;135.0;81.0;96.0;116.0;57.0;486.0;13.0;46.0;87.0;152.0;55.0;134.0;3437.0;333.0;447.0;55.0;26.0;2319.0;14.0;242.0;1202.0;3153.0;504.0;192.0;696.0;-41.0;57.0;98.0;-182.0;132.0;314.0;3122.0
