ID;Waterschapsheffingen;Waterschappen;Perioden;Begroting_1;Realisatie_2
0;Bruto waterschapsheffingen;Nederland;2015;2643.0;2656.0
1;Bruto waterschapsheffingen;Nederland;2016;2694.0;2716.0
2;Bruto waterschapsheffingen;Nederland;2017;2742.0;2776.0
3;Bruto waterschapsheffingen;Nederland;2018;2812.0;2861.0
4;Bruto waterschapsheffingen;Nederland;2019;2903.0;2952.0
5;Bruto waterschapsheffingen;Nederland;2020;3037.0;3053.0
6;Bruto waterschapsheffingen;Nederland;2021;3138.0;3163.0
7;Bruto waterschapsheffingen;Nederland;2022;3248.0;3279.0
8;Bruto waterschapsheffingen;Nederland;2023;3514.0;3549.0
9;Bruto waterschapsheffingen;Nederland;2024;3950.0;
10;Bruto waterschapsheffingen;Nederland;2025;4270.0;
11;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2015;66.0;66.0
12;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2016;;
13;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2017;;
14;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2018;;
15;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2019;;
16;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2020;;
17;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2021;;
18;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2022;;
19;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2023;;
20;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2024;;
21;Bruto waterschapsheffingen;Waterschap Groot Salland (WS);2025;;
22;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2015;81.0;81.0
23;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2016;82.0;85.0
24;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2017;86.0;86.0
25;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2018;92.0;92.0
26;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2019;98.0;100.0
27;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2020;103.0;99.0
28;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2021;107.0;107.0
29;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2022;113.0;116.0
30;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2023;124.0;130.0
31;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2024;135.0;
32;Bruto waterschapsheffingen;Waterschap Rijn en IJssel (WS);2025;142.0;
33;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2015;184.0;184.0
34;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2016;186.0;188.0
35;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2017;;
36;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2018;;
37;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2019;;
38;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2020;;
39;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2021;;
40;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2022;;
41;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2023;;
42;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2024;;
43;Bruto waterschapsheffingen;Hhs Amstel, Gooi en Vecht (WS);2025;;
44;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2015;227.0;232.0
45;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2016;231.0;234.0
46;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2017;235.0;234.0
47;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2018;238.0;241.0
48;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2019;241.0;245.0
49;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2020;244.0;249.0
50;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2021;247.0;244.0
51;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2022;250.0;251.0
52;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2023;275.0;277.0
53;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2024;298.0;
54;Bruto waterschapsheffingen;Hoogheemraadschap van Delfland (WS);2025;310.0;
55;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2015;95.0;97.0
56;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2016;98.0;99.0
57;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2017;99.0;100.0
58;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2018;103.0;106.0
59;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2019;108.0;110.0
60;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2020;113.0;110.0
61;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2021;117.0;115.0
62;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2022;122.0;123.0
63;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2023;131.0;131.0
64;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2024;147.0;
65;Bruto waterschapsheffingen;Waterschap De Dommel (WS);2025;160.0;
66;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2015;79.0;80.0
67;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2016;79.0;79.0
68;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2017;;
