ID;Vervoermiddel;Perioden;TotaalAantalDagtochtenAbsoluut_1;TotaalAantalDagtochtenPercentage_2;MinderDan5Km_3;k_5Tot15Km_4;k_15Tot30Km_5;k_30KmOfMeer_6;Onbekend_7;k_0Tot15Minuten_8;k_15Tot30Minuten_9;k_30Tot60Minuten_10;k_1Tot2Uur_11;k_2UurOfLanger_12;Onbekend_13
0;1;1995 september - 1996 augustus;816132.0;100.0;35.0;30.0;16.0;19.0;0.0;15.0;23.0;30.0;16.0;15.0;1.0
1;1;2001 december - 2002 november;872224.0;100.0;33.0;30.0;17.0;20.0;0.0;14.0;20.0;30.0;18.0;10.0;8.0
2;1;2006 oktober - 2007 september;817764.0;100.0;31.0;29.0;18.0;22.0;0.0;12.0;20.0;31.0;20.0;11.0;5.0
3;10;1995 september - 1996 augustus;12948.0;100.0;38.0;55.0;5.0;2.0;0.0;5.0;16.0;48.0;26.0;3.0;1.0
4;10;2001 december - 2002 november;14750.0;100.0;37.0;50.0;5.0;8.0;0.0;7.0;11.0;38.0;34.0;10.0;1.0
5;10;2006 oktober - 2007 september;11157.0;100.0;35.0;56.0;9.0;1.0;0.0;6.0;15.0;43.0;32.0;3.0;0.0
6;11;1995 september - 1996 augustus;21996.0;100.0;1.0;11.0;24.0;63.0;0.0;2.0;6.0;18.0;31.0;42.0;1.0
7;11;2001 december - 2002 november;21552.0;100.0;4.0;21.0;21.0;55.0;0.0;3.0;7.0;21.0;28.0;41.0;1.0
8;11;2006 oktober - 2007 september;31457.0;100.0;1.0;10.0;25.0;64.0;0.0;2.0;7.0;15.0;31.0;44.0;1.0
9;2;1995 september - 1996 augustus;224292.0;100.0;66.0;22.0;9.0;2.0;0.0;24.0;27.0;23.0;6.0;19.0;1.0
10;2;2001 december - 2002 november;232085.0;100.0;64.0;23.0;9.0;4.0;0.0;23.0;25.0;23.0;8.0;4.0;18.0
11;2;2006 oktober - 2007 september;214269.0;100.0;68.0;22.0;8.0;3.0;0.0;21.0;29.0;27.0;8.0;3.0;13.0
12;3;1995 september - 1996 augustus;5746.0;100.0;42.0;43.0;11.0;4.0;0.0;21.0;35.0;29.0;9.0;5.0;1.0
13;3;2001 december - 2002 november;3031.0;100.0;47.0;32.0;18.0;3.0;0.0;21.0;34.0;27.0;10.0;2.0;5.0
14;3;2006 oktober - 2007 september;3350.0;100.0;39.0;38.0;19.0;4.0;0.0;18.0;12.0;44.0;23.0;2.0;1.0
15;4;1995 september - 1996 augustus;3656.0;100.0;10.0;15.0;15.0;60.0;0.0;4.0;8.0;17.0;10.0;61.0;0.0
16;4;2001 december - 2002 november;5936.0;100.0;15.0;25.0;9.0;51.0;0.0;9.0;18.0;9.0;9.0;6.0;48.0
17;4;2006 oktober - 2007 september;2655.0;100.0;4.0;16.0;7.0;72.0;0.0;1.0;6.0;16.0;6.0;14.0;57.0
18;5;1995 september - 1996 augustus;509665.0;100.0;22.0;34.0;20.0;24.0;0.0;13.0;22.0;33.0;19.0;12.0;1.0
19;5;2001 december - 2002 november;558067.0;100.0;21.0;33.0;21.0;25.0;0.0;11.0;19.0;33.0;22.0;11.0;4.0
20;5;2006 oktober - 2007 september;526587.0;100.0;19.0;32.0;22.0;27.0;0.0;10.0;18.0;34.0;24.0;11.0;2.0
21;6;1995 september - 1996 augustus;14946.0;100.0;42.0;50.0;5.0;3.0;0.0;5.0;20.0;43.0;26.0;5.0;1.0
22;6;2001 december - 2002 november;18850.0;100.0;36.0;46.0;10.0;8.0;0.0;2.0;18.0;43.0;24.0;13.0;1.0
23;6;2006 oktober - 2007 september;18060.0;100.0;18.0;51.0;23.0;8.0;0.0;2.0;11.0;42.0;27.0;17.0;1.0
24;7;1995 september - 1996 augustus;10539.0;100.0;9.0;48.0;29.0;13.0;0.0;2.0;8.0;37.0;37.0;16.0;1.0
25;7;2001 december - 2002 november;5608.0;100.0;8.0;57.0;20.0;15.0;0.0;0.0;6.0;28.0;48.0;15.0;2.0
26;7;2006 oktober - 2007 september;;;;;;;;;;;;;
27;8;1995 september - 1996 augustus;7120.0;100.0;2.0;5.0;9.0;84.0;0.0;1.0;2.0;6.0;20.0;69.0;2.0
28;8;2001 december - 2002 november;6161.0;100.0;1.0;12.0;18.0;70.0;0.0;0.0;1.0;11.0;22.0;61.0;4.0
29;8;2006 oktober - 2007 september;6500.0;100.0;1.0;7.0;9.0;83.0;0.0;3.0;1.0;8.0;28.0;58.0;1.0
30;9;1995 september - 1996 augustus;5224.0;100.0;37.0;45.0;13.0;5.0;0.0;15.0;33.0;39.0;8.0;3.0;2.0
31;9;2001 december - 2002 november;6184.0;100.0;35.0;43.0;14.0;9.0;0.0;12.0;29.0;37.0;14.0;7.0;1.0
32;9;2006 oktober - 2007 september;3730.0;100.0;32.0;40.0;18.0;11.0;0.0;13.0;30.0;36.0;19.0;3.0;0.0
