ID;MobiliteitsniveauRichting;Persoonskenmerken;Perioden;PersonenDieTweeJaarEenBaanHebben_1;Elementair_2;Lager_3;Middelbaar_4;Hoger_5;Wetenschappelijk_6
0;1;3;2003/'04;6356.0;425.0;1455.0;2516.0;1418.0;542.0
1;1;3;2004/'05;6400.0;403.0;1527.0;2538.0;1455.0;477.0
2;1;3;2005/'06;6447.0;428.0;1510.0;2563.0;1391.0;556.0
3;1;3;2006/'07;6602.0;447.0;1537.0;2598.0;1434.0;585.0
4;1;3;2007/'08;6794.0;468.0;1503.0;2683.0;1513.0;628.0
5;1;3;2008/'09;6850.0;436.0;1486.0;2704.0;1523.0;700.0
6;1;3;2009/'10;6771.0;431.0;1442.0;2642.0;1570.0;685.0
7;1;3;2010/'11;6664.0;399.0;1401.0;2575.0;1588.0;702.0
8;1;3;2011/'12;6661.0;409.0;1374.0;2595.0;1593.0;691.0
9;1;1;2003/'04;3821.0;244.0;883.0;1489.0;838.0;367.0
10;1;1;2004/'05;3826.0;242.0;913.0;1496.0;858.0;317.0
11;1;1;2005/'06;3805.0;248.0;902.0;1500.0;808.0;348.0
12;1;1;2006/'07;3889.0;271.0;921.0;1504.0;822.0;371.0
13;1;1;2007/'08;3951.0;275.0;876.0;1542.0;864.0;394.0
14;1;1;2008/'09;3958.0;241.0;872.0;1526.0;888.0;430.0
15;1;1;2009/'10;3853.0;250.0;837.0;1465.0;882.0;420.0
16;1;1;2010/'11;3779.0;231.0;807.0;1427.0;890.0;424.0
17;1;1;2011/'12;3761.0;232.0;804.0;1432.0;897.0;397.0
18;1;2;2003/'04;2535.0;181.0;572.0;1027.0;580.0;175.0
19;1;2;2004/'05;2575.0;161.0;613.0;1042.0;597.0;161.0
20;1;2;2005/'06;2642.0;181.0;608.0;1064.0;582.0;207.0
21;1;2;2006/'07;2713.0;176.0;616.0;1094.0;612.0;215.0
22;1;2;2007/'08;2843.0;193.0;627.0;1140.0;649.0;234.0
23;1;2;2008/'09;2892.0;195.0;614.0;1178.0;635.0;270.0
24;1;2;2009/'10;2918.0;182.0;605.0;1178.0;688.0;266.0
25;1;2;2010/'11;2885.0;168.0;594.0;1149.0;697.0;278.0
26;1;2;2011/'12;2900.0;177.0;570.0;1163.0;696.0;295.0
27;1;4;2003/'04;653.0;74.0;264.0;237.0;66.0;13.0
28;1;4;2004/'05;619.0;70.0;245.0;236.0;62.0;6.0
29;1;4;2005/'06;617.0;72.0;240.0;231.0;61.0;12.0
30;1;4;2006/'07;633.0;84.0;249.0;230.0;63.0;8.0
31;1;4;2007/'08;649.0;81.0;242.0;243.0;69.0;14.0
32;1;4;2008/'09;643.0;69.0;252.0;230.0;74.0;18.0
33;1;4;2009/'10;615.0;68.0;232.0;226.0;73.0;15.0
34;1;4;2010/'11;547.0;57.0;188.0;223.0;66.0;12.0
35;1;4;2011/'12;549.0;59.0;197.0;212.0;66.0;15.0
36;1;5;2003/'04;3622.0;223.0;725.0;1484.0;859.0;331.0
37;1;5;2004/'05;3602.0;196.0;750.0;1492.0;878.0;286.0
38;1;5;2005/'06;3588.0;209.0;742.0;1488.0;820.0;328.0
39;1;5;2006/'07;3607.0;213.0;739.0;1476.0;831.0;349.0
