ID;Leeftijd;BurgerlijkeStaat;Geslacht;Perioden;Personen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7
0;Totaal over de leeftijden;Personen;Totale bevolking;2003;16201840.0;2402928.0;8274698.0;4638646.0;419649.0;257859.0;208062.0
1;Totaal over de leeftijden;Personen;Totale bevolking;2004;16283904.0;2447666.0;8288797.0;4656276.0;427387.0;259979.0;203800.0
2;Totaal over de leeftijden;Personen;Totale bevolking;2005;16356555.0;2490563.0;8301162.0;4668790.0;434639.0;262126.0;199275.0
3;Totaal over de leeftijden;Personen;Totale bevolking;2006;16422792.0;2533209.0;8312038.0;4677032.0;441556.0;264377.0;194578.0
4;Totaal over de leeftijden;Personen;Totale bevolking;2007;16485214.0;2575699.0;8323185.0;4681713.0;448131.0;266708.0;189776.0
5;Totaal over de leeftijden;Personen;Totale bevolking;2008;16546020.0;2618399.0;8335457.0;4683607.0;454444.0;269156.0;184955.0
6;Totaal over de leeftijden;Personen;Totale bevolking;2009;16606609.0;2661628.0;8349580.0;4683000.0;460491.0;271733.0;180183.0
7;Totaal over de leeftijden;Personen;Totale bevolking;2010;16667137.0;2705134.0;8365759.0;4680122.0;466231.0;274351.0;175543.0
8;Totaal over de leeftijden;Personen;Totale bevolking;2011;16727458.0;2748493.0;8383798.0;4675437.0;471667.0;276966.0;171117.0
9;Totaal over de leeftijden;Personen;Totale bevolking;2012;16786978.0;2791379.0;8403004.0;4669276.0;476818.0;279506.0;166998.0
10;Totaal over de leeftijden;Personen;Totale bevolking;2013;16844911.0;2833544.0;8422794.0;4661708.0;481681.0;281928.0;163264.0
11;Totaal over de leeftijden;Personen;Totale bevolking;2014;16901118.0;2874679.0;8442662.0;4653332.0;486251.0;284188.0;160005.0
12;Totaal over de leeftijden;Personen;Totale bevolking;2015;16955706.0;2914601.0;8462303.0;4644650.0;490549.0;286301.0;157303.0
13;Totaal over de leeftijden;Personen;Totale bevolking;2016;17009007.0;2953433.0;8481428.0;4635955.0;494616.0;288332.0;155244.0
