ID;Hoofdfuncties;Perioden;TotaalLopendeEnKapitaaluitgaven_1;TotaalLopendeEnKapitaalinkomsten_2;SaldoLopendeEnKapitaalrekening_3;UitgavenLopendeUitgaven_4;InkomstenLopendeInkomsten_5;SaldoLopendeRekening_6;UitgavenKapitaalrekening_7;InkomstenKapiltaalrekening_8;SaldoKapitaalrekening_9
0;Totaal van alle hoofdfuncties;2003;130690;117151;-13540;119308;112007;-7301;11382;5144;-6238
1;Totaal van alle hoofdfuncties;2004;130016;121374;-8643;119311;116108;-3204;10705;5266;-5439
2;Totaal van alle hoofdfuncties;2005;132760;133263;503;122451;127790;5339;10310;5474;-4836
3;Totaal van alle hoofdfuncties;2006;141174;145259;4085;130641;139631;8990;10533;5628;-4905
4;Totaal van alle hoofdfuncties;2007;150865;153593;2728;139261;147789;8528;11604;5804;-5800
5;Totaal van alle hoofdfuncties;2008;159305;162061;2756;146583;156180;9596;12721;5881;-6840
6;Totaal van alle hoofdfuncties;2009*;172846;153677;-19169;155494;147648;-7846;17353;6029;-11323
7;1;2003;43996;107439;63443;42118;103320;61201;1878;4120;2242
8;1;2004;42453;111021;68568;40795;106685;65891;1658;4336;2678
9;1;2005;43209;121178;77969;41242;116465;75222;1966;4713;2747
10;1;2006;45567;130456;84889;43430;125754;82324;2137;4703;2565
11;1;2007;48380;139203;90823;46124;134371;88247;2256;4832;2576
12;1;2008;51923;142181;90258;49285;137361;88076;2638;4820;2182
13;1;2009*;52136;137644;85508;48709;132601;83892;3426;5043;1617
14;2;2003;7299;223;-7076;6799;196;-6603;501;27;-473
15;2;2004;7314;289;-7025;6754;257;-6497;560;32;-528
16;2;2005;7452;938;-6513;6724;851;-5873;728;88;-640
17;2;2006;7983;740;-7242;7112;631;-6481;871;110;-762
18;2;2007;8162;444;-7718;7412;276;-7136;750;168;-582
19;2;2008;8238;397;-7841;7760;303;-7456;478;94;-385
20;2;2009*;8657;381;-8276;8286;311;-7975;371;70;-301
21;3;2003;8254;1159;-7095;7728;1058;-6670;527;102;-425
22;3;2004;8587;1231;-7357;8127;1061;-7066;460;169;-291
23;3;2005;8712;1290;-7422;8294;1124;-7170;418;166;-252
