ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total;The Netherlands;1965;1783
1;Listed monuments total;The Netherlands;1966;9427
2;Listed monuments total;The Netherlands;1967;15729
3;Listed monuments total;The Netherlands;1968;18964
4;Listed monuments total;The Netherlands;1969;20742
5;Listed monuments total;The Netherlands;1970;28291
6;Listed monuments total;The Netherlands;1971;31320
7;Listed monuments total;The Netherlands;1972;32927
8;Listed monuments total;The Netherlands;1973;35710
9;Listed monuments total;The Netherlands;1974;36682
10;Listed monuments total;The Netherlands;1975;37577
11;Listed monuments total;The Netherlands;1976;38575
12;Listed monuments total;The Netherlands;1977;38988
13;Listed monuments total;The Netherlands;1978;39462
14;Listed monuments total;The Netherlands;1979;39774
15;Listed monuments total;The Netherlands;1980;40147
16;Listed monuments total;The Netherlands;1981;40335
17;Listed monuments total;The Netherlands;1982;40533
18;Listed monuments total;The Netherlands;1983;40735
19;Listed monuments total;The Netherlands;1984;41127
20;Listed monuments total;The Netherlands;1985;41402
21;Listed monuments total;The Netherlands;1986;41550
22;Listed monuments total;The Netherlands;1987;41634
23;Listed monuments total;The Netherlands;1988;41696
24;Listed monuments total;The Netherlands;1989;41822
25;Listed monuments total;The Netherlands;1990;42017
26;Listed monuments total;The Netherlands;1991;42284
27;Listed monuments total;The Netherlands;1992;42657
28;Listed monuments total;The Netherlands;1993;43113
29;Listed monuments total;The Netherlands;1994;43754
30;Listed monuments total;The Netherlands;1995;44249
31;Listed monuments total;The Netherlands;1996;44663
32;Listed monuments total;The Netherlands;1997;45771
33;Listed monuments total;The Netherlands;1998;46995
34;Listed monuments total;The Netherlands;1999;48718
35;Listed monuments total;The Netherlands;2000;50518
36;Listed monuments total;The Netherlands;2001;53839
37;Listed monuments total;The Netherlands;2002;57706
38;Listed monuments total;The Netherlands;2003;58415
39;Listed monuments total;The Netherlands;2004;59457
40;Listed monuments total;The Netherlands;2005;60335
41;Listed monuments total;The Netherlands;2006;61113
42;Listed monuments total;The Netherlands;2007;61414
43;Listed monuments total;The Netherlands;2008;61567
44;Listed monuments total;The Netherlands;2009;61666
45;Listed monuments total;The Netherlands;2010;61982
46;Listed monuments total;The Netherlands;2011;62228
47;Listed monuments total;The Netherlands;2012;62503
48;Listed monuments total;The Netherlands;2013;62689
49;Listed monuments total;The Netherlands;2014;62944
50;Listed monuments total;The Netherlands;2015;63088
51;Listed monuments total;The Netherlands;2016;63286
52;Listed monuments total;The Netherlands;2017;63315
53;Listed monuments total;The Netherlands;2018;63325
54;Listed monuments total;The Netherlands;2019;63323
55;Listed monuments total;Noord-Nederland (LD);1965;390
56;Listed monuments total;Noord-Nederland (LD);1966;899
57;Listed monuments total;Noord-Nederland (LD);1967;1639
58;Listed monuments total;Noord-Nederland (LD);1968;2331
59;Listed monuments total;Noord-Nederland (LD);1969;2339
60;Listed monuments total;Noord-Nederland (LD);1970;2639
61;Listed monuments total;Noord-Nederland (LD);1971;3488
62;Listed monuments total;Noord-Nederland (LD);1972;3695
63;Listed monuments total;Noord-Nederland (LD);1973;4173
64;Listed monuments total;Noord-Nederland (LD);1974;4231
65;Listed monuments total;Noord-Nederland (LD);1975;4527
66;Listed monuments total;Noord-Nederland (LD);1976;4696
67;Listed monuments total;Noord-Nederland (LD);1977;4753
68;Listed monuments total;Noord-Nederland (LD);1978;4847
69;Listed monuments total;Noord-Nederland (LD);1979;4919
70;Listed monuments total;Noord-Nederland (LD);1980;4963
71;Listed monuments total;Noord-Nederland (LD);1981;4999
72;Listed monuments total;Noord-Nederland (LD);1982;5058
73;Listed monuments total;Noord-Nederland (LD);1983;5141
74;Listed monuments total;Noord-Nederland (LD);1984;5175
75;Listed monuments total;Noord-Nederland (LD);1985;5250
76;Listed monuments total;Noord-Nederland (LD);1986;5271
77;Listed monuments total;Noord-Nederland (LD);1987;5278
78;Listed monuments total;Noord-Nederland (LD);1988;5284
79;Listed monuments total;Noord-Nederland (LD);1989;5318
80;Listed monuments total;Noord-Nederland (LD);1990;5352
81;Listed monuments total;Noord-Nederland (LD);1991;5414
82;Listed monuments total;Noord-Nederland (LD);1992;5441
83;Listed monuments total;Noord-Nederland (LD);1993;5463
84;Listed monuments total;Noord-Nederland (LD);1994;5797
85;Listed monuments total;Noord-Nederland (LD);1995;6162
86;Listed monuments total;Noord-Nederland (LD);1996;6219
