ID;SortRenter;Periods;RentIncreaseInclRentHarmonisation_1;RentIncreaseExclRentHarmonisation_2;RentHarmonisation_3
0;Total rental;2009;2.8;2.4;0.4
1;Total rental;2010;1.6;1.2;0.4
2;Commercial rental;2009;2.8;2.3;0.5
3;Commercial rental;2010;1.7;1.4;0.3
4;Non-commercial rental;2009;2.8;2.4;0.4
5;Non-commercial rental;2010;1.6;1.2;0.4
