ID;Periods;OutputBasicPrices_1;IntermediateConsumption_2;TotalGrossValueAdded_3;AAgricultureForestryAndFishing_4;BEIndustryNoConstructionEnergy_5;BMiningAndQuarrying_6;CManufacturing_7;DElectricityAndGasSupply_8;EWaterSupplyAndWasteManagement_9;FConstruction_10;GITradeTransportHotelsCatering_11;JInformationAndCommunication_12;KFinancialInstitutions_13;LRealEstateActivities_14;MNBusinessServices_15;OQGovernmentAndCare_16;RUCultureRecreationOtherServices_17;TaxesLessSubsidiesOnProducts_18;TaxesOnProducts_19;SubsidiesOnProducts_20;DifferenceImputedAndPaidVAT_21;GrossDomesticProduct_22;OutputBasicPrices_23;IntermediateConsumption_24;TotalGrossValueAdded_25;AAgricultureForestryAndFishing_26;BEIndustryNoConstructionEnergy_27;BMiningAndQuarrying_28;CManufacturing_29;DElectricityAndGasSupply_30;EWaterSupplyAndWasteManagement_31;FConstruction_32;GITradeTransportHotelsCatering_33;JInformationAndCommunication_34;KFinancialInstitutions_35;LRealEstateActivities_36;MNBusinessServices_37;OQGovernmentAndCare_38;RUCultureRecreationOtherServices_39;TaxesLessSubsidiesOnProducts_40;TaxesOnProducts_41;SubsidiesOnProducts_42;DifferenceImputedAndPaidVAT_43;GrossDomesticProduct_44;OutputBasicPrices_45;IntermediateConsumption_46;TotalGrossValueAdded_47;AAgricultureForestryAndFishing_48;BEIndustryNoConstructionEnergy_49;BMiningAndQuarrying_50;CManufacturing_51;DElectricityAndGasSupply_52;EWaterSupplyAndWasteManagement_53;FConstruction_54;GITradeTransportHotelsCatering_55;JInformationAndCommunication_56;KFinancialInstitutions_57;LRealEstateActivities_58;MNBusinessServices_59;OQGovernmentAndCare_60;RUCultureRecreationOtherServices_61;TaxesLessSubsidiesOnProducts_62;TaxesOnProducts_63;SubsidiesOnProducts_64;DifferenceImputedAndPaidVAT_65;GrossDomesticProduct_66;OutputBasicPrices_67;IntermediateConsumption_68;TotalGrossValueAdded_69;AAgricultureForestryAndFishing_70;BEIndustryNoConstructionEnergy_71;BMiningAndQuarrying_72;CManufacturing_73;DElectricityAndGasSupply_74;EWaterSupplyAndWasteManagement_75;FConstruction_76;GITradeTransportHotelsCatering_77;JInformationAndCommunication_78;KFinancialInstitutions_79;LRealEstateActivities_80;MNBusinessServices_81;OQGovernmentAndCare_82;RUCultureRecreationOtherServices_83;TaxesLessSubsidiesOnProducts_84;TaxesOnProducts_85;SubsidiesOnProducts_86;DifferenceImputedAndPaidVAT_87;GrossDomesticProduct_88;TotalCompensationOfEmployees_89;WagesAndSalaries_90;EmployersSocialContributions_91;TaxesLessSubsidies_92;TaxesOnProductionAndImports_93;Subsidies_94;Gross_95;ConsumptionOfFixedCapital_96;Net_97;GrossDomesticProduct_98;TotalCompensationOfEmployees_99;WagesAndSalaries_100;EmployersSocialContributions_101;TaxesLessSubsidies_102;TaxesOnProductionAndImports_103;Subsidies_104;Gross_105;ConsumptionOfFixedCapital_106;Net_107;GrossDomesticProduct_108;TotalCompensationOfEmployees_109;WagesAndSalaries_110;EmployersSocialContributions_111;TaxesLessSubsidies_112;TaxesOnProductionAndImports_113;Subsidies_114;Gross_115;ConsumptionOfFixedCapital_116;Net_117;GrossDomesticProduct_118;TotalCompensationOfEmployees_119;WagesAndSalaries_120;EmployersSocailContributions_121;TaxesLessSubsidies_122;TaxesOnProductionAndImports_123;Subsidies_124;Gross_125;ConsumptionOfFixedCapital_126;Net_127;GrossDomesticProduct_128;TotalGrossNationalFinalExpenditure_129;Total_130;Households_131;GeneralGovernment_132;Total_133;CorporationsAndHouseholds_134;GeneralGovernment_135;ChangesInInventories_136;Total_137;Goods_138;Services_139;Total_140;Goods_141;Services_142;GrossDomesticProduct_143;TotalGrossNationalFinalExpenditure_144;Total_145;Households_146;GeneralGovernment_147;Total_148;CorporationsAndHouseholds_149;GeneralGovernment_150;ChangesInInventories_151;Total_152;Goods_153;Services_154;Total_155;Goods_156;Services_157;GrossDomesticProduct_158;TotalGrossNationalFinalExpenditure_159;Total_160;Households_161;GeneralGovernment_162;Total_163;CorporationsAndHouseholds_164;GeneralGovernment_165;ChangesInInventories_166;Total_167;Goods_168;Services_169;Total_170;Goods_171;Services_172;GrossDomesticProduct_173;TotalGrossNationalFinalExpenditure_174;Total_175;Households_176;GeneralGovernment_177;Total_178;CorporationsAndHouseholds_179;GeneralGovernment_180;ChangesInInventories_181;Total_182;Goods_183;Services_184;Total_185;Goods_186;Services_187;GrossDomesticProduct_188
0;1969;99728;52296;47432;2849;12344;510;11834;860;338;4369;9912;1107;1668;1804;2528;8559;1094;4358;4937;886;307;51790;353817;177770;176603;1610;5561;5073;26933;3445;1855;33564;27538;3329;8353;8275;12671;47062;7110;13732;24149;2253;;198652;;;;;;;;;;;;;;;;;;;;;;;28.2;29.4;26.9;176.9;222.0;10.1;43.9;25.0;18.2;13.0;36.0;33.3;20.0;21.8;20.0;18.2;15.4;31.7;20.4;39.3;;26.1;27744;22398;5346;4339;5332;993;19707;5767;13940;51790;;;;23657;25515;2385;;18653;;198652;;;;;;;;;;;;;;18.3;20.9;41.6;;30.9;;26.1;51651;37436;27594;9842;13436;10666;2770;779;22057;17197;4860;21918;18194;3724;51790;207005;155944;109390;46567;44643;34863;9875;-2788;52981;37801;16481;56326;40531;16065;198652;;;;;;;;;;;;;;;;25.0;24.0;25.2;21.1;30.1;30.6;28.0;;41.6;45.5;29.5;38.9;44.9;23.2;26.1
1;1970;113546;60196;53350;2933;13560;699;12861;996;380;4980;11238;1226;1941;2047;2982;9864;1203;4723;5810;1122;35;58073;378645;191867;187218;1780;6393;6455;27875;3774;1927;33895;29805;3473;9349;9160;13834;49041;7181;14769;25954;2416;;210849;7.0;7.9;6.0;10.6;15.0;27.3;3.5;9.5;3.8;1.0;8.2;4.3;11.9;10.7;9.2;4.2;1.0;7.5;7.5;7.2;;6.1;30.0;31.4;28.5;164.7;212.1;10.8;46.1;26.4;19.7;14.7;37.7;35.3;20.8;22.3;21.6;20.1;16.8;32.0;22.4;46.4;;27.5;31770;25610;6160;4987;6248;1261;21316;6656;14660;58073;;;;25309;27415;2611;;19846;;210849;;;;7.0;7.4;9.5;;6.4;;6.1;;;;19.7;22.8;48.3;;33.5;;27.5;58762;42064;30799;11265;16215;13085;3130;483;25993;20304;5689;26682;22147;4535;58073;220956;165467;116303;49131;49653;39423;10278;-1668;59145;42419;18058;63693;45839;18153;210849;6.7;6.1;6.3;5.5;11.2;13.1;4.1;;11.6;12.2;9.6;13.1;13.1;13.0;6.1;26.6;25.4;26.5;22.9;32.7;33.2;30.5;;43.9;47.9;31.5;41.9;48.3;25.0;27.5
2;1971;127241;67123;60118;3093;15036;938;14098;1093;431;5633;12466;1366;2288;2249;3451;11681;1331;5787;6646;1021;162;65905;397856;202433;195802;1999;7311;8090;28575;3948;2059;32962;31368;3561;10144;9352;15017;51706;7372;14960;26588;2595;;219952;5.1;5.5;4.6;12.3;14.4;25.3;2.5;4.6;6.8;-2.8;5.2;2.5;8.5;2.1;8.6;5.4;2.7;1.3;2.4;7.4;;4.3;32.0;33.2;30.7;154.7;205.7;11.6;49.3;27.7;20.9;17.1;39.7;38.4;22.6;24.0;23.0;22.6;18.1;38.7;25.0;39.4;;30.0;36510;29194;7316;5951;7123;1172;23444;7764;15680;65905;;;;25643;28082;2789;;21215;;219952;;;;1.3;2.4;6.8;;6.9;;4.3;;;;23.2;25.4;42.0;;36.6;;30.0;65571;47499;34161;13338;18503;14904;3599;-431;29679;23041;6638;29345;24311;5034;65905;224886;170994;118860;52306;51092;40508;10639;1198;64699;46438;19699;66030;47416;19021;219952;1.8;3.3;2.2;6.5;2.9;2.8;3.5;;9.4;9.5;9.1;3.7;3.4;4.8;4.3;29.2;27.8;28.7;25.5;36.2;36.8;33.8;;45.9;49.6;33.7;44.4;51.3;26.5;30.0
3;1972;138219;70712;67507;3424;16680;1115;15565;1323;499;6132;13443;1583;2770;2699;3852;13598;1504;6296;7493;1244;47;73803;407217;204939;202847;2078;8572;9919;29956;4548;2102;31371;32321;3639;11124;10271;15247;53087;7527;15389;27404;2694;;227725;2.4;1.2;3.6;4.0;17.2;22.6;4.8;15.2;2.1;-4.8;3.0;2.2;9.7;9.8;1.5;2.7;2.1;2.9;3.1;3.8;;3.5;33.9;34.5;33.3;164.8;194.6;11.2;52.0;29.1;23.7;19.5;41.6;43.5;24.9;26.3;25.3;25.6;20.0;40.9;27.3;46.2;;32.4;40890;32535;8355;6650;8072;1422;26263;8751;17512;73803;;;;26566;29135;2915;;22504;;227725;;;;3.6;3.7;4.5;;6.1;;3.5;;;;25.0;27.7;48.8;;38.9;;32.4;71396;53023;37623;15400;19182;15643;3539;-809;33203;26069;7134;30796;25605;5191;73803;226330;176466;122444;54228;49184;39624;9557;2333;70506;51455;20218;67731;49020;18772;227725;0.6;3.2;3.0;3.7;-3.7;-2.2;-10.2;;9.0;10.8;2.6;2.6;3.4;-1.3;3.5;31.5;30.0;30.7;28.4;39.0;39.5;37.0;;47.1;50.7;35.3;45.5;52.2;27.7;32.4
4;1973;158720;81601;77119;3858;18708;1379;17329;1417;571;6806;15346;1848;3448;3191;4469;15762;1695;7302;8427;1682;557;84421;429915;216335;214181;2205;10076;10621;31838;4647;2182;31427;34331;3966;12750;11383;16332;54875;7728;15990;28527;2835;;240122;5.6;5.6;5.6;6.1;17.5;7.1;6.3;2.2;3.8;0.2;6.2;9.0;14.6;10.8;7.1;3.4;2.7;3.9;4.1;5.2;;5.4;36.9;37.7;36.0;175.0;185.7;13.0;54.4;30.5;26.2;21.7;44.7;46.6;27.0;28.0;27.4;28.7;21.9;45.7;29.5;59.3;;35.2;47392;37026;10366;7233;9108;1875;29796;9696;20100;84421;;;;27732;30423;3049;;23685;;240122;;;;4.4;4.4;4.6;;5.2;;5.4;;;;26.1;29.9;61.5;;40.9;;35.2;81641;60612;43080;17532;20906;17262;3644;123;39776;31579;8197;36996;30901;6095;84421;237501;183907;128416;55640;49995;41025;8917;-470;78094;57814;21213;74503;54258;20012;240122;4.9;4.2;4.9;2.6;1.6;3.5;-6.7;;10.8;12.4;4.9;10.0;10.7;6.6;5.4;34.4;33.0;33.5;31.5;41.8;42.1;40.9;;50.9;54.6;38.6;49.7;57.0;30.5;35.2
5;1974;188141;97292;90849;3893;24759;2098;22661;1573;649;7128;17212;2065;4051;3666;5191;18727;1935;7736;8893;1843;686;98585;445603;222902;223388;2496;11839;12693;33513;4939;2243;29802;35230;4064;13412;12546;17366;56877;8006;15088;27349;2973;;248379;3.6;3.0;4.3;13.2;17.5;19.5;5.3;6.3;2.8;-5.2;2.6;2.5;5.2;10.2;6.3;3.6;3.6;-5.6;-4.1;4.9;;3.4;42.2;43.6;40.7;156.0;209.1;16.5;67.6;31.8;28.9;23.9;48.9;50.8;30.2;29.2;29.9;32.9;24.2;51.3;32.5;62.0;;39.7;55074;42796;12278;7599;9673;2074;35912;11291;24621;98585;;;;26129;29361;3211;;24750;;248379;;;;-5.8;-3.5;5.3;;4.5;;3.4;;;;29.1;32.9;64.6;;45.6;;39.7;93205;69339;48589;20750;21989;17909;4080;1877;52186;42680;9506;46806;39120;7686;98585;242566;188823;131200;57817;47371;38425;8910;-5124;80813;59682;22158;74952;53457;22242;248379;2.1;2.7;2.2;3.9;-5.2;-6.3;-0.1;;3.5;3.2;4.5;0.6;-1.5;11.1;3.4;38.4;36.7;37.0;35.9;46.4;46.6;45.8;;64.6;71.5;42.9;62.4;73.2;34.6;39.7
6;1975;202776;104831;97945;4506;23566;3643;19923;1837;728;7589;18402;2307;4649;4165;5838;22188;2170;8623;10089;2063;597;106568;440296;217628;223538;2847;12324;13147;31552;5065;2253;28092;34702;4063;14061;13476;17513;59577;7960;14973;27284;3039;;248385;-1.2;-2.4;0.1;14.1;4.1;3.6;-5.9;2.5;0.5;-5.7;-1.5;0.0;4.8;7.4;0.8;4.7;-0.6;-0.8;-0.2;2.2;;0.0;46.1;48.2;43.8;158.3;191.2;27.7;63.1;36.3;32.3;27.0;53.0;56.8;33.1;30.9;33.3;37.2;27.3;57.6;37.0;67.9;;42.9;62325;48391;13934;8524;10885;2361;35719;13035;22684;106568;;;;25583;29124;3337;;25765;;248385;;;;-2.1;-0.8;3.9;;4.1;;0.0;;;;33.3;37.4;70.8;;50.6;;42.9;103055;79405;54948;24457;23762;18799;4963;-112;53100;42935;10165;49587;41384;8203;106568;244348;195849;135420;60651;46298;36410;9873;-1310;76945;56545;21563;72046;51179;21814;248385;0.7;3.7;3.2;4.9;-2.3;-5.2;10.8;;-4.8;-5.3;-2.7;-3.9;-4.3;-1.9;0.0;42.2;40.5;40.6;40.3;51.3;51.6;50.3;;69.0;75.9;47.1;68.8;80.9;37.6;42.9
7;1976;230746;119649;111097;5123;27067;4939;22128;2067;843;8379;20383;2618;5376;4729;6904;25150;2458;10231;12038;2894;1087;121328;460687;228097;233461;3178;14485;14212;33462;5194;2312;27947;35945;4274;14678;13797;18809;61696;7931;15669;28482;3129;;259453;4.6;4.8;4.4;11.7;17.5;8.1;6.1;2.6;2.6;-0.5;3.6;5.2;4.4;2.4;7.4;3.6;-0.4;4.7;4.4;3.0;;4.5;50.1;52.5;47.6;161.2;186.9;34.8;66.1;39.8;36.5;30.0;56.7;61.3;36.6;34.3;36.7;40.8;31.0;65.3;42.3;92.5;;46.8;69266;53595;15671;9708;13054;3346;42354;14630;27724;121328;;;;26789;30676;3588;;26765;;259453;;;;4.7;5.3;7.5;;3.9;;4.5;;;;36.2;42.6;93.2;;54.7;;46.8;117840;91023;63138;27885;25867;20408;5459;950;61120;49810;11310;57632;48007;9625;121328;255611;205184;142077;63339;46300;36333;9955;9968;83271;62103;21873;78391;55927;23218;259453;4.6;4.8;4.9;4.4;0.0;-0.2;0.8;;8.2;9.8;1.4;8.8;9.3;6.4;4.5;46.1;44.4;44.4;44.0;55.9;56.2;54.8;;73.4;80.2;51.7;73.5;85.8;41.5;46.8
8;1977;248651;129066;119585;4686;28038;5583;22455;2314;918;8866;22321;2919;5904;5254;7880;27790;2695;11449;14204;3411;656;131034;470903;232926;238891;3239;16204;15204;33269;5531;2177;26877;37975;4481;15131;14240;19384;63661;7602;16395;29741;3239;;265993;2.2;2.1;2.3;1.9;11.9;7.0;-0.6;6.5;-5.8;-3.8;5.6;4.9;3.1;3.2;3.1;3.2;-4.1;4.6;4.4;3.5;;2.5;52.8;55.4;50.1;144.7;173.0;36.7;67.5;41.8;42.2;33.0;58.8;65.1;39.0;36.9;40.7;43.7;35.5;69.8;47.8;105.3;;49.3;75741;58833;16908;11639;15412;3773;43654;16035;27619;131034;;;;28616;32211;3579;;27714;;265993;;;;6.8;5.0;-0.3;;3.5;;2.5;;;;40.7;47.8;105.4;;57.9;;49.3;130867;100516;69399;31117;29513;24244;5269;838;62459;50361;12098;62292;51602;10690;131034;266133;212794;146737;66303;49834;40878;8899;4732;82687;61457;22045;80246;57101;24076;265993;4.1;3.7;3.3;4.7;7.6;12.5;-10.6;;-0.7;-1.0;0.8;2.4;2.1;3.7;2.5;49.2;47.2;47.3;46.9;59.2;59.3;59.2;;75.5;81.9;54.9;77.6;90.4;44.4;49.3
9;1978;265481;135823;129658;4893;29025;5439;23586;2488;1004;9531;24329;3219;6883;5948;8880;30489;2969;12088;15216;3803;675;141746;484822;240545;245140;3500;18109;13736;33827;6031;2218;25403;39807;4750;16620;15192;20336;64966;7689;16975;30876;3406;;273164;3.0;3.3;2.6;8.1;11.8;-9.7;1.7;9.0;1.9;-5.5;4.8;6.0;9.8;6.7;4.9;2.1;1.2;3.5;3.8;5.2;;2.7;54.8;56.5;52.9;139.8;160.3;39.6;69.7;41.3;45.3;37.5;61.1;67.8;41.4;39.2;43.7;46.9;38.6;71.2;49.3;111.7;;51.9;82188;63838;18350;12273;16530;4257;47285;17512;29773;141746;;;;29464;33452;3815;;28822;;273164;;;;3.0;3.9;6.6;;4.0;;2.7;;;;41.7;49.4;111.6;;60.8;;51.9;142499;109800;75658;34142;32006;26236;5770;693;64507;51582;12925;65260;53428;11832;141746;274744;221188;153063;68377;50919;41768;9093;2620;84292;62689;22417;82712;58623;25290;273164;3.2;3.9;4.3;3.1;2.2;2.2;2.2;;1.9;2.0;1.7;3.1;2.7;5.0;2.7;51.9;49.6;49.4;49.9;62.9;62.8;63.5;;76.5;82.3;57.7;78.9;91.1;46.8;51.9
