ID;TypeInstelling;Perioden;TotaalAantalInstellingen_1;Kinderopvang_2;Peuterspeelzaalwerk_3;WelzijnswerkOuderen_4;SociaalCultureelWerk_5;AlgemeenMaatschappelijkWerk_6;TotaalOverGeografischGebiedVanLoca_7;BinnenEenGemeente_8;InMeerdereGemeentenInEenProvincie_9;InMeerdereProvincies_10;TotaalOverWerkgebied_11;EenGemeente_12;MeerdereGemeentenInEenProvincie_13;MeerdereProvincies_14;LichamelijkeGezondheidszorg_15;GeestelijkeGezondheidszorg_16;MedischeVerzorging_17;JeugdzorgMetEnZonderHuisvesting_18;MaatschappelijkeOpvangVolwassenen_19;Kinderopvang_20;Peuterspeelzaalwerk_21;AlgemeenMaatschappelijkWerk_22;SpecifiekMaatschappelijkWerk_23;SociaalPedagogischeDiensten_24;WelzijnswerkOuderen_25;BuurtClubhuiswerkEnOpbouwwerk_26;JeugdEnJongerenwerk_27;OverigSociaalCultureelWerk_28;BredeWelzijnsinstelling_29;OverigeMAIInstellingen_30;OverigWelzijnswerk_31;Overheid_32;Politie_33;Justitie_34;Arbeidsvoorziening_35;Onderwijs_36;CultuurSportEnRecreatie_37;Woningbouwvereniging_38;OpenbaarVervoer_39;OverigeInstellingen_40;Kwaliteitsbeleid_41;Kwaliteitscertificaat_42;Klachtenreglement_43;Clientenmedezeggenschap_44;Privacyreglement_45;Klanttevredenheidsonderzoek_46;Dagopvang_47;BuitenNaschoolseOpvang_48;Gastouderopvang_49;Peuterspeelzaalwerk_50;TotaalDagopvang_51;Bedrijfsplaatsen_52;ParticulierePlaatsen_53;SZWPlaatsen_54;GemeentePlaatsen_55;TijdelijkNietBezettePlaatsen_56;TotaalBuitenNaschoolseOpvang_57;Bedrijfsplaatsen_58;ParticulierePlaatsen_59;SZWPlaatsen_60;GemeentePlaatsen_61;TijdelijkNietBezettePlaatsen_62;TotaalWerkzamePersonen_63;TotaalExclUitgeleendPersoneel_64;TotaalPersoneelInLoondienst_65;UitvoerendAgogischPersoneel_66;LeidinggevendPersoneel_67;UitvoerendLeidinggevendPersoneel_68;OndersteunendPersoneel_69;UitzendkrachtenEnOverigeInhuur_70;ArbeidNietInLoondInclVrijwill_71;UitgeleendPersoneel_72;TotaalFteLoondienstEnInhuur_73;TotaalFteExclUitgeleendPersoneel_74;TotaalPersoneelInLoondienst_75;UitvoerendAgogischPersoneel_76;LeidinggevendPersoneel_77;UitvoerendLeidinggevendPersoneel_78;OndersteunendPersoneel_79;IngehuurdMinusUitgeleendPersoneel_80;TotaalNaarWerksoort_81;Kinderopvang_82;Peuterspeelzaalwerk_83;WelzijnswerkOuderen_84;SociaalCultureelWerk_85;AlgemeenMaatschappelijkWerk_86;OverigeWerksoorten_87;TotaalBedrijfsopbrengsten_88;TotaalOpbrengstenUitDienstverlening_89;BijdragenVanBedrijvenEnInstellingen_90;BijdragenVanParticulieren_91;TotaalOverigeBedrijfsopbrengsten_92;Loonkostensubsidies_93;AndereOverheidssubsidies_94;OverigeSubsidiesInkomensoverdrachten_95;OverigeBedrijfsopbrengstenNEG_96;TotaalBedrijfslasten_97;Arbeidskosten_98;AnderePersoneelskosten_99;AfschrijvingenVasteActiva_100;OverigeBedrijfslasten_101;Bedrijfsresultaat_102;FinancieleBaten_103;FinancieleLasten_104;FinancieelResultaat_105;OnttrekkingenVoorzieningen_106;ToevoegingenVoorzieningen_107;SaldoVoorzieningen_108;BuitengewoneBaten_109;BuitengewoneLasten_110;BuitengewoonResultaat_111;ResultaatVoorBelasting_112;TotaalKinderopvang_113;TotaalDeelnKinderenDagopvang_114;OpBedrijfsplaatsen_115;OpParticulierePlaatsen_116;OpSZWPlaatsen_117;OpGemeentePlaatsen_118;TotaalDeelnBuitenNaschoolseOpvang_119;OpBedrijfsplaatsen_120;OpParticulierePlaatsen_121;OpSZWPlaatsen_122;OpGemeentePlaatsen_123;KindkoppelingenGastouderopvang_124;DeelnemendePeuters_125;DeelnemersBezoekers_126;ProducturenUitvoeringsuren_127;DeelnemersBezoekers_128;ProducturenUitvoeringsuren_129;Clienten_130;Clientdossiers_131
0;85331 Kindercentra en peuterspeelzalen;2001;2391.0;903.0;1594.0;0.0;9.0;0.0;2391.0;2280.0;95.0;16.0;2391.0;2029.0;310.0;52.0;553.0;75.0;190.0;90.0;13.0;655.0;940.0;126.0;71.0;193.0;37.0;159.0;145.0;73.0;143.0;32.0;98.0;1067.0;118.0;25.0;147.0;944.0;127.0;136.0;18.0;243.0;1136.0;143.0;1444.0;1137.0;897.0;969.0;2388.0;1499.0;201.0;3197.0;83099.0;48159.0;17264.0;1927.0;11599.0;4150.0;40186.0;15550.0;7312.0;1896.0;11285.0;4145.0;81564.0;81395.0;54299.0;42822.0;3046.0;2673.0;5757.0;1868.0;25396.0;168.0;33159.0;33092.0;31865.0;24470.0;2227.0;1676.0;3493.0;1227.0;33092.0;78.0;20.0;0.0;1.0;0.0;0.0;1104.0;760.0;536.0;224.0;344.0;39.0;278.0;9.0;18.0;1079.0;778.0;43.0;26.0;233.0;24.0;3.0;7.0;-4.0;;;;9.0;13.0;-5.0;15.0;261739.0;164967.0;98812.0;33908.0;4021.0;28226.0;69407.0;32249.0;14268.0;4051.0;18839.0;27365.0;169780.0;;;;;0.0;0.0
1;85331 Kindercentra en peuterspeelzalen;2002;2363.0;1055.0;1470.0;0.0;8.0;0.0;2363.0;2243.0;94.0;26.0;2363.0;2013.0;291.0;59.0;646.0;64.0;195.0;117.0;25.0;626.0;953.0;98.0;68.0;108.0;13.0;121.0;103.0;33.0;116.0;14.0;61.0;776.0;66.0;31.0;88.0;742.0;88.0;62.0;10.0;131.0;1344.0;183.0;1530.0;1289.0;1119.0;1189.0;2374.0;2469.0;404.0;3276.0;94336.0;58204.0;15648.0;1836.0;9407.0;9241.0;52429.0;26069.0;7842.0;2409.0;7544.0;8564.0;76670.0;76631.0;56445.0;44556.0;3519.0;2889.0;5482.0;1558.0;18667.0;39.0;33389.0;33366.0;32394.0;25285.0;2400.0;1533.0;3175.0;972.0;33366.0;80.0;19.0;0.0;0.0;0.0;1.0;1283.0;968.0;744.0;224.0;315.0;42.0;243.0;15.0;15.0;1237.0;869.0;58.0;34.0;277.0;46.0;3.0;9.0;-6.0;;;;6.0;14.0;-9.0;31.0;267378.0;165143.0;111351.0;30838.0;4237.0;18717.0;80581.0;47977.0;14418.0;4347.0;13839.0;21654.0;182522.0;0.0;0.0;68.0;41.0;;
2;85331 Kindercentra en peuterspeelzalen;2003;2780.0;1076.0;1724.0;0.0;8.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227.0;;;;758.0;2782.0;1894.0;736.0;3893.0;103902.0;66078.0;20180.0;1012.0;8873.0;7760.0;58549.0;28791.0;9250.0;1762.0;8944.0;9803.0;76401.0;76326.0;60387.0;;;;;2063.0;13951.0;74.0;;35403.0;34250.0;;;;;1153.0;35403.0;72.0;26.0;0.0;1.0;0.0;1.0;1487.0;1189.0;891.0;298.0;298.0;40.0;204.0;37.0;16.0;1394.0;965.0;66.0;40.0;322.0;93.0;9.0;12.0;-3.0;4.0;8.0;-4.0;7.0;3.0;3.0;90.0;285222.0;181828.0;127015.0;33320.0;7235.0;14258.0;82745.0;50332.0;14080.0;6520.0;11812.0;20649.0;191296.0;0.0;0.0;71.0;45.0;;
3;85331 Kindercentra en peuterspeelzalen;2004;2865.0;1261.0;1812.0;0.0;8.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358.0;;;;1024.0;3035.0;2113.0;802.0;3934.0;112059.0;69519.0;24536.0;934.0;8597.0;8473.0;65285.0;32632.0;13955.0;1647.0;8411.0;8641.0;81173.0;81097.0;66005.0;;;;;1518.0;13650.0;76.0;;39356.0;38106.0;;;;;1250.0;39356.0;82.0;17.0;0.0;1.0;0.0;1.0;1748.0;1462.0;1035.0;426.0;287.0;37.0;198.0;33.0;19.0;1639.0;1108.0;73.0;56.0;402.0;109.0;9.0;15.0;-5.0;11.0;11.0;0.0;9.0;7.0;2.0;105.0;314520.0;196401.0;135898.0;39948.0;6672.0;13884.0;95657.0;57243.0;21146.0;6123.0;11145.0;22462.0;193121.0;0.0;0.0;80.0;49.0;;
4;85335 Instellingen welzijnswerk ouderen;2001;310.0;0.0;0.0;310.0;10.0;2.0;310.0;293.0;17.0;0.0;310.0;278.0;31.0;2.0;110.0;53.0;609.0;4.0;7.0;4.0;5.0;103.0;26.0;14.0;198.0;46.0;10.0;53.0;45.0;23.0;7.0;170.0;57.0;0.0;14.0;25.0;43.0;178.0;20.0;31.0;85.0;0.0;135.0;96.0;110.0;153.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39040.0;38574.0;2424.0;879.0;273.0;261.0;1011.0;188.0;36427.0;466.0;1698.0;1452.0;1547.0;577.0;227.0;175.0;567.0;-95.0;1452.0;0.0;0.0;97.0;1.0;0.0;2.0;122.0;49.0;10.0;39.0;72.0;3.0;61.0;4.0;5.0;124.0;48.0;7.0;3.0;65.0;-2.0;0.0;1.0;-1.0;;;;1.0;1.0;0.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;9.0;11.0
5;85335 Instellingen welzijnswerk ouderen;2002;273.0;0.0;0.0;273.0;16.0;2.0;273.0;250.0;20.0;3.0;273.0;247.0;23.0;3.0;132.0;60.0;625.0;0.0;15.0;6.0;7.0;108.0;30.0;16.0;231.0;54.0;16.0;54.0;44.0;16.0;14.0;177.0;63.0;2.0;6.0;42.0;53.0;178.0;22.0;33.0;73.0;2.0;112.0;74.0;67.0;126.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39856.0;39837.0;2286.0;831.0;263.0;256.0;936.0;278.0;37292.0;19.0;1630.0;1620.0;1456.0;531.0;220.0;168.0;537.0;164.0;1620.0;0.0;0.0;97.0;1.0;0.0;2.0;119.0;43.0;5.0;38.0;76.0;3.0;65.0;6.0;3.0;119.0;50.0;7.0;3.0;59.0;1.0;0.0;1.0;0.0;;;;1.0;2.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2449.0;1607.0;18.0;16.0;;
6;85335 Instellingen welzijnswerk ouderen;2003;340.0;0.0;0.0;340.0;29.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47435.0;47423.0;2749.0;;;;;270.0;44416.0;12.0;;1831.0;1708.0;;;;;123.0;1831.0;0.0;0.0;96.0;2.0;0.0;2.0;134.0;52.0;13.0;39.0;83.0;4.0;70.0;3.0;5.0;133.0;60.0;5.0;4.0;64.0;1.0;1.0;1.0;0.0;1.0;2.0;-1.0;1.0;2.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2726.0;1822.0;61.0;57.0;;
7;85335 Instellingen welzijnswerk ouderen;2004;295.0;0.0;0.0;295.0;17.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;122.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41441.0;41433.0;2498.0;;;;;162.0;38781.0;8.0;;1600.0;1520.0;;;;;80.0;1600.0;0.0;0.0;97.0;1.0;0.0;1.0;129.0;45.0;6.0;39.0;84.0;5.0;74.0;3.0;3.0;125.0;59.0;5.0;3.0;58.0;4.0;1.0;0.0;0.0;1.0;2.0;-1.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2386.0;1552.0;58.0;38.0;;
8;85336 Instellingen soc.-cultureel werk;2001;1341.0;45.0;154.0;131.0;1341.0;26.0;1341.0;1262.0;59.0;20.0;1341.0;1018.0;266.0;57.0;145.0;200.0;338.0;240.0;73.0;181.0;271.0;324.0;199.0;120.0;309.0;582.0;485.0;359.0;223.0;87.0;22.0;884.0;722.0;264.0;257.0;648.0;394.0;434.0;46.0;183.0;212.0;47.0;352.0;191.0;366.0;442.0;46.0;56.0;9.0;636.0;1235.0;707.0;274.0;9.0;219.0;25.0;802.0;240.0;227.0;33.0;242.0;61.0;95336.0;94662.0;17560.0;9967.0;1269.0;1625.0;4698.0;1389.0;76387.0;674.0;13065.0;12625.0;12142.0;6614.0;1010.0;1301.0;3217.0;483.0;12625.0;2.0;9.0;3.0;73.0;1.0;12.0;559.0;85.0;14.0;70.0;474.0;44.0;360.0;31.0;39.0;544.0;343.0;27.0;11.0;163.0;15.0;2.0;1.0;1.0;;;;11.0;11.0;0.0;15.0;4638.0;2563.0;1360.0;450.0;40.0;712.0;1668.0;349.0;717.0;155.0;447.0;407.0;26038.0;;;;;7697.0;9849.0
9;85336 Instellingen soc.-cultureel werk;2002;1567.0;51.0;98.0;349.0;1567.0;90.0;1567.0;1461.0;95.0;11.0;1567.0;1215.0;336.0;16.0;387.0;317.0;474.0;349.0;170.0;262.0;320.0;521.0;399.0;172.0;485.0;628.0;586.0;676.0;457.0;116.0;114.0;1044.0;721.0;306.0;355.0;718.0;553.0;575.0;83.0;243.0;415.0;37.0;325.0;135.0;365.0;383.0;66.0;46.0;6.0;405.0;1397.0;703.0;213.0;43.0;355.0;83.0;1059.0;472.0;128.0;38.0;208.0;214.0;81908.0;81027.0;16605.0;8834.0;1425.0;1399.0;4946.0;2526.0;62777.0;881.0;13116.0;12470.0;11355.0;6009.0;1125.0;1119.0;3102.0;1115.0;12470.0;3.0;6.0;4.0;71.0;3.0;12.0;559.0;63.0;17.0;46.0;496.0;46.0;392.0;31.0;26.0;549.0;351.0;32.0;12.0;153.0;10.0;2.0;1.0;1.0;;;;6.0;6.0;0.0;11.0;5552.0;2822.0;1429.0;433.0;49.0;911.0;2371.0;913.0;1012.0;57.0;389.0;359.0;20330.0;1573.0;700.0;11868.0;7896.0;;
10;85336 Instellingen soc.-cultureel werk;2003;2105.0;47.0;196.0;257.0;2105.0;125.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;;;;239.0;46.0;115.0;8.0;614.0;1591.0;830.0;215.0;58.0;378.0;110.0;2899.0;1249.0;551.0;162.0;710.0;227.0;107047.0;106930.0;20344.0;;;;;865.0;85839.0;117.0;;14299.0;13861.0;;;;;438.0;14299.0;2.0;5.0;4.0;81.0;2.0;6.0;704.0;112.0;49.0;62.0;593.0;72.0;461.0;36.0;24.0;699.0;449.0;31.0;16.0;204.0;5.0;3.0;2.0;1.0;4.0;5.0;-1.0;4.0;3.0;1.0;5.0;9015.0;2360.0;1571.0;257.0;72.0;460.0;4685.0;2402.0;1099.0;267.0;917.0;1970.0;23845.0;686.0;344.0;11760.0;7259.0;;
11;85336 Instellingen soc.-cultureel werk;2004;2085.0;18.0;162.0;224.0;2085.0;173.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.0;;;;473.0;42.0;99.0;8.0;625.0;1769.0;796.0;397.0;37.0;480.0;58.0;2885.0;1359.0;503.0;143.0;608.0;272.0;106643.0;106558.0;17209.0;;;;;1396.0;88038.0;85.0;;12954.0;11968.0;;;;;986.0;12954.0;7.0;7.0;5.0;67.0;4.0;11.0;677.0;133.0;65.0;68.0;544.0;64.0;423.0;36.0;20.0;665.0;419.0;34.0;14.0;198.0;12.0;5.0;4.0;1.0;6.0;7.0;-1.0;6.0;2.0;4.0;16.0;7815.0;2594.0;1387.0;651.0;60.0;496.0;4302.0;2282.0;1073.0;104.0;843.0;919.0;21946.0;780.0;353.0;11679.0;8180.0;;
12;85332 Instellingen alg. maatschapp. werk;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118519.0;140559.0
13;85332 Instellingen alg. maatschapp. werk;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;85332 Instellingen alg. maatschapp. werk;2003;273.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;85332 Instellingen alg. maatschapp. werk;2004;281.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;85337 Brede welzijnsinstellingen;2001;100.0;24.0;67.0;71.0;85.0;37.0;100.0;91.0;7.0;2.0;100.0;76.0;17.0;7.0;56.0;20.0;109.0;29.0;17.0;38.0;48.0;40.0;34.0;37.0;53.0;39.0;48.0;49.0;35.0;15.0;2.0;88.0;81.0;25.0;34.0;60.0;31.0;69.0;7.0;4.0;40.0;;66.0;47.0;46.0;58.0;226.0;158.0;7.0;415.0;6483.0;3533.0;1111.0;52.0;1593.0;194.0;4776.0;1588.0;808.0;181.0;1878.0;321.0;31743.0;31706.0;12613.0;8754.0;766.0;1012.0;2081.0;587.0;18543.0;37.0;8600.0;8570.0;8111.0;5544.0;574.0;611.0;1382.0;459.0;8570.0;29.0;9.0;12.0;32.0;9.0;9.0;372.0;70.0;39.0;31.0;302.0;40.0;230.0;14.0;18.0;377.0;250.0;19.0;7.0;100.0;-5.0;1.0;1.0;0.0;;;;4.0;4.0;-1.0;-5.0;18509.0;10907.0;6246.0;1813.0;265.0;2583.0;6887.0;2601.0;1339.0;299.0;2648.0;715.0;17251.0;;;;;31383.0;37189.0
17;85337 Brede welzijnsinstellingen;2002;87.0;31.0;48.0;69.0;78.0;33.0;87.0;61.0;20.0;6.0;87.0;58.0;21.0;8.0;65.0;29.0;135.0;28.0;12.0;30.0;29.0;49.0;22.0;27.0;53.0;32.0;35.0;40.0;37.0;15.0;10.0;74.0;68.0;20.0;31.0;55.0;34.0;65.0;10.0;7.0;44.0;7.0;52.0;43.0;51.0;46.0;163.0;177.0;33.0;515.0;6956.0;2986.0;1183.0;457.0;1835.0;495.0;6041.0;2144.0;1020.0;619.0;1895.0;363.0;33271.0;33080.0;13009.0;8017.0;792.0;721.0;3479.0;1130.0;19132.0;191.0;9125.0;9041.0;8499.0;5617.0;649.0;495.0;1738.0;542.0;9041.0;26.0;9.0;10.0;28.0;8.0;19.0;415.0;107.0;67.0;40.0;308.0;57.0;225.0;15.0;11.0;416.0;272.0;29.0;6.0;110.0;-1.0;1.0;0.0;0.0;;;;4.0;4.0;1.0;0.0;19594.0;10700.0;5140.0;2355.0;609.0;2596.0;7950.0;3155.0;1335.0;905.0;2554.0;944.0;17855.0;1344.0;513.0;3665.0;1986.0;;
18;85337 Brede welzijnsinstellingen;2003;95.0;25.0;45.0;60.0;74.0;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;26.0;151.0;133.0;21.0;492.0;5439.0;2620.0;675.0;200.0;1481.0;463.0;4243.0;1854.0;605.0;295.0;1110.0;379.0;29146.0;29113.0;13403.0;;;;;549.0;15194.0;33.0;;8971.0;8681.0;;;;;290.0;8971.0;13.0;11.0;14.0;34.0;11.0;17.0;439.0;114.0;79.0;35.0;325.0;47.0;239.0;31.0;8.0;436.0;288.0;23.0;9.0;117.0;3.0;1.0;1.0;0.0;4.0;3.0;0.0;3.0;3.0;1.0;4.0;13455.0;7559.0;4195.0;1149.0;248.0;1967.0;5381.0;2448.0;746.0;349.0;1838.0;515.0;21150.0;485.0;235.0;2478.0;1710.0;;
19;85337 Brede welzijnsinstellingen;2004;110.0;15.0;44.0;73.0;70.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;44.0;85.0;95.0;23.0;498.0;3783.0;1871.0;503.0;93.0;966.0;350.0;2959.0;1451.0;403.0;61.0;623.0;422.0;30511.0;30450.0;10562.0;;;;;868.0;19081.0;61.0;;7528.0;6986.0;;;;;542.0;7528.0;17.0;11.0;9.0;39.0;13.0;11.0;386.0;91.0;55.0;35.0;295.0;33.0;226.0;25.0;11.0;381.0;248.0;18.0;7.0;108.0;5.0;1.0;0.0;0.0;3.0;5.0;-3.0;1.0;2.0;-1.0;2.0;8550.0;4629.0;2477.0;816.0;317.0;1020.0;3370.0;1712.0;639.0;255.0;765.0;551.0;26516.0;461.0;260.0;3037.0;1732.0;;
20;85324 AMW bij thuiszorginstellingen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42304.0;48950.0
