ID;Sex;Characteristics;Periods;VictimsMurderManslaughter_1;VictimsMurderManslaughterRelative_2
0;Total male and female;Total;1996;240;15.5
1;Total male and female;Total;1997;237;15.2
2;Total male and female;Total;1998;208;13.2
3;Total male and female;Total;1999;230;14.5
4;Total male and female;Total;2000;223;14.0
5;Total male and female;Total;2001;264;16.5
6;Total male and female;Total;2002;224;13.9
7;Total male and female;Total;2003;247;15.2
8;Total male and female;Total;2004;223;13.7
9;Total male and female;Total;2005;197;12.1
10;Total male and female;Total;2006;159;9.7
11;Total male and female;Total;2007;164;10.0
12;Total male and female;Total;2008;176;10.7
13;Total male and female;Total;2009;175;10.6
14;Total male and female;Total;2010;158;9.5
15;Total male and female;Total;2011;165;9.9
16;Total male and female;Total;2012;157;9.4
17;Total male and female;Total;2013;147;8.7
18;Total male and female;Total;2014;144;8.5
19;Total male and female;Total;2015;120;7.1
20;Total male and female;Total;2016;108;6.3
21;Total male and female;Total;2017;158;9.2
22;Total male and female;Total;2018;119;6.9
23;Total male and female;Total;2019;125;7.2
24;Total male and female;Total;2020;121;6.9
25;Total male and female;Total;2021;126;7.2
26;Total male and female;Total;2022;143;8.1
27;Total male and female;Total;2023;125;7.0
28;Total male and female;Age: younger than 20 years;1996;29;7.7
29;Total male and female;Age: younger than 20 years;1997;36;9.5
30;Total male and female;Age: younger than 20 years;1998;26;6.8
31;Total male and female;Age: younger than 20 years;1999;26;6.7
32;Total male and female;Age: younger than 20 years;2000;27;6.9
33;Total male and female;Age: younger than 20 years;2001;25;6.4
34;Total male and female;Age: younger than 20 years;2002;28;7.1
35;Total male and female;Age: younger than 20 years;2003;30;7.5
36;Total male and female;Age: younger than 20 years;2004;25;6.3
37;Total male and female;Age: younger than 20 years;2005;27;6.8
38;Total male and female;Age: younger than 20 years;2006;23;5.8
39;Total male and female;Age: younger than 20 years;2007;28;7.1
40;Total male and female;Age: younger than 20 years;2008;16;4.1
41;Total male and female;Age: younger than 20 years;2009;23;5.9
42;Total male and female;Age: younger than 20 years;2010;24;6.1
43;Total male and female;Age: younger than 20 years;2011;18;4.6
44;Total male and female;Age: younger than 20 years;2012;21;5.4
45;Total male and female;Age: younger than 20 years;2013;19;4.9
46;Total male and female;Age: younger than 20 years;2014;14;3.6
47;Total male and female;Age: younger than 20 years;2015;9;2.4
48;Total male and female;Age: younger than 20 years;2016;8;2.1
49;Total male and female;Age: younger than 20 years;2017;17;4.5
50;Total male and female;Age: younger than 20 years;2018;13;3.4
