ID;Persoonskenmerken;Geslacht;Perioden;WerkzameBeroepsbevolking_1;RegelmatigeWerktijden_2;TotaalOnregelmatigeWerktijden_3;Avondwerk_4;Nachtwerk_5;Zaterdag_6;Zondag_7;WerktijdenOnbekend_8
0;10002;Mannen en vrouwen;2000;6917.0;2983.0;3929.0;3056.0;1133.0;3126.0;1964.0;5.0
1;10002;Mannen en vrouwen;2001 voor revisie;7021.0;3140.0;3879.0;3030.0;1131.0;3092.0;1953.0;3.0
2;10002;Mannen en vrouwen;2001 na revisie;6935.0;3077.0;3855.0;3006.0;1124.0;3089.0;1934.0;3.0
3;10002;Mannen en vrouwen;2002;7010.0;3139.0;3869.0;3068.0;1109.0;3071.0;1991.0;2.0
4;10002;Mannen en vrouwen;2003;6968.0;3037.0;3929.0;3138.0;1148.0;3105.0;2036.0;
5;10002;Mannen en vrouwen;2004;6941.0;2983.0;3956.0;3143.0;1139.0;3140.0;2069.0;2.0
6;10002;Mannen en vrouwen;2005;6973.0;3132.0;3840.0;3095.0;1145.0;2995.0;2020.0;
7;10002;Mannen en vrouwen;2006;7097.0;3155.0;3941.0;3177.0;1182.0;3108.0;2095.0;2.0
8;10002;Mannen en vrouwen;2007;7309.0;3147.0;4160.0;3348.0;1199.0;3246.0;2218.0;3.0
9;10002;Mannen en vrouwen;2008;7501.0;3200.0;4298.0;3481.0;1203.0;3353.0;2270.0;2.0
10;10002;Mannen en vrouwen;2009;7469.0;3185.0;4283.0;3503.0;1232.0;3319.0;2322.0;2.0
11;10002;Mannen en vrouwen;2010;7391.0;2882.0;4504.0;3654.0;1218.0;3445.0;2424.0;4.0
12;10002;Mannen en vrouwen;2011;7392.0;2699.0;4688.0;3802.0;1194.0;3606.0;2515.0;5.0
13;10002;Mannen en vrouwen;2012;7387.0;2708.0;4673.0;3761.0;1180.0;3621.0;2543.0;6.0
14;10002;Mannen en vrouwen;2013;7283.0;2621.0;4659.0;3741.0;1217.0;3671.0;2587.0;3.0
15;10002;Mannen;2000;4162.0;1707.0;2451.0;1908.0;804.0;1962.0;1180.0;3.0
16;10002;Mannen;2001 voor revisie;4185.0;1787.0;2397.0;1868.0;796.0;1919.0;1161.0;
17;10002;Mannen;2001 na revisie;4176.0;1770.0;2405.0;1874.0;799.0;1934.0;1159.0;
18;10002;Mannen;2002;4176.0;1784.0;2390.0;1904.0;780.0;1909.0;1184.0;2.0
19;10002;Mannen;2003;4111.0;1704.0;2406.0;1930.0;823.0;1920.0;1216.0;
20;10002;Mannen;2004;4068.0;1670.0;2396.0;1905.0;807.0;1916.0;1208.0;
21;10002;Mannen;2005;4069.0;1754.0;2314.0;1873.0;820.0;1827.0;1197.0;
22;10002;Mannen;2006;4100.0;1763.0;2337.0;1888.0;835.0;1858.0;1208.0;
23;10002;Mannen;2007;4185.0;1735.0;2450.0;1982.0;841.0;1929.0;1264.0;
24;10002;Mannen;2008;4266.0;1744.0;2520.0;2048.0;844.0;1984.0;1298.0;
25;10002;Mannen;2009;4200.0;1711.0;2488.0;2041.0;854.0;1939.0;1306.0;
26;10002;Mannen;2010;4119.0;1484.0;2632.0;2154.0;851.0;2041.0;1376.0;3.0
27;10002;Mannen;2011;4095.0;1367.0;2724.0;2239.0;833.0;2119.0;1409.0;4.0
28;10002;Mannen;2012;4069.0;1386.0;2679.0;2170.0;819.0;2097.0;1392.0;4.0
29;10002;Mannen;2013;3999.0;1311.0;2686.0;2165.0;838.0;2138.0;1436.0;2.0
30;10002;Vrouwen;2000;2755.0;1275.0;1478.0;1148.0;329.0;1164.0;784.0;2.0
