ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;BrutoLonenEnSalarissen_6;TotaleBedrijfsopbrengsten_7;TotaleNettoOmzet_8;Hoofdactiviteit_9;Nevenactiviteiten_10;Buitenland_11;Binnenland_12;OverigeBedrijfsopbrengsten_13;TotaleBedrijfslasten_14;InkoopwaardeOmzet_15;Arbeidskosten_16;AfschrijvingenOpVasteActiva_17;TotaleOverigeBedrijfslasten_18;Verkoopkosten_19;Communicatiekosten_20;KostenEnergieverbruik_21;KostenVanDienstverleningDoorDerden_22;OverigePersoneelskosten_23;KostenVervoermiddelen_24;Huisvestingskosten_25;KostenInventaris_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38
17;512 Grooth landbouwprod,levende dieren;2005;4920;;;;;803.0;20543.0;20471.0;20298.0;173.0;9079.0;11392.0;72.0;20133.0;17650.0;976.0;170.0;1337.0;175.0;39.0;42.0;324.0;165.0;172.0;170.0;51.0;198.0;410.0;-55.0;54.0;109.0;-14.0;6.0;20.0;43.0;67.0;24.0;385.0
18;5121 Groothandel in granen,zaden,veevoer;2000;1215;10.9;9.7;10.0;8.6;302.0;9991.0;9897.0;9663.0;234.0;4330.0;5567.0;94.0;9768.0;8868.0;378.0;77.0;445.0;73.0;14.0;20.0;39.0;37.0;80.0;32.0;22.0;130.0;222.0;-46.0;41.0;86.0;0.0;7.0;6.0;6.0;10.0;3.0;184.0
19;5121 Groothandel in granen,zaden,veevoer;2001;1205;10.3;9.1;9.0;7.9;276.0;9199.0;9140.0;9059.0;81.0;4455.0;4685.0;59.0;9026.0;8190.0;349.0;75.0;412.0;80.0;15.0;21.0;39.0;49.0;51.0;36.0;20.0;104.0;175.0;-24.0;43.0;67.0;3.0;7.0;4.0;2.0;15.0;13.0;155.0
20;5121 Groothandel in granen,zaden,veevoer;2002;1205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;5121 Groothandel in granen,zaden,veevoer;2003;1170;10.2;9.1;8.7;7.9;289.0;9717.0;9653.0;9449.0;204.0;4252.0;5401.0;64.0;9464.0;8598.0;367.0;71.0;428.0;57.0;12.0;14.0;70.0;41.0;45.0;35.0;22.0;131.0;250.0;-17.0;55.0;73.0;-12.0;9.0;21.0;2.0;21.0;17.0;226.0
22;5121 Groothandel in granen,zaden,veevoer;2004;1195;;;;;293.0;9925.0;9863.0;9750.0;113.0;4370.0;5493.0;62.0;9648.0;8777.0;363.0;67.0;441.0;60.0;16.0;16.0;68.0;38.0;49.0;40.0;32.0;120.0;278.0;-42.0;42.0;84.0;-8.0;2.0;12.0;-16.0;11.0;25.0;212.0
23;5121 Groothandel in granen,zaden,veevoer;2005;1190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;5122 Groothandel in bloemen en planten;2000;2295;24.4;20.7;20.3;16.6;473.0;7983.0;7957.0;7903.0;54.0;4374.0;3583.0;26.0;7720.0;6262.0;566.0;94.0;798.0;181.0;23.0;17.0;49.0;89.0;118.0;88.0;77.0;156.0;262.0;-35.0;25.0;60.0;-12.0;2.0;14.0;3.0;17.0;14.0;219.0
25;5122 Groothandel in bloemen en planten;2001;2335;24.0;20.5;19.7;16.4;459.0;8006.0;7988.0;7919.0;69.0;4327.0;3661.0;18.0;7729.0;6430.0;550.0;92.0;657.0;119.0;21.0;18.0;51.0;97.0;103.0;93.0;18.0;137.0;277.0;-39.0;18.0;57.0;-6.0;5.0;10.0;-1.0;12.0;13.0;230.0
26;5122 Groothandel in bloemen en planten;2002;2325;23.9;20.5;20.0;16.8;499.0;8480.0;8456.0;8415.0;41.0;5445.0;3011.0;24.0;8199.0;6718.0;598.0;115.0;768.0;103.0;26.0;20.0;141.0;119.0;114.0;110.0;25.0;109.0;281.0;-40.0;17.0;57.0;-5.0;6.0;10.0;4.0;23.0;19.0;240.0
