ID;Perioden;Ziekteverzuimpercentage_1;Meldingsfrequentie_2;ZiekteverzuimpercentageVJG_3;MeldingsfrequentieVJG_4;Personeelsleden_5;PersoneelssterkteFte_6
0;1992 4e kwartaal;7.3;0.63;6.7;2.1;106.2;101.1
1;1993 1e kwartaal;8.0;0.65;6.9;2.15;106.0;100.9
2;1993 2e kwartaal;6.3;0.41;6.9;2.16;107.0;101.8
3;1993 3e kwartaal;5.6;0.38;6.7;2.1;107.2;102.1
4;1993 4e kwartaal;7.6;0.64;6.8;2.12;108.1;102.9
5;1994 1e kwartaal;6.3;0.51;6.4;2.03;107.0;100.1
6;1994 2e kwartaal;5.7;0.38;6.3;1.99;107.3;100.5
7;1994 3e kwartaal;5.3;0.4;6.2;2.0;107.2;100.3
8;1994 4e kwartaal;6.5;0.53;6.0;1.87;107.4;100.5
9;1995 1e kwartaal;6.9;0.55;6.0;1.89;107.9;100.9
10;1995 2e kwartaal;6.0;0.41;6.1;1.93;107.9;100.7
11;1995 3e kwartaal;5.2;0.35;6.0;1.88;108.0;100.7
12;1995 4e kwartaal;6.9;0.54;6.2;1.93;108.2;100.7
13;1996 1e kwartaal;7.1;0.61;6.2;1.98;107.8;100.3
14;1996 2e kwartaal;5.6;0.39;6.1;1.96;108.8;101.2
15;1996 3e kwartaal;5.0;0.36;6.0;1.97;107.7;100.3
16;1996 4e kwartaal;6.2;0.48;5.9;1.9;107.5;99.9
17;1997 1e kwartaal;6.8;0.56;5.9;1.81;108.9;101.8
18;1997 2e kwartaal;5.6;0.37;6.0;1.81;95.7;89.1
19;1997 3e kwartaal;5.1;0.36;6.0;1.81;111.2;103.9
20;1997 4e kwartaal;6.2;0.48;6.1;1.8;112.1;104.8
21;1998 1e kwartaal;6.9;0.53;6.2;1.8;108.3;101.0
22;1998 2e kwartaal;6.2;0.39;6.4;1.84;104.9;97.8
23;1998 3e kwartaal;5.9;0.38;6.6;1.84;105.5;98.3
24;1998 4e kwartaal;7.4;0.54;6.6;1.84;104.6;97.5
25;1999 1e kwartaal;8.0;0.58;6.9;2.06;108.7;101.4
26;1999 2e kwartaal;6.4;0.36;7.0;1.83;109.7;102.2
27;1999 3e kwartaal;6.2;0.35;7.1;1.88;108.2;100.8
28;1999 4e kwartaal;7.9;0.54;7.1;1.83;113.4;105.6
29;2000 1e kwartaal;8.7;0.6;7.3;1.84;113.9;106.0
30;2000 2e kwartaal;7.3;0.41;7.6;1.89;114.4;106.4
31;2000 3e kwartaal;7.0;0.38;7.7;1.93;114.7;106.7
32;2000 4e kwartaal;8.2;0.51;7.8;1.9;115.4;107.4
33;2001 1e kwartaal;8.7;0.59;7.8;1.89;115.7;107.6
34;2001 2e kwartaal;7.7;0.4;7.9;1.88;117.2;108.9
35;2001 3e kwartaal;7.2;0.38;8.0;1.88;116.3;108.0
36;2001 4e kwartaal;8.1;0.5;7.9;1.87;117.2;108.8
37;2002 1e kwartaal;8.3;0.54;7.8;1.83;122.1;112.7
38;2002 2e kwartaal;6.7;0.4;7.6;1.82;124.0;114.9
39;2002 3e kwartaal;6.1;0.37;7.3;1.8;121.7;113.3
40;2002 4e kwartaal;6.8;0.51;7.0;1.81;126.7;117.2
41;2003 1e kwartaal;7.4;0.57;6.7;1.84;117.8;109.5
42;2003 2e kwartaal;6.3;0.39;6.6;1.84;117.9;109.0
43;2003 3e kwartaal;5.7;0.38;6.6;1.86;116.1;107.6
44;2003 4e kwartaal;7.0;0.54;6.6;1.89;117.5;108.9
45;2004 1e kwartaal;7.0;0.55;6.5;1.87;117.1;108.9
46;2004 2e kwartaal;6.1;0.4;6.4;1.88;117.3;108.8
47;2004 3e kwartaal;5.6;0.37;6.4;1.86;115.8;107.5
48;2004 4e kwartaal;6.7;0.55;6.3;1.86;108.7;101.2
