ID;Sectoren;Perioden;TotaalOverheidssaldo_1;Inkomsten_2;Uitgaven_3;OverheidsschuldEMU_4;TotaalMutatieOverheidsschuld_5;OverheidstekortEMU_6;TransactiesInFinancieleActiva_7;TransactiesInTransitorischeSchulden_8;Waarderingsverschillen_9;StatistischVerschil_10;AandeelOverheidsschuld_11;Overheidssaldo_12;OverheidsschuldEMU_13;AandeelOverheidsschuld_14
0;Overheid;1995;-27953.0;146760.0;-174713.0;239108.0;;27953.0;-17473.0;3616.0;;222.0;239108.0;-8.6;73.5;73.5
1;Overheid;1996;-5889.0;154096.0;-159985.0;243795.0;4687.0;5889.0;-255.0;-759.0;-288.0;100.0;243795.0;-1.7;71.5;71.5
2;Overheid;1997;-4646.0;160855.0;-165501.0;240118.0;-3677.0;4646.0;-4251.0;-3412.0;-170.0;-490.0;240118.0;-1.3;65.8;65.8
3;Overheid;1998;-3522.0;168195.0;-171717.0;244166.0;4048.0;3522.0;-292.0;233.0;965.0;-380.0;244166.0;-0.9;62.7;62.7
4;Overheid;1999 1e kwartaal;-302.0;43038.0;-43340.0;;;302.0;-740.0;-613.0;;1014.0;;;;
5;Overheid;1999 2e kwartaal;-1071.0;46186.0;-47257.0;;;1071.0;-695.0;1851.0;;425.0;;;;
6;Overheid;1999 3e kwartaal;868.0;43607.0;-42739.0;;;-868.0;981.0;-5963.0;;-2537.0;;;;
7;Overheid;1999 4e kwartaal;1858.0;48835.0;-46977.0;242472.0;;-1858.0;-347.0;1797.0;;831.0;242472.0;0.3;58.4;58.4
8;Overheid;1999;1353.0;181666.0;-180313.0;242472.0;-1694.0;-1353.0;-801.0;-2928.0;3655.0;-267.0;242472.0;0.3;58.4;58.4
9;Overheid;2000 1e kwartaal;-521.0;44955.0;-45476.0;251029.0;8557.0;521.0;3920.0;-2135.0;2266.0;3985.0;251029.0;0.3;59.3;59.3
10;Overheid;2000 2e kwartaal;1632.0;51290.0;-49658.0;242615.0;-8414.0;-1632.0;-6992.0;2735.0;-2806.0;281.0;242615.0;0.9;56.2;56.2
11;Overheid;2000 3e kwartaal;3968.0;46083.0;-42115.0;242630.0;15.0;-3968.0;3400.0;-3867.0;4298.0;152.0;242630.0;1.6;55.1;55.1
12;Overheid;2000 4e kwartaal;3341.0;53229.0;-49888.0;231552.0;-11078.0;-3341.0;-3767.0;3653.0;-3356.0;-4267.0;231552.0;1.9;51.7;51.7
13;Overheid;2000;8420.0;195557.0;-187137.0;231552.0;-10920.0;-8420.0;-3439.0;386.0;402.0;151.0;231552.0;1.9;51.7;51.7
14;Overheid;2001 1e kwartaal;-527.0;48176.0;-48703.0;233056.0;1504.0;527.0;802.0;-1891.0;2695.0;-629.0;233056.0;1.8;51.0;51.0
15;Overheid;2001 2e kwartaal;-781.0;53069.0;-53850.0;242248.0;9192.0;781.0;5903.0;3082.0;-2029.0;1455.0;242248.0;1.3;52.1;52.1
16;Overheid;2001 3e kwartaal;-355.0;48732.0;-49087.0;238893.0;-3355.0;355.0;-3572.0;-1334.0;2270.0;-1074.0;238893.0;0.4;50.7;50.7
17;Overheid;2001 4e kwartaal;3.0;53935.0;-53932.0;233944.0;-4949.0;-3.0;-5707.0;3365.0;-2532.0;-72.0;233944.0;-0.3;49.1;49.1
18;Overheid;2001;-1660.0;203912.0;-205572.0;233944.0;2392.0;1660.0;-2574.0;3222.0;404.0;-320.0;233944.0;-0.3;49.1;49.1
19;Overheid;2002 1e kwartaal;-1673.0;49846.0;-51519.0;238379.0;4435.0;1673.0;2951.0;-2919.0;1388.0;1342.0;238379.0;-0.6;49.6;49.6
20;Overheid;2002 2e kwartaal;-3620.0;53758.0;-57378.0;241541.0;3162.0;3620.0;1057.0;2100.0;-2568.0;-1047.0;241541.0;-1.2;49.8;49.8
21;Overheid;2002 3e kwartaal;-3154.0;48326.0;-51480.0;240608.0;-933.0;3154.0;-4298.0;-5145.0;3575.0;1781.0;240608.0;-1.7;49.1;49.1
22;Overheid;2002 4e kwartaal;-1836.0;54796.0;-56632.0;239574.0;-1034.0;1836.0;-1438.0;3369.0;-2928.0;-1873.0;239574.0;-2.1;48.4;48.4
23;Overheid;2002;-10283.0;206726.0;-217009.0;239574.0;5630.0;10283.0;-1728.0;-2595.0;-533.0;203.0;239574.0;-2.1;48.4;48.4
24;Overheid;2003 1e kwartaal;-2831.0;51198.0;-54029.0;247020.0;7446.0;2831.0;2980.0;-886.0;1947.0;574.0;247020.0;-2.3;49.5;49.5
25;Overheid;2003 2e kwartaal;-4601.0;54849.0;-59450.0;245823.0;-1197.0;4601.0;-1945.0;-1474.0;-2527.0;148.0;245823.0;-2.5;49.0;49.0
26;Overheid;2003 3e kwartaal;-6008.0;48494.0;-54502.0;251635.0;5812.0;6008.0;639.0;-4179.0;3893.0;-549.0;251635.0;-3.0;50.0;50.0
27;Overheid;2003 4e kwartaal;-1843.0;56842.0;-58685.0;251180.0;-455.0;1843.0;-1393.0;2479.0;-2714.0;-670.0;251180.0;-3.0;49.6;49.6
28;Overheid;2003;-15283.0;211383.0;-226666.0;251180.0;11606.0;15283.0;281.0;-4060.0;599.0;-497.0;251180.0;-3.0;49.6;49.6
29;Overheid;2004 1e kwartaal;-3172.0;51541.0;-54713.0;257719.0;6539.0;3172.0;1728.0;305.0;1529.0;-195.0;257719.0;-3.1;50.5;50.5
30;Overheid;2004 2e kwartaal;-3781.0;56299.0;-60080.0;261567.0;3848.0;3781.0;3686.0;-2311.0;-2425.0;1117.0;261567.0;-2.9;50.8;50.8
31;Overheid;2004 3e kwartaal;-2209.0;52152.0;-54361.0;265800.0;4233.0;2209.0;-2635.0;2372.0;3674.0;-1387.0;265800.0;-2.1;51.2;51.2
32;Overheid;2004 4e kwartaal;136.0;59619.0;-59483.0;260790.0;-5010.0;-136.0;-4817.0;1960.0;-2626.0;609.0;260790.0;-1.7;49.8;49.8
33;Overheid;2004;-9026.0;219611.0;-228637.0;260790.0;9610.0;9026.0;-2038.0;2326.0;152.0;144.0;260790.0;-1.7;49.8;49.8
34;Overheid;2005 1e kwartaal;-1229.0;53417.0;-54646.0;261941.0;1151.0;1229.0;1883.0;-2338.0;1752.0;-1375.0;261941.0;-1.3;49.6;49.6
35;Overheid;2005 2e kwartaal;-2805.0;57265.0;-60070.0;276470.0;14529.0;2805.0;13674.0;3152.0;-2172.0;-2930.0;276470.0;-1.1;51.8;51.8
36;Overheid;2005 3e kwartaal;-8.0;54611.0;-54619.0;270194.0;-6276.0;8.0;-8641.0;-2773.0;3214.0;1916.0;270194.0;-0.7;50.1;50.1
37;Overheid;2005 4e kwartaal;2645.0;64177.0;-61532.0;268417.0;-1777.0;-2645.0;-810.0;2107.0;-2207.0;1778.0;268417.0;-0.3;49.2;49.2
38;Overheid;2005;-1397.0;229470.0;-230867.0;268417.0;7627.0;1397.0;6106.0;148.0;587.0;-611.0;268417.0;-0.3;49.2;49.2
39;Overheid;2006 1e kwartaal;-439.0;59436.0;-59875.0;269487.0;1070.0;439.0;-111.0;-2708.0;2140.0;1310.0;269487.0;-0.1;48.6;48.6
40;Overheid;2006 2e kwartaal;-621.0;64322.0;-64943.0;270310.0;823.0;621.0;1001.0;1178.0;-2021.0;44.0;270310.0;0.3;48.0;48.0
41;Overheid;2006 3e kwartaal;-1034.0;58244.0;-59278.0;267902.0;-2408.0;1034.0;-7627.0;1148.0;3144.0;-107.0;267902.0;0.1;47.0;47.0
