ID;Grensovergang;PlaatsVanLading;PlaatsVanLossing;TypeSchip;NationaliteitVlagVanHetSchip;Periode;AantalReizen_1;Laadvermogen_2;VaartuigkilometersTotaal_3;VaartuigkilometersInNederland_4;AantalBeladenReizen_5;Laadvermogen_6;VaartuigkilometersTotaal_7;VaartuigkilometersInNederland_8;LaadvermogentonkilometersTotaal_9;LaadvermogentonkilometersInNederland_10;LaadvermogentonkilometersTotaal_11;LaadvermogentonkilometersInNederland_12;LadingtonkilometersTotaal_13;LadingtonkilometersInNederland_14;TotaalVervoerdGewicht_15;LandbouwproductenDieren_16;VoedingsproductenVeevoeder_17;VasteBrandstoffen_18;AardolienAardolieproducten_19;ErtsenEnMetaalresiduen_20;MetalenMetalenHalffabrikaten_21;RuweMineralenEnBouwmaterialen_22;Meststoffen_23;ChemischeProducten_24;OverigeGoederenEnFabrikaten_25
0;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;1996;170256;288407;75548664;25554983;121383;194488;58940312;18454736;125170004;43043455;93567417;29451944;64194514;21162262;140358;5528;7480;12732;26702;32474;6623;24164;3947;10907;9800
1;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;1997;195848;328074;88464194;30391271;147351;245169;69934265;23077306;148579046;50582781;114774152;37984920;75666679;26051681;168787;6533;8809;16622;32172;36011;5855;27593;5554;12217;17422
2;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;1998;171018;289987;76332955;26251536;126753;213149;59775913;19748654;129000118;44236178;98406099;32863762;70664547;24361367;158376;5918;8239;18458;26055;35144;9605;24005;4523;11250;15177
3;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;1999;170984;296645;76657674;26732106;122799;213447;58636629;19503977;132273467;45943994;99309671;33378041;68958254;23802325;152149;6071;7802;16517;23291;32701;5796;25604;5006;11733;17628
4;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2000;162367;292152;72619290;25942522;113552;200925;54997981;18593255;129810620;46257019;95638582;32419423;70255602;24547221;153296;5690;7224;18328;24114;31135;6876;23062;5163;12982;18722
5;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2001;190375;331152;84685407;28782937;117776;209855;58466802;18241763;150366126;50299990;102831589;32448080;77139147;25070919;163305;6038;8763;21164;25844;31282;9550;26088;4214;12503;17862
6;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2002;154391;287700;67049518;23648028;105074;192924;50394572;16444550;124653701;43949731;91501226;30024929;68431252;23125889;149123;5431;7769;23078;21053;29133;6597;22889;4815;14641;13717
7;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2003;181738;371392;78395110;27691540;113988;216166;53738260;17736955;156655296;56515791;99381221;33482180;61144679;21072975;136621;4302;7243;19595;19131;29318;6788;20098;3283;12938;13928
8;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2004;156225;305307;65565058;23630008;124449;242419;57437368;19269989;126748038;46134998;110378593;37369056;66276563;23202377;151683;4179;7766;22690;19324;32067;8420;21904;3321;14120;17890
9;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2005;153802;308019;64241535;23219938;124136;247680;57234646;19157127;127744032;46558281;113412239;38142210;64932445;22676047;148256;4473;7831;20653;19945;30661;8329;20581;3044;14508;18233
10;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Alle vlaggen;2006;151502;308857;62585962;22883325;122938;249812;55801007;18993147;127096071;46623348;112818024;38441029;66198875;23474978;153685;4475;7827;22173;21263;30719;8398;21699;3056;15065;19010
11;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;1996;113000;183974;47838551;16733804;82824;126669;38354885;12420392;76555738;27179420;58571418;18986444;40323108;13710722;91965;3906;5800;7365;14643;19863;3552;19929;2922;7092;6893
12;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;1997;127876;199581;55541937;19538211;98315;151855;45232422;15208740;88092949;30493241;69990756;23405412;46778172;16258738;105812;4707;7283;10629;15894;18144;3182;23080;4222;7517;11158
13;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;1998;108940;171606;46634430;16424578;82851;129967;37645350;12690428;74791091;25893528;59003033;19848394;42898855;14853484;97481;4186;6447;10952;12288;17889;5545;20137;3403;6781;9852
14;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;1999;112477;186754;47705233;17268046;82334;137790;37305260;12849101;80202326;28570829;61812748;21304967;42068889;14794799;95308;4125;6137;9986;10278;17828;3341;21301;3729;6761;11821
15;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;2000;104168;177492;44505256;16347124;74708;125454;34695978;12033011;76853244;27737084;58311179;19984193;42382787;14913510;94381;4096;5788;9721;10379;17911;3673;18557;3711;7391;13152
16;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;2001;121465;202211;49570596;18027604;76151;129390;35221033;11589338;85779617;30272563;60308719;19741508;45307864;15231163;100640;4299;6574;12511;10429;18076;4991;21329;3017;7146;12269
17;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;2002;97740;173623;39997992;14627747;68425;120413;31037979;10477203;72224455;26084540;55001551;18424951;41031403;14101950;92554;3804;5972;14122;8420;16244;3712;18935;3218;8390;9737
18;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;2003;122346;253034;48771020;18117512;75692;141326;33090208;11438684;99694801;37718315;60853873;21388567;37696677;13578542;90356;3127;5504;13423;7186;20481;3898;17003;2225;7980;9531
19;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;2004;106744;207404;41228240;15764702;82634;160927;35277742;12503654;80464688;30824418;68594410;24396064;42540259;15640404;104090;3014;5755;15626;7268;22485;6032;18744;2277;9096;13790
20;Lobith;0;Totaal gelost, Nederland en buitenland;Alle binnenschepen;Nederlandse;2005;106103;210468;40747427;15638859;83083;165065;35428787;12520787;81486802;31270431;70791444;24969800;41966229;15379643;102498;3192;6133;14668;7432;21893;5946;17570;2057;9650;13956
