ID;DienstenAccountancy;Perioden;Prijsindexcijfers_1;Jaarmutaties_2;Prijsindexcijfers_3;Jaarmutaties_4;Prijsindexcijfers_5;Jaarmutaties_6;Prijsindexcijfers_7;Jaarmutaties_8
0;Totaal diensten accountancy;2004; 100,0;      ; 100,0;      ; 100,0;      ; 100,0;      
1;Totaal diensten accountancy;2005; 104,3;   4,3; 106,0;   6,0; 107,5;   7,5; 106,6;   6,6
2;Totaal diensten accountancy;2006; 110,5;   5,9; 109,1;   2,9; 112,4;   4,6; 112,8;   5,8
3;Totaal diensten accountancy;2007; 115,2;   4,3; 117,1;   7,3; 119,1;   6,0; 118,4;   5,0
4;Financiële administratie;2004;   100;      ;   100;      ;   100;      ;   100;      
5;Financiële administratie;2005;   107;     7;   109;     9;   108;     8;   106;     6
6;Financiële administratie;2006;   112;     5;   109;     0;   110;     2;   110;     4
7;Financiële administratie;2007;   114;     2;   115;     6;   116;     5;   115;     5
8;Advisering (exclusief belastingadvies);2004;   100;      ;   100;      ;   100;      ;   100;      
9;Advisering (exclusief belastingadvies);2005;   100;     0;   110;    10;   109;     9;   113;    13
10;Advisering (exclusief belastingadvies);2006;   109;     9;   113;     3;   115;     6;   117;     4
11;Advisering (exclusief belastingadvies);2007;   113;     4;   119;     5;   116;     1;   121;     3
12;Accountantscontrole;2004;   100;      ;   100;      ;   100;      ;   100;      
13;Accountantscontrole;2005;   103;     3;   105;     5;   105;     5;   108;     8
14;Accountantscontrole;2006;   111;     8;   109;     4;   115;    10;   116;     7
15;Accountantscontrole;2007;   117;     5;   120;    10;   122;     6;   122;     5
16;Belastingadvies;2004;   100;      ;   100;      ;   100;      ;   100;      
17;Belastingadvies;2005;   102;     2;   104;     4;   111;    11;   110;    10
18;Belastingadvies;2006;   111;     9;   112;     8;   119;     7;   117;     6
19;Belastingadvies;2007;   120;     8;   120;     7;   124;     4;   125;     7
20;Overige dienstverlening;2004;   100;      ;   100;      ;   100;      ;   100;      
21;Overige dienstverlening;2005;   106;     6;   100;     0;   103;     3;    94;    -6
22;Overige dienstverlening;2006;   104;    -2;   103;     3;   103;     0;   102;     9
23;Overige dienstverlening;2007;   108;     4;   110;     7;   116;    13;   108;     6
