ID;SBI1993;Perioden;BanenVanWerknemersTotaal_1;MannelijkeWerknemers_2;VrouwelijkeWerknemers_3
0;01-93 Totaal SBI '93;1993 30 september;5508.5;3354.3;2154.2
1;01-93 Totaal SBI '93;1994 30 september;5557.2;3351.9;2205.2
2;01-93 Totaal SBI '93;1995 31 december;5627.0;3368.5;2258.5
3;01-93 Totaal SBI '93;1995 31 december nader voorlopig;5677.4;3419.2;2258.2
4;01-93 Totaal SBI '93;1996 31 december nader voorlopig;5869.2;3512.8;2356.5
5;01-93 Totaal SBI '93;1997 31 december nader voorlopig;6067.2;3597.6;2469.6
6;01-93 Totaal SBI '93;1998 31 december nader voorlopig;6261.8;3682.3;2579.5
7;01-93 Totaal SBI '93;1999 31 december voorlopig;6465.9;3763.7;2702.2
8;01-93 Totaal SBI '93;1999 31 december nader voorlopig;6694.1;3863.4;2830.7
9;01-93 Totaal SBI '93;2000 31 december voorlopig;6889.1;3941.8;2947.3
10;01-93 Totaal SBI '93;2000 31 december nader voorlopig;6870.7;3932.2;2938.6
11;01-93 Totaal SBI '93;2001 31 december voorlopig;7011.9;3979.5;3032.3
12;01-93 Totaal SBI '93;2001 31 december nader voorlopig;6998.6;3969.9;3028.7
13;01-93 Totaal SBI '93;2002 31 december voorlopig;7058.5;3957.6;3100.8
14;01-93 Totaal SBI '93;2002 31 december nader voorlopig;7055.6;3953.7;3101.8
15;01-93 Totaal SBI '93;2003 31 december voorlopig;6979.4;3874.7;3104.7
16;01-93 Totaal SBI '93;2003 31 december nader voorlopig;6994.7;3885.9;3108.7
17;01-93 Totaal SBI '93;2004 31 december voorlopig;6929.4;3825.0;3104.4
18;01-93 Totaal SBI '93;2004 31 december nader voorlopig;6947.4;3833.1;3114.2
19;01-93 Totaal SBI '93;2005 31 december voorlopig;6975.4;3818.4;3157.0
20;01-05 Landbouw en visserij;1993 30 september;98.0;76.0;22.0
21;01-05 Landbouw en visserij;1994 30 september;96.8;75.0;21.8
22;01-05 Landbouw en visserij;1995 31 december;84.3;66.3;18.0
23;01-05 Landbouw en visserij;1995 31 december nader voorlopig;82.9;64.9;17.9
24;01-05 Landbouw en visserij;1996 31 december nader voorlopig;87.2;67.4;19.7
25;01-05 Landbouw en visserij;1997 31 december nader voorlopig;90.5;68.8;21.6
26;01-05 Landbouw en visserij;1998 31 december nader voorlopig;94.0;69.7;24.4
27;01-05 Landbouw en visserij;1999 31 december voorlopig;97.1;71.1;26.0
28;01-05 Landbouw en visserij;1999 31 december nader voorlopig;100.6;72.0;28.6
29;01-05 Landbouw en visserij;2000 31 december voorlopig;102.9;73.1;29.8
30;01-05 Landbouw en visserij;2000 31 december nader voorlopig;102.3;72.5;29.7
31;01-05 Landbouw en visserij;2001 31 december voorlopig;102.9;75.7;27.2
32;01-05 Landbouw en visserij;2001 31 december nader voorlopig;102.8;75.5;27.3
33;01-05 Landbouw en visserij;2002 31 december voorlopig;101.8;73.8;27.9
34;01-05 Landbouw en visserij;2002 31 december nader voorlopig;101.6;73.9;27.7
35;01-05 Landbouw en visserij;2003 31 december voorlopig;97.2;70.1;27.2
36;01-05 Landbouw en visserij;2003 31 december nader voorlopig;96.8;70.1;26.7
37;01-05 Landbouw en visserij;2004 31 december voorlopig;95.1;69.7;25.5
38;01-05 Landbouw en visserij;2004 31 december nader voorlopig;98.6;71.4;27.2
39;01-05 Landbouw en visserij;2005 31 december voorlopig;97.3;70.2;27.1
40;01    Landbouw;1993 30 september;94.6;72.8;21.8
41;01    Landbouw;1994 30 september;94.2;72.5;21.7
42;01    Landbouw;1995 31 december;81.8;64.0;17.8
43;01    Landbouw;1995 31 december nader voorlopig;80.4;62.6;17.7
44;01    Landbouw;1996 31 december nader voorlopig;84.2;64.7;19.5
45;01    Landbouw;1997 31 december nader voorlopig;87.7;66.3;21.4
46;01    Landbouw;1998 31 december nader voorlopig;90.8;66.9;23.8
47;01    Landbouw;1999 31 december voorlopig;93.3;67.9;25.4
48;01    Landbouw;1999 31 december nader voorlopig;96.9;68.9;28.0
49;01    Landbouw;2000 31 december voorlopig;99.0;69.9;29.1
50;01    Landbouw;2000 31 december nader voorlopig;98.5;69.5;29.0
51;01    Landbouw;2001 31 december voorlopig;99.3;72.8;26.5
52;01    Landbouw;2001 31 december nader voorlopig;99.4;72.7;26.7
53;01    Landbouw;2002 31 december voorlopig;98.2;70.9;27.4
54;01    Landbouw;2002 31 december nader voorlopig;98.1;71.0;27.1
55;01    Landbouw;2003 31 december voorlopig;93.9;67.3;26.6
56;01    Landbouw;2003 31 december nader voorlopig;93.5;67.3;26.1
57;01    Landbouw;2004 31 december voorlopig;91.9;66.9;25.0
58;01    Landbouw;2004 31 december nader voorlopig;95.3;68.7;26.7
59;01    Landbouw;2005 31 december voorlopig;94.3;67.7;26.6
60;011   Akker- en tuinbouw;1993 30 september;54.3;36.3;18.0
61;011   Akker- en tuinbouw;1994 30 september;49.4;33.4;16.0
62;011   Akker- en tuinbouw;1995 31 december;43.9;30.2;13.7
63;011   Akker- en tuinbouw;1995 31 december nader voorlopig;43.7;30.0;13.7
64;011   Akker- en tuinbouw;1996 31 december nader voorlopig;48.2;33.0;15.2
65;011   Akker- en tuinbouw;1997 31 december nader voorlopig;49.2;33.6;15.7
66;011   Akker- en tuinbouw;1998 31 december nader voorlopig;51.6;34.3;17.3
67;011   Akker- en tuinbouw;1999 31 december voorlopig;52.6;33.4;19.1
68;011   Akker- en tuinbouw;1999 31 december nader voorlopig;53.2;32.9;20.4
69;011   Akker- en tuinbouw;2000 31 december voorlopig;52.8;32.4;20.4
70;011   Akker- en tuinbouw;2000 31 december nader voorlopig;52.7;32.4;20.3
71;011   Akker- en tuinbouw;2001 31 december voorlopig;52.3;34.5;17.8
72;011   Akker- en tuinbouw;2001 31 december nader voorlopig;52.5;34.4;18.1
73;011   Akker- en tuinbouw;2002 31 december voorlopig;50.8;31.9;18.9
74;011   Akker- en tuinbouw;2002 31 december nader voorlopig;50.7;31.9;18.8
75;011   Akker- en tuinbouw;2003 31 december voorlopig;50.1;31.3;18.9
76;011   Akker- en tuinbouw;2003 31 december nader voorlopig;50.4;31.6;18.8
77;011   Akker- en tuinbouw;2004 31 december voorlopig;49.7;31.6;18.1
78;011   Akker- en tuinbouw;2004 31 december nader voorlopig;52.1;32.9;19.1
79;011   Akker- en tuinbouw;2005 31 december voorlopig;51.4;31.9;19.5
