ID;Perioden;BrutoBinnenlandsProductMarktprijzen_1;VerbruikVanVasteActiva_2;ExploitatieoverschotEnGemengdInkomen_3;NationaalInkomenBruto_4;BeschikbaarNationaalInkomenBruto_5;NationaleBesparingenBruto_6;InvesteringenBruto_7;NationaalVorderingensaldo_8;SaldoKredietenAanPrivateSector_9;KredietAanPrivateSectorUltimoStand_10;ArbeidsvolumeWerkzamePersonen_11;BrutoToegevoegdeWaarde_12;ExploitatieoverschotBruto_13;BrutowinstVoorBelasting_14;WinstVanBuitenlandseDochters_15;Winstquote_16;Investeringsquote_17;ArbeidsvolumeWerknemers_18;BrutoToegevoegdeWaarde_19;BrutoWinstVoorBelasting_20;WinstVanBuitenlandseDochters_21;FinancieelVermogen_22;OntvangenInkomenUitVermogen_23;BetaaldInkomenUitVermogen_24;LiquiditeitRatioMonetaireInstellingen_25;FinancieleActivaPensioenfondsen_26;ArbeidsvolumeWerknemers_27;TotaalInkomsten_28;BelastingEnPremieontvangsten_29;TotaalUitgaven_30;OverheidsschuldEMU_31;OverheidssaldoEMU_32;ArbeidsvolumeWerknemers_33;ExploitatieoverschotEnGemengdInkomen_34;GemengdInkomen_35;BeschikbaarInkomenBruto_36;ReeelBeschikbaarInkomenNetto_37;AlternatiefBeschikbaarInkomenBruto_38;ConsumptieveBestedingenBruto_39;VrijeIndividueleBesparingen_40;Spaarquote_41;Investeringsquote_42;SpaartegoedenEnOverigeDepositoS_43;VerzekeringsEnPensioenregelingen_44;VoorzieningenPensioenverzekeringen_45;Woninghypotheken_46;SaldoOpgenomenEnAfgelosteHypotheken_47;ArbeidsvolumeWerknemers_48;ArbeidsvolumeZelfstandigen_49;AandeelUitvoeroverschotInBbp_50;Uitvoeroverschot_51;SaldoPrimaireInkomensBuitenland_52;SaldoInkomensoverdrachtenBuitenland_53;SaldoKapitaaloverdrachtenBuitenland_54;SaldoLopendeRekening_55;ExternVermogen_56;ExternVermogenMarktwaarde_57
0;1995;330032;52832;133337;327745;322411;87691;70700;16009;4.0;189.5;5948.0;183531;67323;65116;;36.7;18.2;3564.0;22791;19284;;-62956;4.1;2.6;12.7;259289;201.0;46.1;37.1;54.8;73.2;-8.7;926.0;40302;31156;179613;;223305;161105;18508;16.3;10.5;118000;371414;304983;189478;13274;309.0;949.0;7.5;24644;-2287;-5366;-982;16991;-275965;
1;1996;345300;54638;139952;344912;339265;94648;76774;16470;11.2;192.0;6087.0;192461;71511;71399;;37.2;18.5;3668.0;23616;20743;;-49996;3.8;2.4;11.7;296508;205.0;46.2;37.2;48.1;71.4;-1.9;922.0;41924;32174;187801;3.2;231299;171161;16640;15.0;10.8;124525;400820;327574;209994;20774;317.0;975.0;6.9;23935;-388;-5673;-1404;17874;-290360;
2;1997;369660;57023;152477;368020;361835;102266;83373;17697;12.1;190.4;6274.0;207045;79884;78071;;38.6;18.4;3801.0;24994;23503;;-43295;3.7;2.4;13.5;341910;217.0;44.9;36.5;46.5;65.8;-1.6;929.0;45230;34762;200211;4.3;246176;182336;17875;14.7;11.8;128892;430711;349083;237024;27970;329.0;997.0;7.2;26751;-1640;-6218;-1203;18893;-330163;
3;1998;394839;59843;162448;387348;381110;103440;89797;12893;16.1;195.7;6453.0;223425;86896;86979;;38.9;18.4;3944.0;26150;23437;;-57445;3.5;2.4;18.0;383538;229.0;44.0;36.2;45.4;62.8;-1.3;953.0;47548;36133;211278;3.8;260496;195811;15467;13.0;11.6;137655;463560;370068;274673;34910;343.0;983.0;6.9;27427;-7491;-6293;-776;13643;-373606;
4;1999 1e kwartaal;101107;15847;42382;99847;98248;26807;22544;4156;;;;57653;22915;23198;;39.7;19.2;;6934;5288;;-40945;;;17.8;402948;;;;;;;;12059;9302;50683;;63980;51083;-400;5.8;14.7;140003;478744;377819;283640;9470;;;7.1;7138;-1260;-1615;-110;4263;-365521;
5;1999 2e kwartaal;104719;15910;36140;104072;102911;27414;22423;4711;;;;58370;17353;19015;;29.7;21.4;;6965;6430;;-20511;;;18.0;420490;;;;;;;;12170;9206;62987;;76365;52894;10093;21.1;11.9;142351;486151;385574;293714;10747;;;6.5;6813;-647;-1175;-283;4991;-360133;
6;1999 3e kwartaal;103155;15932;43033;102913;101506;27386;23640;3410;;;;58472;23014;24319;;39.4;18.5;;6935;7015;;-34472;;;17.6;415206;;;;;;;;12861;9701;53848;;66127;53738;110;7.0;10.7;144699;493935;393329;304197;10525;;;5.2;5412;-242;-1424;-339;3746;-359856;
7;1999 4e kwartaal;111162;15959;47034;110593;109137;32818;27905;4786;19.5;204.5;;61926;25847;27315;;41.7;20.2;;7527;7086;;-26428;3.4;2.4;16.7;445672;;44.6;37.2;44.3;58.7;0.3;;13132;9812;55002;;68078;53488;1514;8.6;12.4;147044;505950;401081;314726;9262;;;6.3;6955;-569;-1473;-130;4913;-392547;
8;1999;420143;63648;168589;417425;411802;114425;96512;17063;19.5;204.5;6617.0;236421;89129;93847;;37.7;19.8;4084.0;28361;25819;;-26428;3.4;2.4;16.7;445672;237.0;44.6;37.2;44.3;58.7;0.3;965.0;50222;38021;222520;3.3;274550;211203;11317;11.1;12.4;147044;505950;401081;314726;40004;358.0;973.0;6.3;26318;-2718;-5687;-862;17913;-392547;
9;2000 1e kwartaal;109129;17201;45288;106789;104925;27874;24904;2886;18.3;204.7;;62072;23845;23031;;38.4;17.8;;7489;5511;;-1739;3.4;2.5;19.0;465751;;44.1;36.8;43.9;59.6;0.1;;13338;10003;55698;;70040;55124;574;7.5;13.4;148808;520490;412868;321274;8173;;;6.6;7185;-2340;-1875;-83;2970;-369121;
