ID;Jachthavens;Perioden;TotaalJachthavens_1;TotaalZomerligplaatsen_2;GemiddeldAantalZomerligplaatsen_3;JachthavensMetPassantenligplaatsen_4;JachthavensZonderPassantenligplaatsen_5;TotaalPassantenovernachtingen_6;HandelInSchepenScheepsbenodigdheden_7;ReparatieEnOnderhoudVanSchepen_8;VerhuurVanStandOfSlaapplaatsen_9;GevenVanInstructie_10;Winterstalling_11;GeenVanDezeNevenactiviteiten_12
0;Totaal jachthavens;2015;415;69800;170;61;39;435500;29;31;22;6;64;28
1;Totaal jachthavens;2018;405;66700;230;57;43;487800;30;32;24;8;62;27
2;Totaal jachthavens;2020;415;73900;240;59;41;467400;25;30;23;7;59;32
3;Totaal jachthavens;2021;400;68100;171;52;48;394500;26;29;22;6;61;30
4;Jachthavens met 50 ligplaatsen of minder;2015;135;4200;30;44;56;30000;21;23;13;2;49;42
5;Jachthavens met 50 ligplaatsen of minder;2018;140;4200;30;35;65;37300;19;22;19;5;50;36
6;Jachthavens met 50 ligplaatsen of minder;2020;125;3500;30;37;63;21700;10;18;14;4;41;51
7;Jachthavens met 50 ligplaatsen of minder;2021;110;3100;28;33;67;25100;13;17;12;6;41;48
8;Jachthavens met 51-100 ligplaatsen;2015;80;6400;80;59;41;24200;16;28;12;5;69;22
9;Jachthavens met 51-100 ligplaatsen;2018;85;6400;75;51;49;35200;23;31;8;12;69;25
10;Jachthavens met 51-100 ligplaatsen;2020;95;7200;75;52;48;19700;20;35;14;4;65;23
11;Jachthavens met 51-100 ligplaatsen;2021;95;7300;76;44;56;40400;20;27;14;4;63;30
12;Jachthavens met 101-200 ligplaatsen;2015;85;12900;150;56;44;52900;43;38;25;7;68;25
13;Jachthavens met 101-200 ligplaatsen;2018;80;12600;160;55;45;63400;43;39;30;8;62;25
14;Jachthavens met 101-200 ligplaatsen;2020;90;14000;160;63;37;104200;32;35;23;9;61;32
15;Jachthavens met 101-200 ligplaatsen;2021;85;13200;152;48;52;75600;35;35;25;9;71;21
16;Jachthavens met 201-350 ligplaatsen;2015;60;17200;275;82;18;199200;29;44;38;7;71;24
17;Jachthavens met 201-350 ligplaatsen;2018;45;12700;275;92;8;137400;42;51;34;3;71;17
18;Jachthavens met 201-350 ligplaatsen;2020;55;14800;275;83;17;97700;38;39;46;18;79;15
19;Jachthavens met 201-350 ligplaatsen;2021;50;13900;282;77;23;115700;46;48;33;15;80;14
20;Jachthavens met 351-500 ligplaatsen;2015;25;12000;435;90;10;34600;35;35;30;21;80;15
21;Jachthavens met 351-500 ligplaatsen;2018;30;13700;440;92;8;69600;45;40;53;20;82;18
22;Jachthavens met 351-500 ligplaatsen;2020;30;14000;450;82;18;79200;40;32;44;12;67;19
23;Jachthavens met 351-500 ligplaatsen;2021;30;13700;438;87;13;77300;30;39;34;0;82;18
24;Jachthavens met 501 ligplaatsen of meer;2015;20;17100;860;100;0;94600;67;27;47;7;80;0
25;Jachthavens met 501 ligplaatsen of meer;2018;20;17100;800;100;0;144900;40;16;28;0;65;12
26;Jachthavens met 501 ligplaatsen of meer;2020;20;20400;915;100;0;144900;41;28;24;0;67;33
27;Jachthavens met 501 ligplaatsen of meer;2021;25;16900;734;94;6;60300;34;16;51;0;47;29
