ID;LeeftijdReferentiepersoon;RegioS;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;MeerpersoonshuishoudensZonderKinderen_4;MeerpersoonshuishoudensMetKinderen_5;TotaalNietGehuwdeParen_6;k_0Kinderen_7;k_1Kind_8;k_2Kinderen_9;k_3OfMeerKinderen_10;TotaalGehuwdeParen_11;k_0Kinderen_12;k_1Kind_13;k_2Kinderen_14;k_3OfMeerKinderen_15;TotaalEenouderhuishoudens_16;k_1Kind_17;k_2Kinderen_18;k_3OfMeerKinderen_19;OverigHuishouden_20;TotaalParticuliereHuishoudens_21;Eenpersoonshuishouden_22;TotaalMeerpersoonshuishoudens_23;k_2Personen_24;k_3Personen_25;k_4Personen_26;k_5OfMeerPersonen_27
0;Totaal;Nederland;2000;6801008.0;2272219.0;4528789.0;2062123.0;2466666.0;657579.0;494809.0;91151.0;55846.0;15773.0;3440642.0;1521063.0;677297.0;852005.0;390277.0;384317.0;229199.0;114434.0;40684.0;46251.0;6801008.0;2272219.0;4528789.0;2242256.0;897408.0;943509.0;445616.0
1;Totaal;Nederland;2001;6866954.0;2307075.0;4559879.0;2073831.0;2486048.0;674085.0;495693.0;98842.0;62177.0;17373.0;3442027.0;1530722.0;668308.0;851878.0;391119.0;396351.0;235764.0;118808.0;41779.0;47416.0;6866954.0;2307075.0;4559879.0;2258102.0;901442.0;950980.0;449355.0
2;Totaal;Nederland;2002;6934263.0;2344903.0;4589360.0;2082747.0;2506613.0;696290.0;499191.0;107561.0;70301.0;19237.0;3432715.0;1534892.0;655673.0;851806.0;390344.0;411691.0;244768.0;123617.0;43306.0;48664.0;6934263.0;2344903.0;4589360.0;2275128.0;903233.0;959431.0;451568.0
3;Totaal;Nederland;2003;6995724.0;2383580.0;4612144.0;2095156.0;2516988.0;714200.0;500064.0;115018.0;78087.0;21031.0;3425384.0;1546656.0;644675.0;847733.0;386320.0;424124.0;251141.0;128189.0;44794.0;48436.0;6995724.0;2383580.0;4612144.0;2292761.0;903778.0;964621.0;450984.0
4;Totaal;Nederland;2004;7049280.0;2423950.0;4625330.0;2099479.0;2525851.0;726722.0;495214.0;121790.0;86971.0;22747.0;3416714.0;1556343.0;636458.0;842377.0;381536.0;433972.0;256674.0;131804.0;45494.0;47922.0;7049280.0;2423950.0;4625330.0;2302372.0;904913.0;969062.0;448983.0
5;Totaal;Nederland;2005;7090965.0;2449378.0;4641587.0;2110295.0;2531292.0;747056.0;498513.0;128480.0;95578.0;24485.0;3402433.0;1563808.0;626291.0;836838.0;375496.0;444124.0;262189.0;135863.0;46072.0;47974.0;7090965.0;2449378.0;4641587.0;2317627.0;905839.0;973043.0;445078.0
6;Totaal;Nederland;2006;7146088.0;2502084.0;4644004.0;2114857.0;2529147.0;759189.0;495029.0;133591.0;104090.0;26479.0;3384769.0;1572152.0;615951.0;828173.0;368493.0;452370.0;267647.0;138547.0;46176.0;47676.0;7146088.0;2502084.0;4644004.0;2328134.0;902872.0;973351.0;439647.0
7;Totaal;Nederland;2007;7190543.0;2536891.0;4653652.0;2128727.0;2524925.0;777059.0;496187.0;139157.0;113095.0;28620.0;3369128.0;1583956.0;605544.0;818991.0;360637.0;458881.0;272499.0;140596.0;45786.0;48584.0;7190543.0;2536891.0;4653652.0;2347504.0;900559.0;972325.0;433264.0
8;Totaal;Nederland;2008;7242202.0;2571014.0;4671188.0;2148277.0;2522911.0;800022.0;501445.0;145909.0;121837.0;30831.0;3354949.0;1596319.0;596053.0;809235.0;353342.0;465704.0;278051.0;142199.0;45454.0;50513.0;7242202.0;2571014.0;4671188.0;2371615.0;900475.0;971097.0;428001.0
9;Totaal;Nederland;2009;7312579.0;2619394.0;4693185.0;2166972.0;2526213.0;819717.0;505151.0;151229.0;130348.0;32989.0;3346156.0;1609418.0;589048.0;800178.0;347512.0;474909.0;285206.0;144034.0;45669.0;52403.0;7312579.0;2619394.0;4693185.0;2396462.0;901234.0;971092.0;424397.0
10;Totaal;Nederland;2010;7386144.0;2669516.0;4716628.0;2181514.0;2535114.0;836339.0;505816.0;156616.0;138418.0;35489.0;3339959.0;1621618.0;585797.0;790892.0;341652.0;486250.0;293180.0;147033.0;46037.0;54080.0;7386144.0;2669516.0;4716628.0;2417798.0;907781.0;970519.0;420530.0
11;Totaal;Nederland;2011;7443801.0;2708251.0;4735550.0;2187823.0;2547727.0;864011.0;514402.0;163909.0;147730.0;37970.0;3331368.0;1629522.0;583775.0;782489.0;335582.0;496272.0;302979.0;147199.0;46094.0;43899.0;7443801.0;2708251.0;4735550.0;2439795.0;904504.0;972431.0;418820.0
