ID;TypeWerkenden;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonen_1;WerkzamePersonenSeizoengecorrigeerd_2;Banen_3;BanenSeizoengecorrigeerd_4;GewerkteUren_5;GewerkteUrenSeizoengecorrigeerd_6;WerkzamePersonen_7;Banen_8;WerkzamePersonenSeizoengecorrigeerd_9;BanenSeizoengecorrigeerd_10
0;Totaal;A-U Alle economische activiteiten;1995 1e kwartaal;7132.0;7215.0;7913.0;8000.0;2711.0;2651.0;;;;
1;Totaal;A-U Alle economische activiteiten;1995 2e kwartaal;7273.0;7249.0;8069.0;8043.0;2615.0;2708.0;;;34.0;42.0
2;Totaal;A-U Alle economische activiteiten;1995 3e kwartaal;7363.0;7297.0;8167.0;8097.0;2549.0;2758.0;;;48.0;54.0
3;Totaal;A-U Alle economische activiteiten;1995 4e kwartaal;7351.0;7358.0;8158.0;8167.0;2980.0;2826.0;;;61.0;70.0
4;Totaal;A-U Alle economische activiteiten;1995;7281.0;;8078.0;;10856.0;;;;;
5;Totaal;A-U Alle economische activiteiten;1996 1e kwartaal;7281.0;7367.0;8097.0;8187.0;2800.0;2761.0;149.0;185.0;9.0;20.0
6;Totaal;A-U Alle economische activiteiten;1996 2e kwartaal;7436.0;7410.0;8270.0;8241.0;2702.0;2793.0;163.0;201.0;43.0;54.0
7;Totaal;A-U Alle economische activiteiten;1996 3e kwartaal;7522.0;7452.0;8360.0;8286.0;2628.0;2819.0;159.0;193.0;43.0;45.0
8;Totaal;A-U Alle economische activiteiten;1996 4e kwartaal;7494.0;7508.0;8326.0;8341.0;3066.0;2888.0;143.0;168.0;56.0;55.0
9;Totaal;A-U Alle economische activiteiten;1996;7434.0;;8264.0;;11196.0;;153.0;186.0;;
10;Totaal;A-U Alle economische activiteiten;1997 1e kwartaal;7485.0;7569.0;8290.0;8383.0;2851.0;2859.0;204.0;193.0;61.0;42.0
11;Totaal;A-U Alle economische activiteiten;1997 2e kwartaal;7658.0;7629.0;8475.0;8444.0;2830.0;2892.0;222.0;205.0;60.0;61.0
12;Totaal;A-U Alle economische activiteiten;1997 3e kwartaal;7766.0;7694.0;8590.0;8512.0;2685.0;2886.0;244.0;230.0;65.0;69.0
13;Totaal;A-U Alle economische activiteiten;1997 4e kwartaal;7729.0;7739.0;8553.0;8564.0;3063.0;2896.0;236.0;226.0;45.0;52.0
14;Totaal;A-U Alle economische activiteiten;1997;7661.0;;8478.0;;11429.0;;227.0;214.0;;
15;Totaal;A-U Alle economische activiteiten;1998 1e kwartaal;7679.0;7773.0;8521.0;8622.0;2957.0;2928.0;193.0;230.0;35.0;58.0
