ID;GewichtVolleWagen;Brandstofsoort;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6
0;Totaal;Totaal;Totaal;2018;460.5;385.1;75.5;668.3;385.1;283.2
1;Totaal;Totaal;Totaal;2019;460.0;387.1;72.9;639.8;387.1;252.7
2;Totaal;Totaal;Totaal;2020;448.2;380.9;67.3;578.2;380.9;197.3
3;Totaal;Totaal;Totaal;2021;464.9;398.2;66.7;598.4;398.2;200.3
4;Totaal;Totaal;Totaal;2022;486.2;422.1;64.1;623.0;422.1;200.9
5;Totaal;Totaal;Totaal;2023;481.5;420.7;60.7;622.7;420.7;201.9
6;Totaal;Totaal;0 tot 5 jaar;2018;152.6;128.5;24.1;195.0;128.5;66.5
7;Totaal;Totaal;0 tot 5 jaar;2019;167.8;143.3;24.5;206.3;143.3;63.0
8;Totaal;Totaal;0 tot 5 jaar;2020;177.6;153.5;24.1;208.9;153.5;55.4
9;Totaal;Totaal;0 tot 5 jaar;2021;169.1;147.6;21.5;198.8;147.6;51.2
10;Totaal;Totaal;0 tot 5 jaar;2022;171.6;151.7;19.9;197.5;151.7;45.8
11;Totaal;Totaal;0 tot 5 jaar;2023;168.3;148.8;19.6;193.7;148.8;44.9
12;Totaal;Totaal;5 tot 10 jaar;2018;120.2;105.2;15.0;141.8;105.2;36.6
13;Totaal;Totaal;5 tot 10 jaar;2019;108.0;94.8;13.2;126.1;94.8;31.3
14;Totaal;Totaal;5 tot 10 jaar;2020;104.3;92.1;12.2;119.0;92.1;26.9
15;Totaal;Totaal;5 tot 10 jaar;2021;115.8;102.2;13.6;133.9;102.2;31.7
16;Totaal;Totaal;5 tot 10 jaar;2022;126.8;111.9;14.8;146.3;111.9;34.3
17;Totaal;Totaal;5 tot 10 jaar;2023;142.9;125.7;17.2;165.9;125.7;40.2
18;Totaal;Totaal;10 jaar of ouder;2018;187.7;151.3;36.4;331.4;151.3;180.2
19;Totaal;Totaal;10 jaar of ouder;2019;184.2;149.0;35.2;307.5;149.0;158.4
20;Totaal;Totaal;10 jaar of ouder;2020;166.3;135.3;30.9;250.4;135.3;115.0
21;Totaal;Totaal;10 jaar of ouder;2021;180.0;148.5;31.6;265.8;148.5;117.3
22;Totaal;Totaal;10 jaar of ouder;2022;187.8;158.5;29.4;279.2;158.5;120.7
23;Totaal;Totaal;10 jaar of ouder;2023;170.2;146.2;23.9;263.1;146.2;116.9
24;Totaal;Diesel;Totaal;2018;448.3;375.0;73.3;647.5;375.0;272.4
25;Totaal;Diesel;Totaal;2019;448.5;377.5;70.9;621.3;377.5;243.8
26;Totaal;Diesel;Totaal;2020;437.2;371.6;65.5;562.3;371.6;190.7
27;Totaal;Diesel;Totaal;2021;453.0;388.2;64.7;581.5;388.2;193.2
28;Totaal;Diesel;Totaal;2022;473.8;411.3;62.5;605.3;411.3;194.0
29;Totaal;Diesel;Totaal;2023;469.2;409.8;59.3;604.5;409.8;194.7
30;Totaal;Diesel;0 tot 5 jaar;2018;148.4;124.9;23.5;189.9;124.9;65.0
31;Totaal;Diesel;0 tot 5 jaar;2019;164.0;139.8;24.2;202.2;139.8;62.4
32;Totaal;Diesel;0 tot 5 jaar;2020;173.4;149.6;23.8;204.6;149.6;55.1
33;Totaal;Diesel;0 tot 5 jaar;2021;164.9;143.7;21.2;194.6;143.7;50.9
34;Totaal;Diesel;0 tot 5 jaar;2022;167.5;147.8;19.7;193.3;147.8;45.5
35;Totaal;Diesel;0 tot 5 jaar;2023;164.2;144.9;19.4;189.6;144.9;44.7
36;Totaal;Diesel;5 tot 10 jaar;2018;117.6;102.8;14.8;139.1;102.8;36.3
37;Totaal;Diesel;5 tot 10 jaar;2019;105.3;92.3;13.0;123.3;92.3;31.1
38;Totaal;Diesel;5 tot 10 jaar;2020;102.0;89.9;12.1;116.7;89.9;26.8
39;Totaal;Diesel;5 tot 10 jaar;2021;113.3;99.9;13.4;131.4;99.9;31.5
40;Totaal;Diesel;5 tot 10 jaar;2022;124.3;109.6;14.7;143.8;109.6;34.2
41;Totaal;Diesel;5 tot 10 jaar;2023;140.7;123.6;17.1;163.6;123.6;40.1
42;Totaal;Diesel;10 jaar of ouder;2018;182.3;147.3;35.0;318.5;147.3;171.1
43;Totaal;Diesel;10 jaar of ouder;2019;179.2;145.4;33.8;295.7;145.4;150.3
44;Totaal;Diesel;10 jaar of ouder;2020;161.8;132.2;29.6;241.0;132.2;108.8
45;Totaal;Diesel;10 jaar of ouder;2021;174.7;144.6;30.1;255.4;144.6;110.8
46;Totaal;Diesel;10 jaar of ouder;2022;182.1;154.0;28.1;268.2;154.0;114.3
47;Totaal;Diesel;10 jaar of ouder;2023;164.2;141.3;22.9;251.3;141.3;110.0
48;Totaal;Overige (excl. Diesel);Totaal;2018;12.2;10.0;2.2;20.8;10.0;10.8
49;Totaal;Overige (excl. Diesel);Totaal;2019;11.5;9.6;1.9;18.5;9.6;8.9
50;Totaal;Overige (excl. Diesel);Totaal;2020;11.1;9.3;1.8;15.9;9.3;6.7
51;Totaal;Overige (excl. Diesel);Totaal;2021;11.9;10.0;1.9;17.0;10.0;7.0
52;Totaal;Overige (excl. Diesel);Totaal;2022;12.4;10.8;1.6;17.7;10.8;6.9
53;Totaal;Overige (excl. Diesel);Totaal;2023;12.3;10.9;1.4;18.2;10.9;7.2
54;Totaal;Overige (excl. Diesel);0 tot 5 jaar;2018;4.2;3.6;0.6;5.1;3.6;1.5
55;Totaal;Overige (excl. Diesel);0 tot 5 jaar;2019;3.8;3.4;0.3;4.0;3.4;0.6
56;Totaal;Overige (excl. Diesel);0 tot 5 jaar;2020;4.2;3.9;0.3;4.2;3.9;0.3
57;Totaal;Overige (excl. Diesel);0 tot 5 jaar;2021;4.1;3.8;0.3;4.1;3.8;0.3
58;Totaal;Overige (excl. Diesel);0 tot 5 jaar;2022;4.1;3.9;0.2;4.2;3.9;0.3
59;Totaal;Overige (excl. Diesel);0 tot 5 jaar;2023;4.1;3.9;0.2;4.1;3.9;0.2
60;Totaal;Overige (excl. Diesel);5 tot 10 jaar;2018;2.7;2.5;0.2;2.7;2.5;0.3
61;Totaal;Overige (excl. Diesel);5 tot 10 jaar;2019;2.7;2.5;0.2;2.7;2.5;0.2
62;Totaal;Overige (excl. Diesel);5 tot 10 jaar;2020;2.3;2.2;0.2;2.3;2.2;0.2
63;Totaal;Overige (excl. Diesel);5 tot 10 jaar;2021;2.4;2.3;0.2;2.5;2.3;0.2
64;Totaal;Overige (excl. Diesel);5 tot 10 jaar;2022;2.5;2.4;0.1;2.5;2.4;0.2
65;Totaal;Overige (excl. Diesel);5 tot 10 jaar;2023;2.2;2.1;0.1;2.2;2.1;0.1
66;Totaal;Overige (excl. Diesel);10 jaar of ouder;2018;5.3;4.0;1.4;13.0;4.0;9.0
67;Totaal;Overige (excl. Diesel);10 jaar of ouder;2019;5.0;3.6;1.4;11.7;3.6;8.1
68;Totaal;Overige (excl. Diesel);10 jaar of ouder;2020;4.5;3.1;1.3;9.4;3.1;6.2
69;Totaal;Overige (excl. Diesel);10 jaar of ouder;2021;5.3;3.9;1.5;10.4;3.9;6.5
70;Totaal;Overige (excl. Diesel);10 jaar of ouder;2022;5.8;4.5;1.3;11.0;4.5;6.5
71;Totaal;Overige (excl. Diesel);10 jaar of ouder;2023;6.0;4.9;1.1;11.8;4.9;6.9
72;Tot en met 3 500 kg;Totaal;Totaal;2018;144.7;111.7;33.1;285.0;111.7;173.4
73;Tot en met 3 500 kg;Totaal;Totaal;2019;142.4;109.5;32.9;264.1;109.5;154.6
74;Tot en met 3 500 kg;Totaal;Totaal;2020;137.5;106.7;30.8;222.4;106.7;115.7
75;Tot en met 3 500 kg;Totaal;Totaal;2021;150.9;119.1;31.8;238.1;119.1;119.0
76;Tot en met 3 500 kg;Totaal;Totaal;2022;156.9;126.8;30.1;248.9;126.8;122.1
77;Tot en met 3 500 kg;Totaal;Totaal;2023;145.0;119.5;25.6;239.6;119.5;120.1
78;Tot en met 3 500 kg;Totaal;0 tot 5 jaar;2018;30.8;25.4;5.4;41.0;25.4;15.6
79;Tot en met 3 500 kg;Totaal;0 tot 5 jaar;2019;33.8;28.2;5.6;43.6;28.2;15.4
80;Tot en met 3 500 kg;Totaal;0 tot 5 jaar;2020;33.7;28.4;5.3;41.5;28.4;13.1
81;Tot en met 3 500 kg;Totaal;0 tot 5 jaar;2021;35.6;30.5;5.1;43.7;30.5;13.2
82;Tot en met 3 500 kg;Totaal;0 tot 5 jaar;2022;37.1;32.1;5.0;44.2;32.1;12.1
83;Tot en met 3 500 kg;Totaal;0 tot 5 jaar;2023;36.4;31.5;4.9;43.4;31.5;11.9
84;Tot en met 3 500 kg;Totaal;5 tot 10 jaar;2018;21.0;17.4;3.6;27.5;17.4;10.0
85;Tot en met 3 500 kg;Totaal;5 tot 10 jaar;2019;21.1;17.8;3.2;26.4;17.8;8.5
86;Tot en met 3 500 kg;Totaal;5 tot 10 jaar;2020;21.2;18.1;3.1;25.5;18.1;7.4
87;Tot en met 3 500 kg;Totaal;5 tot 10 jaar;2021;22.1;19.0;3.0;26.8;19.0;7.8
88;Tot en met 3 500 kg;Totaal;5 tot 10 jaar;2022;23.4;20.2;3.2;28.0;20.2;7.8
89;Tot en met 3 500 kg;Totaal;5 tot 10 jaar;2023;26.5;22.9;3.7;31.9;22.9;9.1
90;Tot en met 3 500 kg;Totaal;10 jaar of ouder;2018;93.0;68.9;24.1;216.6;68.9;147.7
91;Tot en met 3 500 kg;Totaal;10 jaar of ouder;2019;87.5;63.5;24.1;194.1;63.5;130.7
92;Tot en met 3 500 kg;Totaal;10 jaar of ouder;2020;82.6;60.1;22.5;155.4;60.1;95.3
93;Tot en met 3 500 kg;Totaal;10 jaar of ouder;2021;93.2;69.5;23.7;167.6;69.5;98.1
94;Tot en met 3 500 kg;Totaal;10 jaar of ouder;2022;96.5;74.5;22.0;176.7;74.5;102.2
95;Tot en met 3 500 kg;Totaal;10 jaar of ouder;2023;82.1;65.1;17.0;164.2;65.1;99.1
96;Tot en met 3 500 kg;Diesel;Totaal;2018;140.0;108.2;31.8;273.0;108.2;164.9
97;Tot en met 3 500 kg;Diesel;Totaal;2019;138.0;106.4;31.6;253.3;106.4;147.0
98;Tot en met 3 500 kg;Diesel;Totaal;2020;133.4;103.8;29.5;213.6;103.8;109.8
99;Tot en met 3 500 kg;Diesel;Totaal;2021;146.2;115.8;30.4;228.5;115.8;112.7
100;Tot en met 3 500 kg;Diesel;Totaal;2022;152.1;123.1;28.9;239.1;123.1;116.0
101;Tot en met 3 500 kg;Diesel;Totaal;2023;140.6;116.0;24.6;229.6;116.0;113.6
102;Tot en met 3 500 kg;Diesel;0 tot 5 jaar;2018;30.7;25.4;5.4;40.9;25.4;15.6
103;Tot en met 3 500 kg;Diesel;0 tot 5 jaar;2019;33.8;28.1;5.6;43.6;28.1;15.4
104;Tot en met 3 500 kg;Diesel;0 tot 5 jaar;2020;33.6;28.4;5.3;41.4;28.4;13.1
105;Tot en met 3 500 kg;Diesel;0 tot 5 jaar;2021;35.6;30.5;5.1;43.6;30.5;13.2
106;Tot en met 3 500 kg;Diesel;0 tot 5 jaar;2022;37.0;32.0;5.0;44.2;32.0;12.1
107;Tot en met 3 500 kg;Diesel;0 tot 5 jaar;2023;36.4;31.4;4.9;43.4;31.4;11.9
108;Tot en met 3 500 kg;Diesel;5 tot 10 jaar;2018;20.8;17.3;3.5;27.2;17.3;10.0
109;Tot en met 3 500 kg;Diesel;5 tot 10 jaar;2019;20.9;17.7;3.2;26.2;17.7;8.5
110;Tot en met 3 500 kg;Diesel;5 tot 10 jaar;2020;21.1;18.0;3.0;25.4;18.0;7.4
111;Tot en met 3 500 kg;Diesel;5 tot 10 jaar;2021;21.9;18.9;3.0;26.6;18.9;7.7
112;Tot en met 3 500 kg;Diesel;5 tot 10 jaar;2022;23.3;20.1;3.1;27.9;20.1;7.8
113;Tot en met 3 500 kg;Diesel;5 tot 10 jaar;2023;26.5;22.8;3.7;31.9;22.8;9.1
114;Tot en met 3 500 kg;Diesel;10 jaar of ouder;2018;88.4;65.5;22.9;204.9;65.5;139.3
115;Tot en met 3 500 kg;Diesel;10 jaar of ouder;2019;83.3;60.5;22.8;183.6;60.5;123.1
116;Tot en met 3 500 kg;Diesel;10 jaar of ouder;2020;78.6;57.4;21.2;146.7;57.4;89.3
117;Tot en met 3 500 kg;Diesel;10 jaar of ouder;2021;88.7;66.4;22.3;158.2;66.4;91.8
118;Tot en met 3 500 kg;Diesel;10 jaar of ouder;2022;91.8;71.0;20.8;167.0;71.0;96.1
119;Tot en met 3 500 kg;Diesel;10 jaar of ouder;2023;77.7;61.7;16.1;154.3;61.7;92.6
120;Tot en met 3 500 kg;Overige (excl. Diesel);Totaal;2018;4.8;3.5;1.3;12.0;3.5;8.5
121;Tot en met 3 500 kg;Overige (excl. Diesel);Totaal;2019;4.4;3.2;1.3;10.8;3.2;7.7
122;Tot en met 3 500 kg;Overige (excl. Diesel);Totaal;2020;4.1;2.8;1.3;8.8;2.8;6.0
123;Tot en met 3 500 kg;Overige (excl. Diesel);Totaal;2021;4.8;3.4;1.4;9.6;3.4;6.3
124;Tot en met 3 500 kg;Overige (excl. Diesel);Totaal;2022;4.9;3.7;1.2;9.8;3.7;6.2
125;Tot en met 3 500 kg;Overige (excl. Diesel);Totaal;2023;4.5;3.5;0.9;10.0;3.5;6.5
126;Tot en met 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2018;0.0;0.0;0.0;0.0;0.0;0.0
127;Tot en met 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2019;0.1;0.1;0.0;0.1;0.1;0.0
128;Tot en met 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2020;0.1;0.1;0.0;0.1;0.1;0.0
129;Tot en met 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2021;0.1;0.1;0.0;0.1;0.1;0.0
130;Tot en met 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2022;0.1;0.1;0.0;0.1;0.1;0.0
131;Tot en met 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2023;0.1;0.1;0.0;0.1;0.1;0.0
132;Tot en met 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2018;0.2;0.2;0.0;0.3;0.2;0.1
133;Tot en met 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2019;0.2;0.1;0.0;0.2;0.1;0.1
134;Tot en met 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2020;0.1;0.1;0.0;0.1;0.1;0.0
135;Tot en met 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2021;0.1;0.1;0.0;0.2;0.1;0.0
136;Tot en met 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2022;0.1;0.1;0.0;0.1;0.1;0.0
137;Tot en met 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2023;0.0;0.0;0.0;0.0;0.0;0.0
138;Tot en met 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2018;4.6;3.3;1.2;11.7;3.3;8.4
139;Tot en met 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2019;4.2;2.9;1.3;10.5;2.9;7.6
140;Tot en met 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2020;4.0;2.7;1.3;8.7;2.7;6.0
141;Tot en met 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2021;4.5;3.1;1.4;9.4;3.1;6.2
142;Tot en met 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2022;4.7;3.5;1.2;9.7;3.5;6.1
143;Tot en met 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2023;4.4;3.4;0.9;9.9;3.4;6.5
144;Meer dan 3 500 kg;Totaal;Totaal;2018;315.8;273.4;42.4;383.2;273.4;109.9
145;Meer dan 3 500 kg;Totaal;Totaal;2019;317.5;277.6;40.0;375.6;277.6;98.1
146;Meer dan 3 500 kg;Totaal;Totaal;2020;310.7;274.2;36.5;355.8;274.2;81.6
147;Meer dan 3 500 kg;Totaal;Totaal;2021;313.9;279.1;34.9;360.3;279.1;81.3
148;Meer dan 3 500 kg;Totaal;Totaal;2022;329.3;295.3;34.0;374.0;295.3;78.7
149;Meer dan 3 500 kg;Totaal;Totaal;2023;336.4;301.3;35.1;383.1;301.3;81.8
150;Meer dan 3 500 kg;Totaal;0 tot 5 jaar;2018;121.9;103.2;18.7;154.1;103.2;50.9
151;Meer dan 3 500 kg;Totaal;0 tot 5 jaar;2019;133.9;115.1;18.9;162.6;115.1;47.5
152;Meer dan 3 500 kg;Totaal;0 tot 5 jaar;2020;143.9;125.1;18.9;167.4;125.1;42.3
153;Meer dan 3 500 kg;Totaal;0 tot 5 jaar;2021;133.4;117.0;16.4;155.1;117.0;38.0
154;Meer dan 3 500 kg;Totaal;0 tot 5 jaar;2022;134.6;119.6;15.0;153.3;119.6;33.7
