ID;SBI93GK;Perioden;Bedrijven_1;TotaalWerkzamePersonen_2;TotaalBaten_3;TotaalOpbrengsten_4;TotaalMilieudienstverlening_5;OpbrengstVoorOverheden_6;OpbrengstVoorBedrijven_7;EnergieEnRestproducten_8;Nevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;VrijvalVoorzieningen_11;OntvangenRente_12;BuitengewoneBaten_13;TotaalLasten_14;GrondEnHulpstoffen_15;TotaalUitbestedeWerkzaamheden_16;KostenUitbestedeVerwerkingAfval_17;KostenUitbesteedTransportAfval_18;KostenUitbestedeSaneringDerden_19;KostenOverigeUitbestedingen_20;InkoopwaardeHandelsactiviteiten_21;TotaalArbeidskosten_22;BrutoLonenEnSalarissen_23;SocialePremiesWerkgever_24;PensioenlastenBijdrageVUT_25;OverigeUitgavenSocVoorzieningen_26;KostenVanUitzendkrachten_27;KostenIngeleendPersoneel_28;OntvangstenUitgeleendPersoneel_29;TotaalAutokosten_30;HuurInclOperationalLease_31;OnderhoudEnReparatie_32;Motorbrandstoffen_33;HouderschapsEnMotorrijtBelasting_34;Verzekeringspremies_35;OverigeAutokosten_36;Energieverbruik_37;Afschrijvingen_38;TotaalOverigeBedrijfskosten_39;HeffingenEnBelExclMotorBel_40;PremiesSchadeverzekeringen_41;OnderhoudEnRepExclVervoermiddelen_42;HuurGebTerreinenMachinesEd_43;OverigePersoneelskosten_44;AdministratieEnAdviesAccountantskn_45;VerkoopReclameAdvertentiekosten_46;AutomatiseringKantoorbEnCommunic_47;OnderzoekOntwLaborAnalyse_48;DoorbelasteKostenAlgBeheer_49;OverigeOvBedrKn_50;ToevoegingenAanVoorzieningen_51;BetaaldeRente_52;BuitengewoneLasten_53;ResultaatVoorBelastingen_54;TotaalInvesteringen_55;GrondEnTerreinen_56;Bedrijfsruimten_57;GWWWerken_58;VervoermiddelenExternTransport_59;MiddelenVoorInternTransport_60;Computers_61;OverigeMachinesApparatenEnInstall_62;OverigeMaterieleVasteActiva_63;ImmaterieleActiva_64
0;9000 Milieudienstverlening (Totaal);1997;549;14478;2597;2452;2309;840;1470;90;52;41;42.0;29;34;2450;45;824;591;95;76.0;63;3.0;471;344;25;17;9;41;49;-14;121;24;43;39;4;10;1.0;34;289;375;25;13;100;74;18;17;14;24;13;55;21;87;169;32;147;1072;26;205;17;44;4.0;;727;35;15
1;9000 Milieudienstverlening (Totaal);1998;595;16138;2935;2764;2607;970;1638;97;59;33;54.0;33;51;2830;58;984;738;102;82.0;61;9.0;545;378;48;20;12;54;54;22;125;26;47;36;5;10;1.0;34;307;451;29;16;133;96;23;21;15;29;11;53;25;94;190;33;105;490;15;53;21;42;6.0;;123;26;204
2;9000 Milieudienstverlening (Totaal);1999;600;19491;3319;3142;2924;1118;1806;114;103;70;39.0;29;39;3188;91;1056;748;125;83.0;100;9.0;679;463;59;28;10;79;65;25;150;34;53;45;5;10;3.0;49;355;510;41;16;161;79;31;27;17;32;15;65;25;70;194;25;130;290;24;45;8;59;9.0;;102;40;2
3;9000 Milieudienstverlening (Totaal);2000;597;20267;3716;3587;3320;1257;2063;155;112;38;16.0;33;42;3561;119;1220;926;174;41.0;79;14.0;745;496;63;29;14;95;64;16;163;43;52;51;4;10;4.0;60;377;574;40;17;171;92;35;29;16;37;14;63;62;74;172;43;154;369;18;46;13;69;10.0;;162;40;13
4;9000 Milieudienstverlening (Totaal);2001;599;21275;4116;3915;3674;1458;2216;130;111;68;26.0;47;60;3927;117;1434;1084;206;41.0;103;11.0;813;519;65;42;17;104;75;9;180;50;56;54;5;8;7.0;61;327;663;58;23;215;112;39;38;16;49;14;61;39;81;186;53;189;345;15;64;20;67;;8.0;112;41;18
5;9000.1 Afvalwaterinzam. en -behandeling;1997;29;972;72;71;67;38;29;0;4;1;0.0;0;0;68;5;10;5;2;0.0;4;0.0;27;21;2;1;0;1;1;0;6;0;3;2;0;1;0.0;0;7;10;0;0;1;2;1;0;1;1;0;2;0;0;1;0;5;11;0;1;0;6;0.0;;3;1;0
6;9000.1 Afvalwaterinzam. en -behandeling;1998;30;1015;74;72;69;39;29;0;3;1;0.0;0;0;71;5;10;5;2;0.0;3;0.0;29;21;3;1;0;1;1;0;6;0;3;2;0;1;0.0;0;8;10;0;0;1;2;1;0;1;1;0;1;0;0;1;0;3;8;0;1;0;5;0.0;;2;1;0
7;9000.1 Afvalwaterinzam. en -behandeling;1999;32;2090;231;191;164;136;28;0;27;37;0.0;0;2;227;16;60;10;4;0.0;46;0.0;79;54;6;4;3;10;2;0;10;2;4;2;0;1;0.0;6;10;43;3;1;10;4;5;5;4;5;1;2;4;0;3;0;4;15;0;1;0;5;0.0;;6;1;0
8;9000.1 Afvalwaterinzam. en -behandeling;2000;35;2114;224;208;179;144;35;1;28;10;0.0;0;5;217;14;36;9;5;0.0;22;0.0;80;56;7;4;3;9;2;0;11;2;4;3;0;1;0.0;7;12;52;4;1;13;4;5;5;5;7;2;2;6;0;3;1;7;18;1;3;0;6;0.0;;6;2;1
9;9000.1 Afvalwaterinzam. en -behandeling;2001;33;2241;248;219;196;158;38;0;23;21;0.0;0;7;240;16;54;9;4;0.0;42;0.0;83;56;8;6;3;8;2;0;11;2;4;3;0;1;0.0;8;12;52;4;1;13;6;5;8;2;7;1;1;3;0;3;0;8;18;1;2;0;6;;0.0;4;3;1
