ID;EmissionSources;EmissionToAir;Periods;EmissionToAir_1
0;Total stationary and mobile sources;Carbon dioxide (CO2);1990;171200.0
1;Total stationary and mobile sources;Carbon dioxide (CO2);1995;181100.0
2;Total stationary and mobile sources;Carbon dioxide (CO2);2000;182700.0
3;Total stationary and mobile sources;Carbon dioxide (CO2);2001;188300.0
4;Total stationary and mobile sources;Carbon dioxide (CO2);2002;188000.0
5;Total stationary and mobile sources;Carbon dioxide (CO2);2003;191100.0
6;Total stationary and mobile sources;Carbon dioxide (CO2);2004;194200.0
7;Total stationary and mobile sources;Carbon dioxide (CO2);2005;190700.0
8;Total stationary and mobile sources;Carbon dioxide (CO2);2006;185100.0
9;Total stationary and mobile sources;Carbon dioxide (CO2);2007;185100.0
10;Total stationary and mobile sources;Carbon dioxide (CO2);2008;188900.0
11;Total stationary and mobile sources;Carbon dioxide (CO2);2009;185300.0
12;Total stationary and mobile sources;Carbon dioxide (CO2);2010;197500.0
13;Total stationary and mobile sources;Carbon dioxide (CO2);2011;184200.0
14;Total stationary and mobile sources;Carbon dioxide (CO2);2012;182000.0
15;Total stationary and mobile sources;Carbon dioxide (CO2);2013;180800.0
16;Total stationary and mobile sources;Carbon dioxide (CO2);2014;175100.0
17;Total stationary and mobile sources;Carbon dioxide (CO2);2015;182700.0
18;Total stationary and mobile sources;Carbon dioxide (CO2);2016;184300.0
19;Total stationary and mobile sources;Carbon dioxide (CO2);2017;181400.0
20;Total stationary and mobile sources;Carbon dioxide (CO2);2018;178100.0
21;Total stationary and mobile sources;Carbon dioxide (CO2);2019;174800.0
22;Total stationary and mobile sources;Carbon dioxide (CO2);2020;162900.0
23;Total stationary and mobile sources;Carbon dioxide (CO2);2021;169100.0
24;Total stationary and mobile sources;Carbon dioxide (CO2);2022;156700.0
25;Total stationary and mobile sources;Carbon dioxide (CO2);2023;142100.0
26;Total stationary and mobile sources;Methane (CH4);1990;1282.0
27;Total stationary and mobile sources;Methane (CH4);1995;1191.7
28;Total stationary and mobile sources;Methane (CH4);2000;973.4
29;Total stationary and mobile sources;Methane (CH4);2001;947.1
30;Total stationary and mobile sources;Methane (CH4);2002;901.4
31;Total stationary and mobile sources;Methane (CH4);2003;870.3
32;Total stationary and mobile sources;Methane (CH4);2004;854.4
33;Total stationary and mobile sources;Methane (CH4);2005;795.5
34;Total stationary and mobile sources;Methane (CH4);2006;776.7
35;Total stationary and mobile sources;Methane (CH4);2007;777.6
36;Total stationary and mobile sources;Methane (CH4);2008;785.7
37;Total stationary and mobile sources;Methane (CH4);2009;778.3
38;Total stationary and mobile sources;Methane (CH4);2010;775.2
39;Total stationary and mobile sources;Methane (CH4);2011;752.4
40;Total stationary and mobile sources;Methane (CH4);2012;735.9
41;Total stationary and mobile sources;Methane (CH4);2013;734.7
42;Total stationary and mobile sources;Methane (CH4);2014;717.2
43;Total stationary and mobile sources;Methane (CH4);2015;725.1
44;Total stationary and mobile sources;Methane (CH4);2016;730.0
45;Total stationary and mobile sources;Methane (CH4);2017;716.8
46;Total stationary and mobile sources;Methane (CH4);2018;692.9
47;Total stationary and mobile sources;Methane (CH4);2019;687.8
48;Total stationary and mobile sources;Methane (CH4);2020;677.4
49;Total stationary and mobile sources;Methane (CH4);2021;666.6
50;Total stationary and mobile sources;Methane (CH4);2022;644.6
51;Total stationary and mobile sources;Methane (CH4);2023;638.6
52;Total stationary and mobile sources;Dinitrogen oxide (N2O);1990;60.3
53;Total stationary and mobile sources;Dinitrogen oxide (N2O);1995;60.8
54;Total stationary and mobile sources;Dinitrogen oxide (N2O);2000;53.8
55;Total stationary and mobile sources;Dinitrogen oxide (N2O);2001;50.8
56;Total stationary and mobile sources;Dinitrogen oxide (N2O);2002;47.8
57;Total stationary and mobile sources;Dinitrogen oxide (N2O);2003;47.3
58;Total stationary and mobile sources;Dinitrogen oxide (N2O);2004;48.6
59;Total stationary and mobile sources;Dinitrogen oxide (N2O);2005;48.5
