ID;Geslacht;Leeftijd;Nationaliteit;Perioden;DerdelandersIllegaalAanwezig_1
0;Totaal;Totaal;Totaal;2015;3150.0
1;Totaal;Totaal;Totaal;2016;2760.0
2;Totaal;Totaal;Totaal;2017;2120.0
3;Totaal;Totaal;Totaal;2018;2790.0
4;Totaal;Totaal;Totaal;2019;3565.0
5;Totaal;Totaal;Totaal;2020;3640.0
6;Totaal;Totaal;Totaal;2021;5010.0
7;Totaal;Totaal;Totaal;2022;5510.0
8;Totaal;Totaal;Totaal;2023;6530.0
9;Totaal;Totaal;Albanees ;2015;175.0
10;Totaal;Totaal;Albanees ;2016;405.0
11;Totaal;Totaal;Albanees ;2017;545.0
12;Totaal;Totaal;Albanees ;2018;945.0
13;Totaal;Totaal;Albanees ;2019;660.0
14;Totaal;Totaal;Albanees ;2020;530.0
15;Totaal;Totaal;Albanees ;2021;845.0
16;Totaal;Totaal;Albanees ;2022;465.0
17;Totaal;Totaal;Albanees ;2023;385.0
18;Totaal;Totaal;Algerijns ;2015;40.0
19;Totaal;Totaal;Algerijns ;2016;80.0
20;Totaal;Totaal;Algerijns ;2017;70.0
21;Totaal;Totaal;Algerijns ;2018;70.0
22;Totaal;Totaal;Algerijns ;2019;105.0
23;Totaal;Totaal;Algerijns ;2020;85.0
24;Totaal;Totaal;Algerijns ;2021;135.0
25;Totaal;Totaal;Algerijns ;2022;170.0
26;Totaal;Totaal;Algerijns ;2023;100.0
27;Totaal;Totaal;Amerikaans ;2015;130.0
28;Totaal;Totaal;Amerikaans ;2016;55.0
29;Totaal;Totaal;Amerikaans ;2017;25.0
30;Totaal;Totaal;Amerikaans ;2018;10.0
31;Totaal;Totaal;Amerikaans ;2019;30.0
32;Totaal;Totaal;Amerikaans ;2020;70.0
33;Totaal;Totaal;Amerikaans ;2021;80.0
34;Totaal;Totaal;Amerikaans ;2022;75.0
35;Totaal;Totaal;Amerikaans ;2023;60.0
36;Totaal;Totaal;Braziliaans ;2015;165.0
37;Totaal;Totaal;Braziliaans ;2016;120.0
38;Totaal;Totaal;Braziliaans ;2017;85.0
39;Totaal;Totaal;Braziliaans ;2018;120.0
40;Totaal;Totaal;Braziliaans ;2019;195.0
41;Totaal;Totaal;Braziliaans ;2020;420.0
42;Totaal;Totaal;Braziliaans ;2021;280.0
43;Totaal;Totaal;Braziliaans ;2022;440.0
44;Totaal;Totaal;Braziliaans ;2023;430.0
45;Totaal;Totaal;Brits ;2015;
46;Totaal;Totaal;Brits ;2016;
47;Totaal;Totaal;Brits ;2017;
